"Status","Year","Sex","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Eastern Scotland","60","50","38650","34190"
"In post","2021","Female","Digital, Data and Technology","Essex","70","60","38430","35000"
"In post","2021","Female","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","330","310","37940","35900"
"In post","2021","Female","Digital, Data and Technology","Greater Manchester","140","140","40900","37100"
"In post","2021","Female","Digital, Data and Technology","Hampshire and Isle of Wight","130","120","35140","31700"
"In post","2021","Female","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","40","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Inner London - East","250","240","46850","41760"
"In post","2021","Female","Digital, Data and Technology","Inner London - West","690","670","48570","45530"
"In post","2021","Female","Digital, Data and Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Merseyside","140","120","36460","31990"
"In post","2021","Female","Digital, Data and Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","North Yorkshire","60","60","37220","34680"
"In post","2021","Female","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Northumberland and Tyne and Wear","210","200","40350","38630"
"In post","2021","Female","Digital, Data and Technology","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Outer London - South","230","220","49060","44260"
"In post","2021","Female","Digital, Data and Technology","Outer London - West and North West","70","70","40940","38200"
"In post","2021","Female","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","Shropshire and Staffordshire","140","130","39880","38630"
"In post","2021","Female","Digital, Data and Technology","South Yorkshire","150","140","42640","40450"
"In post","2021","Female","Digital, Data and Technology","Southern Scotland","70","70","40070","39190"
"In post","2021","Female","Digital, Data and Technology","Surrey, East and West Sussex","80","80","36370","31810"
"In post","2021","Female","Digital, Data and Technology","Tees Valley and Durham","70","60","35170","36500"
"In post","2021","Female","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","West Central Scotland","30","30","[c]","[c]"
"In post","2021","Female","Digital, Data and Technology","West Midlands","200","190","40460","36960"
"In post","2021","Female","Digital, Data and Technology","West Wales and The Valleys","260","240","34270","31380"
"In post","2021","Female","Digital, Data and Technology","West Yorkshire","160","150","36980","31810"
"In post","2021","Female","Economics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","East Wales","60","60","35760","29840"
"In post","2021","Female","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Inner London - East","80","70","55280","55860"
"In post","2021","Female","Economics","Inner London - West","560","540","46900","42470"
"In post","2021","Female","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Economics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Bedfordshire and Hertfordshire","60","60","42120","37640"
"In post","2021","Female","Finance","Berkshire, Buckinghamshire and Oxfordshire","170","160","36590","33000"
"In post","2021","Female","Finance","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Derbyshire and Nottinghamshire","90","90","35230","32230"
"In post","2021","Female","Finance","Devon","50","40","[c]","[c]"
"In post","2021","Female","Finance","Dorset and Somerset","30","30","[c]","[c]"
"In post","2021","Female","Finance","East Anglia","80","70","32350","26800"
"In post","2021","Female","Finance","East Wales","210","190","37040","31270"
"In post","2021","Female","Finance","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Eastern Scotland","90","90","35500","30540"
"In post","2021","Female","Finance","Essex","100","80","32370","31810"
"In post","2021","Female","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","660","620","38290","33360"
"In post","2021","Female","Finance","Greater Manchester","140","130","40190","37940"
"In post","2021","Female","Finance","Hampshire and Isle of Wight","240","220","36350","33300"
"In post","2021","Female","Finance","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Inner London - East","170","170","45210","40810"
"In post","2021","Female","Finance","Inner London - West","900","870","47810","43180"
"In post","2021","Female","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lancashire","40","40","[c]","[c]"
"In post","2021","Female","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Merseyside","120","120","33400","29200"
"In post","2021","Female","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","North Yorkshire","80","70","37730","36520"
"In post","2021","Female","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Northumberland and Tyne and Wear","130","120","36060","31810"
"In post","2021","Female","Finance","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Outer London - South","120","110","45090","41970"
"In post","2021","Female","Finance","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Female","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Shropshire and Staffordshire","100","90","40440","38630"
"In post","2021","Female","Finance","South Yorkshire","80","70","38000","35070"
"In post","2021","Female","Finance","Southern Scotland","60","60","36640","33930"
"In post","2021","Female","Finance","Surrey, East and West Sussex","120","110","33030","31210"
"In post","2021","Female","Finance","Tees Valley and Durham","80","70","37310","31080"
"In post","2021","Female","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","West Central Scotland","350","270","23890","21440"
"In post","2021","Female","Finance","West Midlands","180","180","40780","37100"
"In post","2021","Female","Finance","West Wales and The Valleys","200","190","34780","30730"
"In post","2021","Female","Finance","West Yorkshire","310","270","30800","25560"
"In post","2021","Female","Human Resources","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","100","100","37120","31690"
"In post","2021","Female","Human Resources","Cheshire","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Derbyshire and Nottinghamshire","230","210","39080","33840"
"In post","2021","Female","Human Resources","Devon","80","70","36150","32810"
"In post","2021","Female","Human Resources","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","East Anglia","80","80","34990","31180"
"In post","2021","Female","Human Resources","East Wales","410","380","35720","30660"
"In post","2021","Female","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Eastern Scotland","140","130","34580","31720"
"In post","2021","Female","Human Resources","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","550","500","35310","32580"
"In post","2021","Female","Human Resources","Greater Manchester","320","290","33460","31810"
"In post","2021","Female","Human Resources","Hampshire and Isle of Wight","190","180","34160","30500"
"In post","2021","Female","Human Resources","Herefordshire, Worcestershire and Warwickshire","60","60","36120","30450"
"In post","2021","Female","Human Resources","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Inner London - East","270","260","47740","43400"
"In post","2021","Female","Human Resources","Inner London - West","1100","1060","46760","42170"
"In post","2021","Female","Human Resources","Kent","50","50","33630","31180"
"In post","2021","Female","Human Resources","Lancashire","170","150","27680","26670"
"In post","2021","Female","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Merseyside","180","170","36910","31810"
"In post","2021","Female","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","North Yorkshire","70","60","38330","33300"
"In post","2021","Female","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Northumberland and Tyne and Wear","50","40","[c]","[c]"
"In post","2021","Female","Human Resources","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Outer London - South","220","200","45700","41970"
"In post","2021","Female","Human Resources","Outer London - West and North West","50","50","37110","33500"
"In post","2021","Female","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Shropshire and Staffordshire","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","South Yorkshire","60","60","39890","36640"
"In post","2021","Female","Human Resources","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Surrey, East and West Sussex","30","30","[c]","[c]"
"In post","2021","Female","Human Resources","Tees Valley and Durham","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","West Central Scotland","330","300","24990","21580"
"In post","2021","Female","Human Resources","West Midlands","110","110","38820","38400"
"In post","2021","Female","Human Resources","West Wales and The Valleys","180","170","33230","31380"
"In post","2021","Female","Human Resources","West Yorkshire","150","140","40320","37770"
"In post","2021","Female","Inspector of Education and Training","Derbyshire and Nottinghamshire","50","50","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","East Anglia","60","60","61880","51360"
"In post","2021","Female","Inspector of Education and Training","East Wales","30","30","[c]","[c]"
"In post","2021","Female","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","62380","51360"
"In post","2021","Female","Inspector of Education and Training","Greater Manchester","80","80","63080","64500"
"In post","2021","Female","Inspector of Education and Training","Inner London - West","170","160","63060","51360"
"In post","2021","Female","Inspector of Education and Training","North Yorkshire","90","80","64790","64500"
"In post","2021","Female","Inspector of Education and Training","West Midlands","70","70","62880","51360"
"In post","2021","Female","Intelligence Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","East Anglia","140","130","32270","33000"
"In post","2021","Female","Intelligence Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","East Yorkshire and Northern Lincolnshire","30","30","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Greater Manchester","110","100","27360","25360"
"In post","2021","Female","Intelligence Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Inner London - East","40","40","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Inner London - West","280","270","46760","44230"
"In post","2021","Female","Intelligence Analysis","Kent","140","130","27950","27370"
"In post","2021","Female","Intelligence Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Merseyside","60","50","28460","26300"
"In post","2021","Female","Intelligence Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Outer London - South","70","70","34550","29250"
"In post","2021","Female","Intelligence Analysis","Outer London - West and North West","190","170","32260","30150"
"In post","2021","Female","Intelligence Analysis","Overseas","30","30","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","South Yorkshire","60","50","27390","26330"
"In post","2021","Female","Intelligence Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","West Midlands","40","30","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Intelligence Analysis","West Yorkshire","50","50","39830","36820"
"In post","2021","Female","Internal Audit","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Eastern Scotland","[c]","[c]","[c]","[c]"
