"Status","Year","Region_ITL2","Function_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Declared non-disabled","60","60","36050","34820"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Declared non-disabled","80","80","43340","37640"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Declared non-disabled","140","130","44140","40800"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Unknown","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Declared disabled","170","160","28310","26100"
"In post","2021","Bedfordshire and Hertfordshire","No function","Declared non-disabled","1110","1050","30370","29120"
"In post","2021","Bedfordshire and Hertfordshire","No function","Undeclared","100","90","30160","29750"
"In post","2021","Bedfordshire and Hertfordshire","No function","Unknown","250","240","28830","27850"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Declared non-disabled","130","120","39610","37640"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Declared disabled","260","240","30050","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Declared non-disabled","1420","1300","31270","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","100","90","32480","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","270","260","38580","33090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Declared non-disabled","150","150","39320","36800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Declared non-disabled","70","60","33990","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Declared non-disabled","200","200","42430","39650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Declared non-disabled","220","220","38110","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","Declared non-disabled","140","130","28330","25190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Declared non-disabled","90","90","39210","35590"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Declared non-disabled","160","130","46640","51120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Declared disabled","380","360","30370","29650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Declared non-disabled","2310","2180","31380","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Undeclared","380","350","31940","32040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Unknown","680","650","33220","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Declared disabled","60","50","38170","34080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Declared non-disabled","370","360","39930","36500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Undeclared","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Declared disabled","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Declared non-disabled","290","280","34900","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Unknown","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Declared disabled","80","80","35000","36940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Declared non-disabled","630","620","33710","30890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Undeclared","100","100","39100","41070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Unknown","270","260","32410","28750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Declared disabled","320","290","28810","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Declared non-disabled","1660","1560","28500","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","120","110","28920","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","270","260","31730","27570"
"In post","2021","Cheshire","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","Declared non-disabled","80","70","42830","45990"
"In post","2021","Cheshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","Unknown","40","40","[c]","[c]"
"In post","2021","Cheshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","Declared non-disabled","90","90","24530","24920"
"In post","2021","Cheshire","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Cheshire","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","Declared disabled","190","170","29890","28960"
"In post","2021","Cheshire","No function","Declared non-disabled","1190","1130","32380","31330"
"In post","2021","Cheshire","No function","Undeclared","200","180","30600","31650"
"In post","2021","Cheshire","No function","Unknown","840","830","32880","32770"
"In post","2021","Cheshire","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Declared disabled","170","150","25440","27570"
"In post","2021","Cheshire","Unknown","Declared non-disabled","720","650","25420","27570"
"In post","2021","Cheshire","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Grants Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","Declared non-disabled","200","180","29300","26750"
"In post","2021","Cornwall and Isles of Scilly","No function","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Security","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Declared disabled","170","150","25320","27570"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Declared non-disabled","820","750","25280","26670"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Undeclared","60","60","25690","26630"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Unknown","110","100","26370","21540"
"In post","2021","Cumbria","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","Declared non-disabled","60","60","27940","25880"
"In post","2021","Cumbria","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data & Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Grants Management","Declared disabled","70","60","24260","21050"
"In post","2021","Cumbria","Grants Management","Declared non-disabled","570","500","23870","21050"
"In post","2021","Cumbria","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Legal","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Cumbria","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","No function","Declared disabled","60","60","27070","24380"
"In post","2021","Cumbria","No function","Declared non-disabled","470","430","27440","24800"
"In post","2021","Cumbria","No function","Undeclared","50","40","[c]","[c]"
"In post","2021","Cumbria","No function","Unknown","30","30","[c]","[c]"
"In post","2021","Cumbria","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Project Delivery","Declared non-disabled","200","200","36140","33240"
"In post","2021","Cumbria","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Property","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Security","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Security","Declared non-disabled","50","50","25980","23540"
"In post","2021","Cumbria","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Declared disabled","50","40","[c]","[c]"
"In post","2021","Cumbria","Unknown","Declared non-disabled","210","180","26470","27570"
"In post","2021","Cumbria","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","Declared non-disabled","70","60","40610","38950"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Communications","Declared disabled","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Communications","Declared non-disabled","240","230","31040","26700"
"In post","2021","Derbyshire and Nottinghamshire","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Communications","Unknown","190","190","27480","25560"
"In post","2021","Derbyshire and Nottinghamshire","Counter Fraud","Declared disabled","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Counter Fraud","Declared non-disabled","320","300","34710","31810"
"In post","2021","Derbyshire and Nottinghamshire","Counter Fraud","Undeclared","30","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Counter Fraud","Unknown","120","120","30690","28130"
"In post","2021","Derbyshire and Nottinghamshire","Debt","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Debt","Declared non-disabled","100","90","22500","20140"
"In post","2021","Derbyshire and Nottinghamshire","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Debt","Unknown","120","110","20660","20140"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data & Technology","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data & Technology","Declared non-disabled","110","110","42140","38650"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Digital, Data & Technology","Unknown","60","50","36830","32010"
"In post","2021","Derbyshire and Nottinghamshire","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Finance","Declared non-disabled","120","120","38570","33520"
"In post","2021","Derbyshire and Nottinghamshire","Finance","Undeclared","[c]","[c]","[c]","[c]"
