"Status","Year","Sex","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Foreign, Commonwealth and Development Office","160","150","42360","38230"
"In post","2021","Female","Finance","HM Land Registry","30","30","[c]","[c]"
"In post","2021","Female","Finance","HM Revenue and Customs","1450","1230","30900","25560"
"In post","2021","Female","Finance","HM Treasury","60","50","48070","48780"
"In post","2021","Female","Finance","Ministry of Defence","1260","1190","36060","33140"
"In post","2021","Female","Finance","Ministry of Housing, Communities and Local Government","80","70","49220","48620"
"In post","2021","Female","Finance","Ministry of Justice","440","420","39580","36800"
"In post","2021","Female","Finance","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Female","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Scottish Government","140","130","35090","33650"
"In post","2021","Female","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Female","Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Grants Management","Department for Environment, Food and Rural Affairs","1090","950","25070","21050"
"In post","2021","Female","Grants Management","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Attorney General's Departments","160","150","40560","34400"
"In post","2021","Female","Human Resources","Cabinet Office","740","690","39170","35590"
"In post","2021","Female","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Department for Business, Energy and Industrial Strategy","300","280","39290","36100"
"In post","2021","Female","Human Resources","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Department for Education","120","110","35030","30070"
"In post","2021","Female","Human Resources","Department for Environment, Food and Rural Affairs","200","190","42870","38600"
"In post","2021","Female","Human Resources","Department for International Trade","90","80","43770","38540"
"In post","2021","Female","Human Resources","Department for Transport","300","270","36590","32730"
"In post","2021","Female","Human Resources","Department for Work and Pensions","60","60","36990","31710"
"In post","2021","Female","Human Resources","Department of Health and Social Care","220","210","42640","36820"
"In post","2021","Female","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Foreign, Commonwealth and Development Office","210","200","41680","37300"
"In post","2021","Female","Human Resources","HM Land Registry","70","60","38190","33840"
"In post","2021","Female","Human Resources","HM Revenue and Customs","1080","990","36060","31810"
"In post","2021","Female","Human Resources","HM Treasury","80","80","41050","37900"
"In post","2021","Female","Human Resources","Ministry of Defence","1560","1430","31350","26670"
"In post","2021","Female","Human Resources","Ministry of Housing, Communities and Local Government","70","60","39500","33210"
"In post","2021","Female","Human Resources","Ministry of Justice","680","650","41330","36730"
"In post","2021","Female","Human Resources","National Crime Agency","110","100","40250","40060"
"In post","2021","Female","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Female","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Scottish Government","200","190","34280","33650"
"In post","2021","Female","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","United Kingdom Statistics Authority","160","150","36200","31270"
"In post","2021","Female","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Female","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Female","Internal Audit","HM Treasury","160","150","47970","44380"
"In post","2021","Female","Internal Audit","Ministry of Defence","80","70","37440","33300"
"In post","2021","Female","Internal Audit","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Female","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Attorney General's Departments","5780","5220","43960","48080"
"In post","2021","Female","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Competition and Markets Authority","90","80","67170","71370"
"In post","2021","Female","Legal","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","Female","Legal","Department for Education","40","40","[c]","[c]"
"In post","2021","Female","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Female","Legal","HM Land Registry","160","140","48960","57000"
"In post","2021","Female","Legal","HM Revenue and Customs","690","630","39660","31810"
"In post","2021","Female","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Ministry of Justice","1010","900","41400","41870"
"In post","2021","Female","Legal","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Female","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Office of Gas and Electricity Markets","50","50","59400","62300"
"In post","2021","Female","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Scottish Government","1580","1420","34480","29350"
"In post","2021","Female","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","Attorney General's Departments","40","40","[c]","[c]"
"In post","2021","Female","No function","Cabinet Office","2290","2260","39550","32000"
"In post","2021","Female","No function","Chancellor's other departments","60","60","48230","42600"
"In post","2021","Female","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","Department for Business, Energy and Industrial Strategy","4500","4210","38110","33570"
"In post","2021","Female","No function","Department for Digital, Culture, Media and Sport","670","650","47170","47060"
"In post","2021","Female","No function","Department for Education","2610","2470","42670","37100"
"In post","2021","Female","No function","Department for Environment, Food and Rural Affairs","3170","2980","36430","32560"
"In post","2021","Female","No function","Department for International Trade","850","840","45180","39280"
"In post","2021","Female","No function","Department for Transport","5470","4710","27670","21590"
"In post","2021","Female","No function","Department for Work and Pensions","1090","990","38350","35910"
"In post","2021","Female","No function","Department of Health and Social Care","5760","5240","42840","37490"
"In post","2021","Female","No function","ESTYN","50","50","56620","74730"
"In post","2021","Female","No function","Food Standards Agency","340","340","38090","37350"
"In post","2021","Female","No function","Foreign, Commonwealth and Development Office","1760","1720","45720","38860"
"In post","2021","Female","No function","HM Land Registry","3180","2780","27860","27130"
"In post","2021","Female","No function","HM Revenue and Customs","17220","14770","27420","21440"
"In post","2021","Female","No function","HM Treasury","790","760","45930","41150"
"In post","2021","Female","No function","Ministry of Defence","870","810","37120","37320"
"In post","2021","Female","No function","Ministry of Housing, Communities and Local Government","1250","1180","43990","39600"
"In post","2021","Female","No function","Ministry of Justice","39060","35670","27290","24120"
"In post","2021","Female","No function","National Crime Agency","2050","1970","36770","36200"
"In post","2021","Female","No function","Northern Ireland Office","70","60","43880","36800"
"In post","2021","Female","No function","Office for Standards in Education","950","900","50340","51360"
"In post","2021","Female","No function","Office of Gas and Electricity Markets","380","370","39430","34240"
"In post","2021","Female","No function","Office of Qualifications and Examinations Regulation","120","120","43250","38760"
"In post","2021","Female","No function","Office of Rail and Road","90","80","48910","49580"
"In post","2021","Female","No function","Other Cabinet Office Agencies","100","100","39270","36360"
"In post","2021","Female","No function","Scottish Government","2730","2540","28850","26570"
"In post","2021","Female","No function","The National Archives","190","180","34310","31150"
"In post","2021","Female","No function","United Kingdom Statistics Authority","1560","1270","25780","23050"
"In post","2021","Female","No function","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","No function","Water Services Regulation Authority","60","60","55450","46380"
"In post","2021","Female","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Cabinet Office","90","90","63870","57840"
"In post","2021","Female","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Competition and Markets Authority","200","190","58920","55860"
"In post","2021","Female","Project Delivery","Department for Business, Energy and Industrial Strategy","410","390","42750","39840"
"In post","2021","Female","Project Delivery","Department for Digital, Culture, Media and Sport","110","110","46160","51730"
"In post","2021","Female","Project Delivery","Department for Education","310","290","45590","49860"
"In post","2021","Female","Project Delivery","Department for Environment, Food and Rural Affairs","290","260","37730","35900"
"In post","2021","Female","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Department for Transport","290","280","46590","42470"
"In post","2021","Female","Project Delivery","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Female","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Foreign, Commonwealth and Development Office","1210","1160","49790","52430"
"In post","2021","Female","Project Delivery","HM Land Registry","80","70","40820","38550"
"In post","2021","Female","Project Delivery","HM Revenue and Customs","2460","2280","42090","38630"
"In post","2021","Female","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Ministry of Defence","6130","5810","35520","33300"
"In post","2021","Female","Project Delivery","Ministry of Housing, Communities and Local Government","80","80","46290","40750"
"In post","2021","Female","Project Delivery","Ministry of Justice","440","430","40140","35290"
"In post","2021","Female","Project Delivery","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Female","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Scottish Government","140","130","31440","30080"
"In post","2021","Female","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","United Kingdom Statistics Authority","150","150","39170","36030"
"In post","2021","Female","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Cabinet Office","50","50","47450","45150"
"In post","2021","Female","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","Female","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Department for Education","110","110","44820","49860"
"In post","2021","Female","Property","Department for Environment, Food and Rural Affairs","210","200","34030","30040"
"In post","2021","Female","Property","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Department for Transport","70","70","31330","26780"
