"Status","Year","Sex","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Other","70","60","31820","26950"
"In post","2021","Female","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Policy","150","140","44790","38000"
"In post","2021","Female","Other ethnicity","Project Delivery","40","40","[c]","[c]"
"In post","2021","Female","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Science and Engineering","40","30","[c]","[c]"
"In post","2021","Female","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Tax","30","30","[c]","[c]"
"In post","2021","Female","Other ethnicity","Unknown","350","320","31410","29290"
"In post","2021","Female","Other ethnicity","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Commercial","100","100","38310","35760"
"In post","2021","Female","Undeclared","Communications","50","40","[c]","[c]"
"In post","2021","Female","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Digital, Data and Technology","160","150","41920","38630"
"In post","2021","Female","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Finance","160","150","38770","35140"
"In post","2021","Female","Undeclared","Human Resources","140","130","36310","33300"
"In post","2021","Female","Undeclared","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Intelligence Analysis","60","60","33160","31360"
"In post","2021","Female","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Knowledge and Information Management","90","80","35910","33300"
"In post","2021","Female","Undeclared","Legal","200","180","46160","43460"
"In post","2021","Female","Undeclared","Medicine","50","40","[c]","[c]"
"In post","2021","Female","Undeclared","Operational Delivery","2900","2580","28840","26470"
"In post","2021","Female","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Other","380","360","29750","26130"
"In post","2021","Female","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Policy","460","440","45320","40950"
"In post","2021","Female","Undeclared","Project Delivery","300","290","40700","38630"
"In post","2021","Female","Undeclared","Property","120","110","36460","33300"
"In post","2021","Female","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Science and Engineering","240","220","41550","38890"
"In post","2021","Female","Undeclared","Security","60","60","32470","30110"
"In post","2021","Female","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Undeclared","Tax","270","240","36750","32460"
"In post","2021","Female","Undeclared","Unknown","2650","2240","28020","27570"
"In post","2021","Female","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Commercial","310","290","38650","36820"
"In post","2021","Female","Unknown","Communications","400","390","42090","38650"
"In post","2021","Female","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Counter Fraud","70","70","38750","34790"
"In post","2021","Female","Unknown","Digital, Data and Technology","660","640","40400","36500"
"In post","2021","Female","Unknown","Economics","130","130","42980","36820"
"In post","2021","Female","Unknown","Finance","510","480","36360","32790"
"In post","2021","Female","Unknown","Human Resources","460","430","35610","31810"
"In post","2021","Female","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Intelligence Analysis","120","110","44540","44830"
"In post","2021","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","International Trade","190","190","44120","39370"
"In post","2021","Female","Unknown","Knowledge and Information Management","80","70","35640","33040"
"In post","2021","Female","Unknown","Legal","950","870","46100","46790"
"In post","2021","Female","Unknown","Medicine","250","220","43520","37890"
"In post","2021","Female","Unknown","Operational Delivery","13410","12090","25490","22820"
"In post","2021","Female","Unknown","Operational Research","30","30","[c]","[c]"
"In post","2021","Female","Unknown","Other","1100","1050","33430","29390"
"In post","2021","Female","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Policy","2300","2220","45080","40580"
"In post","2021","Female","Unknown","Project Delivery","690","670","41150","38630"
"In post","2021","Female","Unknown","Property","380","350","32080","29450"
"In post","2021","Female","Unknown","Psychology","150","140","32370","30450"
"In post","2021","Female","Unknown","Science and Engineering","230","220","36460","34930"
"In post","2021","Female","Unknown","Security","190","180","32000","29370"
"In post","2021","Female","Unknown","Social Research","70","70","38480","37020"
"In post","2021","Female","Unknown","Statistics","100","100","37680","36030"
"In post","2021","Female","Unknown","Tax","2290","2160","26140","25560"
"In post","2021","Female","Unknown","Unknown","7960","7380","33440","28000"
"In post","2021","Female","Unknown","Veterinarian","40","30","[c]","[c]"
"In post","2021","Female","White","Commercial","2130","2010","38910","36500"
"In post","2021","Female","White","Communications","1600","1510","41530","38540"
"In post","2021","Female","White","Corporate Finance","70","60","42570","37870"
"In post","2021","Female","White","Counter Fraud","270","250","35180","33100"
"In post","2021","Female","White","Digital, Data and Technology","3190","3000","40430","37450"
"In post","2021","Female","White","Economics","490","470","48410","49600"
"In post","2021","Female","White","Finance","3710","3410","38090","33300"
"In post","2021","Female","White","Human Resources","4260","3960","38590","33350"
"In post","2021","Female","White","Inspector of Education and Training","540","530","63680","64500"
"In post","2021","Female","White","Intelligence Analysis","1170","1090","32610","29250"
"In post","2021","Female","White","Internal Audit","290","270","43810","41300"
"In post","2021","Female","White","International Trade","310","300","47880","48220"
"In post","2021","Female","White","Knowledge and Information Management","970","910","35600","32780"
"In post","2021","Female","White","Legal","4730","4270","49200","51250"
"In post","2021","Female","White","Medicine","1210","1070","50880","37890"
"In post","2021","Female","White","Operational Delivery","68940","61070","27930","25310"
"In post","2021","Female","White","Operational Research","340","320","43850","40650"
"In post","2021","Female","White","Other","8200","7690","29300","23830"
"In post","2021","Female","White","Planning","80","70","46730","41270"
"In post","2021","Female","White","Planning Inspectors","110","100","57820","58810"
"In post","2021","Female","White","Policy","10300","9820","47180","42900"
"In post","2021","Female","White","Project Delivery","6110","5820","40560","37640"
"In post","2021","Female","White","Property","2020","1880","34600","32820"
"In post","2021","Female","White","Psychology","980","930","35950","31180"
"In post","2021","Female","White","Science and Engineering","3400","3140","38590","37190"
"In post","2021","Female","White","Security","1340","1290","31820","28650"
"In post","2021","Female","White","Social Research","650","610","43190","41760"
"In post","2021","Female","White","Statistics","690","650","43760","39850"
"In post","2021","Female","White","Tax","4890","4460","34670","31810"
"In post","2021","Female","White","Unknown","54450","47450","29470","27570"
"In post","2021","Female","White","Veterinarian","200","190","44860","40960"
"In post","2021","Male","Asian","Commercial","110","110","40420","38280"
"In post","2021","Male","Asian","Communications","70","70","38220","33830"
"In post","2021","Male","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Digital, Data and Technology","540","540","42330","39070"
"In post","2021","Male","Asian","Economics","110","110","43430","36250"
"In post","2021","Male","Asian","Finance","380","380","41590","38060"
"In post","2021","Male","Asian","Human Resources","110","110","37510","33000"
"In post","2021","Male","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Intelligence Analysis","80","80","32560","29080"
"In post","2021","Male","Asian","Internal Audit","40","40","[c]","[c]"
"In post","2021","Male","Asian","International Trade","50","50","42010","37160"
"In post","2021","Male","Asian","Knowledge and Information Management","50","50","[c]","[c]"
"In post","2021","Male","Asian","Legal","320","310","45680","46020"
"In post","2021","Male","Asian","Medicine","70","60","77760","78890"
"In post","2021","Male","Asian","Operational Delivery","4350","4150","28670","25630"
"In post","2021","Male","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Other","370","360","32740","28670"
"In post","2021","Male","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Policy","760","760","43510","38650"
"In post","2021","Male","Asian","Project Delivery","380","380","41580","38630"
"In post","2021","Male","Asian","Property","130","130","37880","33750"
"In post","2021","Male","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Science and Engineering","280","270","37000","35890"
"In post","2021","Male","Asian","Security","200","200","29020","25540"
"In post","2021","Male","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Asian","Statistics","70","70","41690","40480"
"In post","2021","Male","Asian","Tax","800","770","33270","31810"
"In post","2021","Male","Asian","Unknown","3500","3400","29550","27570"
"In post","2021","Male","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Commercial","60","60","40360","38000"
"In post","2021","Male","Black","Communications","30","30","[c]","[c]"
"In post","2021","Male","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Digital, Data and Technology","250","250","40270","36750"
"In post","2021","Male","Black","Economics","40","40","[c]","[c]"
"In post","2021","Male","Black","Finance","140","140","41900","39980"
"In post","2021","Male","Black","Human Resources","50","50","38890","35900"
"In post","2021","Male","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Male","Black","Legal","110","110","50720","51190"
"In post","2021","Male","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Operational Delivery","2200","2140","29910","28670"
"In post","2021","Male","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Other","180","170","32090","28810"
"In post","2021","Male","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Policy","340","340","39460","36300"
"In post","2021","Male","Black","Project Delivery","170","170","39510","37390"
"In post","2021","Male","Black","Property","50","50","39720","38420"
"In post","2021","Male","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Science and Engineering","120","120","38770","36510"
"In post","2021","Male","Black","Security","90","90","29280","22650"
"In post","2021","Male","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Black","Tax","190","190","33490","32050"
"In post","2021","Male","Black","Unknown","1350","1330","30650","29290"
"In post","2021","Male","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Male","Chinese","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Operational Delivery","150","140","27690","25560"
"In post","2021","Male","Chinese","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Other","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Policy","50","50","41100","37230"
"In post","2021","Male","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Male","Chinese","Unknown","80","80","32910","29290"
"In post","2021","Male","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Commercial","30","30","[c]","[c]"
"In post","2021","Male","Mixed","Communications","40","40","[c]","[c]"
"In post","2021","Male","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Digital, Data and Technology","130","130","43770","39190"
"In post","2021","Male","Mixed","Economics","50","50","46350","46410"
"In post","2021","Male","Mixed","Finance","70","70","41640","39010"
"In post","2021","Male","Mixed","Human Resources","50","50","[c]","[c]"
"In post","2021","Male","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Legal","110","110","49310","50110"
"In post","2021","Male","Mixed","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Operational Delivery","1120","1080","30870","28210"
"In post","2021","Male","Mixed","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Other","120","120","34400","31380"
"In post","2021","Male","Mixed","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Policy","370","370","46390","44230"
"In post","2021","Male","Mixed","Project Delivery","120","120","44730","40110"
"In post","2021","Male","Mixed","Property","40","40","[c]","[c]"
"In post","2021","Male","Mixed","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Science and Engineering","120","120","39190","37320"
"In post","2021","Male","Mixed","Security","60","60","32710","29890"
"In post","2021","Male","Mixed","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Mixed","Tax","110","110","38720","31810"
"In post","2021","Male","Mixed","Unknown","760","750","32770","27570"
"In post","2021","Male","Mixed","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Digital, Data and Technology","50","50","43190","39930"
"In post","2021","Male","Other ethnicity","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Legal","50","50","58840","63830"
"In post","2021","Male","Other ethnicity","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Operational Delivery","350","340","31900","28670"
"In post","2021","Male","Other ethnicity","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Other","50","50","39890","33150"
"In post","2021","Male","Other ethnicity","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Policy","120","120","46620","45960"
"In post","2021","Male","Other ethnicity","Project Delivery","40","40","[c]","[c]"
"In post","2021","Male","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other ethnicity","Science and Engineering","60","60","42480","40900"
