"Status","Year","Ethnicity","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","North East (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Operational Delivery","140","130","24520","21710"
"In post","2021","Asian","North East (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Tax","30","30","[c]","[c]"
"In post","2021","Asian","North East (England)","Unknown","170","160","27740","21010"
"In post","2021","Asian","North East (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Digital, Data and Technology","50","50","[c]","[c]"
"In post","2021","Asian","North West (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Human Resources","30","30","[c]","[c]"
"In post","2021","Asian","North West (England)","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Legal","70","70","40030","40760"
"In post","2021","Asian","North West (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Operational Delivery","860","790","25680","22920"
"In post","2021","Asian","North West (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Policy","40","40","[c]","[c]"
"In post","2021","Asian","North West (England)","Project Delivery","50","40","[c]","[c]"
"In post","2021","Asian","North West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Tax","190","180","29040","25560"
"In post","2021","Asian","North West (England)","Unknown","1100","1000","25710","27570"
"In post","2021","Asian","North West (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Policy","60","60","48520","50970"
"In post","2021","Asian","Overseas","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Operational Delivery","150","140","29940","24050"
"In post","2021","Asian","Scotland","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Tax","30","30","[c]","[c]"
"In post","2021","Asian","Scotland","Unknown","230","210","30620","27570"
"In post","2021","Asian","Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Asian","South East (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Finance","40","40","[c]","[c]"
"In post","2021","Asian","South East (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Legal","30","30","[c]","[c]"
"In post","2021","Asian","South East (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Operational Delivery","500","450","27940","25660"
"In post","2021","Asian","South East (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Other","60","60","25670","21130"
"In post","2021","Asian","South East (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Project Delivery","40","30","[c]","[c]"
"In post","2021","Asian","South East (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Science and Engineering","60","60","36700","37320"
"In post","2021","Asian","South East (England)","Security","40","40","[c]","[c]"
"In post","2021","Asian","South East (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Tax","30","30","[c]","[c]"
"In post","2021","Asian","South East (England)","Unknown","420","370","28100","29050"
"In post","2021","Asian","South East (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Digital, Data and Technology","50","50","38190","35610"
"In post","2021","Asian","South West (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Finance","40","40","[c]","[c]"
"In post","2021","Asian","South West (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Operational Delivery","120","110","26340","23140"
"In post","2021","Asian","South West (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Other","60","50","30640","26350"
"In post","2021","Asian","South West (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Project Delivery","100","100","37780","35630"
"In post","2021","Asian","South West (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Science and Engineering","160","160","35700","33450"
"In post","2021","Asian","South West (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Unknown","90","80","28230","27570"
"In post","2021","Asian","South West (England)","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","150","140","28840","27570"
"In post","2021","Asian","Wales","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Asian","Wales","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Operational Delivery","140","130","24630","21590"
"In post","2021","Asian","Wales","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Tax","60","50","24910","22850"
"In post","2021","Asian","Wales","Unknown","80","80","26140","27570"
"In post","2021","Asian","Wales","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Commercial","40","30","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Digital, Data and Technology","100","90","38440","36500"
"In post","2021","Asian","West Midlands (England)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Finance","90","90","35470","32800"
"In post","2021","Asian","West Midlands (England)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Legal","100","90","42160","46370"
"In post","2021","Asian","West Midlands (England)","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Operational Delivery","1730","1610","25060","22570"
"In post","2021","Asian","West Midlands (England)","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Other","60","50","26520","21430"
"In post","2021","Asian","West Midlands (England)","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Policy","90","90","35250","34830"
"In post","2021","Asian","West Midlands (England)","Project Delivery","80","80","38780","38630"
"In post","2021","Asian","West Midlands (England)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Tax","250","240","31240","31810"
"In post","2021","Asian","West Midlands (England)","Unknown","1370","1240","25600","27570"
"In post","2021","Asian","West Midlands (England)","Veterinarian","[c]","[c]","[c]","[c]"
