"Status","Year","Function_of_post","Responsibility_level","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","EO","LGBO","120","120","25780","25560"
"In post","2021","Communications","EO","Undeclared","160","150","25640","25560"
"In post","2021","Communications","EO","Unknown","1260","1230","25900","25560"
"In post","2021","Communications","G6/G7","Heterosexual / straight","670","640","58130","56130"
"In post","2021","Communications","G6/G7","LGBO","60","60","58600","57200"
"In post","2021","Communications","G6/G7","Undeclared","60","60","56760","55070"
"In post","2021","Communications","G6/G7","Unknown","280","270","58000","55430"
"In post","2021","Communications","SCS","Heterosexual / straight","80","80","89250","82070"
"In post","2021","Communications","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Heterosexual / straight","2060","2010","35800","34550"
"In post","2021","Communications","SEO/HEO","LGBO","170","170","36390","34710"
"In post","2021","Communications","SEO/HEO","Undeclared","210","200","36190","35000"
"In post","2021","Communications","SEO/HEO","Unknown","860","840","35430","32810"
"In post","2021","Counter Fraud","AA/AO","Heterosexual / straight","470","420","21420","21440"
"In post","2021","Counter Fraud","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Undeclared","80","70","21890","21440"
"In post","2021","Counter Fraud","AA/AO","Unknown","280","240","21400","21400"
"In post","2021","Counter Fraud","EO","Heterosexual / straight","1950","1830","26930","25560"
"In post","2021","Counter Fraud","EO","LGBO","110","110","26940","25560"
"In post","2021","Counter Fraud","EO","Undeclared","280","260","27370","26780"
"In post","2021","Counter Fraud","EO","Unknown","1070","1010","26990","25560"
"In post","2021","Counter Fraud","G6/G7","Heterosexual / straight","750","720","57380","55010"
"In post","2021","Counter Fraud","G6/G7","LGBO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Undeclared","150","140","58240","57130"
"In post","2021","Counter Fraud","G6/G7","Unknown","160","150","57230","55610"
"In post","2021","Counter Fraud","SCS","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Counter Fraud","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Heterosexual / straight","2660","2520","35160","34010"
"In post","2021","Counter Fraud","SEO/HEO","LGBO","120","120","34630","32480"
"In post","2021","Counter Fraud","SEO/HEO","Undeclared","430","410","35450","35000"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","1010","960","35280","34500"
"In post","2021","Debt","AA/AO","Heterosexual / straight","1420","1250","20990","20140"
"In post","2021","Debt","AA/AO","LGBO","100","100","20670","20140"
"In post","2021","Debt","AA/AO","Undeclared","220","190","21610","21440"
"In post","2021","Debt","AA/AO","Unknown","1670","1530","20840","20140"
"In post","2021","Debt","EO","Heterosexual / straight","520","480","26630","25560"
"In post","2021","Debt","EO","LGBO","40","40","[c]","[c]"
"In post","2021","Debt","EO","Undeclared","80","70","27810","28130"
"In post","2021","Debt","EO","Unknown","320","290","26990","25560"
"In post","2021","Debt","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Debt","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Heterosexual / straight","180","170","34290","32100"
"In post","2021","Debt","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Unknown","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Heterosexual / straight","250","240","21950","21130"
"In post","2021","Digital, Data & Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Undeclared","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA/AO","Unknown","130","130","21420","21490"
"In post","2021","Digital, Data & Technology","EO","Heterosexual / straight","1320","1270","27530","26670"
"In post","2021","Digital, Data & Technology","EO","LGBO","90","90","27020","26350"
"In post","2021","Digital, Data & Technology","EO","Undeclared","230","220","28300","27500"
"In post","2021","Digital, Data & Technology","EO","Unknown","640","620","27020","26350"
"In post","2021","Digital, Data & Technology","G6/G7","Heterosexual / straight","2210","2160","57610","55320"
"In post","2021","Digital, Data & Technology","G6/G7","LGBO","160","160","58290","56300"
"In post","2021","Digital, Data & Technology","G6/G7","Undeclared","300","290","58340","56340"
"In post","2021","Digital, Data & Technology","G6/G7","Unknown","1010","980","56470","53620"
"In post","2021","Digital, Data & Technology","SCS","Heterosexual / straight","180","180","91260","83450"
"In post","2021","Digital, Data & Technology","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","SCS","Unknown","50","50","93250","87860"
"In post","2021","Digital, Data & Technology","SEO/HEO","Heterosexual / straight","3880","3770","37310","36820"
"In post","2021","Digital, Data & Technology","SEO/HEO","LGBO","240","230","36340","36480"
"In post","2021","Digital, Data & Technology","SEO/HEO","Undeclared","630","610","37780","38150"
"In post","2021","Digital, Data & Technology","SEO/HEO","Unknown","2080","2020","37040","37100"
"In post","2021","Digital, Data & Technology","Unknown","Heterosexual / straight","80","80","38290","38110"
"In post","2021","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Heterosexual / straight","800","680","21270","21130"
"In post","2021","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Undeclared","130","110","21250","21440"
"In post","2021","Finance","AA/AO","Unknown","530","450","20840","20140"
"In post","2021","Finance","EO","Heterosexual / straight","1200","1140","26360","26670"
"In post","2021","Finance","EO","LGBO","40","40","[c]","[c]"
"In post","2021","Finance","EO","Undeclared","160","150","27200","26930"
"In post","2021","Finance","EO","Unknown","280","270","26460","26270"
"In post","2021","Finance","G6/G7","Heterosexual / straight","1500","1460","58550","57540"
"In post","2021","Finance","G6/G7","LGBO","60","60","57660","56010"
"In post","2021","Finance","G6/G7","Undeclared","190","180","59650","58700"
"In post","2021","Finance","G6/G7","Unknown","320","310","58650","56440"
"In post","2021","Finance","SCS","Heterosexual / straight","220","210","91230","84380"
"In post","2021","Finance","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Unknown","30","30","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Heterosexual / straight","2680","2580","37500","36970"
"In post","2021","Finance","SEO/HEO","LGBO","110","100","36090","36160"
"In post","2021","Finance","SEO/HEO","Undeclared","360","350","38100","37640"
"In post","2021","Finance","SEO/HEO","Unknown","680","660","36440","36160"
"In post","2021","Finance","Unknown","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Heterosexual / straight","330","280","21010","21050"
"In post","2021","Grants Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Unknown","580","530","21000","21050"
"In post","2021","Grants Management","EO","Heterosexual / straight","250","230","25710","25730"
"In post","2021","Grants Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","EO","Unknown","260","240","25290","25190"
"In post","2021","Grants Management","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Grants Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Heterosexual / straight","190","180","32810","31090"
"In post","2021","Grants Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Unknown","120","110","32520","31040"
"In post","2021","Human Resources","AA/AO","Heterosexual / straight","1120","1010","21410","21050"
"In post","2021","Human Resources","AA/AO","LGBO","60","60","21400","20920"
"In post","2021","Human Resources","AA/AO","Undeclared","160","140","21300","21130"
"In post","2021","Human Resources","AA/AO","Unknown","270","240","21090","20920"
"In post","2021","Human Resources","EO","Heterosexual / straight","1270","1190","26570","26670"
"In post","2021","Human Resources","EO","LGBO","70","70","26330","26510"
"In post","2021","Human Resources","EO","Undeclared","130","120","27440","26780"
"In post","2021","Human Resources","EO","Unknown","310","290","26890","26670"
"In post","2021","Human Resources","G6/G7","Heterosexual / straight","1470","1420","57900","56240"
"In post","2021","Human Resources","G6/G7","LGBO","120","120","57410","55740"
"In post","2021","Human Resources","G6/G7","Undeclared","110","100","59200","58240"
"In post","2021","Human Resources","G6/G7","Unknown","200","200","56570","54800"
"In post","2021","Human Resources","SCS","Heterosexual / straight","180","170","90110","83680"
"In post","2021","Human Resources","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Heterosexual / straight","2880","2760","36520","36010"
"In post","2021","Human Resources","SEO/HEO","LGBO","190","190","35840","34700"
"In post","2021","Human Resources","SEO/HEO","Undeclared","250","240","37050","35900"
"In post","2021","Human Resources","SEO/HEO","Unknown","530","510","35550","35000"
"In post","2021","Human Resources","Unknown","Heterosexual / straight","190","180","37950","32710"
"In post","2021","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Heterosexual / straight","170","160","58560","56610"
"In post","2021","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Heterosexual / straight","350","340","40670","40580"
"In post","2021","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Undeclared","50","50","41150","40580"
"In post","2021","Internal Audit","SEO/HEO","Unknown","40","30","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Heterosexual / straight","1180","1090","22340","21950"
"In post","2021","Legal","AA/AO","LGBO","70","70","22180","21950"
"In post","2021","Legal","AA/AO","Undeclared","910","800","21720","22820"
"In post","2021","Legal","AA/AO","Unknown","420","370","22160","21950"
"In post","2021","Legal","EO","Heterosexual / straight","1330","1250","27850","27760"
"In post","2021","Legal","EO","LGBO","110","100","28090","27350"
"In post","2021","Legal","EO","Undeclared","520","480","28570","29350"
"In post","2021","Legal","EO","Unknown","480","440","28050","28430"
"In post","2021","Legal","G6/G7","Heterosexual / straight","3920","3630","58750","57000"
"In post","2021","Legal","G6/G7","LGBO","240","230","60070","58040"
"In post","2021","Legal","G6/G7","Undeclared","390","370","60530","60220"
"In post","2021","Legal","G6/G7","Unknown","1480","1340","61010","59930"
"In post","2021","Legal","SCS","Heterosexual / straight","290","280","90000","83370"
"In post","2021","Legal","SCS","LGBO","30","30","[c]","[c]"
"In post","2021","Legal","SCS","Undeclared","40","40","[c]","[c]"
"In post","2021","Legal","SCS","Unknown","100","100","86810","81010"
"In post","2021","Legal","SEO/HEO","Heterosexual / straight","2120","1990","38730","38000"
"In post","2021","Legal","SEO/HEO","LGBO","120","120","38040","37540"
"In post","2021","Legal","SEO/HEO","Undeclared","510","470","39440","38350"
"In post","2021","Legal","SEO/HEO","Unknown","570","540","37040","36160"
"In post","2021","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Heterosexual / straight","41630","37770","23140","21590"
"In post","2021","No function","AA/AO","LGBO","2710","2600","23580","21590"
"In post","2021","No function","AA/AO","Undeclared","5740","5020","22770","21500"
"In post","2021","No function","AA/AO","Unknown","20430","18400","23030","21440"
"In post","2021","No function","EO","Heterosexual / straight","20650","19440","28110","27130"
"In post","2021","No function","EO","LGBO","1300","1260","27880","26860"
"In post","2021","No function","EO","Undeclared","3220","2960","28110","27130"
"In post","2021","No function","EO","Unknown","7950","7420","28530","27380"
"In post","2021","No function","G6/G7","Heterosexual / straight","14030","13560","58430","55560"
"In post","2021","No function","G6/G7","LGBO","1140","1120","58050","54700"
"In post","2021","No function","G6/G7","Undeclared","1890","1820","58680","55810"
"In post","2021","No function","G6/G7","Unknown","4020","3890","57800","55110"
"In post","2021","No function","SCS","Heterosexual / straight","2090","1990","88780","79930"
"In post","2021","No function","SCS","LGBO","160","150","87950","78840"
"In post","2021","No function","SCS","Undeclared","200","180","91180","82560"
"In post","2021","No function","SCS","Unknown","510","490","97950","90000"
"In post","2021","No function","SEO/HEO","Heterosexual / straight","28980","27760","37000","36160"
"In post","2021","No function","SEO/HEO","LGBO","2080","2040","36140","34860"
"In post","2021","No function","SEO/HEO","Undeclared","3930","3740","37410","36480"
"In post","2021","No function","SEO/HEO","Unknown","10260","9870","35490","33980"
"In post","2021","No function","Unknown","Heterosexual / straight","9530","8820","30040","30210"
"In post","2021","No function","Unknown","LGBO","580","550","29140","26810"
"In post","2021","No function","Unknown","Undeclared","900","830","31800","32090"
"In post","2021","No function","Unknown","Unknown","1000","890","27010","24020"
"In post","2021","Project Delivery","AA/AO","Heterosexual / straight","340","320","21450","21130"
"In post","2021","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","AA/AO","Undeclared","80","70","21430","21130"
"In post","2021","Project Delivery","AA/AO","Unknown","180","160","22160","21930"
"In post","2021","Project Delivery","EO","Heterosexual / straight","3290","3130","24650","25560"
"In post","2021","Project Delivery","EO","LGBO","150","150","24540","25560"
"In post","2021","Project Delivery","EO","Undeclared","510","490","26110","26670"
"In post","2021","Project Delivery","EO","Unknown","660","620","25030","25560"
"In post","2021","Project Delivery","G6/G7","Heterosexual / straight","5120","4990","57430","55620"
"In post","2021","Project Delivery","G6/G7","LGBO","280","270","57900","55860"
"In post","2021","Project Delivery","G6/G7","Undeclared","660","640","58270","56240"
"In post","2021","Project Delivery","G6/G7","Unknown","1310","1280","56600","55060"
"In post","2021","Project Delivery","SCS","Heterosexual / straight","510","500","91930","84580"
"In post","2021","Project Delivery","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","SCS","Undeclared","60","60","89850","81690"
"In post","2021","Project Delivery","SCS","Unknown","90","90","91330","83230"
"In post","2021","Project Delivery","SEO/HEO","Heterosexual / straight","9940","9610","36210","36160"
"In post","2021","Project Delivery","SEO/HEO","LGBO","430","420","35340","35000"
"In post","2021","Project Delivery","SEO/HEO","Undeclared","1450","1380","37050","37360"
"In post","2021","Project Delivery","SEO/HEO","Unknown","1940","1870","36730","37420"
"In post","2021","Project Delivery","Unknown","Heterosexual / straight","1050","1030","42270","40290"
"In post","2021","Project Delivery","Unknown","LGBO","30","30","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Undeclared","160","160","46100","44350"
"In post","2021","Project Delivery","Unknown","Unknown","110","110","39480","36450"
"In post","2021","Property","AA/AO","Heterosexual / straight","1150","1080","20600","20880"
"In post","2021","Property","AA/AO","LGBO","40","40","[c]","[c]"
"In post","2021","Property","AA/AO","Undeclared","160","150","20660","21000"
"In post","2021","Property","AA/AO","Unknown","1000","940","22720","21100"
"In post","2021","Property","EO","Heterosexual / straight","1190","1120","27120","26670"
"In post","2021","Property","EO","LGBO","50","50","26830","26350"
"In post","2021","Property","EO","Undeclared","170","160","27510","26670"
"In post","2021","Property","EO","Unknown","550","520","28180","26670"
"In post","2021","Property","G6/G7","Heterosexual / straight","910","890","57570","55610"
"In post","2021","Property","G6/G7","LGBO","30","30","[c]","[c]"
"In post","2021","Property","G6/G7","Undeclared","130","130","57910","56150"
"In post","2021","Property","G6/G7","Unknown","180","180","57400","55760"
"In post","2021","Property","SCS","Heterosexual / straight","70","70","89960","82380"
"In post","2021","Property","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","SEO/HEO","Heterosexual / straight","2550","2450","37140","36400"
"In post","2021","Property","SEO/HEO","LGBO","90","90","36120","36230"
"In post","2021","Property","SEO/HEO","Undeclared","390","370","37790","36500"
"In post","2021","Property","SEO/HEO","Unknown","590","570","37760","37400"
"In post","2021","Property","Unknown","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","AA/AO","Heterosexual / straight","3820","3730","26050","21130"
"In post","2021","Security","AA/AO","LGBO","150","150","26960","24220"
"In post","2021","Security","AA/AO","Undeclared","570","560","29750","26610"
"In post","2021","Security","AA/AO","Unknown","970","960","27500","25540"
"In post","2021","Security","EO","Heterosexual / straight","840","820","32380","28150"
"In post","2021","Security","EO","LGBO","50","50","31750","27790"
"In post","2021","Security","EO","Undeclared","120","120","36950","42660"
"In post","2021","Security","EO","Unknown","170","170","29020","26670"
"In post","2021","Security","G6/G7","Heterosexual / straight","250","250","60210","57640"
"In post","2021","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","G6/G7","Undeclared","50","50","[c]","[c]"
"In post","2021","Security","G6/G7","Unknown","70","70","60280","55420"
"In post","2021","Security","SCS","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Heterosexual / straight","1040","1020","39650","36620"
"In post","2021","Security","SEO/HEO","LGBO","50","50","[c]","[c]"
"In post","2021","Security","SEO/HEO","Undeclared","200","200","40640","37640"
"In post","2021","Security","SEO/HEO","Unknown","290","280","37780","35320"
"In post","2021","Security","Unknown","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Heterosexual / straight","32880","29330","21430","21010"
"In post","2021","Unknown","AA/AO","LGBO","1620","1530","21370","21010"
"In post","2021","Unknown","AA/AO","Undeclared","4410","3870","21450","21010"
"In post","2021","Unknown","AA/AO","Unknown","10150","8590","21290","21010"
"In post","2021","Unknown","EO","Heterosexual / straight","48730","44740","27850","27570"
"In post","2021","Unknown","EO","LGBO","2730","2630","27870","27570"
"In post","2021","Unknown","EO","Undeclared","6190","5580","27940","27570"
"In post","2021","Unknown","EO","Unknown","12440","11070","28040","27570"
"In post","2021","Unknown","G6/G7","Heterosexual / straight","8530","8210","60810","59750"
"In post","2021","Unknown","G6/G7","LGBO","480","460","59840","57880"
"In post","2021","Unknown","G6/G7","Undeclared","1110","1080","61630","60830"
"In post","2021","Unknown","G6/G7","Unknown","1920","1820","60640","59730"
"In post","2021","Unknown","SCS","Heterosexual / straight","940","920","90440","83230"
"In post","2021","Unknown","SCS","LGBO","60","60","85700","79950"
"In post","2021","Unknown","SCS","Undeclared","100","90","86310","82200"
"In post","2021","Unknown","SCS","Unknown","240","230","91200","84710"
"In post","2021","Unknown","SEO/HEO","Heterosexual / straight","23030","22030","36960","35370"
"In post","2021","Unknown","SEO/HEO","LGBO","1220","1190","36310","35200"
"In post","2021","Unknown","SEO/HEO","Undeclared","3030","2910","37310","36570"
"In post","2021","Unknown","SEO/HEO","Unknown","4440","4230","37200","35310"
"In post","2021","Unknown","Unknown","Heterosexual / straight","470","470","38410","35530"
"In post","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Undeclared","80","80","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","1900","1900","37560","34460"
"In post","2022","Analysis","AA/AO","Heterosexual / straight","170","160","21860","21260"
"In post","2022","Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","Unknown","50","50","21430","21510"
"In post","2022","Analysis","EO","Heterosexual / straight","540","520","27060","26680"
"In post","2022","Analysis","EO","LGBO","60","60","26310","25880"
"In post","2022","Analysis","EO","Undeclared","60","50","26690","26810"
"In post","2022","Analysis","EO","Unknown","220","210","26430","25790"
"In post","2022","Analysis","G6/G7","Heterosexual / straight","1890","1800","59800","57230"
"In post","2022","Analysis","G6/G7","LGBO","160","150","57960","55860"
"In post","2022","Analysis","G6/G7","Undeclared","250","230","60960","58040"
