"Status","Year","Disability","Age","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","65+","AA/AO","440","320","23040","21180"
"In post","2021","Undeclared","65+","EO","190","150","28160","27570"
"In post","2021","Undeclared","65+","G6/G7","40","30","[c]","[c]"
"In post","2021","Undeclared","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","SEO/HEO","140","110","38580","36650"
"In post","2021","Undeclared","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","AA/AO","410","390","20680","20140"
"In post","2021","Unknown","16-19","EO","90","90","21770","23050"
"In post","2021","Unknown","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Unknown","50","50","18270","16780"
"In post","2021","Unknown","20-29","AA/AO","8760","8540","22200","21010"
"In post","2021","Unknown","20-29","EO","5570","5520","27130","26860"
"In post","2021","Unknown","20-29","G6/G7","1180","1170","54450","53380"
"In post","2021","Unknown","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","SEO/HEO","6940","6910","33510","32540"
"In post","2021","Unknown","20-29","Unknown","750","740","26630","24020"
"In post","2021","Unknown","30-39","AA/AO","5500","5110","22650","21010"
"In post","2021","Unknown","30-39","EO","4610","4450","27900","27130"
"In post","2021","Unknown","30-39","G6/G7","3480","3390","57210","54700"
"In post","2021","Unknown","30-39","SCS","300","300","77970","72960"
"In post","2021","Unknown","30-39","SEO/HEO","6030","5870","36170","35830"
"In post","2021","Unknown","30-39","Unknown","660","640","34230","32690"
"In post","2021","Unknown","40-49","AA/AO","4380","3990","22480","21220"
"In post","2021","Unknown","40-49","EO","3230","3070","28190","27570"
"In post","2021","Unknown","40-49","G6/G7","3410","3280","59270","57040"
"In post","2021","Unknown","40-49","SCS","590","580","90470","80640"
"In post","2021","Unknown","40-49","SEO/HEO","4630","4460","37780","37480"
"In post","2021","Unknown","40-49","Unknown","560","550","38320","34340"
"In post","2021","Unknown","50-59","AA/AO","5400","4860","22150","21430"
"In post","2021","Unknown","50-59","EO","3870","3680","29370","28410"
"In post","2021","Unknown","50-59","G6/G7","2770","2700","60880","59160"
"In post","2021","Unknown","50-59","SCS","500","490","102100","93890"
"In post","2021","Unknown","50-59","SEO/HEO","4390","4240","38630","38630"
"In post","2021","Unknown","50-59","Unknown","650","640","41430","36330"
"In post","2021","Unknown","60-64","AA/AO","1900","1560","21550","21130"
"In post","2021","Unknown","60-64","EO","930","750","28930","28130"
"In post","2021","Unknown","60-64","G6/G7","450","400","61060","59120"
"In post","2021","Unknown","60-64","SCS","80","70","109500","104930"
"In post","2021","Unknown","60-64","SEO/HEO","970","820","39110","38630"
"In post","2021","Unknown","60-64","Unknown","160","150","38900","37000"
"In post","2021","Unknown","65+","AA/AO","640","510","21500","21010"
"In post","2021","Unknown","65+","EO","280","210","28540","28130"
"In post","2021","Unknown","65+","G6/G7","160","120","64370","62590"
"In post","2021","Unknown","65+","SCS","30","30","[c]","[c]"
"In post","2021","Unknown","65+","SEO/HEO","270","200","39070","38630"
"In post","2021","Unknown","65+","Unknown","40","30","[c]","[c]"
"In post","2021","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","AA/AO","30","30","[c]","[c]"
"In post","2022","Declared disabled","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","20-29","AA/AO","1700","1640","22530","21260"
"In post","2022","Declared disabled","20-29","EO","1730","1700","27440","27570"
"In post","2022","Declared disabled","20-29","G6/G7","340","340","54340","53420"
"In post","2022","Declared disabled","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","20-29","SEO/HEO","1650","1640","34730","33570"
"In post","2022","Declared disabled","20-29","Unknown","370","370","26080","24270"
"In post","2022","Declared disabled","30-39","AA/AO","2150","1970","22740","21260"
"In post","2022","Declared disabled","30-39","EO","2280","2160","27730","27570"
"In post","2022","Declared disabled","30-39","G6/G7","1250","1220","56970","54850"
"In post","2022","Declared disabled","30-39","SCS","70","70","80510","75060"
"In post","2022","Declared disabled","30-39","SEO/HEO","2540","2470","36430","35310"
"In post","2022","Declared disabled","30-39","Unknown","630","590","29290","28220"
"In post","2022","Declared disabled","40-49","AA/AO","3130","2740","22530","21260"
"In post","2022","Declared disabled","40-49","EO","3610","3330","27930","27570"
"In post","2022","Declared disabled","40-49","G6/G7","1550","1490","58710","57190"
"In post","2022","Declared disabled","40-49","SCS","180","170","86080","78380"
"In post","2022","Declared disabled","40-49","SEO/HEO","3140","3030","36860","36050"
"In post","2022","Declared disabled","40-49","Unknown","870","820","32360","31420"
"In post","2022","Declared disabled","50-59","AA/AO","5580","4940","22440","21260"
"In post","2022","Declared disabled","50-59","EO","6170","5650","28140","27570"
"In post","2022","Declared disabled","50-59","G6/G7","1830","1780","59750","57450"
"In post","2022","Declared disabled","50-59","SCS","210","200","92690","84250"
"In post","2022","Declared disabled","50-59","SEO/HEO","4530","4360","37750","36630"
"In post","2022","Declared disabled","50-59","Unknown","1080","1040","32830","30330"
"In post","2022","Declared disabled","60-64","AA/AO","2350","1880","22100","21260"
"In post","2022","Declared disabled","60-64","EO","1910","1510","28250","27570"
"In post","2022","Declared disabled","60-64","G6/G7","340","290","60890","59540"
"In post","2022","Declared disabled","60-64","SCS","30","30","[c]","[c]"
"In post","2022","Declared disabled","60-64","SEO/HEO","1060","890","37940","36550"
"In post","2022","Declared disabled","60-64","Unknown","430","380","31830","28690"
"In post","2022","Declared disabled","65+","AA/AO","790","600","21950","21260"
"In post","2022","Declared disabled","65+","EO","560","420","28330","27570"
"In post","2022","Declared disabled","65+","G6/G7","80","60","63020","61440"
"In post","2022","Declared disabled","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","65+","SEO/HEO","300","230","38460","36520"
"In post","2022","Declared disabled","65+","Unknown","130","100","33330","30210"
"In post","2022","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","AA/AO","480","460","21440","21260"
"In post","2022","Declared non-disabled","16-19","EO","160","160","24160","25000"
"In post","2022","Declared non-disabled","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","16-19","Unknown","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","20-29","AA/AO","15670","15270","22930","21300"
"In post","2022","Declared non-disabled","20-29","EO","14190","14040","27220","27500"
"In post","2022","Declared non-disabled","20-29","G6/G7","3050","3040","54890","54110"
"In post","2022","Declared non-disabled","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","20-29","SEO/HEO","14940","14870","34920","33570"
"In post","2022","Declared non-disabled","20-29","Unknown","2520","2480","26070","24090"
"In post","2022","Declared non-disabled","30-39","AA/AO","16350","14900","23310","21650"
"In post","2022","Declared non-disabled","30-39","EO","17620","16670","27590","27570"
"In post","2022","Declared non-disabled","30-39","G6/G7","12320","11980","57230","55210"
"In post","2022","Declared non-disabled","30-39","SCS","740","710","79760","75460"
"In post","2022","Declared non-disabled","30-39","SEO/HEO","23230","22560","36730","36130"
"In post","2022","Declared non-disabled","30-39","Unknown","3140","2930","30820","30210"
"In post","2022","Declared non-disabled","40-49","AA/AO","16870","15040","22880","21300"
"In post","2022","Declared non-disabled","40-49","EO","19280","17890","27810","27570"
"In post","2022","Declared non-disabled","40-49","G6/G7","15060","14460","59340","57540"
"In post","2022","Declared non-disabled","40-49","SCS","2110","2040","86900","79980"
"In post","2022","Declared non-disabled","40-49","SEO/HEO","22690","21810","37780","37290"
"In post","2022","Declared non-disabled","40-49","Unknown","3270","3040","34430","34340"
"In post","2022","Declared non-disabled","50-59","AA/AO","24610","22160","22770","21260"
"In post","2022","Declared non-disabled","50-59","EO","25980","24150","28140","27570"
"In post","2022","Declared non-disabled","50-59","G6/G7","14140","13800","60580","58970"
"In post","2022","Declared non-disabled","50-59","SCS","1870","1840","93810","85030"
"In post","2022","Declared non-disabled","50-59","SEO/HEO","26020","25200","38180","37350"
"In post","2022","Declared non-disabled","50-59","Unknown","3030","2860","34170","31020"
"In post","2022","Declared non-disabled","60-64","AA/AO","9430","7700","22260","21260"
"In post","2022","Declared non-disabled","60-64","EO","7740","6200","28220","27570"
"In post","2022","Declared non-disabled","60-64","G6/G7","2490","2200","61830","60290"
"In post","2022","Declared non-disabled","60-64","SCS","300","270","101480","93000"
"In post","2022","Declared non-disabled","60-64","SEO/HEO","5980","5120","38420","36970"
"In post","2022","Declared non-disabled","60-64","Unknown","1000","870","32430","28200"
"In post","2022","Declared non-disabled","65+","AA/AO","3490","2710","22200","21260"
"In post","2022","Declared non-disabled","65+","EO","2260","1670","28410","27570"
"In post","2022","Declared non-disabled","65+","G6/G7","650","500","63110","61440"
"In post","2022","Declared non-disabled","65+","SCS","60","50","109110","102120"
"In post","2022","Declared non-disabled","65+","SEO/HEO","1570","1250","38990","37600"
"In post","2022","Declared non-disabled","65+","Unknown","350","280","31580","28200"
"In post","2022","Declared non-disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","EO","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","AA/AO","700","680","22990","21260"
"In post","2022","Undeclared","20-29","EO","650","640","27550","27570"
"In post","2022","Undeclared","20-29","G6/G7","190","180","54550","53380"
"In post","2022","Undeclared","20-29","SEO/HEO","810","810","35020","33980"
"In post","2022","Undeclared","20-29","Unknown","100","100","26400","24800"
"In post","2022","Undeclared","30-39","AA/AO","1280","1170","23800","21490"
"In post","2022","Undeclared","30-39","EO","1340","1270","28290","27570"
"In post","2022","Undeclared","30-39","G6/G7","770","760","57670","55210"
"In post","2022","Undeclared","30-39","SCS","40","40","[c]","[c]"
"In post","2022","Undeclared","30-39","SEO/HEO","1550","1520","36960","36410"
"In post","2022","Undeclared","30-39","Unknown","190","180","30920","30210"
"In post","2022","Undeclared","40-49","AA/AO","1790","1630","24760","21860"
"In post","2022","Undeclared","40-49","EO","1570","1490","28590","27570"
"In post","2022","Undeclared","40-49","G6/G7","850","830","59820","57540"
"In post","2022","Undeclared","40-49","SCS","100","90","84520","80720"
"In post","2022","Undeclared","40-49","SEO/HEO","1910","1860","38190","37540"
"In post","2022","Undeclared","40-49","Unknown","230","220","35120","37170"
"In post","2022","Undeclared","50-59","AA/AO","3390","3120","25350","22080"
"In post","2022","Undeclared","50-59","EO","2430","2300","28990","27570"
"In post","2022","Undeclared","50-59","G6/G7","950","930","61200","59260"
"In post","2022","Undeclared","50-59","SCS","90","90","89170","82440"
"In post","2022","Undeclared","50-59","SEO/HEO","2650","2580","38790","37930"
"In post","2022","Undeclared","50-59","Unknown","280","260","34000","31940"
"In post","2022","Undeclared","60-64","AA/AO","1210","960","24150","21860"
"In post","2022","Undeclared","60-64","EO","680","560","28740","27570"
"In post","2022","Undeclared","60-64","G6/G7","180","150","62670","60720"
"In post","2022","Undeclared","60-64","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","60-64","SEO/HEO","620","530","38190","36780"
"In post","2022","Undeclared","60-64","Unknown","80","70","34130","33160"
"In post","2022","Undeclared","65+","AA/AO","420","310","23280","21650"
"In post","2022","Undeclared","65+","EO","200","160","28650","27800"
"In post","2022","Undeclared","65+","G6/G7","40","30","[c]","[c]"
"In post","2022","Undeclared","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","SEO/HEO","150","120","39270","37350"
"In post","2022","Undeclared","65+","Unknown","30","20","[c]","[c]"
"In post","2022","Unknown","16-19","AA/AO","370","350","21560","21250"
"In post","2022","Unknown","16-19","EO","130","130","22860","24830"
"In post","2022","Unknown","16-19","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Unknown","50","50","[c]","[c]"
"In post","2022","Unknown","20-29","AA/AO","8500","8270","22800","21680"
"In post","2022","Unknown","20-29","EO","6590","6530","27620","27050"
"In post","2022","Unknown","20-29","G6/G7","1470","1460","55260","53600"
"In post","2022","Unknown","20-29","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","20-29","SEO/HEO","8150","8120","34330","33250"
"In post","2022","Unknown","20-29","Unknown","1260","1230","25740","24090"
"In post","2022","Unknown","30-39","AA/AO","5590","5230","23390","21680"
"In post","2022","Unknown","30-39","EO","5420","5250","28420","27230"
"In post","2022","Unknown","30-39","G6/G7","4290","4190","57890","55210"
"In post","2022","Unknown","30-39","SCS","230","220","80950","75600"
"In post","2022","Unknown","30-39","SEO/HEO","7170","6990","36870","36500"
"In post","2022","Unknown","30-39","Unknown","1380","1290","30460","28200"
"In post","2022","Unknown","40-49","AA/AO","4040","3700","23190","21680"
"In post","2022","Unknown","40-49","EO","3460","3300","28510","27230"
"In post","2022","Unknown","40-49","G6/G7","3940","3790","60080","57740"
"In post","2022","Unknown","40-49","SCS","580","560","92840","85550"
"In post","2022","Unknown","40-49","SEO/HEO","5110","4940","38160","37930"
"In post","2022","Unknown","40-49","Unknown","1180","1090","34190","31420"
"In post","2022","Unknown","50-59","AA/AO","4830","4350","22910","21830"
"In post","2022","Unknown","50-59","EO","4060","3820","29910","28920"
"In post","2022","Unknown","50-59","G6/G7","3050","2980","61890","60720"
"In post","2022","Unknown","50-59","SCS","470","460","105050","98820"
"In post","2022","Unknown","50-59","SEO/HEO","4480","4330","39240","39580"
"In post","2022","Unknown","50-59","Unknown","1300","1220","35540","32690"
"In post","2022","Unknown","60-64","AA/AO","1790","1470","22340","21750"
"In post","2022","Unknown","60-64","EO","970","790","29890","28920"
"In post","2022","Unknown","60-64","G6/G7","490","450","62210","60790"
"In post","2022","Unknown","60-64","SCS","80","80","115360","114000"
"In post","2022","Unknown","60-64","SEO/HEO","1000","850","39770","40290"
"In post","2022","Unknown","60-64","Unknown","400","350","33580","31780"
"In post","2022","Unknown","65+","AA/AO","620","480","22550","21550"
"In post","2022","Unknown","65+","EO","280","210","29350","28920"
"In post","2022","Unknown","65+","G6/G7","160","130","63700","62170"
"In post","2022","Unknown","65+","SCS","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","65+","SEO/HEO","270","220","40200","40210"
"In post","2022","Unknown","65+","Unknown","120","90","31660","28760"
"In post","2022","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","16-19","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","16-19","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","20-29","AA/AO","190","180","21010","21010"
"Leaver CS","2021","Declared disabled","20-29","EO","60","50","[c]","[c]"
"Leaver CS","2021","Declared disabled","20-29","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","20-29","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","20-29","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","30-39","AA/AO","110","100","21940","21010"
"Leaver CS","2021","Declared disabled","30-39","EO","70","60","27440","27570"
"Leaver CS","2021","Declared disabled","30-39","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","30-39","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","30-39","SEO/HEO","60","50","35860","34860"
"Leaver CS","2021","Declared disabled","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","40-49","AA/AO","140","120","21000","21010"
"Leaver CS","2021","Declared disabled","40-49","EO","80","70","27800","27570"
"Leaver CS","2021","Declared disabled","40-49","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","40-49","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","40-49","SEO/HEO","70","60","[c]","[c]"
"Leaver CS","2021","Declared disabled","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","50-59","AA/AO","320","270","21560","20920"
"Leaver CS","2021","Declared disabled","50-59","EO","250","220","27960","27570"
"Leaver CS","2021","Declared disabled","50-59","G6/G7","90","80","63570","59420"
"Leaver CS","2021","Declared disabled","50-59","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","50-59","SEO/HEO","200","190","38240","37800"
"Leaver CS","2021","Declared disabled","50-59","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","60-64","AA/AO","230","180","20840","21010"
"Leaver CS","2021","Declared disabled","60-64","EO","180","150","28020","27570"
"Leaver CS","2021","Declared disabled","60-64","G6/G7","40","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","60-64","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","60-64","SEO/HEO","110","90","36910","37000"
"Leaver CS","2021","Declared disabled","60-64","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","65+","AA/AO","280","200","20800","21010"
"Leaver CS","2021","Declared disabled","65+","EO","170","110","27600","27570"
"Leaver CS","2021","Declared disabled","65+","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","65+","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","65+","SEO/HEO","80","50","[c]","[c]"
"Leaver CS","2021","Declared disabled","65+","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
