"Status","Year","Responsibility_level","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Finance","60-64","150","120","21430","21440"
"In post","2021","AA/AO","Finance","65+","60","50","22250","21440"
"In post","2021","AA/AO","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","20-29","220","210","21660","20920"
"In post","2021","AA/AO","Human Resources","30-39","240","220","21500","20920"
"In post","2021","AA/AO","Human Resources","40-49","230","200","21700","21130"
"In post","2021","AA/AO","Human Resources","50-59","370","340","21650","21580"
"In post","2021","AA/AO","Human Resources","60-64","110","90","21780","21580"
"In post","2021","AA/AO","Human Resources","65+","40","30","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","50-59","50","40","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","20-29","70","70","21880","20920"
"In post","2021","AA/AO","Knowledge and Information Management","30-39","50","50","21680","20920"
"In post","2021","AA/AO","Knowledge and Information Management","40-49","50","50","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","50-59","110","110","22500","22020"
"In post","2021","AA/AO","Knowledge and Information Management","60-64","40","40","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","20-29","40","40","[c]","[c]"
"In post","2021","AA/AO","Legal","30-39","40","30","[c]","[c]"
"In post","2021","AA/AO","Legal","40-49","60","50","21150","21440"
"In post","2021","AA/AO","Legal","50-59","110","90","21620","21440"
"In post","2021","AA/AO","Legal","60-64","30","30","[c]","[c]"
"In post","2021","AA/AO","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","20-29","40","40","[c]","[c]"
"In post","2021","AA/AO","Medicine","30-39","120","110","22180","22640"
"In post","2021","AA/AO","Medicine","40-49","90","80","21890","22640"
"In post","2021","AA/AO","Medicine","50-59","70","60","22060","22640"
"In post","2021","AA/AO","Medicine","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","16-19","390","370","21050","20880"
"In post","2021","AA/AO","Operational Delivery","20-29","16430","15970","23040","21590"
"In post","2021","AA/AO","Operational Delivery","30-39","16560","15120","23210","21590"
"In post","2021","AA/AO","Operational Delivery","40-49","15560","13970","23070","21440"
"In post","2021","AA/AO","Operational Delivery","50-59","21420","19110","23100","21440"
"In post","2021","AA/AO","Operational Delivery","60-64","7770","6090","22190","21440"
"In post","2021","AA/AO","Operational Delivery","65+","2800","2050","21700","21400"
"In post","2021","AA/AO","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","20-29","640","620","21410","20920"
"In post","2021","AA/AO","Other","30-39","920","870","21220","20920"
"In post","2021","AA/AO","Other","40-49","1420","1340","21280","20920"
"In post","2021","AA/AO","Other","50-59","3120","3020","21220","20920"
"In post","2021","AA/AO","Other","60-64","1250","1170","21240","20920"
"In post","2021","AA/AO","Other","65+","470","420","21290","21030"
"In post","2021","AA/AO","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","20-29","210","210","23190","23060"
"In post","2021","AA/AO","Policy","30-39","120","110","22770","23500"
"In post","2021","AA/AO","Policy","40-49","130","130","23840","23830"
"In post","2021","AA/AO","Policy","50-59","220","210","23870","23830"
"In post","2021","AA/AO","Policy","60-64","70","60","23330","23240"
"In post","2021","AA/AO","Policy","65+","40","30","[c]","[c]"
"In post","2021","AA/AO","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","20-29","80","80","21610","21230"
"In post","2021","AA/AO","Project Delivery","30-39","50","40","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","40-49","50","50","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","50-59","100","90","21760","21440"
"In post","2021","AA/AO","Project Delivery","60-64","30","30","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","20-29","100","100","19920","19220"
"In post","2021","AA/AO","Property","30-39","90","80","19990","18800"
"In post","2021","AA/AO","Property","40-49","180","170","20380","20090"
"In post","2021","AA/AO","Property","50-59","370","350","19630","18800"
"In post","2021","AA/AO","Property","60-64","180","160","19120","17980"
"In post","2021","AA/AO","Property","65+","100","90","18850","17230"
"In post","2021","AA/AO","Psychology","20-29","30","30","[c]","[c]"
"In post","2021","AA/AO","Psychology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","16-19","40","40","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","20-29","370","360","21560","21050"
"In post","2021","AA/AO","Science and Engineering","30-39","180","170","21730","21460"
"In post","2021","AA/AO","Science and Engineering","40-49","180","170","21840","21950"
"In post","2021","AA/AO","Science and Engineering","50-59","400","380","22030","22500"
"In post","2021","AA/AO","Science and Engineering","60-64","160","150","22000","22500"
"In post","2021","AA/AO","Science and Engineering","65+","90","80","22200","22500"
"In post","2021","AA/AO","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","20-29","810","810","24940","25370"
"In post","2021","AA/AO","Security","30-39","960","950","28680","26750"
"In post","2021","AA/AO","Security","40-49","1020","1020","28570","23540"
"In post","2021","AA/AO","Security","50-59","1900","1870","27000","21040"
"In post","2021","AA/AO","Security","60-64","550","500","24090","20060"
"In post","2021","AA/AO","Security","65+","160","140","22670","20310"
"In post","2021","AA/AO","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","20-29","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","16-19","140","140","20140","20140"
"In post","2021","AA/AO","Tax","20-29","1640","1570","20170","20140"
"In post","2021","AA/AO","Tax","30-39","830","780","20190","20140"
"In post","2021","AA/AO","Tax","40-49","540","500","20320","20140"
"In post","2021","AA/AO","Tax","50-59","490","450","20540","20140"
"In post","2021","AA/AO","Tax","60-64","120","100","20720","20140"
"In post","2021","AA/AO","Tax","65+","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","16-19","260","260","21130","21010"
"In post","2021","AA/AO","Unknown","20-29","5210","5070","21440","21010"
"In post","2021","AA/AO","Unknown","30-39","5330","4660","21310","21010"
"In post","2021","AA/AO","Unknown","40-49","7290","6200","21240","21010"
"In post","2021","AA/AO","Unknown","50-59","11030","9570","21240","21010"
"In post","2021","AA/AO","Unknown","60-64","3940","3130","21330","21010"
"In post","2021","AA/AO","Unknown","65+","1280","960","21580","21010"
"In post","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinarian","30-39","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","20-29","240","240","24630","25000"
"In post","2021","EO","Commercial","30-39","140","130","25630","26330"
"In post","2021","EO","Commercial","40-49","120","110","26730","26670"
"In post","2021","EO","Commercial","50-59","150","140","27390","26930"
"In post","2021","EO","Commercial","60-64","40","40","[c]","[c]"
"In post","2021","EO","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","20-29","220","210","27200","27270"
"In post","2021","EO","Communications","30-39","120","110","26730","26670"
"In post","2021","EO","Communications","40-49","120","110","27590","26930"
"In post","2021","EO","Communications","50-59","140","130","28110","27770"
"In post","2021","EO","Communications","60-64","30","30","[c]","[c]"
"In post","2021","EO","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","30-39","40","40","[c]","[c]"
"In post","2021","EO","Counter Fraud","40-49","40","40","[c]","[c]"
"In post","2021","EO","Counter Fraud","50-59","60","50","26860","26320"
"In post","2021","EO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","20-29","620","610","26620","26130"
"In post","2021","EO","Digital, Data and Technology","30-39","490","480","27140","26670"
"In post","2021","EO","Digital, Data and Technology","40-49","450","440","27800","26780"
"In post","2021","EO","Digital, Data and Technology","50-59","480","460","28500","27500"
"In post","2021","EO","Digital, Data and Technology","60-64","130","110","28060","27140"
"In post","2021","EO","Digital, Data and Technology","65+","50","40","[c]","[c]"
"In post","2021","EO","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","20-29","70","70","27150","27120"
"In post","2021","EO","Economics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","20-29","360","350","25310","25560"
"In post","2021","EO","Finance","30-39","290","270","26320","26410"
"In post","2021","EO","Finance","40-49","340","320","26890","26670"
"In post","2021","EO","Finance","50-59","450","430","27340","26810"
"In post","2021","EO","Finance","60-64","120","100","27600","27460"
"In post","2021","EO","Finance","65+","50","40","[c]","[c]"
"In post","2021","EO","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","20-29","290","290","26100","26530"
"In post","2021","EO","Human Resources","30-39","300","280","26670","26670"
"In post","2021","EO","Human Resources","40-49","310","290","27480","26710"
"In post","2021","EO","Human Resources","50-59","370","350","27670","26930"
"In post","2021","EO","Human Resources","60-64","80","70","28300","27460"
"In post","2021","EO","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Intelligence Analysis","20-29","260","260","27270","26670"
"In post","2021","EO","Intelligence Analysis","30-39","370","350","27190","26670"
"In post","2021","EO","Intelligence Analysis","40-49","390","370","27680","27370"
"In post","2021","EO","Intelligence Analysis","50-59","430","410","28460","27370"
"In post","2021","EO","Intelligence Analysis","60-64","90","70","28850","28350"
"In post","2021","EO","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","20-29","50","50","[c]","[c]"
"In post","2021","EO","International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","20-29","90","90","25700","26410"
"In post","2021","EO","Knowledge and Information Management","30-39","80","80","26350","26670"
"In post","2021","EO","Knowledge and Information Management","40-49","100","90","27350","26780"
"In post","2021","EO","Knowledge and Information Management","50-59","160","150","27540","26780"
"In post","2021","EO","Knowledge and Information Management","60-64","50","50","27600","26780"
"In post","2021","EO","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","20-29","570","560","27370","25560"
"In post","2021","EO","Legal","30-39","530","520","26940","25560"
"In post","2021","EO","Legal","40-49","370","350","27290","25560"
"In post","2021","EO","Legal","50-59","370","350","27960","28130"
"In post","2021","EO","Legal","60-64","90","70","28220","28130"
"In post","2021","EO","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","20-29","50","50","27820","27400"
"In post","2021","EO","Medicine","30-39","80","70","29740","30620"
"In post","2021","EO","Medicine","40-49","70","70","31420","30620"
"In post","2021","EO","Medicine","50-59","90","80","31170","30620"
"In post","2021","EO","Medicine","60-64","30","30","[c]","[c]"
"In post","2021","EO","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Delivery","20-29","6290","6220","26760","25560"
"In post","2021","EO","Operational Delivery","30-39","9970","9480","27300","25820"
"In post","2021","EO","Operational Delivery","40-49","10290","9640","27680","26780"
"In post","2021","EO","Operational Delivery","50-59","13970","12980","28360","27370"
"In post","2021","EO","Operational Delivery","60-64","3520","2760","28500","27850"
"In post","2021","EO","Operational Delivery","65+","1030","740","28290","27620"
"In post","2021","EO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","20-29","40","40","[c]","[c]"
"In post","2021","EO","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","16-19","30","30","[c]","[c]"
"In post","2021","EO","Other","20-29","860","840","25030","26290"
"In post","2021","EO","Other","30-39","770","730","25750","26670"
"In post","2021","EO","Other","40-49","920","880","26470","26670"
"In post","2021","EO","Other","50-59","1720","1650","27060","26670"
"In post","2021","EO","Other","60-64","630","580","27200","26930"
"In post","2021","EO","Other","65+","220","190","27180","26940"
"In post","2021","EO","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","16-19","30","30","[c]","[c]"
"In post","2021","EO","Policy","20-29","1020","1010","27690","27850"
"In post","2021","EO","Policy","30-39","450","430","28150","28670"
"In post","2021","EO","Policy","40-49","420","400","28380","28670"
"In post","2021","EO","Policy","50-59","580","560","29390","29000"
"In post","2021","EO","Policy","60-64","140","130","29080","28850"
"In post","2021","EO","Policy","65+","40","40","[c]","[c]"
"In post","2021","EO","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","20-29","540","530","25500","25560"
"In post","2021","EO","Project Delivery","30-39","370","350","26300","26670"
"In post","2021","EO","Project Delivery","40-49","360","350","26750","26670"
"In post","2021","EO","Project Delivery","50-59","470","450","27470","26670"
"In post","2021","EO","Project Delivery","60-64","130","120","27320","26670"
"In post","2021","EO","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","20-29","250","240","26180","25860"
"In post","2021","EO","Property","30-39","220","210","26350","26000"
"In post","2021","EO","Property","40-49","310","290","27170","26540"
"In post","2021","EO","Property","50-59","510","490","27450","26670"
"In post","2021","EO","Property","60-64","150","130","27700","26850"
"In post","2021","EO","Property","65+","70","60","27300","26670"
"In post","2021","EO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Psychology","20-29","170","170","26050","25830"
"In post","2021","EO","Psychology","30-39","130","130","27770","27380"
"In post","2021","EO","Psychology","40-49","60","50","27020","26850"
"In post","2021","EO","Psychology","50-59","50","50","27290","27380"
"In post","2021","EO","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","EO","Science and Engineering","16-19","70","70","18220","17780"
"In post","2021","EO","Science and Engineering","20-29","810","800","25220","26350"
"In post","2021","EO","Science and Engineering","30-39","290","280","26480","26670"
"In post","2021","EO","Science and Engineering","40-49","260","240","26790","26670"
"In post","2021","EO","Science and Engineering","50-59","380","370","26890","26670"
"In post","2021","EO","Science and Engineering","60-64","140","130","27110","26930"
"In post","2021","EO","Science and Engineering","65+","60","50","27120","26670"
"In post","2021","EO","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","20-29","110","110","27530","26620"
"In post","2021","EO","Security","30-39","200","190","34030","30750"
"In post","2021","EO","Security","40-49","230","230","33800","30110"
"In post","2021","EO","Security","50-59","420","420","34930","33520"
"In post","2021","EO","Security","60-64","90","80","28130","26670"
"In post","2021","EO","Security","65+","40","40","[c]","[c]"
"In post","2021","EO","Social Research","20-29","[c]","[c]","[c]","[c]"
"In post","2021","EO","Social Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","EO","Social Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","Social Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","20-29","130","130","27310","27570"
"In post","2021","EO","Statistics","30-39","40","40","[c]","[c]"
"In post","2021","EO","Statistics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","50-59","40","30","[c]","[c]"
"In post","2021","EO","Statistics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2021","EO","Tax","16-19","[c]","[c]","[c]","[c]"
"In post","2021","EO","Tax","20-29","1010","1000","25590","25560"
"In post","2021","EO","Tax","30-39","940","910","25700","25560"
"In post","2021","EO","Tax","40-49","680","640","26350","25560"
"In post","2021","EO","Tax","50-59","980","910","27720","28130"
"In post","2021","EO","Tax","60-64","330","240","28130","28130"
"In post","2021","EO","Tax","65+","110","70","28840","28130"
"In post","2021","EO","Unknown","16-19","60","60","27750","27570"
"In post","2021","EO","Unknown","20-29","7500","7410","28110","27570"
"In post","2021","EO","Unknown","30-39","9770","9160","28050","27570"
"In post","2021","EO","Unknown","40-49","12480","11420","28030","27570"
"In post","2021","EO","Unknown","50-59","17350","15820","28100","27570"
"In post","2021","EO","Unknown","60-64","4800","3690","28060","27570"
"In post","2021","EO","Unknown","65+","1250","880","28180","27570"
"In post","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","EO","Veterinarian","40-49","[c]","[c]","[c]","[c]"
"In post","2021","EO","Veterinarian","50-59","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","20-29","30","30","[c]","[c]"
"In post","2021","G6/G7","Commercial","30-39","200","200","54400","53300"
"In post","2021","G6/G7","Commercial","40-49","340","330","58900","57340"
"In post","2021","G6/G7","Commercial","50-59","370","370","60960","58770"
"In post","2021","G6/G7","Commercial","60-64","70","60","64320","60720"
"In post","2021","G6/G7","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","20-29","60","60","55130","54110"
"In post","2021","G6/G7","Communications","30-39","340","330","57320","56120"
"In post","2021","G6/G7","Communications","40-49","340","320","58370","57030"
"In post","2021","G6/G7","Communications","50-59","180","170","59600","58970"
"In post","2021","G6/G7","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","50-59","50","50","62490","58700"
"In post","2021","G6/G7","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data and Technology","20-29","150","150","54200","52910"
"In post","2021","G6/G7","Digital, Data and Technology","30-39","890","870","57320","55230"
"In post","2021","G6/G7","Digital, Data and Technology","40-49","1230","1210","58720","57600"
"In post","2021","G6/G7","Digital, Data and Technology","50-59","1010","990","58930","57430"
"In post","2021","G6/G7","Digital, Data and Technology","60-64","160","150","60050","59140"
"In post","2021","G6/G7","Digital, Data and Technology","65+","40","30","[c]","[c]"
"In post","2021","G6/G7","Economics","20-29","250","250","54550","54740"
"In post","2021","G6/G7","Economics","30-39","430","410","59610","58030"
"In post","2021","G6/G7","Economics","40-49","160","150","63810","61770"
"In post","2021","G6/G7","Economics","50-59","90","90","65460","64770"
"In post","2021","G6/G7","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","20-29","120","120","55360","54240"
"In post","2021","G6/G7","Finance","30-39","560","540","58230","57110"
