"Status","Year","Parent_department","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","SEO/HEO","Male","80","80","40990","41210"
"In post","2021","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Female","70","60","24740","24440"
"In post","2021","Charity Commission","EO","Male","40","40","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Female","40","40","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Female","130","120","32740","29550"
"In post","2021","Charity Commission","SEO/HEO","Male","110","100","33390","31350"
"In post","2021","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Female","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Male","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Female","220","210","65750","62890"
"In post","2021","Competition and Markets Authority","G6/G7","Male","210","210","66870","65340"
"In post","2021","Competition and Markets Authority","SCS","Female","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Male","60","60","111010","102520"
"In post","2021","Competition and Markets Authority","SEO/HEO","Female","110","110","37760","35680"
"In post","2021","Competition and Markets Authority","SEO/HEO","Male","90","90","37910","35000"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Female","950","840","21690","21000"
"In post","2021","Department for Business, Energy and Industrial Strategy","AA/AO","Male","550","540","21530","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Female","1110","1030","26120","26180"
"In post","2021","Department for Business, Energy and Industrial Strategy","EO","Male","830","820","26930","26410"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Female","1560","1480","57460","55600"
"In post","2021","Department for Business, Energy and Industrial Strategy","G6/G7","Male","2060","2020","58060","57360"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Female","170","160","81900","74920"
"In post","2021","Department for Business, Energy and Industrial Strategy","SCS","Male","220","220","84810","75850"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","2700","2570","37210","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","3010","2950","38370","39360"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Female","120","120","27470","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","EO","Male","60","60","27240","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Female","420","400","58320","55220"
"In post","2021","Department for Digital, Culture, Media and Sport","G6/G7","Male","390","390","59020","58600"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Female","70","60","85910","75500"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Male","60","60","87040","78180"
"In post","2021","Department for Digital, Culture, Media and Sport","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","350","350","36730","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","310","310","37360","34240"
"In post","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","AA/AO","Female","80","70","21930","21000"
"In post","2021","Department for Education","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","Department for Education","EO","Female","590","560","26720","26000"
"In post","2021","Department for Education","EO","Male","370","370","26610","26000"
"In post","2021","Department for Education","G6/G7","Female","1620","1540","56100","53760"
"In post","2021","Department for Education","G6/G7","Male","1270","1250","57000","54400"
"In post","2021","Department for Education","SCS","Female","170","160","82920","74100"
"In post","2021","Department for Education","SCS","Male","130","130","85770","78000"
"In post","2021","Department for Education","SEO/HEO","Female","2180","2070","35600","36500"
"In post","2021","Department for Education","SEO/HEO","Male","1480","1470","35760","36500"
"In post","2021","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Female","1300","1140","21520","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","AA/AO","Male","730","720","21510","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Female","1200","1100","26150","25320"
"In post","2021","Department for Environment, Food and Rural Affairs","EO","Male","860","840","26340","25450"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Female","1160","1090","54190","53200"
"In post","2021","Department for Environment, Food and Rural Affairs","G6/G7","Male","1180","1170","54830","53620"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Female","120","110","83440","75970"
"In post","2021","Department for Environment, Food and Rural Affairs","SCS","Male","120","120","83930","77320"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","2420","2270","34870","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","1960","1920","35000","35820"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","EO","Female","140","140","27400","26510"
"In post","2021","Department for International Trade","EO","Male","110","110","27300","26510"
"In post","2021","Department for International Trade","G6/G7","Female","490","480","54780","51970"
"In post","2021","Department for International Trade","G6/G7","Male","590","590","55980","53750"
"In post","2021","Department for International Trade","SCS","Female","80","80","80110","74600"
"In post","2021","Department for International Trade","SCS","Male","100","90","91420","82780"
"In post","2021","Department for International Trade","SEO/HEO","Female","540","530","35310","34750"
"In post","2021","Department for International Trade","SEO/HEO","Male","610","610","35390","34950"
"In post","2021","Department for Transport","AA/AO","Female","3340","2700","20830","21590"
"In post","2021","Department for Transport","AA/AO","Male","2370","2260","23160","21590"
"In post","2021","Department for Transport","EO","Female","1540","1410","27360","26780"
"In post","2021","Department for Transport","EO","Male","2630","2510","28400","26780"
"In post","2021","Department for Transport","G6/G7","Female","720","690","58640","54760"
"In post","2021","Department for Transport","G6/G7","Male","1150","1140","61430","58350"
"In post","2021","Department for Transport","SCS","Female","100","100","85360","79000"
"In post","2021","Department for Transport","SCS","Male","130","130","91850","84360"
"In post","2021","Department for Transport","SEO/HEO","Female","1570","1510","36690","35060"
"In post","2021","Department for Transport","SEO/HEO","Male","2410","2370","38460","37230"
"In post","2021","Department for Work and Pensions","AA/AO","Female","19820","16070","21170","21010"
"In post","2021","Department for Work and Pensions","AA/AO","Male","9780","9280","21200","21010"
"In post","2021","Department for Work and Pensions","EO","Female","32540","28530","28110","27570"
"In post","2021","Department for Work and Pensions","EO","Male","16480","15840","28130","27570"
"In post","2021","Department for Work and Pensions","G6/G7","Female","1560","1470","55910","54070"
"In post","2021","Department for Work and Pensions","G6/G7","Male","1720","1680","58710","57230"
"In post","2021","Department for Work and Pensions","SCS","Female","130","130","86670","78390"
"In post","2021","Department for Work and Pensions","SCS","Male","140","140","92370","84920"
"In post","2021","Department for Work and Pensions","SEO/HEO","Female","6780","6260","35130","34290"
"In post","2021","Department for Work and Pensions","SEO/HEO","Male","4570","4430","37160","35310"
"In post","2021","Department of Health and Social Care","AA/AO","Female","700","610","21360","21570"
"In post","2021","Department of Health and Social Care","AA/AO","Male","280","260","21210","20740"
"In post","2021","Department of Health and Social Care","EO","Female","1130","1050","26490","27140"
"In post","2021","Department of Health and Social Care","EO","Male","450","430","26430","27140"
"In post","2021","Department of Health and Social Care","G6/G7","Female","2210","2080","57690","53920"
"In post","2021","Department of Health and Social Care","G6/G7","Male","1450","1420","58830","54670"
"In post","2021","Department of Health and Social Care","SCS","Female","480","420","97490","92860"
"In post","2021","Department of Health and Social Care","SCS","Male","410","380","100200","93000"
"In post","2021","Department of Health and Social Care","SEO/HEO","Female","3160","2920","36070","36330"
"In post","2021","Department of Health and Social Care","SEO/HEO","Male","1490","1450","36530","36820"
"In post","2021","ESTYN","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","G6/G7","Female","30","30","[c]","[c]"
"In post","2021","ESTYN","G6/G7","Male","40","30","[c]","[c]"
"In post","2021","ESTYN","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","EO","Female","90","80","27140","26750"
"In post","2021","Food Standards Agency","EO","Male","350","330","27320","26750"
"In post","2021","Food Standards Agency","G6/G7","Female","110","100","56420","55300"
"In post","2021","Food Standards Agency","G6/G7","Male","110","110","56350","56130"
"In post","2021","Food Standards Agency","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","SEO/HEO","Female","320","310","36010","37350"
"In post","2021","Food Standards Agency","SEO/HEO","Male","310","300","36000","37350"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","Female","330","310","25350","24750"
"In post","2021","Foreign, Commonwealth and Development Office","AA/AO","Male","270","270","25800","24750"
"In post","2021","Foreign, Commonwealth and Development Office","EO","Female","560","530","29480","29300"
"In post","2021","Foreign, Commonwealth and Development Office","EO","Male","410","410","29530","29300"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","Female","1570","1510","58990","58030"
"In post","2021","Foreign, Commonwealth and Development Office","G6/G7","Male","1710","1680","60130","58470"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","Female","240","230","85030","78010"
"In post","2021","Foreign, Commonwealth and Development Office","SCS","Male","320","320","87610","78030"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","Female","1520","1480","37650","37560"
"In post","2021","Foreign, Commonwealth and Development Office","SEO/HEO","Male","1670","1650","38240","37560"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Unknown","Male","30","30","[c]","[c]"
"In post","2021","HM Land Registry","AA/AO","Female","1140","1060","22470","22350"
"In post","2021","HM Land Registry","AA/AO","Male","710","690","22460","22350"
"In post","2021","HM Land Registry","EO","Female","1460","1220","27380","27130"
"In post","2021","HM Land Registry","EO","Male","700","660","27750","27130"
"In post","2021","HM Land Registry","G6/G7","Female","170","150","62370","60520"
"In post","2021","HM Land Registry","G6/G7","Male","130","130","62840","60520"
"In post","2021","HM Land Registry","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","SEO/HEO","Female","1040","920","36760","33840"
"In post","2021","HM Land Registry","SEO/HEO","Male","980","910","38100","38450"
"In post","2021","HM Revenue and Customs","AA/AO","Female","12810","10430","20860","20140"
"In post","2021","HM Revenue and Customs","AA/AO","Male","8790","8300","20620","20140"
"In post","2021","HM Revenue and Customs","EO","Female","8370","7440","26520","25560"
"In post","2021","HM Revenue and Customs","EO","Male","7270","7000","26350","25560"
"In post","2021","HM Revenue and Customs","G6/G7","Female","3380","3220","56810","52770"
"In post","2021","HM Revenue and Customs","G6/G7","Male","4320","4190","57670","54590"
"In post","2021","HM Revenue and Customs","SCS","Female","240","230","84670","78070"
"In post","2021","HM Revenue and Customs","SCS","Male","270","260","86460","79930"
"In post","2021","HM Revenue and Customs","SEO/HEO","Female","10250","9580","34750","32030"
"In post","2021","HM Revenue and Customs","SEO/HEO","Male","10780","10430","35140","32770"
"In post","2021","HM Treasury","AA/AO","Female","40","40","[c]","[c]"
"In post","2021","HM Treasury","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","HM Treasury","EO","Female","160","150","27290","26780"
"In post","2021","HM Treasury","EO","Male","80","80","26530","26750"
"In post","2021","HM Treasury","G6/G7","Female","470","450","58320","56600"
"In post","2021","HM Treasury","G6/G7","Male","650","640","59540","56940"
"In post","2021","HM Treasury","SCS","Female","90","80","84300","77000"
"In post","2021","HM Treasury","SCS","Male","100","100","88660","80090"
"In post","2021","HM Treasury","SEO/HEO","Female","540","520","36050","34320"
"In post","2021","HM Treasury","SEO/HEO","Male","520","510","36430","34200"
"In post","2021","Home Office","AA/AO","Female","4840","4080","22060","21430"
"In post","2021","Home Office","AA/AO","Male","3490","3300","21900","21430"
"In post","2021","Home Office","EO","Female","7200","6450","26860","25990"
"In post","2021","Home Office","EO","Male","7170","6730","27050","26160"
"In post","2021","Home Office","G6/G7","Female","1590","1530","60480","57680"
"In post","2021","Home Office","G6/G7","Male","1780","1760","61120","57680"
"In post","2021","Home Office","SCS","Female","130","130","89270","82810"
"In post","2021","Home Office","SCS","Male","160","160","93870","84030"
"In post","2021","Home Office","SEO/HEO","Female","4460","4240","36680","35280"
"In post","2021","Home Office","SEO/HEO","Male","4320","4240","36590","35200"
"In post","2021","Home Office","Unknown","Female","100","100","[c]","[c]"
"In post","2021","Home Office","Unknown","Male","150","150","[c]","[c]"
"In post","2021","Ministry of Defence","AA/AO","Female","6950","6490","21510","21000"
"In post","2021","Ministry of Defence","AA/AO","Male","8960","8810","23820","20920"
"In post","2021","Ministry of Defence","EO","Female","4540","4280","26400","26670"
"In post","2021","Ministry of Defence","EO","Male","6060","5960","27220","26670"
"In post","2021","Ministry of Defence","G6/G7","Female","2200","2060","57800","55220"
"In post","2021","Ministry of Defence","G6/G7","Male","4140","4040","57560","56170"
"In post","2021","Ministry of Defence","SCS","Female","140","140","87750","81450"
"In post","2021","Ministry of Defence","SCS","Male","280","270","95650","88500"
"In post","2021","Ministry of Defence","SEO/HEO","Female","8160","7750","36280","35000"
"In post","2021","Ministry of Defence","SEO/HEO","Male","12160","11950","37470","37320"
"In post","2021","Ministry of Defence","Unknown","Female","830","800","37260","34710"
"In post","2021","Ministry of Defence","Unknown","Male","3270","3250","40190","36970"
"In post","2021","Ministry of Housing, Communities and Local Government","AA/AO","Female","140","120","22270","22560"
"In post","2021","Ministry of Housing, Communities and Local Government","AA/AO","Male","100","100","23100","22560"
"In post","2021","Ministry of Housing, Communities and Local Government","EO","Female","200","190","27790","27850"
"In post","2021","Ministry of Housing, Communities and Local Government","EO","Male","180","180","28310","27850"
"In post","2021","Ministry of Housing, Communities and Local Government","G6/G7","Female","660","620","56760","53870"
"In post","2021","Ministry of Housing, Communities and Local Government","G6/G7","Male","760","730","57680","56430"
"In post","2021","Ministry of Housing, Communities and Local Government","SCS","Female","70","70","84290","76700"
"In post","2021","Ministry of Housing, Communities and Local Government","SCS","Male","70","70","87950","78930"
"In post","2021","Ministry of Housing, Communities and Local Government","SEO/HEO","Female","630","600","35970","34860"
"In post","2021","Ministry of Housing, Communities and Local Government","SEO/HEO","Male","590","590","36720","36340"
"In post","2021","Ministry of Justice","AA/AO","Female","20140","18040","22830","21500"
"In post","2021","Ministry of Justice","AA/AO","Male","20440","19600","26010","25400"
"In post","2021","Ministry of Justice","EO","Female","5240","4940","26660","26410"
"In post","2021","Ministry of Justice","EO","Male","5180","5000","29960","30810"
"In post","2021","Ministry of Justice","G6/G7","Female","1600","1530","60600","58130"
"In post","2021","Ministry of Justice","G6/G7","Male","1420","1400","63410","60770"
"In post","2021","Ministry of Justice","SCS","Female","170","170","88350","83000"
"In post","2021","Ministry of Justice","SCS","Male","160","160","92440","92050"
"In post","2021","Ministry of Justice","SEO/HEO","Female","6900","6580","37000","36260"
"In post","2021","Ministry of Justice","SEO/HEO","Male","5500","5310","39700","38160"
"In post","2021","Ministry of Justice","Unknown","Female","9380","8560","29720","28200"
"In post","2021","Ministry of Justice","Unknown","Male","2770","2670","30920","30210"
"In post","2021","National Crime Agency","AA/AO","Female","200","180","23570","24220"
"In post","2021","National Crime Agency","AA/AO","Male","130","120","24050","24220"
"In post","2021","National Crime Agency","EO","Female","1260","1210","32730","32770"
"In post","2021","National Crime Agency","EO","Male","1210","1200","34240","34520"
"In post","2021","National Crime Agency","G6/G7","Female","120","120","62490","59160"
"In post","2021","National Crime Agency","G6/G7","Male","240","240","65730","64410"
"In post","2021","National Crime Agency","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","SEO/HEO","Female","860","820","43010","43630"
"In post","2021","National Crime Agency","SEO/HEO","Male","1430","1420","45600","44090"
"In post","2021","Northern Ireland Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","SEO/HEO","Female","40","40","[c]","[c]"
"In post","2021","Northern Ireland Office","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2021","Office for Standards in Education","AA/AO","Female","160","140","21230","21160"
"In post","2021","Office for Standards in Education","AA/AO","Male","70","70","21300","21160"
"In post","2021","Office for Standards in Education","EO","Female","120","110","26190","25880"
"In post","2021","Office for Standards in Education","EO","Male","80","80","26440","25880"
"In post","2021","Office for Standards in Education","G6/G7","Female","350","340","72590","75500"
"In post","2021","Office for Standards in Education","G6/G7","Male","230","230","73740","75500"
"In post","2021","Office for Standards in Education","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education","SEO/HEO","Female","540","520","44350","51360"
"In post","2021","Office for Standards in Education","SEO/HEO","Male","190","190","39650","39850"
"In post","2021","Office of Gas and Electricity Markets","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","EO","Female","140","130","26110","25610"
"In post","2021","Office of Gas and Electricity Markets","EO","Male","130","130","25540","25300"
"In post","2021","Office of Gas and Electricity Markets","G6/G7","Female","190","180","58890","57140"
"In post","2021","Office of Gas and Electricity Markets","G6/G7","Male","250","250","61440","61000"
"In post","2021","Office of Gas and Electricity Markets","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","SEO/HEO","Female","170","160","36590","35880"
"In post","2021","Office of Gas and Electricity Markets","SEO/HEO","Male","200","200","36380","35720"
"In post","2021","Office of Qualifications and Examinations Regulation","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","G6/G7","Female","50","50","52800","48350"
"In post","2021","Office of Qualifications and Examinations Regulation","G6/G7","Male","40","40","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","SEO/HEO","Female","70","60","36100","36540"
"In post","2021","Office of Qualifications and Examinations Regulation","SEO/HEO","Male","40","40","[c]","[c]"
"In post","2021","Office of Rail and Road","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","G6/G7","Female","60","50","60990","58700"
"In post","2021","Office of Rail and Road","G6/G7","Male","120","110","62930","62490"
"In post","2021","Office of Rail and Road","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","SEO/HEO","Female","50","40","[c]","[c]"
"In post","2021","Office of Rail and Road","SEO/HEO","Male","50","50","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","EO","Female","70","70","23720","22640"
"In post","2021","Other Cabinet Office Agencies","EO","Male","60","60","24180","23540"
"In post","2021","Other Cabinet Office Agencies","G6/G7","Female","150","140","52790","52630"
"In post","2021","Other Cabinet Office Agencies","G6/G7","Male","150","140","55310","55000"
"In post","2021","Other Cabinet Office Agencies","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","SCS","Male","30","30","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","SEO/HEO","Female","260","240","33240","34800"
"In post","2021","Other Cabinet Office Agencies","SEO/HEO","Male","250","250","34010","34800"
"In post","2021","Scotland Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","AA/AO","Female","3360","3020","22580","22230"
"In post","2021","Scottish Government","AA/AO","Male","2770","2670","23550","22820"
"In post","2021","Scottish Government","EO","Female","2530","2380","29230","29190"
"In post","2021","Scottish Government","EO","Male","2970","2840","31090","30930"
"In post","2021","Scottish Government","G6/G7","Female","1800","1700","62250","61010"
"In post","2021","Scottish Government","G6/G7","Male","1460","1430","62980","61010"
"In post","2021","Scottish Government","SCS","Female","110","110","90100","83230"
"In post","2021","Scottish Government","SCS","Male","150","140","88970","83230"
"In post","2021","Scottish Government","SEO/HEO","Female","3760","3530","38930","37940"
"In post","2021","Scottish Government","SEO/HEO","Male","3330","3200","39850","39500"
"In post","2021","Scottish Government","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Government","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","AA/AO","Female","40","30","[c]","[c]"
"In post","2021","The National Archives","AA/AO","Male","60","50","21000","20650"
"In post","2021","The National Archives","EO","Female","40","40","[c]","[c]"
"In post","2021","The National Archives","EO","Male","30","30","[c]","[c]"
"In post","2021","The National Archives","G6/G7","Female","50","50","[c]","[c]"
"In post","2021","The National Archives","G6/G7","Male","40","40","[c]","[c]"
"In post","2021","The National Archives","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","SEO/HEO","Female","160","150","34600","34260"
"In post","2021","The National Archives","SEO/HEO","Male","120","120","37650","36000"
"In post","2021","UK Export Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","G6/G7","Female","40","30","[c]","[c]"
"In post","2021","UK Export Finance","G6/G7","Male","90","90","67720","67880"
"In post","2021","UK Export Finance","SCS","Female","[c]","[c]","[c]","[c]"
