"Status","Year","Disability","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","White","310","260","22830","21440"
"In post","2021","Declared disabled","Digital, Data & Technology","Asian","60","50","37220","32970"
"In post","2021","Declared disabled","Digital, Data & Technology","Black","30","30","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Undeclared","50","50","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","White","890","850","39030","35900"
"In post","2021","Declared disabled","Finance","Asian","40","40","[c]","[c]"
"In post","2021","Declared disabled","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","White","670","620","37740","33140"
"In post","2021","Declared disabled","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","White","130","120","25520","21050"
"In post","2021","Declared disabled","Human Resources","Asian","60","60","40290","36220"
"In post","2021","Declared disabled","Human Resources","Black","40","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Mixed","40","40","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","White","1020","960","38430","33300"
"In post","2021","Declared disabled","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","White","70","70","44640","40230"
"In post","2021","Declared disabled","Legal","Asian","110","100","42080","38190"
"In post","2021","Declared disabled","Legal","Black","60","60","40580","35020"
"In post","2021","Declared disabled","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Mixed","40","30","[c]","[c]"
"In post","2021","Declared disabled","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","50","50","[c]","[c]"
"In post","2021","Declared disabled","Legal","White","940","860","44230","42520"
"In post","2021","Declared disabled","No function","Asian","790","740","30980","28200"
"In post","2021","Declared disabled","No function","Black","660","630","31660","29570"
"In post","2021","Declared disabled","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Mixed","450","430","32140","30170"
"In post","2021","Declared disabled","No function","Other ethnicity","140","140","34900","32650"
"In post","2021","Declared disabled","No function","Undeclared","610","560","31920","29270"
"In post","2021","Declared disabled","No function","Unknown","600","530","30640","28200"
"In post","2021","Declared disabled","No function","White","14230","13080","31060","27490"
"In post","2021","Declared disabled","Project Delivery","Asian","90","80","41140","38630"
"In post","2021","Declared disabled","Project Delivery","Black","60","60","36640","33260"
"In post","2021","Declared disabled","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Mixed","60","50","38890","36800"
"In post","2021","Declared disabled","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Undeclared","140","130","40690","39980"
"In post","2021","Declared disabled","Project Delivery","Unknown","70","60","38390","33840"
"In post","2021","Declared disabled","Project Delivery","White","2200","2110","39170","36260"
"In post","2021","Declared disabled","Property","Asian","30","30","[c]","[c]"
"In post","2021","Declared disabled","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared disabled","Property","Unknown","50","40","[c]","[c]"
"In post","2021","Declared disabled","Property","White","590","550","34220","32130"
"In post","2021","Declared disabled","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Undeclared","40","40","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","White","540","520","31690","28650"
"In post","2021","Declared disabled","Unknown","Asian","1400","1260","29150","27570"
"In post","2021","Declared disabled","Unknown","Black","810","750","30180","29370"
"In post","2021","Declared disabled","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Mixed","480","440","29510","27570"
"In post","2021","Declared disabled","Unknown","Other ethnicity","130","130","30140","27570"
"In post","2021","Declared disabled","Unknown","Undeclared","970","860","28210","27570"
"In post","2021","Declared disabled","Unknown","Unknown","280","250","29950","27570"
"In post","2021","Declared disabled","Unknown","White","17410","15530","28540","27570"
"In post","2021","Declared non-disabled","Analysis","Asian","320","310","43410","40000"
"In post","2021","Declared non-disabled","Analysis","Black","130","130","40080","37400"
"In post","2021","Declared non-disabled","Analysis","Chinese","50","50","46870","42890"
"In post","2021","Declared non-disabled","Analysis","Mixed","130","130","43290","40180"
"In post","2021","Declared non-disabled","Analysis","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","Undeclared","90","90","47460","42250"
"In post","2021","Declared non-disabled","Analysis","Unknown","90","80","40830","37400"
"In post","2021","Declared non-disabled","Analysis","White","3700","3540","44740","39850"
"In post","2021","Declared non-disabled","Commercial","Asian","210","210","41860","35670"
"In post","2021","Declared non-disabled","Commercial","Black","140","130","40490","36500"
"In post","2021","Declared non-disabled","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Mixed","70","60","41050","34800"
"In post","2021","Declared non-disabled","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Undeclared","100","100","41690","36760"
"In post","2021","Declared non-disabled","Commercial","Unknown","130","130","54640","39650"
"In post","2021","Declared non-disabled","Commercial","White","3300","3190","43240","38630"
"In post","2021","Declared non-disabled","Communications","Asian","400","390","32850","29810"
"In post","2021","Declared non-disabled","Communications","Black","140","140","32920","29350"
"In post","2021","Declared non-disabled","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","Mixed","130","120","36870","33120"
"In post","2021","Declared non-disabled","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","Undeclared","80","80","34770","31810"
"In post","2021","Declared non-disabled","Communications","Unknown","120","120","34700","31040"
"In post","2021","Declared non-disabled","Communications","White","3800","3650","36160","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Asian","450","440","32760","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Black","190","180","31710","30360"
"In post","2021","Declared non-disabled","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Mixed","100","100","34760","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Undeclared","110","100","36620","32520"
"In post","2021","Declared non-disabled","Counter Fraud","Unknown","150","140","38010","36060"
"In post","2021","Declared non-disabled","Counter Fraud","White","4880","4590","34640","31810"
"In post","2021","Declared non-disabled","Debt","Asian","270","240","23260","21440"
"In post","2021","Declared non-disabled","Debt","Black","110","100","25030","24120"
"In post","2021","Declared non-disabled","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","Undeclared","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","Unknown","60","50","24490","24670"
"In post","2021","Declared non-disabled","Debt","White","1780","1590","24250","21440"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Asian","600","590","42030","38000"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Black","290","290","38780","34560"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Chinese","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Mixed","170","170","43250","39780"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Other ethnicity","70","70","43970","39650"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Undeclared","270","260","42950","40450"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Unknown","330","320","40110","39650"
"In post","2021","Declared non-disabled","Digital, Data & Technology","White","6750","6520","42500","38650"
"In post","2021","Declared non-disabled","Finance","Asian","590","570","38630","35300"
"In post","2021","Declared non-disabled","Finance","Black","290","290","39830","36800"
"In post","2021","Declared non-disabled","Finance","Chinese","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Mixed","120","120","42360","39750"
"In post","2021","Declared non-disabled","Finance","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Undeclared","130","120","40750","37050"
"In post","2021","Declared non-disabled","Finance","Unknown","110","100","35580","32870"
"In post","2021","Declared non-disabled","Finance","White","5010","4730","40250","36160"
"In post","2021","Declared non-disabled","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","Undeclared","60","50","27590","26370"
"In post","2021","Declared non-disabled","Grants Management","Unknown","670","630","24140","21050"
"In post","2021","Declared non-disabled","Grants Management","White","920","820","26290","25100"
"In post","2021","Declared non-disabled","Human Resources","Asian","340","320","36750","32960"
"In post","2021","Declared non-disabled","Human Resources","Black","230","220","37170","33870"
"In post","2021","Declared non-disabled","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Mixed","120","110","39560","35060"
"In post","2021","Declared non-disabled","Human Resources","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Undeclared","100","90","34860","33300"
"In post","2021","Declared non-disabled","Human Resources","Unknown","110","100","39490","34770"
"In post","2021","Declared non-disabled","Human Resources","White","5390","5100","38350","33300"
"In post","2021","Declared non-disabled","Internal Audit","Asian","60","60","45850","44020"
"In post","2021","Declared non-disabled","Internal Audit","Black","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","White","440","420","46770","43990"
"In post","2021","Declared non-disabled","Legal","Asian","840","790","43280","43090"
"In post","2021","Declared non-disabled","Legal","Black","490","470","42390","36240"
"In post","2021","Declared non-disabled","Legal","Chinese","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Mixed","250","230","48030","50880"
"In post","2021","Declared non-disabled","Legal","Other ethnicity","100","90","51230","52660"
"In post","2021","Declared non-disabled","Legal","Undeclared","180","170","46570","47100"
"In post","2021","Declared non-disabled","Legal","Unknown","420","390","44690","42620"
"In post","2021","Declared non-disabled","Legal","White","6840","6290","48010","50500"
"In post","2021","Declared non-disabled","No function","Asian","7140","6700","32250","28220"
"In post","2021","Declared non-disabled","No function","Black","4340","4190","31850","29570"
"In post","2021","Declared non-disabled","No function","Chinese","350","330","36070","32300"
"In post","2021","Declared non-disabled","No function","Mixed","2330","2240","35270","31650"
"In post","2021","Declared non-disabled","No function","Other ethnicity","660","630","36550","32690"
"In post","2021","Declared non-disabled","No function","Undeclared","2390","2250","34280","30780"
"In post","2021","Declared non-disabled","No function","Unknown","3220","2940","33540","30400"
"In post","2021","Declared non-disabled","No function","White","92960","86510","33740","29750"
"In post","2021","Declared non-disabled","Project Delivery","Asian","890","870","41440","38340"
"In post","2021","Declared non-disabled","Project Delivery","Black","510","510","39010","36530"
"In post","2021","Declared non-disabled","Project Delivery","Chinese","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Project Delivery","Mixed","340","340","42030","38570"
"In post","2021","Declared non-disabled","Project Delivery","Other ethnicity","100","100","43550","39830"
"In post","2021","Declared non-disabled","Project Delivery","Undeclared","500","480","41820","39980"
"In post","2021","Declared non-disabled","Project Delivery","Unknown","470","460","40570","37860"
"In post","2021","Declared non-disabled","Project Delivery","White","16850","16280","41530","38630"
"In post","2021","Declared non-disabled","Property","Asian","240","230","33830","30680"
"In post","2021","Declared non-disabled","Property","Black","110","100","36190","33300"
"In post","2021","Declared non-disabled","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Mixed","90","90","33200","32480"
"In post","2021","Declared non-disabled","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Property","Undeclared","150","150","36640","33300"
"In post","2021","Declared non-disabled","Property","Unknown","290","260","33850","29710"
"In post","2021","Declared non-disabled","Property","White","5410","5170","35500","33250"
"In post","2021","Declared non-disabled","Security","Asian","160","160","31810","30230"
"In post","2021","Declared non-disabled","Security","Black","80","80","31840","28000"
"In post","2021","Declared non-disabled","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Mixed","60","60","36830","34080"
"In post","2021","Declared non-disabled","Security","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Security","Undeclared","140","140","33380","33300"
"In post","2021","Declared non-disabled","Security","Unknown","120","120","32290","28890"
"In post","2021","Declared non-disabled","Security","White","4730","4620","31330","26750"
"In post","2021","Declared non-disabled","Unknown","Asian","10460","9570","29480","27570"
"In post","2021","Declared non-disabled","Unknown","Black","4990","4740","30470","29290"
"In post","2021","Declared non-disabled","Unknown","Chinese","310","290","32310","28160"
"In post","2021","Declared non-disabled","Unknown","Mixed","2080","1960","31160","27570"
"In post","2021","Declared non-disabled","Unknown","Other ethnicity","630","590","31320","28670"
"In post","2021","Declared non-disabled","Unknown","Undeclared","4590","4090","29690","27570"
"In post","2021","Declared non-disabled","Unknown","Unknown","3310","2950","27930","27570"
"In post","2021","Declared non-disabled","Unknown","White","95680","87520","30780","27570"
"In post","2021","Undeclared","Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Analysis","Undeclared","100","100","43390","41780"
"In post","2021","Undeclared","Analysis","Unknown","80","80","42620","42470"
"In post","2021","Undeclared","Analysis","White","160","160","43190","40480"
"In post","2021","Undeclared","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Undeclared","110","110","40040","37530"
"In post","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","White","240","230","43610","39790"
"In post","2021","Undeclared","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","Undeclared","100","100","32800","30980"
"In post","2021","Undeclared","Communications","Unknown","50","50","47490","43360"
"In post","2021","Undeclared","Communications","White","180","170","34760","28150"
"In post","2021","Undeclared","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Undeclared","350","330","36680","32100"
"In post","2021","Undeclared","Counter Fraud","Unknown","40","30","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","White","230","210","34860","31810"
"In post","2021","Undeclared","Debt","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","Undeclared","80","70","25130","21440"
"In post","2021","Undeclared","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","White","100","90","23710","21440"
"In post","2021","Undeclared","Digital, Data & Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Undeclared","260","250","41130","38630"
"In post","2021","Undeclared","Digital, Data & Technology","Unknown","50","40","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","White","340","330","40200","38210"
"In post","2021","Undeclared","Finance","Asian","40","40","[c]","[c]"
"In post","2021","Undeclared","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","Undeclared","170","160","39420","35330"
"In post","2021","Undeclared","Finance","Unknown","40","40","[c]","[c]"
"In post","2021","Undeclared","Finance","White","250","230","38720","34400"
"In post","2021","Undeclared","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","White","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Undeclared","120","110","37410","31820"
"In post","2021","Undeclared","Human Resources","Unknown","50","50","[c]","[c]"
"In post","2021","Undeclared","Human Resources","White","290","270","37050","33290"
"In post","2021","Undeclared","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","White","30","30","[c]","[c]"
"In post","2021","Undeclared","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Undeclared","100","100","49150","46530"
"In post","2021","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","White","180","170","50620","50940"
"In post","2021","Undeclared","No function","Asian","460","430","32650","29570"
"In post","2021","Undeclared","No function","Black","430","400","32300","31650"
"In post","2021","Undeclared","No function","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","Mixed","210","200","33250","31650"
"In post","2021","Undeclared","No function","Other ethnicity","70","60","34280","31650"
"In post","2021","Undeclared","No function","Undeclared","2630","2470","35270","31810"
"In post","2021","Undeclared","No function","Unknown","1320","1230","34250","31650"
"In post","2021","Undeclared","No function","White","8720","7980","31710","31650"
"In post","2021","Undeclared","Project Delivery","Asian","40","40","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Undeclared","680","660","42210","40300"
"In post","2021","Undeclared","Project Delivery","Unknown","110","110","42360","38640"
"In post","2021","Undeclared","Project Delivery","White","910","870","38160","34300"
"In post","2021","Undeclared","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","Undeclared","220","210","37990","33630"
"In post","2021","Undeclared","Property","Unknown","100","90","34180","30770"
"In post","2021","Undeclared","Property","White","270","260","35010","33300"
"In post","2021","Undeclared","Security","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","Mixed","[c]","[c]","[c]","[c]"
