"Status","Year","Age","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Male","White","300","290","21360","21250"
"In post","2022","16-19","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Female","Asian","3800","3710","29780","27570"
"In post","2022","20-29","Female","Black","1660","1640","30610","30100"
"In post","2022","20-29","Female","Mixed","1460","1420","30980","28910"
"In post","2022","20-29","Female","Other ethnicity","310","300","30810","29000"
"In post","2022","20-29","Female","Undeclared","480","460","30710","29080"
"In post","2022","20-29","Female","Unknown","11130","10900","28710","27060"
"In post","2022","20-29","Female","White","28230","27730","29700","27570"
"In post","2022","20-29","Male","Asian","3110","3070","29930","27570"
"In post","2022","20-29","Male","Black","710","700","30420","29290"
"In post","2022","20-29","Male","Mixed","980","970","31700","29290"
"In post","2022","20-29","Male","Other ethnicity","210","210","33280","31020"
"In post","2022","20-29","Male","Undeclared","870","860","32230","30210"
"In post","2022","20-29","Male","Unknown","10140","10060","29210","27230"
"In post","2022","20-29","Male","White","21490","21380","30160","27570"
"In post","2022","20-29","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Female","Asian","4760","4360","34000","30450"
"In post","2022","30-39","Female","Black","2280","2170","33340","31060"
"In post","2022","30-39","Female","Mixed","1550","1450","36360","32330"
"In post","2022","30-39","Female","Other ethnicity","360","340","37960","33430"
"In post","2022","30-39","Female","Undeclared","1270","1170","34950","31060"
"In post","2022","30-39","Female","Unknown","9540","8830","33860","29230"
"In post","2022","30-39","Female","White","40060","36750","34680","30830"
"In post","2022","30-39","Male","Asian","4460","4380","34520","31060"
"In post","2022","30-39","Male","Black","1250","1230","33460","31060"
"In post","2022","30-39","Male","Mixed","1070","1050","38420","33900"
"In post","2022","30-39","Male","Other ethnicity","270","260","38220","34550"
"In post","2022","30-39","Male","Undeclared","2180","2160","37180","33370"
"In post","2022","30-39","Male","Unknown","9620","9510","34920","31060"
"In post","2022","30-39","Male","White","32880","32620","36160","32760"
"In post","2022","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Female","Asian","5150","4550","35200","30540"
"In post","2022","40-49","Female","Black","2350","2210","34590","31060"
"In post","2022","40-49","Female","Mixed","1140","1050","38650","33300"
"In post","2022","40-49","Female","Other ethnicity","340","310","37420","31880"
"In post","2022","40-49","Female","Undeclared","1970","1780","34940","30860"
"In post","2022","40-49","Female","Unknown","7150","6510","36210","30210"
"In post","2022","40-49","Female","White","47200","42450","36140","30950"
"In post","2022","40-49","Male","Asian","3840","3750","36160","31060"
"In post","2022","40-49","Male","Black","1500","1480","35180","31880"
"In post","2022","40-49","Male","Mixed","770","760","40200","35300"
"In post","2022","40-49","Male","Other ethnicity","300","290","40380","34750"
"In post","2022","40-49","Male","Undeclared","2860","2820","38150","33520"
"In post","2022","40-49","Male","Unknown","6500","6390","38960","33290"
"In post","2022","40-49","Male","White","35410","35030","39170","33520"
"In post","2022","40-49","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Female","Asian","3600","3280","33640","29500"
"In post","2022","50-59","Female","Black","3520","3350","33690","31020"
"In post","2022","50-59","Female","Mixed","940","870","35350","30620"
"In post","2022","50-59","Female","Other ethnicity","290","270","37350","31090"
"In post","2022","50-59","Female","Undeclared","3310","3010","32800","28670"
"In post","2022","50-59","Female","Unknown","6410","5850","34210","27570"
"In post","2022","50-59","Female","White","59650","54180","33370","27570"
"In post","2022","50-59","Male","Asian","2460","2400","35520","30810"
"In post","2022","50-59","Male","Black","1990","1950","35250","31650"
"In post","2022","50-59","Male","Mixed","720","700","38600","33520"
"In post","2022","50-59","Male","Other ethnicity","320","320","38310","33370"
"In post","2022","50-59","Male","Undeclared","4360","4240","37330","33370"
"In post","2022","50-59","Male","Unknown","6830","6580","38410","33370"
"In post","2022","50-59","Male","White","48640","47420","38180","33300"
"In post","2022","50-59","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Female","Asian","960","790","30550","27770"
"In post","2022","60-64","Female","Black","880","790","30670","28760"
"In post","2022","60-64","Female","Mixed","230","200","31000","27570"
"In post","2022","60-64","Female","Other ethnicity","90","80","32910","30390"
"In post","2022","60-64","Female","Undeclared","980","790","30880","27570"
"In post","2022","60-64","Female","Unknown","1680","1380","29620","24900"
"In post","2022","60-64","Female","White","16800","13250","29500","26990"
"In post","2022","60-64","Male","Asian","650","590","34580","29500"
"In post","2022","60-64","Male","Black","540","510","33420","31020"
"In post","2022","60-64","Male","Mixed","170","160","38930","33580"
"In post","2022","60-64","Male","Other ethnicity","100","80","40940","33370"
"In post","2022","60-64","Male","Undeclared","1220","1040","35580","32320"
"In post","2022","60-64","Male","Unknown","1850","1610","34900","31000"
"In post","2022","60-64","Male","White","14430","12360","35140","30780"
"In post","2022","65+","Female","Asian","390","290","28680","26400"
"In post","2022","65+","Female","Black","220","190","29910","26400"
"In post","2022","65+","Female","Mixed","60","50","28510","27120"
"In post","2022","65+","Female","Other ethnicity","30","30","[c]","[c]"
"In post","2022","65+","Female","Undeclared","290","210","28470","26950"
"In post","2022","65+","Female","Unknown","490","360","30740","26130"
"In post","2022","65+","Female","White","4420","3260","28250","25260"
"In post","2022","65+","Male","Asian","370","300","32880","28920"
"In post","2022","65+","Male","Black","180","160","30650","28540"
"In post","2022","65+","Male","Mixed","70","60","35380","30840"
"In post","2022","65+","Male","Other ethnicity","40","30","[c]","[c]"
"In post","2022","65+","Male","Undeclared","420","320","35960","31880"
"In post","2022","65+","Male","Unknown","660","510","33790","29080"
"In post","2022","65+","Male","White","4950","3910","33390","27930"
"In post","2022","Unknown","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Female","White","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Male","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Male","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Asian","170","160","24530","23690"
"Leaver CS","2021","20-29","Female","Black","90","80","25440","25110"
"Leaver CS","2021","20-29","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Mixed","80","80","25850","23970"
"Leaver CS","2021","20-29","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Female","Undeclared","80","70","21610","19130"
"Leaver CS","2021","20-29","Female","Unknown","1070","1010","24850","22680"
"Leaver CS","2021","20-29","Female","White","1300","1250","25280","22290"
"Leaver CS","2021","20-29","Male","Asian","170","160","26270","25110"
"Leaver CS","2021","20-29","Male","Black","50","50","[c]","[c]"
"Leaver CS","2021","20-29","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Mixed","50","40","[c]","[c]"
"Leaver CS","2021","20-29","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Male","Undeclared","100","90","24670","20690"
"Leaver CS","2021","20-29","Male","Unknown","1010","960","25930","24490"
"Leaver CS","2021","20-29","Male","White","1170","1140","26190","24180"
"Leaver CS","2021","20-29","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Asian","120","110","31040","27710"
"Leaver CS","2021","30-39","Female","Black","70","70","[c]","[c]"
"Leaver CS","2021","30-39","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Mixed","50","50","[c]","[c]"
"Leaver CS","2021","30-39","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","Undeclared","60","50","31070","26890"
"Leaver CS","2021","30-39","Female","Unknown","650","580","32060","27570"
"Leaver CS","2021","30-39","Female","White","1150","1000","32750","27710"
"Leaver CS","2021","30-39","Male","Asian","120","120","31400","27760"
"Leaver CS","2021","30-39","Male","Black","60","50","[c]","[c]"
"Leaver CS","2021","30-39","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Male","Mixed","60","50","[c]","[c]"
"Leaver CS","2021","30-39","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Male","Undeclared","80","70","38050","34570"
"Leaver CS","2021","30-39","Male","Unknown","630","600","33660","29930"
"Leaver CS","2021","30-39","Male","White","970","940","36080","31840"
"Leaver CS","2021","30-39","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Asian","110","100","37390","30270"
"Leaver CS","2021","40-49","Female","Black","60","50","[c]","[c]"
"Leaver CS","2021","40-49","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Mixed","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Female","Undeclared","70","60","32190","26010"
"Leaver CS","2021","40-49","Female","Unknown","500","450","35670","27600"
"Leaver CS","2021","40-49","Female","White","1140","970","35390","28170"
"Leaver CS","2021","40-49","Male","Asian","90","80","38620","34300"
"Leaver CS","2021","40-49","Male","Black","60","50","[c]","[c]"
"Leaver CS","2021","40-49","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Male","Undeclared","70","70","[c]","[c]"
"Leaver CS","2021","40-49","Male","Unknown","420","400","36670","29010"
"Leaver CS","2021","40-49","Male","White","810","770","38190","30980"
"Leaver CS","2021","40-49","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Asian","110","90","36730","28490"
"Leaver CS","2021","50-59","Female","Black","80","70","37390","29570"
"Leaver CS","2021","50-59","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","Undeclared","190","160","32660","27150"
"Leaver CS","2021","50-59","Female","Unknown","560","490","33950","27570"
"Leaver CS","2021","50-59","Female","White","2510","2150","32970","27570"
"Leaver CS","2021","50-59","Male","Asian","60","50","[c]","[c]"
"Leaver CS","2021","50-59","Male","Black","40","40","[c]","[c]"
"Leaver CS","2021","50-59","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Male","Undeclared","200","180","38250","34530"
"Leaver CS","2021","50-59","Male","Unknown","560","530","39570","32970"
"Leaver CS","2021","50-59","Male","White","2020","1910","39280","32610"
"Leaver CS","2021","50-59","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Asian","70","50","[c]","[c]"
"Leaver CS","2021","60-64","Female","Black","30","30","[c]","[c]"
"Leaver CS","2021","60-64","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","Undeclared","110","90","29930","28150"
"Leaver CS","2021","60-64","Female","Unknown","270","210","35540","26560"
"Leaver CS","2021","60-64","Female","White","1900","1450","32630","27130"
"Leaver CS","2021","60-64","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Male","Undeclared","190","160","35740","33350"
"Leaver CS","2021","60-64","Male","Unknown","360","320","41660","35220"
"Leaver CS","2021","60-64","Male","White","1690","1470","38020","32670"
"Leaver CS","2021","60-64","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Asian","80","50","[c]","[c]"
"Leaver CS","2021","65+","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","Undeclared","80","50","26000","23350"
"Leaver CS","2021","65+","Female","Unknown","190","130","32870","25710"
"Leaver CS","2021","65+","Female","White","1390","950","26030","22070"
"Leaver CS","2021","65+","Male","Asian","40","30","[c]","[c]"
"Leaver CS","2021","65+","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Male","Undeclared","90","70","33760","27570"
"Leaver CS","2021","65+","Male","Unknown","210","170","35760","31750"
"Leaver CS","2021","65+","Male","White","1430","1080","31200","26780"
"Leaver CS","2021","65+","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Black","[c]","[c]","[c]","[c]"
