"Status","Year","Sexual_orientation","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","West Lothian","90","80","21960","21010"
"In post","2021","Heterosexual / straight","AA/AO","West Northamptonshire","340","310","21510","20100"
"In post","2021","Heterosexual / straight","AA/AO","West Surrey","520","490","24660","24370"
"In post","2021","Heterosexual / straight","AA/AO","West Sussex (North East)","120","100","22260","22360"
"In post","2021","Heterosexual / straight","AA/AO","West Sussex (South West)","200","180","21690","21010"
"In post","2021","Heterosexual / straight","AA/AO","Westminster","1710","1630","24420","24270"
"In post","2021","Heterosexual / straight","AA/AO","Wiltshire","940","900","22090","20920"
"In post","2021","Heterosexual / straight","AA/AO","Wirral","520","440","21020","21010"
"In post","2021","Heterosexual / straight","AA/AO","Wolverhampton","210","180","20240","20830"
"In post","2021","Heterosexual / straight","AA/AO","Worcestershire","720","680","23630","22850"
"In post","2021","Heterosexual / straight","AA/AO","York","340","310","21700","21050"
"In post","2021","Heterosexual / straight","EO","Aberdeen City and Aberdeenshire","360","330","28770","27570"
"In post","2021","Heterosexual / straight","EO","Angus and Dundee City","340","310","27400","27570"
"In post","2021","Heterosexual / straight","EO","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Barking & Dagenham and Havering","250","230","30980","31060"
"In post","2021","Heterosexual / straight","EO","Barnet","310","290","29830","31060"
"In post","2021","Heterosexual / straight","EO","Barnsley, Doncaster and Rotherham","620","550","28210","27570"
"In post","2021","Heterosexual / straight","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","2000","1890","24740","25560"
"In post","2021","Heterosexual / straight","EO","Bedford","200","180","27580","27570"
"In post","2021","Heterosexual / straight","EO","Belfast","530","490","26370","25560"
"In post","2021","Heterosexual / straight","EO","Berkshire","540","510","30760","29290"
"In post","2021","Heterosexual / straight","EO","Bexley and Greenwich","360","340","32080","31060"
"In post","2021","Heterosexual / straight","EO","Birmingham","2050","1900","26620","27570"
"In post","2021","Heterosexual / straight","EO","Blackburn with Darwen","150","140","27490","27570"
"In post","2021","Heterosexual / straight","EO","Blackpool","1140","1020","27430","27570"
"In post","2021","Heterosexual / straight","EO","Bournemouth and Poole","230","200","26980","27570"
"In post","2021","Heterosexual / straight","EO","Bradford","580","520","26700","27570"
"In post","2021","Heterosexual / straight","EO","Breckland and South Norfolk","90","90","28750","27570"
"In post","2021","Heterosexual / straight","EO","Brent","170","160","30730","31060"
"In post","2021","Heterosexual / straight","EO","Bridgend and Neath Port Talbot","210","190","27920","27570"
"In post","2021","Heterosexual / straight","EO","Brighton and Hove","150","140","27420","27570"
"In post","2021","Heterosexual / straight","EO","Bristol, City of","900","820","26720","27530"
"In post","2021","Heterosexual / straight","EO","Bromley","150","140","31050","31060"
"In post","2021","Heterosexual / straight","EO","Buckinghamshire CC","350","340","28530","27860"
"In post","2021","Heterosexual / straight","EO","Caithness and Sutherland and Ross and Cromarty","60","50","29010","27570"
"In post","2021","Heterosexual / straight","EO","Calderdale and Kirklees","380","350","27320","27570"
"In post","2021","Heterosexual / straight","EO","Cambridgeshire CC","500","470","27700","27380"
"In post","2021","Heterosexual / straight","EO","Camden and City of London","570","540","29540","29570"
"In post","2021","Heterosexual / straight","EO","Cardiff and Vale of Glamorgan","2200","2050","26980","27460"
"In post","2021","Heterosexual / straight","EO","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Central Bedfordshire","100","100","28050","26930"
"In post","2021","Heterosexual / straight","EO","Central Hampshire","550","530","27030","26670"
"In post","2021","Heterosexual / straight","EO","Central Valleys","400","370","27860","27570"
"In post","2021","Heterosexual / straight","EO","Cheshire East","150","140","27600","27570"
"In post","2021","Heterosexual / straight","EO","Cheshire West and Chester","130","110","27240","27570"
"In post","2021","Heterosexual / straight","EO","Chorley and West Lancashire","220","200","29530","27570"
"In post","2021","Heterosexual / straight","EO","City of Edinburgh","1450","1390","28260","27570"
"In post","2021","Heterosexual / straight","EO","Clackmannanshire and Fife","330","300","28590","27570"
"In post","2021","Heterosexual / straight","EO","Conwy and Denbighshire","130","120","27810","27570"
"In post","2021","Heterosexual / straight","EO","Cornwall and Isles of Scilly","410","380","27250","27570"
"In post","2021","Heterosexual / straight","EO","Coventry","390","360","26880","27400"
"In post","2021","Heterosexual / straight","EO","Croydon","1850","1740","29570","29370"
"In post","2021","Heterosexual / straight","EO","Darlington","140","130","26280","26000"
"In post","2021","Heterosexual / straight","EO","Derby","200","180","27330","27570"
"In post","2021","Heterosexual / straight","EO","Devon CC","760","700","27060","27570"
"In post","2021","Heterosexual / straight","EO","Dorset CC","380","350","28280","27380"
"In post","2021","Heterosexual / straight","EO","Dudley","300","270","27310","27570"
"In post","2021","Heterosexual / straight","EO","Dumfries and Galloway","110","100","29500","28120"
"In post","2021","Heterosexual / straight","EO","Durham CC","860","780","27690","27130"
"In post","2021","Heterosexual / straight","EO","Ealing","230","210","31150","31060"
"In post","2021","Heterosexual / straight","EO","East Ayrshire and North Ayrshire mainland","350","320","25920","27570"
"In post","2021","Heterosexual / straight","EO","East Cumbria","210","200","24880","25200"
"In post","2021","Heterosexual / straight","EO","East Derbyshire","140","120","27380","27570"
"In post","2021","Heterosexual / straight","EO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","390","370","30640","27570"
"In post","2021","Heterosexual / straight","EO","East Kent","1730","1570","27240","26920"
"In post","2021","Heterosexual / straight","EO","East Lancashire","140","130","27330","27570"
"In post","2021","Heterosexual / straight","EO","East Lothian and Midlothian","60","50","27420","27570"
"In post","2021","Heterosexual / straight","EO","East Merseyside","340","300","27450","27570"
"In post","2021","Heterosexual / straight","EO","East Riding of Yorkshire","450","430","28360","26930"
"In post","2021","Heterosexual / straight","EO","East Surrey","150","140","31350","29290"
"In post","2021","Heterosexual / straight","EO","East Sussex CC","490","450","27400","27570"
"In post","2021","Heterosexual / straight","EO","Enfield","150","140","30960","31060"
"In post","2021","Heterosexual / straight","EO","Essex Haven Gateway","370","340","29710","29290"
"In post","2021","Heterosexual / straight","EO","Essex Thames Gateway","280","250","29440","29290"
"In post","2021","Heterosexual / straight","EO","Falkirk","350","320","28380","27570"
"In post","2021","Heterosexual / straight","EO","Flintshire and Wrexham","350","320","27910","27570"
"In post","2021","Heterosexual / straight","EO","Glasgow City","1980","1840","27090","27570"
"In post","2021","Heterosexual / straight","EO","Gloucestershire","330","290","27470","27570"
"In post","2021","Heterosexual / straight","EO","Greater Manchester North East","400","380","27600","27570"
"In post","2021","Heterosexual / straight","EO","Greater Manchester North West","430","390","27430","27570"
"In post","2021","Heterosexual / straight","EO","Greater Manchester South East","260","240","27180","27570"
"In post","2021","Heterosexual / straight","EO","Greater Manchester South West","970","920","25880","25560"
"In post","2021","Heterosexual / straight","EO","Gwent Valleys","330","300","27490","27570"
"In post","2021","Heterosexual / straight","EO","Gwynedd","130","120","27560","27570"
"In post","2021","Heterosexual / straight","EO","Hackney and Newham","650","610","30860","31060"
"In post","2021","Heterosexual / straight","EO","Haringey and Islington","300","290","31060","31060"
"In post","2021","Heterosexual / straight","EO","Harrow and Hillingdon","1540","1360","29520","29080"
"In post","2021","Heterosexual / straight","EO","Hartlepool and Stockton-on-Tees","350","320","28100","27570"
"In post","2021","Heterosexual / straight","EO","Heart of Essex","230","220","28930","29290"
"In post","2021","Heterosexual / straight","EO","Herefordshire, County of","110","100","28020","27570"
"In post","2021","Heterosexual / straight","EO","Hertfordshire","640","600","29890","29290"
"In post","2021","Heterosexual / straight","EO","Hounslow and Richmond upon Thames","680","640","29980","29250"
"In post","2021","Heterosexual / straight","EO","Inverclyde, East Renfrewshire and Renfrewshire","300","280","28350","27570"
"In post","2021","Heterosexual / straight","EO","Inverness and Nairn and Moray, Badenoch and Strathspey","230","210","28370","27570"
"In post","2021","Heterosexual / straight","EO","Isle of Anglesey","90","90","26670","27370"
"In post","2021","Heterosexual / straight","EO","Isle of Wight","150","130","28270","27570"
"In post","2021","Heterosexual / straight","EO","Kensington & Chelsea and Hammersmith & Fulham","170","170","31970","31060"
"In post","2021","Heterosexual / straight","EO","Kent Thames Gateway","290","280","30240","29290"
"In post","2021","Heterosexual / straight","EO","Kingston upon Hull, City of","450","400","27340","27570"
"In post","2021","Heterosexual / straight","EO","Lambeth","880","840","32360","31880"
"In post","2021","Heterosexual / straight","EO","Lancaster and Wyre","270","250","27520","26930"
"In post","2021","Heterosexual / straight","EO","Leeds","1860","1740","26610","26850"
"In post","2021","Heterosexual / straight","EO","Leicester","440","410","27000","27570"
"In post","2021","Heterosexual / straight","EO","Leicestershire CC and Rutland","390","360","27420","27370"
"In post","2021","Heterosexual / straight","EO","Lewisham and Southwark","400","390","29970","31060"
"In post","2021","Heterosexual / straight","EO","Lincolnshire","540","500","27930","27570"
"In post","2021","Heterosexual / straight","EO","Lisburn and Castlereagh","90","90","27310","27370"
"In post","2021","Heterosexual / straight","EO","Liverpool","2330","2130","25610","25220"
"In post","2021","Heterosexual / straight","EO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","70","60","28390","27570"
"In post","2021","Heterosexual / straight","EO","Luton","220","190","27540","27570"
"In post","2021","Heterosexual / straight","EO","Manchester","1610","1530","26420","26060"
"In post","2021","Heterosexual / straight","EO","Medway","290","280","30570","29290"
"In post","2021","Heterosexual / straight","EO","Merton, Kingston upon Thames and Sutton","250","240","31600","31060"
"In post","2021","Heterosexual / straight","EO","Mid Kent","200","190","28970","29290"
"In post","2021","Heterosexual / straight","EO","Mid Lancashire","900","820","26930","27570"
"In post","2021","Heterosexual / straight","EO","Milton Keynes","400","380","28210","27570"
"In post","2021","Heterosexual / straight","EO","Monmouthshire and Newport","780","720","25750","25550"
"In post","2021","Heterosexual / straight","EO","Na h-Eileanan Siar","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","North and North East Lincolnshire","220","200","27060","27570"
"In post","2021","Heterosexual / straight","EO","North and West Norfolk","160","150","28460","27570"
"In post","2021","Heterosexual / straight","EO","North Hampshire","200","180","27190","27570"
"In post","2021","Heterosexual / straight","EO","North Lanarkshire","510","450","27220","27570"
"In post","2021","Heterosexual / straight","EO","North Northamptonshire","170","160","27710","27570"
"In post","2021","Heterosexual / straight","EO","North Nottinghamshire","220","200","27710","27570"
"In post","2021","Heterosexual / straight","EO","North Yorkshire CC","360","340","28310","27570"
"In post","2021","Heterosexual / straight","EO","Northumberland","140","120","27260","27570"
"In post","2021","Heterosexual / straight","EO","Norwich and East Norfolk","370","330","27230","27570"
"In post","2021","Heterosexual / straight","EO","Nottingham","1260","1170","26010","25920"
"In post","2021","Heterosexual / straight","EO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Overseas","200","200","27860","26990"
"In post","2021","Heterosexual / straight","EO","Oxfordshire","400","380","28080","27570"
"In post","2021","Heterosexual / straight","EO","Perth and Kinross and Stirling","260","240","29920","29140"
"In post","2021","Heterosexual / straight","EO","Peterborough","320","290","26900","27130"
"In post","2021","Heterosexual / straight","EO","Plymouth","580","540","26820","27130"
"In post","2021","Heterosexual / straight","EO","Portsmouth","830","780","27370","26670"
"In post","2021","Heterosexual / straight","EO","Powys","120","110","27700","27570"
"In post","2021","Heterosexual / straight","EO","Redbridge and Waltham Forest","320","300","30710","31060"
"In post","2021","Heterosexual / straight","EO","Sandwell","170","150","27340","27570"
"In post","2021","Heterosexual / straight","EO","Scottish Borders","100","100","27780","27570"
"In post","2021","Heterosexual / straight","EO","Sefton","1210","1130","26430","26410"
"In post","2021","Heterosexual / straight","EO","Sheffield","1350","1230","26210","25310"
"In post","2021","Heterosexual / straight","EO","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","EO","Shropshire CC","320","310","28410","27570"
"In post","2021","Heterosexual / straight","EO","Solihull","410","380","26120","25560"
"In post","2021","Heterosexual / straight","EO","Somerset","490","450","26780","27570"
"In post","2021","Heterosexual / straight","EO","South and West Derbyshire","240","220","27780","27570"
"In post","2021","Heterosexual / straight","EO","South Ayrshire","110","100","27500","27570"
"In post","2021","Heterosexual / straight","EO","South Hampshire","690","650","26200","26670"
"In post","2021","Heterosexual / straight","EO","South Lanarkshire","480","410","26330","26120"
"In post","2021","Heterosexual / straight","EO","South Nottinghamshire","140","130","28130","27380"
"In post","2021","Heterosexual / straight","EO","South Teesside","270","240","26730","27570"
"In post","2021","Heterosexual / straight","EO","South West Wales","290","270","27730","27570"
"In post","2021","Heterosexual / straight","EO","Southampton","290","270","26800","26840"
"In post","2021","Heterosexual / straight","EO","Southend-on-Sea","220","200","28070","28130"
