"Status","Year","Sex","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Internal Audit","White","290","270","43810","41300"
"In post","2021","Female","International Trade","Asian","60","60","43650","38540"
"In post","2021","Female","International Trade","Black","30","30","[c]","[c]"
"In post","2021","Female","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","International Trade","Unknown","190","190","44120","39370"
"In post","2021","Female","International Trade","White","310","300","47880","48220"
"In post","2021","Female","Knowledge and Information Management","Asian","70","70","34010","32330"
"In post","2021","Female","Knowledge and Information Management","Black","40","40","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Knowledge and Information Management","Undeclared","90","80","35910","33300"
"In post","2021","Female","Knowledge and Information Management","Unknown","80","70","35640","33040"
"In post","2021","Female","Knowledge and Information Management","White","970","910","35600","32780"
"In post","2021","Female","Legal","Asian","570","520","48370","50520"
"In post","2021","Female","Legal","Black","310","300","47850","50500"
"In post","2021","Female","Legal","Chinese","30","30","[c]","[c]"
"In post","2021","Female","Legal","Mixed","180","160","51550","51830"
"In post","2021","Female","Legal","Other ethnicity","80","70","56180","55310"
"In post","2021","Female","Legal","Undeclared","200","180","46160","43460"
"In post","2021","Female","Legal","Unknown","950","870","46100","46790"
"In post","2021","Female","Legal","White","4730","4270","49200","51250"
"In post","2021","Female","Medicine","Asian","130","110","69750","71460"
"In post","2021","Female","Medicine","Black","40","40","[c]","[c]"
"In post","2021","Female","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Medicine","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","Medicine","Unknown","250","220","43520","37890"
"In post","2021","Female","Medicine","White","1210","1070","50880","37890"
"In post","2021","Female","Operational Delivery","Asian","5730","5070","27360","25630"
"In post","2021","Female","Operational Delivery","Black","3660","3410","28960","26810"
"In post","2021","Female","Operational Delivery","Chinese","210","190","28880","25560"
"In post","2021","Female","Operational Delivery","Mixed","1610","1480","29010","26160"
"In post","2021","Female","Operational Delivery","Other ethnicity","440","400","29240","26550"
"In post","2021","Female","Operational Delivery","Undeclared","2900","2580","28840","26470"
"In post","2021","Female","Operational Delivery","Unknown","13410","12090","25490","22820"
"In post","2021","Female","Operational Delivery","White","68940","61070","27930","25310"
"In post","2021","Female","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Operational Research","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Operational Research","White","340","320","43850","40650"
"In post","2021","Female","Other","Asian","480","450","32940","29060"
"In post","2021","Female","Other","Black","340","340","30280","28310"
"In post","2021","Female","Other","Chinese","40","30","[c]","[c]"
"In post","2021","Female","Other","Mixed","150","140","33140","28660"
"In post","2021","Female","Other","Other ethnicity","70","60","31820","26950"
"In post","2021","Female","Other","Undeclared","380","360","29750","26130"
"In post","2021","Female","Other","Unknown","1100","1050","33430","29390"
"In post","2021","Female","Other","White","8200","7690","29300","23830"
"In post","2021","Female","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning","White","80","70","46730","41270"
"In post","2021","Female","Planning Inspectors","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Planning Inspectors","White","110","100","57820","58810"
"In post","2021","Female","Policy","Asian","1160","1120","42580","38800"
"In post","2021","Female","Policy","Black","760","750","38960","34890"
"In post","2021","Female","Policy","Chinese","80","80","46980","42430"
"In post","2021","Female","Policy","Mixed","520","510","43600","39310"
"In post","2021","Female","Policy","Other ethnicity","150","140","44790","38000"
"In post","2021","Female","Policy","Undeclared","460","440","45320","40950"
"In post","2021","Female","Policy","Unknown","2300","2220","45080","40580"
"In post","2021","Female","Policy","White","10300","9820","47180","42900"
"In post","2021","Female","Project Delivery","Asian","440","420","40080","36800"
"In post","2021","Female","Project Delivery","Black","320","310","40130","37660"
"In post","2021","Female","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Project Delivery","Mixed","140","130","40250","36800"
"In post","2021","Female","Project Delivery","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Female","Project Delivery","Undeclared","300","290","40700","38630"
"In post","2021","Female","Project Delivery","Unknown","690","670","41150","38630"
"In post","2021","Female","Project Delivery","White","6110","5820","40560","37640"
"In post","2021","Female","Property","Asian","110","100","35700","31660"
"In post","2021","Female","Property","Black","80","70","34630","31620"
"In post","2021","Female","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Mixed","50","40","[c]","[c]"
"In post","2021","Female","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Property","Undeclared","120","110","36460","33300"
"In post","2021","Female","Property","Unknown","380","350","32080","29450"
"In post","2021","Female","Property","White","2020","1880","34600","32820"
"In post","2021","Female","Psychology","Asian","30","30","[c]","[c]"
"In post","2021","Female","Psychology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Psychology","Unknown","150","140","32370","30450"
"In post","2021","Female","Psychology","White","980","930","35950","31180"
"In post","2021","Female","Science and Engineering","Asian","290","280","36080","33090"
"In post","2021","Female","Science and Engineering","Black","160","150","35460","33180"
"In post","2021","Female","Science and Engineering","Chinese","30","30","[c]","[c]"
"In post","2021","Female","Science and Engineering","Mixed","80","80","34210","33330"
"In post","2021","Female","Science and Engineering","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Female","Science and Engineering","Undeclared","240","220","41550","38890"
"In post","2021","Female","Science and Engineering","Unknown","230","220","36460","34930"
"In post","2021","Female","Science and Engineering","White","3400","3140","38590","37190"
"In post","2021","Female","Security","Asian","90","80","34410","31390"
"In post","2021","Female","Security","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Security","Undeclared","60","60","32470","30110"
"In post","2021","Female","Security","Unknown","190","180","32000","29370"
"In post","2021","Female","Security","White","1340","1290","31820","28650"
"In post","2021","Female","Social Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Social Research","Unknown","70","70","38480","37020"
"In post","2021","Female","Social Research","White","650","610","43190","41760"
"In post","2021","Female","Statistics","Asian","70","60","42120","38530"
"In post","2021","Female","Statistics","Black","30","30","[c]","[c]"
"In post","2021","Female","Statistics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Statistics","Unknown","100","100","37680","36030"
"In post","2021","Female","Statistics","White","690","650","43760","39850"
"In post","2021","Female","Tax","Asian","590","540","31770","31810"
"In post","2021","Female","Tax","Black","240","230","31220","31810"
"In post","2021","Female","Tax","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Tax","Mixed","100","100","32220","31810"
"In post","2021","Female","Tax","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Female","Tax","Undeclared","270","240","36750","32460"
"In post","2021","Female","Tax","Unknown","2290","2160","26140","25560"
"In post","2021","Female","Tax","White","4890","4460","34670","31810"
"In post","2021","Female","Unknown","Asian","4970","4310","29010","27570"
"In post","2021","Female","Unknown","Black","3010","2810","29970","31060"
"In post","2021","Female","Unknown","Chinese","130","110","30330","27570"
"In post","2021","Female","Unknown","Mixed","1330","1220","30270","27570"
"In post","2021","Female","Unknown","Other ethnicity","350","320","31410","29290"
"In post","2021","Female","Unknown","Undeclared","2650","2240","28020","27570"
"In post","2021","Female","Unknown","Unknown","7960","7380","33440","28000"
"In post","2021","Female","Unknown","White","54450","47450","29470","27570"
"In post","2021","Female","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Veterinarian","Unknown","40","30","[c]","[c]"
"In post","2021","Female","Veterinarian","White","200","190","44860","40960"
"In post","2021","Male","Commercial","Asian","110","110","40420","38280"
"In post","2021","Male","Commercial","Black","60","60","40360","38000"
"In post","2021","Male","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Mixed","30","30","[c]","[c]"
"In post","2021","Male","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Commercial","Undeclared","130","120","41080","39620"
"In post","2021","Male","Commercial","Unknown","280","280","40030","37400"
"In post","2021","Male","Commercial","White","1880","1850","43030","40070"
"In post","2021","Male","Communications","Asian","70","70","38220","33830"
"In post","2021","Male","Communications","Black","30","30","[c]","[c]"
"In post","2021","Male","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Mixed","40","40","[c]","[c]"
"In post","2021","Male","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Communications","Undeclared","70","70","41820","38980"
"In post","2021","Male","Communications","Unknown","300","300","43140","39110"
"In post","2021","Male","Communications","White","1110","1100","41690","37930"
"In post","2021","Male","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Corporate Finance","White","50","50","52650","47140"
"In post","2021","Male","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Unknown","100","100","42610","39490"
"In post","2021","Male","Counter Fraud","White","320","310","40170","37430"
"In post","2021","Male","Digital, Data and Technology","Asian","540","540","42330","39070"
"In post","2021","Male","Digital, Data and Technology","Black","250","250","40270","36750"
"In post","2021","Male","Digital, Data and Technology","Chinese","30","30","[c]","[c]"
"In post","2021","Male","Digital, Data and Technology","Mixed","130","130","43770","39190"
"In post","2021","Male","Digital, Data and Technology","Other ethnicity","50","50","43190","39930"
"In post","2021","Male","Digital, Data and Technology","Undeclared","530","520","42140","39820"
"In post","2021","Male","Digital, Data and Technology","Unknown","1550","1540","40510","37100"
"In post","2021","Male","Digital, Data and Technology","White","5570","5490","42990","39050"
"In post","2021","Male","Economics","Asian","110","110","43430","36250"
"In post","2021","Male","Economics","Black","40","40","[c]","[c]"
"In post","2021","Male","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Economics","Mixed","50","50","46350","46410"
"In post","2021","Male","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Economics","Undeclared","60","60","49910","52280"
"In post","2021","Male","Economics","Unknown","280","280","43260","36160"
"In post","2021","Male","Economics","White","810","800","49480","49110"
"In post","2021","Male","Finance","Asian","380","380","41590","38060"
"In post","2021","Male","Finance","Black","140","140","41900","39980"
"In post","2021","Male","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Mixed","70","70","41640","39010"
"In post","2021","Male","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Undeclared","230","230","42590","38630"
"In post","2021","Male","Finance","Unknown","450","430","39140","35000"
"In post","2021","Male","Finance","White","2720","2670","44480","40500"
"In post","2021","Male","Human Resources","Asian","110","110","37510","33000"
"In post","2021","Male","Human Resources","Black","50","50","38890","35900"
"In post","2021","Male","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Mixed","50","50","[c]","[c]"
"In post","2021","Male","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Undeclared","80","80","37150","33350"
"In post","2021","Male","Human Resources","Unknown","210","210","36490","32730"
"In post","2021","Male","Human Resources","White","1790","1750","40390","36520"
"In post","2021","Male","Inspector of Education and Training","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Inspector of Education and Training","White","240","230","73840","75500"
"In post","2021","Male","Intelligence Analysis","Asian","80","80","32560","29080"
"In post","2021","Male","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Intelligence Analysis","Undeclared","150","140","36110","32100"
"In post","2021","Male","Intelligence Analysis","Unknown","180","180","42830","40190"
"In post","2021","Male","Intelligence Analysis","White","1370","1340","35760","32670"
"In post","2021","Male","Internal Audit","Asian","40","40","[c]","[c]"
"In post","2021","Male","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","White","280","270","48210","45390"
"In post","2021","Male","International Trade","Asian","50","50","42010","37160"
"In post","2021","Male","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","International Trade","Unknown","240","240","46570","39070"
"In post","2021","Male","International Trade","White","450","440","49220","51710"
"In post","2021","Male","Knowledge and Information Management","Asian","50","50","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Black","30","30","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Knowledge and Information Management","Undeclared","100","90","40350","36460"
"In post","2021","Male","Knowledge and Information Management","Unknown","90","80","37500","33550"
"In post","2021","Male","Knowledge and Information Management","White","810","790","38390","36360"
"In post","2021","Male","Legal","Asian","320","310","45680","46020"
"In post","2021","Male","Legal","Black","110","110","50720","51190"
"In post","2021","Male","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal","Mixed","110","110","49310","50110"
"In post","2021","Male","Legal","Other ethnicity","50","50","58840","63830"
"In post","2021","Male","Legal","Undeclared","270","260","42690","38630"
"In post","2021","Male","Legal","Unknown","790","770","43570","37830"
"In post","2021","Male","Legal","White","3450","3340","48180","48830"
"In post","2021","Male","Medicine","Asian","70","60","77760","78890"
"In post","2021","Male","Medicine","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Medicine","Undeclared","30","30","[c]","[c]"
"In post","2021","Male","Medicine","Unknown","110","100","53110","38490"
"In post","2021","Male","Medicine","White","500","460","65430","60830"
"In post","2021","Male","Operational Delivery","Asian","4350","4150","28670","25630"
"In post","2021","Male","Operational Delivery","Black","2200","2140","29910","28670"
"In post","2021","Male","Operational Delivery","Chinese","150","140","27690","25560"
"In post","2021","Male","Operational Delivery","Mixed","1120","1080","30870","28210"
"In post","2021","Male","Operational Delivery","Other ethnicity","350","340","31900","28670"
"In post","2021","Male","Operational Delivery","Undeclared","3950","3750","30980","28220"
"In post","2021","Male","Operational Delivery","Unknown","12450","11980","27180","25400"
"In post","2021","Male","Operational Delivery","White","54640","52130","30570","27460"
"In post","2021","Male","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Operational Research","Undeclared","60","60","43680","46080"
"In post","2021","Male","Operational Research","Unknown","70","70","40860","38630"
"In post","2021","Male","Operational Research","White","570","550","45600","46080"
"In post","2021","Male","Other","Asian","370","360","32740","28670"
"In post","2021","Male","Other","Black","180","170","32090","28810"
"In post","2021","Male","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Other","Mixed","120","120","34400","31380"
"In post","2021","Male","Other","Other ethnicity","50","50","39890","33150"
"In post","2021","Male","Other","Undeclared","620","600","33480","29200"
"In post","2021","Male","Other","Unknown","2710","2670","36530","33270"
"In post","2021","Male","Other","White","7850","7670","32480","26930"
"In post","2021","Male","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Planning","Undeclared","[c]","[c]","[c]","[c]"
