"Status","Year","Sexual_orientation","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","East Anglia","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","East Wales","510","490","30060","25560"
"In post","2021","Heterosexual / straight","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Eastern Scotland","100","100","32710","31810"
"In post","2021","Heterosexual / straight","Communications","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","170","160","37590","34930"
"In post","2021","Heterosexual / straight","Communications","Greater Manchester","220","220","30770","30310"
"In post","2021","Heterosexual / straight","Communications","Hampshire and Isle of Wight","150","140","32240","29540"
"In post","2021","Heterosexual / straight","Communications","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Inner London - East","140","140","46840","41030"
"In post","2021","Heterosexual / straight","Communications","Inner London - West","1150","1130","47040","42470"
"In post","2021","Heterosexual / straight","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Merseyside","60","60","38170","35030"
"In post","2021","Heterosexual / straight","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Northumberland and Tyne and Wear","910","860","28480","25560"
"In post","2021","Heterosexual / straight","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Outer London - West and North West","150","150","25180","22030"
"In post","2021","Heterosexual / straight","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","West Midlands","130","130","34780","31810"
"In post","2021","Heterosexual / straight","Communications","West Wales and The Valleys","60","50","30430","26700"
"In post","2021","Heterosexual / straight","Communications","West Yorkshire","220","220","31110","25560"
"In post","2021","Heterosexual / straight","Counter Fraud","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Derbyshire and Nottinghamshire","320","300","34500","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","East Anglia","230","210","28610","25560"
"In post","2021","Heterosexual / straight","Counter Fraud","East Wales","240","220","32030","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Eastern Scotland","130","120","32400","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","230","220","35050","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Greater Manchester","630","600","34140","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Hampshire and Isle of Wight","80","80","32820","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Inner London - East","110","100","41310","38510"
"In post","2021","Heterosexual / straight","Counter Fraud","Inner London - West","860","830","40740","36160"
"In post","2021","Heterosexual / straight","Counter Fraud","Kent","120","110","29480","28130"
"In post","2021","Heterosexual / straight","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Merseyside","370","340","33770","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Northern Ireland","260","250","32180","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Northumberland and Tyne and Wear","340","320","32640","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Outer London - South","390","370","38840","36160"
"In post","2021","Heterosexual / straight","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Southern Scotland","50","50","29170","28130"
"In post","2021","Heterosexual / straight","Counter Fraud","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","West Central Scotland","340","310","30960","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","West Midlands","430","410","32460","31810"
"In post","2021","Heterosexual / straight","Counter Fraud","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","West Yorkshire","530","490","32460","31810"
"In post","2021","Heterosexual / straight","Debt","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Derbyshire and Nottinghamshire","100","90","22260","20140"
"In post","2021","Heterosexual / straight","Debt","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","East Wales","170","160","23910","20140"
"In post","2021","Heterosexual / straight","Debt","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Eastern Scotland","210","200","22200","20140"
"In post","2021","Heterosexual / straight","Debt","Essex","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Inner London - East","120","110","28660","25630"
"In post","2021","Heterosexual / straight","Debt","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Merseyside","170","160","23700","21440"
"In post","2021","Heterosexual / straight","Debt","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Northumberland and Tyne and Wear","210","190","22430","20140"
"In post","2021","Heterosexual / straight","Debt","Outer London - South","110","100","27520","25630"
"In post","2021","Heterosexual / straight","Debt","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Southern Scotland","160","140","22160","20140"
"In post","2021","Heterosexual / straight","Debt","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","West Central Scotland","330","280","22780","20140"
"In post","2021","Heterosexual / straight","Debt","West Midlands","190","170","22730","20140"
"In post","2021","Heterosexual / straight","Debt","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt","West Yorkshire","190","170","25120","21440"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Bedfordshire and Hertfordshire","50","50","36340","35720"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","180","180","42220","39430"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Cheshire","100","100","42330","45480"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Derbyshire and Nottinghamshire","110","110","41220","38640"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Devon","310","290","39680","38450"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Dorset and Somerset","150","150","37820","33540"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","East Anglia","110","110","34750","32960"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","East Wales","600","580","41530","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Eastern Scotland","120","120","41610","36780"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Essex","160","150","38080","34620"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","510","490","39420","36760"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Greater Manchester","240","230","40020","38180"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Hampshire and Isle of Wight","250","240","36750","33300"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Herefordshire, Worcestershire and Warwickshire","60","60","37840","32250"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Inner London - East","810","790","51960","54700"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Inner London - West","1170","1150","48710","45780"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Lancashire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Leicestershire, Rutland and Northamptonshire","60","60","34520","31970"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Merseyside","200","190","38120","33630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","North Yorkshire","110","110","39100","37910"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Northumberland and Tyne and Wear","410","400","40080","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Outer London - South","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Outer London - West and North West","80","80","39780","36800"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Shropshire and Staffordshire","270","260","40610","38630"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","South Yorkshire","150","150","43340","38200"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Southern Scotland","150","140","39190","33930"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Surrey, East and West Sussex","150","140","36740","33350"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Tees Valley and Durham","80","70","36580","36780"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","West Central Scotland","80","80","36650","33040"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","West Midlands","280","270","40660","36960"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","West Wales and The Valleys","530","510","40030","37350"
"In post","2021","Heterosexual / straight","Digital, Data & Technology","West Yorkshire","280","270","37860","31870"
"In post","2021","Heterosexual / straight","Finance","Bedfordshire and Hertfordshire","90","80","43230","37640"
"In post","2021","Heterosexual / straight","Finance","Berkshire, Buckinghamshire and Oxfordshire","250","240","37900","34530"
"In post","2021","Heterosexual / straight","Finance","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Derbyshire and Nottinghamshire","140","130","37770","32800"
"In post","2021","Heterosexual / straight","Finance","Devon","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","East Anglia","120","110","36310","33300"
"In post","2021","Heterosexual / straight","Finance","East Wales","130","110","35080","30130"
"In post","2021","Heterosexual / straight","Finance","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Eastern Scotland","90","80","36680","33650"
"In post","2021","Heterosexual / straight","Finance","Essex","100","100","34440","31870"
"In post","2021","Heterosexual / straight","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","860","820","39680","34920"
"In post","2021","Heterosexual / straight","Finance","Greater Manchester","220","210","41060","38630"
"In post","2021","Heterosexual / straight","Finance","Hampshire and Isle of Wight","310","300","37340","33300"
"In post","2021","Heterosexual / straight","Finance","Herefordshire, Worcestershire and Warwickshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Inner London - East","310","300","48050","42040"
"In post","2021","Heterosexual / straight","Finance","Inner London - West","1350","1320","50190","46150"
"In post","2021","Heterosexual / straight","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Lancashire","70","70","38630","34310"
"In post","2021","Heterosexual / straight","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Merseyside","160","160","36100","31810"
"In post","2021","Heterosexual / straight","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","North Yorkshire","110","110","38420","36970"
"In post","2021","Heterosexual / straight","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Northumberland and Tyne and Wear","220","210","37800","37920"
"In post","2021","Heterosexual / straight","Finance","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Outer London - South","70","70","46340","40750"
"In post","2021","Heterosexual / straight","Finance","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Shropshire and Staffordshire","110","110","39730","38630"
"In post","2021","Heterosexual / straight","Finance","South Yorkshire","70","70","40450","37030"
"In post","2021","Heterosexual / straight","Finance","Southern Scotland","80","80","39180","33930"
"In post","2021","Heterosexual / straight","Finance","Surrey, East and West Sussex","180","170","34210","31810"
"In post","2021","Heterosexual / straight","Finance","Tees Valley and Durham","60","60","39530","36640"
"In post","2021","Heterosexual / straight","Finance","West Central Scotland","370","300","24980","21440"
"In post","2021","Heterosexual / straight","Finance","West Midlands","190","180","39820","36780"
"In post","2021","Heterosexual / straight","Finance","West Wales and The Valleys","140","130","34050","31380"
"In post","2021","Heterosexual / straight","Finance","West Yorkshire","330","300","33690","28130"
"In post","2021","Heterosexual / straight","Grants Management","Berkshire, Buckinghamshire and Oxfordshire","80","80","31160","26520"
"In post","2021","Heterosexual / straight","Grants Management","Cheshire","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Cumbria","260","230","24990","21050"
"In post","2021","Heterosexual / straight","Grants Management","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Devon","100","90","26740","25880"
"In post","2021","Heterosexual / straight","Grants Management","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Herefordshire, Worcestershire and Warwickshire","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Grants Management","Lincolnshire","[c]","[c]","[c]","[c]"
