"Status","Year","Sex","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared disabled","Science and Engineering","750","730","37500","37210"
"In post","2021","Male","Declared disabled","Security","450","430","32240","28970"
"In post","2021","Male","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared disabled","Statistics","90","90","43580","38090"
"In post","2021","Male","Declared disabled","Tax","650","610","36370","31940"
"In post","2021","Male","Declared disabled","Unknown","6000","5660","29240","27570"
"In post","2021","Male","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Declared non-disabled","Commercial","1640","1620","42930","40000"
"In post","2021","Male","Declared non-disabled","Communications","1030","1020","42060","38620"
"In post","2021","Male","Declared non-disabled","Corporate Finance","60","60","50400","47140"
"In post","2021","Male","Declared non-disabled","Counter Fraud","330","320","41080","39490"
"In post","2021","Male","Declared non-disabled","Digital, Data and Technology","5360","5290","43200","39750"
"In post","2021","Male","Declared non-disabled","Economics","870","860","49170","48370"
"In post","2021","Male","Declared non-disabled","Finance","2820","2780","44640","40580"
"In post","2021","Male","Declared non-disabled","Human Resources","1550","1520","40570","36500"
"In post","2021","Male","Declared non-disabled","Inspector of Education and Training","220","220","73860","75500"
"In post","2021","Male","Declared non-disabled","Intelligence Analysis","1270","1240","35090","31810"
"In post","2021","Male","Declared non-disabled","Internal Audit","280","270","48660","46770"
"In post","2021","Male","Declared non-disabled","International Trade","460","460","47970","44030"
"In post","2021","Male","Declared non-disabled","Knowledge and Information Management","730","720","37790","36060"
"In post","2021","Male","Declared non-disabled","Legal","3340","3240","48850","50500"
"In post","2021","Male","Declared non-disabled","Medicine","450","420","64690","66570"
"In post","2021","Male","Declared non-disabled","Operational Delivery","49470","47450","30320","27280"
"In post","2021","Male","Declared non-disabled","Operational Research","500","480","45470","46080"
"In post","2021","Male","Declared non-disabled","Other","6690","6540","33410","28240"
"In post","2021","Male","Declared non-disabled","Planning","80","80","49040","43360"
"In post","2021","Male","Declared non-disabled","Planning Inspectors","160","140","58370","58810"
"In post","2021","Male","Declared non-disabled","Policy","9120","9020","49930","49860"
"In post","2021","Male","Declared non-disabled","Project Delivery","5740","5650","44730","40580"
"In post","2021","Male","Declared non-disabled","Property","2910","2840","38640","34770"
"In post","2021","Male","Declared non-disabled","Psychology","120","120","36070","30450"
"In post","2021","Male","Declared non-disabled","Science and Engineering","6530","6370","39060","37360"
"In post","2021","Male","Declared non-disabled","Security","4060","3990","30900","26610"
"In post","2021","Male","Declared non-disabled","Social Research","210","200","46330","47000"
"In post","2021","Male","Declared non-disabled","Statistics","720","710","44730","41540"
"In post","2021","Male","Declared non-disabled","Tax","5090","4890","36870","31810"
"In post","2021","Male","Declared non-disabled","Unknown","31230","30210","32140","27570"
"In post","2021","Male","Declared non-disabled","Veterinarian","150","140","46530","47550"
"In post","2021","Male","Undeclared","Commercial","190","190","44960","42080"
"In post","2021","Male","Undeclared","Communications","100","100","41900","38810"
"In post","2021","Male","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Male","Undeclared","Digital, Data and Technology","510","500","41460","38630"
"In post","2021","Male","Undeclared","Economics","90","90","45020","37000"
"In post","2021","Male","Undeclared","Finance","250","250","41680","38630"
"In post","2021","Male","Undeclared","Human Resources","130","120","39250","36600"
"In post","2021","Male","Undeclared","Intelligence Analysis","160","160","35850","33300"
"In post","2021","Male","Undeclared","Internal Audit","30","30","[c]","[c]"
"In post","2021","Male","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Knowledge and Information Management","90","80","41170","36460"
"In post","2021","Male","Undeclared","Legal","290","280","43730","36590"
"In post","2021","Male","Undeclared","Medicine","50","40","[c]","[c]"
"In post","2021","Male","Undeclared","Operational Delivery","7070","6630","30810","31650"
"In post","2021","Male","Undeclared","Operational Research","70","70","46160","46080"
"In post","2021","Male","Undeclared","Other","780","750","31230","27500"
"In post","2021","Male","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Policy","850","840","47880","44170"
"In post","2021","Male","Undeclared","Project Delivery","510","500","43610","40580"
"In post","2021","Male","Undeclared","Property","330","320","38750","35480"
"In post","2021","Male","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Science and Engineering","800","770","38760","37320"
"In post","2021","Male","Undeclared","Security","560","550","34030","35750"
"In post","2021","Male","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Statistics","60","60","42710","40920"
"In post","2021","Male","Undeclared","Tax","530","500","39050","35000"
"In post","2021","Male","Undeclared","Unknown","2060","2000","30700","27570"
"In post","2021","Male","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Commercial","480","470","39740","36500"
"In post","2021","Male","Unknown","Communications","400","400","42400","38620"
"In post","2021","Male","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Counter Fraud","90","80","41330","37380"
"In post","2021","Male","Unknown","Digital, Data and Technology","2170","2140","41130","38050"
"In post","2021","Male","Unknown","Economics","350","350","43440","36160"
"In post","2021","Male","Unknown","Finance","640","630","39840","35000"
"In post","2021","Male","Unknown","Human Resources","350","350","34980","31810"
"In post","2021","Male","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Intelligence Analysis","260","250","43010","39420"
"In post","2021","Male","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","International Trade","290","280","47300","39070"
"In post","2021","Male","Unknown","Knowledge and Information Management","150","150","41080","38510"
"In post","2021","Male","Unknown","Legal","1090","1070","42630","38000"
"In post","2021","Male","Unknown","Medicine","220","210","69180","67170"
"In post","2021","Male","Unknown","Operational Delivery","15620","15030","28730","25790"
"In post","2021","Male","Unknown","Operational Research","110","110","42940","40000"
"In post","2021","Male","Unknown","Other","3550","3490","35320","32700"
"In post","2021","Male","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Planning Inspectors","40","40","[c]","[c]"
"In post","2021","Male","Unknown","Policy","2330","2310","47460","43350"
"In post","2021","Male","Unknown","Project Delivery","1090","1070","43850","40000"
"In post","2021","Male","Unknown","Property","640","630","33540","30270"
"In post","2021","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Science and Engineering","1530","1490","39360","37320"
"In post","2021","Male","Unknown","Security","1510","1490","31160","28890"
"In post","2021","Male","Unknown","Social Research","100","100","36200","34800"
"In post","2021","Male","Unknown","Statistics","200","200","40550","37020"
"In post","2021","Male","Unknown","Tax","3110","3010","29340","25560"
"In post","2021","Male","Unknown","Unknown","6510","6420","38550","31810"
"In post","2021","Male","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Female","Declared disabled","Commercial","350","330","37610","36530"
"In post","2022","Female","Declared disabled","Communications","200","190","39730","36960"
"In post","2022","Female","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","Declared disabled","Counter Fraud","620","540","28320","27570"
"In post","2022","Female","Declared disabled","Digital, Data and Technology","700","660","38870","35970"
"In post","2022","Female","Declared disabled","Economics","50","40","[c]","[c]"
"In post","2022","Female","Declared disabled","Finance","660","620","37340","33300"
"In post","2022","Female","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Female","Declared disabled","Human Resources","900","840","39680","35070"
"In post","2022","Female","Declared disabled","Inspector of Education and Training","50","50","59630","51360"
"In post","2022","Female","Declared disabled","Intelligence Analysis","150","140","31410","28760"
"In post","2022","Female","Declared disabled","Internal Audit","50","50","44610","41230"
"In post","2022","Female","Declared disabled","International Trade","70","70","45290","39810"
"In post","2022","Female","Declared disabled","Knowledge and Information Management","170","160","33750","31990"
"In post","2022","Female","Declared disabled","Legal","640","570","49090","50500"
"In post","2022","Female","Declared disabled","Medicine","80","70","51840","40880"
"In post","2022","Female","Declared disabled","Operational Delivery","19970","17410","27540","27350"
"In post","2022","Female","Declared disabled","Operational Research","40","30","[c]","[c]"
"In post","2022","Female","Declared disabled","Other","1990","1800","27890","26820"
"In post","2022","Female","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Female","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Female","Declared disabled","Policy","1800","1720","44400","40050"
"In post","2022","Female","Declared disabled","Project Delivery","890","830","39870","36970"
"In post","2022","Female","Declared disabled","Property","280","260","36850","33300"
"In post","2022","Female","Declared disabled","Psychology","110","100","32910","29750"
"In post","2022","Female","Declared disabled","Science and Engineering","360","330","35290","32330"
"In post","2022","Female","Declared disabled","Security","200","190","32240","29060"
"In post","2022","Female","Declared disabled","Social Research","90","80","41680","38340"
"In post","2022","Female","Declared disabled","Statistics","120","110","42950","38670"
"In post","2022","Female","Declared disabled","Tax","820","750","35960","33370"
"In post","2022","Female","Declared disabled","Unknown","1470","1400","39080","34550"
"In post","2022","Female","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Female","Declared non-disabled","Commercial","2210","2090","38590","36050"
"In post","2022","Female","Declared non-disabled","Communications","1570","1490","42580","39580"
"In post","2022","Female","Declared non-disabled","Corporate Finance","70","60","42490","38590"
"In post","2022","Female","Declared non-disabled","Counter Fraud","2950","2570","28120","27570"
"In post","2022","Female","Declared non-disabled","Digital, Data and Technology","4660","4420","41120","37930"
"In post","2022","Female","Declared non-disabled","Economics","540","520","48470","50810"
"In post","2022","Female","Declared non-disabled","Finance","4840","4560","38870","34520"
"In post","2022","Female","Declared non-disabled","Geography","110","100","31280","33000"
"In post","2022","Female","Declared non-disabled","Human Resources","4560","4260","38920","34290"
"In post","2022","Female","Declared non-disabled","Inspector of Education and Training","570","550","63570","64500"
"In post","2022","Female","Declared non-disabled","Intelligence Analysis","1090","1020","32010","29080"
"In post","2022","Female","Declared non-disabled","Internal Audit","310","290","44530","42230"
"In post","2022","Female","Declared non-disabled","International Trade","370","360","47970","48220"
"In post","2022","Female","Declared non-disabled","Knowledge and Information Management","930","870","34360","31880"
"In post","2022","Female","Declared non-disabled","Legal","5130","4670","50350","51250"
"In post","2022","Female","Declared non-disabled","Medicine","1120","980","49810","39630"
"In post","2022","Female","Declared non-disabled","Operational Delivery","100750","88960","27990","26840"
"In post","2022","Female","Declared non-disabled","Operational Research","340","320","44080","41750"
"In post","2022","Female","Declared non-disabled","Other","11140","10240","29170","26670"
"In post","2022","Female","Declared non-disabled","Planning","80","70","45320","41560"
"In post","2022","Female","Declared non-disabled","Planning Inspectors","100","90","55230","58810"
"In post","2022","Female","Declared non-disabled","Policy","12090","11540","46950","42500"
"In post","2022","Female","Declared non-disabled","Project Delivery","5870","5530","41710","39000"
"In post","2022","Female","Declared non-disabled","Property","2150","2000","36590","33300"
"In post","2022","Female","Declared non-disabled","Psychology","980","940","36160","31180"
"In post","2022","Female","Declared non-disabled","Science and Engineering","3160","2960","38020","36580"
"In post","2022","Female","Declared non-disabled","Security","1460","1410","33170","31180"
"In post","2022","Female","Declared non-disabled","Social Research","580","550","43650","40180"
"In post","2022","Female","Declared non-disabled","Statistics","720","670","45190","41860"
"In post","2022","Female","Declared non-disabled","Tax","5590","5210","35580","33370"
"In post","2022","Female","Declared non-disabled","Unknown","9210","8770","41580","36130"
"In post","2022","Female","Declared non-disabled","Veterinarian","170","160","44260","40810"
"In post","2022","Female","Undeclared","Commercial","170","160","40020","37100"
"In post","2022","Female","Undeclared","Communications","80","80","41460","38670"
"In post","2022","Female","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Counter Fraud","180","160","29400","27570"
"In post","2022","Female","Undeclared","Digital, Data and Technology","290","280","39770","36760"
"In post","2022","Female","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Finance","330","310","38350","34050"
"In post","2022","Female","Undeclared","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Human Resources","350","330","37600","34610"
"In post","2022","Female","Undeclared","Intelligence Analysis","110","110","32420","29310"
"In post","2022","Female","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Knowledge and Information Management","80","70","33240","31090"
"In post","2022","Female","Undeclared","Legal","250","230","48620","47760"
"In post","2022","Female","Undeclared","Medicine","60","50","51870","40060"
"In post","2022","Female","Undeclared","Operational Delivery","7200","6370","27980","27060"
"In post","2022","Female","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Other","820","760","27500","26120"
"In post","2022","Female","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Policy","820","790","44790","40350"
"In post","2022","Female","Undeclared","Project Delivery","340","320","41840","40000"
"In post","2022","Female","Undeclared","Property","190","180","35640","33150"
"In post","2022","Female","Undeclared","Psychology","100","100","37700","31180"
"In post","2022","Female","Undeclared","Science and Engineering","100","100","39040","37830"
"In post","2022","Female","Undeclared","Security","160","150","35410","33000"
"In post","2022","Female","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Female","Undeclared","Tax","370","340","37550","33370"
"In post","2022","Female","Undeclared","Unknown","420","400","39720","34550"
"In post","2022","Female","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Commercial","670","640","38390","36500"
"In post","2022","Female","Unknown","Communications","640","620","42460","38620"
"In post","2022","Female","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Counter Fraud","150","140","31610","27570"
"In post","2022","Female","Unknown","Digital, Data and Technology","1350","1310","41610","37930"
"In post","2022","Female","Unknown","Economics","160","150","41420","34710"
"In post","2022","Female","Unknown","Finance","1060","1010","38440","35000"
"In post","2022","Female","Unknown","Geography","30","30","[c]","[c]"
"In post","2022","Female","Unknown","Human Resources","980","930","35890","31970"
"In post","2022","Female","Unknown","Inspector of Education and Training","60","50","57510","51360"
"In post","2022","Female","Unknown","Intelligence Analysis","130","130","34640","30820"
"In post","2022","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","International Trade","300","290","45080","39440"
"In post","2022","Female","Unknown","Knowledge and Information Management","130","130","36180","33000"
"In post","2022","Female","Unknown","Legal","1440","1340","45800","48080"
"In post","2022","Female","Unknown","Medicine","510","440","55500","44200"
"In post","2022","Female","Unknown","Operational Delivery","22190","20280","28060","25050"
"In post","2022","Female","Unknown","Operational Research","50","40","[c]","[c]"
"In post","2022","Female","Unknown","Other","2120","2000","32770","27570"
"In post","2022","Female","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2022","Female","Unknown","Policy","3220","3130","44820","40650"
"In post","2022","Female","Unknown","Project Delivery","1050","1000","42260","40080"
"In post","2022","Female","Unknown","Property","490","460","32940","29610"
"In post","2022","Female","Unknown","Psychology","140","140","32450","29750"
"In post","2022","Female","Unknown","Science and Engineering","750","690","42610","40560"
"In post","2022","Female","Unknown","Security","330","320","32390","30010"
"In post","2022","Female","Unknown","Social Research","230","220","38430","38340"
"In post","2022","Female","Unknown","Statistics","240","220","39490","38340"
