"Status","Year","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Internal Audit","20-29","50","50","35090","33680"
"In post","2021","Internal Audit","30-39","140","140","42290","39200"
"In post","2021","Internal Audit","40-49","190","180","47290","43760"
"In post","2021","Internal Audit","50-59","320","310","48610","45390"
"In post","2021","Internal Audit","60-64","60","50","44100","43540"
"In post","2021","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","20-29","460","460","37700","34970"
"In post","2021","International Trade","30-39","440","430","49540","51970"
"In post","2021","International Trade","40-49","260","250","51920","51970"
"In post","2021","International Trade","50-59","260","260","51330","48220"
"In post","2021","International Trade","60-64","40","40","[c]","[c]"
"In post","2021","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","20-29","280","280","28220","27170"
"In post","2021","Knowledge and Information Management","30-39","480","460","36620","34490"
"In post","2021","Knowledge and Information Management","40-49","610","580","40140","37450"
"In post","2021","Knowledge and Information Management","50-59","760","730","38160","34720"
"In post","2021","Knowledge and Information Management","60-64","190","170","35170","31780"
"In post","2021","Knowledge and Information Management","65+","70","60","35050","29200"
"In post","2021","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","20-29","1230","1230","33570","29570"
"In post","2021","Legal","30-39","2990","2870","46180","50500"
"In post","2021","Legal","40-49","3500","3220","50840","51730"
"In post","2021","Legal","50-59","3510","3300","51230","52320"
"In post","2021","Legal","60-64","700","580","51110","53630"
"In post","2021","Legal","65+","220","160","51330","55610"
"In post","2021","Medicine","20-29","150","140","29440","27420"
"In post","2021","Medicine","30-39","570","510","43240","37890"
"In post","2021","Medicine","40-49","730","650","56610","45500"
"In post","2021","Medicine","50-59","740","680","65330","54540"
"In post","2021","Medicine","60-64","230","190","68350","60830"
"In post","2021","Medicine","65+","90","70","76080","83830"
"In post","2021","Operational Delivery","16-19","420","390","21200","21050"
"In post","2021","Operational Delivery","20-29","27610","27010","25250","24300"
"In post","2021","Operational Delivery","30-39","37590","35200","28120","25630"
"In post","2021","Operational Delivery","40-49","39600","36740","30230","26990"
"In post","2021","Operational Delivery","50-59","51440","47510","30270","27310"
"In post","2021","Operational Delivery","60-64","14680","11680","27680","25560"
"In post","2021","Operational Delivery","65+","4760","3490","26550","23520"
"In post","2021","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","20-29","340","340","34270","33600"
"In post","2021","Operational Research","30-39","350","340","45580","46080"
"In post","2021","Operational Research","40-49","230","220","49870","46820"
"In post","2021","Operational Research","50-59","200","190","50480","47140"
"In post","2021","Operational Research","60-64","50","40","[c]","[c]"
"In post","2021","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","Other","16-19","90","90","19700","17780"
"In post","2021","Other","20-29","2620","2590","27990","26410"
"In post","2021","Other","30-39","3800","3640","33630","29950"
"In post","2021","Other","40-49","4750","4570","35020","29670"
"In post","2021","Other","50-59","7820","7580","31690","26670"
"In post","2021","Other","60-64","2680","2490","29650","25630"
"In post","2021","Other","65+","910","800","28160","22500"
"In post","2021","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Planning","20-29","30","30","[c]","[c]"
"In post","2021","Planning","30-39","60","50","41980","40000"
"In post","2021","Planning","40-49","60","50","50390","53130"
"In post","2021","Planning","50-59","40","40","[c]","[c]"
"In post","2021","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","30-39","50","40","[c]","[c]"
"In post","2021","Planning Inspectors","40-49","100","90","54290","47660"
"In post","2021","Planning Inspectors","50-59","120","110","59220","58810"
"In post","2021","Planning Inspectors","60-64","30","30","[c]","[c]"
"In post","2021","Planning Inspectors","65+","40","30","[c]","[c]"
"In post","2021","Policy","16-19","40","40","[c]","[c]"
"In post","2021","Policy","20-29","7560","7520","38400","35050"
"In post","2021","Policy","30-39","8210","7990","48990","52040"
"In post","2021","Policy","40-49","6550","6270","53150","53380"
"In post","2021","Policy","50-59","5520","5390","50520","47000"
"In post","2021","Policy","60-64","950","860","48400","43260"
"In post","2021","Policy","65+","250","210","46110","38500"
"In post","2021","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","20-29","2050","2040","32830","31810"
"In post","2021","Project Delivery","30-39","3710","3600","41060","38630"
"In post","2021","Project Delivery","40-49","4200","4080","45040","40580"
"In post","2021","Project Delivery","50-59","4820","4710","45460","40610"
"In post","2021","Project Delivery","60-64","980","880","42570","40000"
"In post","2021","Project Delivery","65+","240","210","40940","38610"
"In post","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","20-29","620","610","28640","26810"
"In post","2021","Property","30-39","1020","990","35960","33300"
"In post","2021","Property","40-49","1530","1470","37770","33300"
"In post","2021","Property","50-59","2620","2550","38220","33620"
"In post","2021","Property","60-64","820","740","36320","33300"
"In post","2021","Property","65+","320","280","32020","30530"
"In post","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","20-29","360","360","27580","27380"
"In post","2021","Psychology","30-39","590","560","35140","31180"
"In post","2021","Psychology","40-49","300","280","44590","45830"
"In post","2021","Psychology","50-59","140","130","39190","31180"
"In post","2021","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","16-19","120","120","17700","17710"
"In post","2021","Science and Engineering","20-29","2750","2730","28910","28650"
"In post","2021","Science and Engineering","30-39","2970","2860","38290","37420"
"In post","2021","Science and Engineering","40-49","3090","2940","43390","41470"
"In post","2021","Science and Engineering","50-59","3650","3540","42770","41350"
"In post","2021","Science and Engineering","60-64","1070","970","40430","38360"
"In post","2021","Science and Engineering","65+","450","360","39510","36140"
"In post","2021","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","20-29","1070","1060","26830","25680"
"In post","2021","Security","30-39","1540","1520","32660","30890"
"In post","2021","Security","40-49","1690","1680","33560","33650"
"In post","2021","Security","50-59","3010","2970","32800","31650"
"In post","2021","Security","60-64","760","700","27850","21130"
"In post","2021","Security","65+","230","200","25890","21430"
"In post","2021","Social Research","20-29","410","410","35700","33650"
"In post","2021","Social Research","30-39","360","340","43530","42170"
"In post","2021","Social Research","40-49","230","210","48530","47000"
"In post","2021","Social Research","50-59","130","120","50150","47000"
"In post","2021","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","20-29","650","640","34970","33210"
"In post","2021","Statistics","30-39","610","580","44330","41760"
"In post","2021","Statistics","40-49","420","400","50210","50090"
"In post","2021","Statistics","50-59","290","280","48840","46710"
"In post","2021","Statistics","60-64","50","40","[c]","[c]"
"In post","2021","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Tax","16-19","150","140","20350","20140"
"In post","2021","Tax","20-29","3740","3650","26980","25560"
"In post","2021","Tax","30-39","4380","4230","32790","31810"
"In post","2021","Tax","40-49","3390","3230","34680","31810"
"In post","2021","Tax","50-59","4570","4360","37110","32520"
"In post","2021","Tax","60-64","1230","940","37380","33650"
"In post","2021","Tax","65+","350","240","37490","35000"
"In post","2021","Unknown","16-19","320","320","22300","21010"
"In post","2021","Unknown","20-29","17690","17440","28480","27570"
"In post","2021","Unknown","30-39","22290","20810","32050","27570"
"In post","2021","Unknown","40-49","28460","26010","32570","27570"
"In post","2021","Unknown","50-59","38440","35160","31080","27570"
"In post","2021","Unknown","60-64","10510","8280","28540","27570"
"In post","2021","Unknown","65+","2910","2120","27570","27570"
"In post","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","30-39","110","100","39620","37410"
"In post","2021","Veterinarian","40-49","170","160","44110","38300"
"In post","2021","Veterinarian","50-59","110","110","52270","51760"
"In post","2021","Veterinarian","60-64","30","30","[c]","[c]"
"In post","2021","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","20-29","1060","1050","32370","30600"
"In post","2022","Commercial","30-39","1530","1480","38810","37400"
"In post","2022","Commercial","40-49","1510","1450","42770","39920"
"In post","2022","Commercial","50-59","1660","1610","43100","40000"
"In post","2022","Commercial","60-64","350","310","40480","38410"
"In post","2022","Commercial","65+","90","70","38750","37100"
"In post","2022","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Communications","20-29","900","890","35220","33210"
"In post","2022","Communications","30-39","1190","1150","43830","40650"
"In post","2022","Communications","40-49","1110","1050","46950","42850"
"In post","2022","Communications","50-59","770","750","43090","38620"
"In post","2022","Communications","60-64","150","140","40690","35630"
"In post","2022","Communications","65+","50","40","[c]","[c]"
"In post","2022","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","30-39","40","40","[c]","[c]"
"In post","2022","Corporate Finance","40-49","40","40","[c]","[c]"
"In post","2022","Corporate Finance","50-59","40","40","[c]","[c]"
"In post","2022","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","20-29","650","640","27340","27570"
"In post","2022","Counter Fraud","30-39","890","830","29040","27570"
"In post","2022","Counter Fraud","40-49","1420","1310","29720","27570"
"In post","2022","Counter Fraud","50-59","2490","2310","29700","27570"
"In post","2022","Counter Fraud","60-64","830","630","28820","27570"
"In post","2022","Counter Fraud","65+","300","210","28700","27570"
"In post","2022","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","20-29","2930","2910","33900","32870"
"In post","2022","Digital, Data and Technology","30-39","4650","4570","41800","39040"
"In post","2022","Digital, Data and Technology","40-49","5500","5380","45350","41230"
"In post","2022","Digital, Data and Technology","50-59","5460","5340","44030","40520"
"In post","2022","Digital, Data and Technology","60-64","1130","1000","41120","37570"
"In post","2022","Digital, Data and Technology","65+","330","270","38750","35260"
"In post","2022","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Economics","20-29","1170","1170","38220","34690"
"In post","2022","Economics","30-39","510","490","56600","55860"
"In post","2022","Economics","40-49","240","230","63400","61440"
"In post","2022","Economics","50-59","120","120","68480","66050"
"In post","2022","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2022","Finance","16-19","30","30","[c]","[c]"
"In post","2022","Finance","20-29","1610","1590","33040","30600"
"In post","2022","Finance","30-39","2470","2380","41290","37930"
"In post","2022","Finance","40-49","3200","3080","42640","38400"
"In post","2022","Finance","50-59","3850","3740","42090","37590"
"In post","2022","Finance","60-64","880","790","38490","34290"
"In post","2022","Finance","65+","280","240","36330","33300"
"In post","2022","Geography","20-29","110","110","25530","26740"
"In post","2022","Geography","30-39","110","110","32750","33290"
"In post","2022","Geography","40-49","100","90","33770","33290"
"In post","2022","Geography","50-59","120","110","33640","33290"
"In post","2022","Geography","60-64","40","30","[c]","[c]"
"In post","2022","Geography","65+","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","20-29","1350","1330","31790","29970"
"In post","2022","Human Resources","30-39","2150","2050","37970","34010"
"In post","2022","Human Resources","40-49","2480","2350","42210","38160"
"In post","2022","Human Resources","50-59","2850","2730","41000","37000"
"In post","2022","Human Resources","60-64","620","530","36720","33350"
"In post","2022","Human Resources","65+","150","120","35020","31750"
"In post","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","30-39","100","100","58330","51360"
"In post","2022","Inspector of Education and Training","40-49","310","300","64810","64500"
"In post","2022","Inspector of Education and Training","50-59","410","400","66560","70500"
"In post","2022","Inspector of Education and Training","60-64","90","90","70640","75500"
"In post","2022","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","20-29","500","490","31130","29250"
"In post","2022","Intelligence Analysis","30-39","830","800","34120","30980"
"In post","2022","Intelligence Analysis","40-49","790","750","35120","30830"
"In post","2022","Intelligence Analysis","50-59","880","860","34070","30920"
"In post","2022","Intelligence Analysis","60-64","170","140","34130","30900"
"In post","2022","Intelligence Analysis","65+","70","50","32840","30500"
"In post","2022","Internal Audit","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","20-29","50","50","33670","33420"
"In post","2022","Internal Audit","30-39","140","130","42120","40440"
"In post","2022","Internal Audit","40-49","190","180","47040","43710"
"In post","2022","Internal Audit","50-59","310","300","49900","47150"
"In post","2022","Internal Audit","60-64","70","60","44300","43430"
"In post","2022","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","20-29","510","510","38380","38160"
"In post","2022","International Trade","30-39","520","520","49650","51710"
"In post","2022","International Trade","40-49","280","270","52930","51970"
"In post","2022","International Trade","50-59","270","260","52040","48220"
"In post","2022","International Trade","60-64","50","50","[c]","[c]"
"In post","2022","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","20-29","290","290","30960","28250"
"In post","2022","Knowledge and Information Management","30-39","440","430","36070","33000"
"In post","2022","Knowledge and Information Management","40-49","590","570","37190","35000"
"In post","2022","Knowledge and Information Management","50-59","770","750","36310","33300"
"In post","2022","Knowledge and Information Management","60-64","220","210","34090","31030"
"In post","2022","Knowledge and Information Management","65+","60","50","33290","28250"
"In post","2022","Legal","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Legal","20-29","1340","1330","35170","32780"
"In post","2022","Legal","30-39","3130","3020","46760","48830"
"In post","2022","Legal","40-49","3620","3350","51820","53050"
"In post","2022","Legal","50-59","3620","3400","52010","53050"
"In post","2022","Legal","60-64","720","590","52000","54580"
"In post","2022","Legal","65+","260","180","51920","55610"
"In post","2022","Medicine","20-29","140","130","33100","31530"
"In post","2022","Medicine","30-39","590","520","45860","39030"
"In post","2022","Medicine","40-49","770","670","57360","47470"
"In post","2022","Medicine","50-59","730","660","61740","47470"
"In post","2022","Medicine","60-64","210","180","65820","49250"
"In post","2022","Medicine","65+","70","60","73530","78100"
"In post","2022","Operational Delivery","16-19","660","630","22020","21260"
"In post","2022","Operational Delivery","20-29","38420","37660","25920","24890"
"In post","2022","Operational Delivery","30-39","51650","48390","28480","27130"
"In post","2022","Operational Delivery","40-49","57010","52500","29970","27570"
"In post","2022","Operational Delivery","50-59","76200","69940","29810","27570"
"In post","2022","Operational Delivery","60-64","23710","18850","27830","26780"
"In post","2022","Operational Delivery","65+","7340","5410","27040","25460"
"In post","2022","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","20-29","320","320","35360","34610"
"In post","2022","Operational Research","30-39","340","320","46470","47010"
"In post","2022","Operational Research","40-49","240","220","50040","47590"
"In post","2022","Operational Research","50-59","180","170","50720","48090"
"In post","2022","Operational Research","60-64","40","30","[c]","[c]"
"In post","2022","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","Other","16-19","110","100","20400","21170"
"In post","2022","Other","20-29","3580","3530","26950","26250"
"In post","2022","Other","30-39","5350","5070","31990","27570"
"In post","2022","Other","40-49","6470","6130","33330","27570"
"In post","2022","Other","50-59","10270","9850","30930","27570"
"In post","2022","Other","60-64","3480","3150","29120","26160"
"In post","2022","Other","65+","1120","970","27820","23120"
"In post","2022","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Planning","20-29","40","40","[c]","[c]"
"In post","2022","Planning","30-39","70","70","41020","39600"
"In post","2022","Planning","40-49","60","50","48080","48200"
"In post","2022","Planning","50-59","50","50","50600","49430"
"In post","2022","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","30-39","60","50","48420","47660"
"In post","2022","Planning Inspectors","40-49","110","100","53230","47660"
"In post","2022","Planning Inspectors","50-59","130","120","57610","58810"
"In post","2022","Planning Inspectors","60-64","40","30","[c]","[c]"
"In post","2022","Planning Inspectors","65+","40","30","[c]","[c]"
"In post","2022","Policy","16-19","40","40","[c]","[c]"
"In post","2022","Policy","20-29","8640","8600","38710","35700"
"In post","2022","Policy","30-39","9520","9260","48600","50790"
"In post","2022","Policy","40-49","7330","7000","53230","53420"
"In post","2022","Policy","50-59","6000","5840","50420","47470"
"In post","2022","Policy","60-64","1110","1010","49560","44060"
"In post","2022","Policy","65+","320","270","45060","38800"
"In post","2022","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","20-29","2030","2020","34200","33080"
"In post","2022","Project Delivery","30-39","3650","3540","42130","40170"
"In post","2022","Project Delivery","40-49","4160","4020","45990","41380"
"In post","2022","Project Delivery","50-59","4750","4600","46500","41630"
"In post","2022","Project Delivery","60-64","1040","890","43070","40560"
"In post","2022","Project Delivery","65+","250","190","41940","39990"
"In post","2022","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","16-19","30","30","[c]","[c]"
"In post","2022","Property","20-29","840","830","30100","28500"
"In post","2022","Property","30-39","1110","1070","37720","33740"
"In post","2022","Property","40-49","1680","1620","39950","36560"
"In post","2022","Property","50-59","2720","2640","40130","36050"
"In post","2022","Property","60-64","890","800","37770","34000"
"In post","2022","Property","65+","330","280","33900","31900"
"In post","2022","Psychology","20-29","400","390","27700","27700"
"In post","2022","Psychology","30-39","610","580","34970","31180"
"In post","2022","Psychology","40-49","340","310","44570","45830"
"In post","2022","Psychology","50-59","160","150","40470","31180"
"In post","2022","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","16-19","120","120","18450","17450"
"In post","2022","Science and Engineering","20-29","2900","2880","29360","28680"
"In post","2022","Science and Engineering","30-39","3000","2920","38920","38070"
"In post","2022","Science and Engineering","40-49","2970","2840","44070","42130"
"In post","2022","Science and Engineering","50-59","3450","3350","43750","42030"
"In post","2022","Science and Engineering","60-64","1090","980","40590","39250"
"In post","2022","Science and Engineering","65+","420","340","40140","36990"
"In post","2022","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Security","20-29","1120","1120","27730","26610"
"In post","2022","Security","30-39","1740","1730","33360","32090"
"In post","2022","Security","40-49","1940","1910","34760","35060"
"In post","2022","Security","50-59","3320","3280","33560","33000"
"In post","2022","Security","60-64","870","790","28790","22900"
"In post","2022","Security","65+","280","240","27660","22460"
"In post","2022","Social Research","20-29","560","550","35830","33710"
"In post","2022","Social Research","30-39","410","390","44710","41950"
"In post","2022","Social Research","40-49","230","210","49160","50210"
"In post","2022","Social Research","50-59","100","100","53090","55210"
"In post","2022","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","20-29","840","830","35640","33710"
"In post","2022","Statistics","30-39","700","670","44830","42100"
"In post","2022","Statistics","40-49","500","470","51120","51300"
"In post","2022","Statistics","50-59","300","290","50900","51210"
"In post","2022","Statistics","60-64","50","50","46830","40650"
"In post","2022","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2022","Tax","16-19","60","60","21680","21250"
"In post","2022","Tax","20-29","4200","4120","28830","26590"
"In post","2022","Tax","30-39","5350","5180","34760","33370"
"In post","2022","Tax","40-49","3820","3670","36750","33370"
"In post","2022","Tax","50-59","4550","4350","39180","35720"
"In post","2022","Tax","60-64","1280","1000","38880","35170"
"In post","2022","Tax","65+","350","240","38020","35980"
"In post","2022","Unknown","16-19","100","100","23020","21260"
"In post","2022","Unknown","20-29","8060","7990","32180","29250"
"In post","2022","Unknown","30-39","8610","8360","41340","37300"
"In post","2022","Unknown","40-49","7360","7070","47790","43000"
"In post","2022","Unknown","50-59","6420","6230","48040","40810"
"In post","2022","Unknown","60-64","1340","1200","42950","35560"
"In post","2022","Unknown","65+","360","310","40450","31540"
"In post","2022","Veterinarian","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","30-39","100","100","38790","37240"
"In post","2022","Veterinarian","40-49","150","150","44040","40460"
"In post","2022","Veterinarian","50-59","100","90","49040","51300"
"In post","2022","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","20-29","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","30-39","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","50-59","50","40","[c]","[c]"
"Leaver CS","2021","Commercial","60-64","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","20-29","80","80","29570","28500"
"Leaver CS","2021","Communications","30-39","50","50","[c]","[c]"
"Leaver CS","2021","Communications","40-49","40","40","[c]","[c]"
"Leaver CS","2021","Communications","50-59","40","40","[c]","[c]"
"Leaver CS","2021","Communications","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","20-29","110","110","30860","29730"
"Leaver CS","2021","Digital, Data and Technology","30-39","100","100","44400","41960"
