"Status","Year","Organisation","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Digital, Data and Technology","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Operational Delivery","500","470","34880","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Operational Delivery","570","520","21410","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Science and Engineering","210","200","23200","24370"
"In post","2021","Animal and Plant Health Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Operational Delivery","580","550","26240","25320"
"In post","2021","Animal and Plant Health Agency","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Science and Engineering","170","160","27780","28170"
"In post","2021","Animal and Plant Health Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Operational Delivery","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","Science and Engineering","60","60","56480","54560"
"In post","2021","Animal and Plant Health Agency","G6/G7","Veterinarian","100","90","55240","54690"
"In post","2021","Animal and Plant Health Agency","SCS","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Operational Delivery","370","360","33080","31920"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Science and Engineering","210","200","36320","35760"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","Veterinarian","250","230","40770","37480"
"In post","2021","Attorney General's Office","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","AA/AO","Unknown","550","510","21780","20920"
"In post","2021","Cabinet Office (excl. agencies)","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","EO","Unknown","870","850","27210","27500"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","G6/G7","Unknown","2990","2930","59600","56340"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SCS","Unknown","970","950","92190","78290"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","SEO/HEO","Unknown","3970","3930","33610","33300"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","Science and Engineering","90","90","25060","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Science and Engineering","90","80","51900","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Science and Engineering","260","240","32850","30220"
"In post","2021","Charity Commission","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","EO","Unknown","70","70","24760","24440"
"In post","2021","Charity Commission","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","SEO/HEO","Unknown","110","110","32060","29550"
"In post","2021","Companies House","AA/AO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Operational Delivery","380","330","21740","22490"
"In post","2021","Companies House","AA/AO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","AA/AO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Digital, Data and Technology","80","80","32490","32900"
"In post","2021","Companies House","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Human Resources","30","30","[c]","[c]"
"In post","2021","Companies House","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Operational Delivery","140","130","26060","25460"
"In post","2021","Companies House","EO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SCS","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Digital, Data and Technology","160","150","40440","40010"
"In post","2021","Companies House","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Economics","60","60","66000","62890"
"In post","2021","Competition and Markets Authority","G6/G7","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Legal","90","90","68210","72430"
"In post","2021","Competition and Markets Authority","G6/G7","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Project Delivery","180","170","66220","62890"
"In post","2021","Competition and Markets Authority","G6/G7","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SCS","Project Delivery","60","60","110090","102030"
"In post","2021","Competition and Markets Authority","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","SEO/HEO","Legal","[c]","[c]","[c]","[c]"
