"Status","Year","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Male","Unknown","1620","1490","38520","33120"
"Leaver Dept.","2021","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Declared disabled","1110","1030","35290","31060"
"Leaver Dept.","2022","Female","Declared non-disabled","8650","8040","37150","32300"
"Leaver Dept.","2022","Female","Undeclared","450","430","35380","31990"
"Leaver Dept.","2022","Female","Unknown","3740","2840","40590","34530"
"Leaver Dept.","2022","Male","Declared disabled","740","710","36320","30980"
"Leaver Dept.","2022","Male","Declared non-disabled","5770","5540","39330","33300"
"Leaver Dept.","2022","Male","Undeclared","410","400","37070","33300"
"Leaver Dept.","2022","Male","Unknown","2790","2200","43090","36170"
"Leaver Dept.","2022","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Declared disabled","2410","2310","27800","27570"
"New entrant CS","2021","Female","Declared non-disabled","17090","16460","28500","27570"
"New entrant CS","2021","Female","Undeclared","1060","1000","31060","27570"
"New entrant CS","2021","Female","Unknown","11120","10740","29380","26160"
"New entrant CS","2021","Male","Declared disabled","1600","1590","28290","27570"
"New entrant CS","2021","Male","Declared non-disabled","13330","13180","29890","27570"
"New entrant CS","2021","Male","Undeclared","850","830","32090","27850"
"New entrant CS","2021","Male","Unknown","9680","9540","30900","26590"
"New entrant CS","2021","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","50","50","[c]","[c]"
"New entrant CS","2022","Female","Declared disabled","3220","3060","28980","27230"
"New entrant CS","2022","Female","Declared non-disabled","21190","20380","28980","26590"
"New entrant CS","2022","Female","Undeclared","1020","980","29390","27570"
"New entrant CS","2022","Female","Unknown","13990","13140","29120","26350"
"New entrant CS","2022","Male","Declared disabled","2010","1960","29220","27230"
"New entrant CS","2022","Male","Declared non-disabled","15730","15500","30540","27540"
"New entrant CS","2022","Male","Undeclared","850","830","30780","27570"
"New entrant CS","2022","Male","Unknown","11400","10960","30560","26880"
"New entrant CS","2022","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
