"Status","Year","Region_ITL2","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Ministry of Defence (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Ministry of Defence (excl. agencies)","70","70","43720","37640"
"In post","2021","Bedfordshire and Hertfordshire","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Crown Prosecution Service","170","150","42580","40000"
"In post","2021","Bedfordshire and Hertfordshire","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Driver and Vehicle Standards Agency","100","90","29500","27680"
"In post","2021","Bedfordshire and Hertfordshire","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Health and Safety Executive","60","60","42850","45100"
"In post","2021","Bedfordshire and Hertfordshire","No function","HM Courts and Tribunals Service","290","250","21990","20910"
"In post","2021","Bedfordshire and Hertfordshire","No function","HM Prison and Probation Service","990","940","29560","29920"
"In post","2021","Bedfordshire and Hertfordshire","No function","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","No function","National Crime Agency","110","100","38680","37860"
"In post","2021","Bedfordshire and Hertfordshire","No function","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Defence Equipment and Support","60","50","36590","35630"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","Ministry of Defence (excl. agencies)","120","120","42060","39740"
"In post","2021","Bedfordshire and Hertfordshire","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Security","Ministry of Defence (excl. agencies)","80","80","25050","22650"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Department for Work and Pensions (excl. agencies)","1110","1020","28790","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Home Office (incl. agencies)","280","250","28740","26520"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Medicines and Healthcare Products Regulatory Agency","300","290","44550","41010"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Ministry of Defence (excl. agencies)","340","330","34820","32200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","FCDO Services","70","70","43520","40850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Ministry of Defence (excl. agencies)","90","90","35110","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Ministry of Defence (excl. agencies)","60","60","30620","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","HM Revenue and Customs (excl. agencies)","90","80","32030","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Debt","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","90","80","41520","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","FCDO Services","110","100","44010","40670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","FCDO Services","50","50","37380","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Ministry of Defence (excl. agencies)","180","170","36890","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","Rural Payments Agency","160","150","28760","25190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","FCDO Services","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Ministry of Defence (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Crown Prosecution Service","130","120","43640","40000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","FCDO Services","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","HM Courts and Tribunals Service","40","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Legal","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Department for International Trade","70","70","43490","38540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Driver and Vehicle Standards Agency","90","80","27680","26780"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Foreign, Commonwealth and Development Office (excl. agencies)","230","220","29870","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","HM Courts and Tribunals Service","280","250","22030","21180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","HM Prison and Probation Service","2210","2110","30420","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","HM Revenue and Customs (excl. agencies)","330","310","30360","28130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","National Crime Agency","110","100","39540","39570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","No function","Public Health England","350","310","44580","40030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Defence Equipment and Support","130","120","35770","34270"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","FCDO Services","60","60","37890","32480"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Ministry of Defence (excl. agencies)","280","270","40460","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","FCDO Services","180","180","35870","34080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Ministry of Defence (excl. agencies)","130","120","28990","26930"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Property","Valuation Office Agency","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Cabinet Office (excl. agencies)","100","90","30270","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","FCDO Services","200","190","35640","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","HM Prison and Probation Service","50","50","40700","40450"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Security","Ministry of Defence (excl. agencies)","730","720","33490","30890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Department for Work and Pensions (excl. agencies)","1150","1050","28280","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Home Office (incl. agencies)","80","70","28450","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Ministry of Defence (excl. agencies)","1120","1080","29590","23580"
"In post","2021","Cheshire","Analysis","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Counter Fraud","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","45110","48370"
"In post","2021","Cheshire","Digital, Data & Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Digital, Data & Technology","National Crime Agency","50","50","[c]","[c]"
"In post","2021","Cheshire","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Grants Management","Rural Payments Agency","100","90","24740","24920"
"In post","2021","Cheshire","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Human Resources","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Cheshire","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","Animal and Plant Health Agency","30","30","[c]","[c]"
"In post","2021","Cheshire","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","Health and Safety Executive","30","30","[c]","[c]"
"In post","2021","Cheshire","No function","HM Courts and Tribunals Service","100","90","21710","20100"
"In post","2021","Cheshire","No function","HM Prison and Probation Service","1080","1020","28990","26850"
"In post","2021","Cheshire","No function","Ministry of Housing, Communities and Local Government (excl. agencies)","60","50","37700","34100"
"In post","2021","Cheshire","No function","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","No function","National Crime Agency","1060","1040","35780","34440"
"In post","2021","Cheshire","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Department for Work and Pensions (excl. agencies)","940","850","25480","27570"
"In post","2021","Cheshire","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
