"Status","Year","Responsibility_level","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2021","AA/AO","East of England","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Crown Prosecution Service","110","100","22440","23520"
"In post","2021","AA/AO","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Department for Work and Pensions (excl. agencies)","1020","850","22720","22980"
"In post","2021","AA/AO","East of England","Driver and Vehicle Standards Agency","80","80","26400","26580"
"In post","2021","AA/AO","East of England","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","HM Courts and Tribunals Service","720","620","19390","19570"
"In post","2021","AA/AO","East of England","HM Land Registry","70","70","22360","22350"
"In post","2021","AA/AO","East of England","HM Prison and Probation Service","3040","2890","26520","26630"
"In post","2021","AA/AO","East of England","HM Revenue and Customs (excl. agencies)","370","320","21040","21400"
"In post","2021","AA/AO","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Home Office (incl. agencies)","640","570","21160","21430"
"In post","2021","AA/AO","East of England","Insolvency Service","50","50","21010","20880"
"In post","2021","AA/AO","East of England","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Ministry of Defence (excl. agencies)","1480","1410","22440","20920"
"In post","2021","AA/AO","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Public Health England","70","60","21580","21570"
"In post","2021","AA/AO","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Cabinet Office (excl. agencies)","140","140","24470","24490"
"In post","2021","AA/AO","London","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Crown Prosecution Service","330","310","23110","23520"
"In post","2021","AA/AO","London","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","25600","24900"
"In post","2021","AA/AO","London","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Department for Environment, Food and Rural Affairs (excl. agencies)","80","80","24430","24370"
"In post","2021","AA/AO","London","Department for International Trade","30","30","[c]","[c]"
"In post","2021","AA/AO","London","Department for Transport (excl. agencies)","120","100","30120","32740"
"In post","2021","AA/AO","London","Department for Work and Pensions (excl. agencies)","1620","1420","24460","25110"
"In post","2021","AA/AO","London","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","London","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","FCDO Services","30","30","[c]","[c]"
"In post","2021","AA/AO","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Foreign, Commonwealth and Development Office (excl. agencies)","240","230","27590","28000"
"In post","2021","AA/AO","London","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Government Legal Department","60","60","23740","23800"
"In post","2021","AA/AO","London","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","HM Courts and Tribunals Service","2410","2240","22030","22680"
"In post","2021","AA/AO","London","HM Land Registry","70","70","25820","25850"
"In post","2021","AA/AO","London","HM Prison and Probation Service","2910","2810","30400","31590"
"In post","2021","AA/AO","London","HM Revenue and Customs (excl. agencies)","880","800","24820","24670"
"In post","2021","AA/AO","London","HM Treasury (excl. agencies)","50","40","[c]","[c]"
"In post","2021","AA/AO","London","Home Office (incl. agencies)","1810","1630","24980","25630"
"In post","2021","AA/AO","London","Insolvency Service","70","70","24600","25060"
"In post","2021","AA/AO","London","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Ministry of Defence (excl. agencies)","800","780","24870","23890"
"In post","2021","AA/AO","London","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","London","Ministry of Justice (excl. agencies)","110","110","23050","22680"
"In post","2021","AA/AO","London","National Crime Agency","100","100","25970","24220"
"In post","2021","AA/AO","London","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Public Health England","230","200","23540","23530"
"In post","2021","AA/AO","London","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","The National Archives","90","80","21250","20650"
"In post","2021","AA/AO","London","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Valuation Office Agency","80","70","25400","25460"
"In post","2021","AA/AO","London","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Cabinet Office (excl. agencies)","160","140","20800","20800"
"In post","2021","AA/AO","North East (England)","Crown Prosecution Service","100","80","21860","21950"
"In post","2021","AA/AO","North East (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Department for Work and Pensions (excl. agencies)","4210","3610","20860","21010"
"In post","2021","AA/AO","North East (England)","Driver and Vehicle Standards Agency","150","130","22210","21590"
"In post","2021","AA/AO","North East (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","HM Courts and Tribunals Service","440","370","19280","19570"
"In post","2021","AA/AO","North East (England)","HM Land Registry","260","250","22350","22350"
"In post","2021","AA/AO","North East (England)","HM Prison and Probation Service","1890","1750","25920","25300"
"In post","2021","AA/AO","North East (England)","HM Revenue and Customs (excl. agencies)","5110","4210","20660","20140"
"In post","2021","AA/AO","North East (England)","Home Office (incl. agencies)","660","530","21080","21430"
"In post","2021","AA/AO","North East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Legal Aid Agency","120","100","18950","18890"
"In post","2021","AA/AO","North East (England)","Ministry of Defence (excl. agencies)","160","160","20310","20920"
"In post","2021","AA/AO","North East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North East (England)","Rural Payments Agency","130","120","21050","21050"
"In post","2021","AA/AO","North East (England)","Valuation Office Agency","200","190","20830","20880"
"In post","2021","AA/AO","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Animal and Plant Health Agency","120","110","21100","21050"
"In post","2021","AA/AO","North West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Crown Prosecution Service","210","190","21970","21950"
"In post","2021","AA/AO","North West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Department for Work and Pensions (excl. agencies)","6650","5790","20780","21010"
"In post","2021","AA/AO","North West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Driver and Vehicle Standards Agency","80","80","25470","26580"
"In post","2021","AA/AO","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Health and Safety Executive","110","100","21690","22160"
"In post","2021","AA/AO","North West (England)","HM Courts and Tribunals Service","1400","1220","19620","19930"
"In post","2021","AA/AO","North West (England)","HM Land Registry","310","290","22350","22350"
"In post","2021","AA/AO","North West (England)","HM Prison and Probation Service","3430","3190","25470","24920"
"In post","2021","AA/AO","North West (England)","HM Revenue and Customs (excl. agencies)","4370","3840","20550","20140"
"In post","2021","AA/AO","North West (England)","Home Office (incl. agencies)","2460","2190","21010","21430"
"In post","2021","AA/AO","North West (England)","Insolvency Service","90","80","20770","20880"
"In post","2021","AA/AO","North West (England)","Legal Aid Agency","100","100","20140","19930"
"In post","2021","AA/AO","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Ministry of Defence (excl. agencies)","800","740","21440","21030"
"In post","2021","AA/AO","North West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","National Crime Agency","80","80","21800","20800"
"In post","2021","AA/AO","North West (England)","Office for Standards in Education, Children's Services and Skills","140","130","21160","21160"
"In post","2021","AA/AO","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North West (England)","Public Health England","150","140","19870","19630"
"In post","2021","AA/AO","North West (England)","Rural Payments Agency","490","430","20980","21050"
"In post","2021","AA/AO","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland","HM Revenue and Customs (excl. agencies)","710","640","20460","20140"
"In post","2021","AA/AO","Northern Ireland","Home Office (incl. agencies)","220","190","21260","21430"
"In post","2021","AA/AO","Northern Ireland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland","Ministry of Defence (excl. agencies)","710","690","20830","20310"
"In post","2021","AA/AO","Northern Ireland","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Northern Ireland","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Accountant in Bankruptcy","30","30","[c]","[c]"
"In post","2021","AA/AO","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Animal and Plant Health Agency","40","30","[c]","[c]"
"In post","2021","AA/AO","Scotland","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Criminal Injuries Compensation Authority","120","100","20270","20650"
"In post","2021","AA/AO","Scotland","Crown Office and Procurator Fiscal Service","710","630","21930","22220"
"In post","2021","AA/AO","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Department for Work and Pensions (excl. agencies)","3750","3230","20770","21010"
"In post","2021","AA/AO","Scotland","Disclosure Scotland","190","170","21940","22230"
"In post","2021","AA/AO","Scotland","Driver and Vehicle Standards Agency","60","60","26040","27680"
"In post","2021","AA/AO","Scotland","Education Scotland","40","40","[c]","[c]"
"In post","2021","AA/AO","Scotland","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","60","50","21490","21490"
"In post","2021","AA/AO","Scotland","Forestry and Land Scotland","470","460","24930","25140"
"In post","2021","AA/AO","Scotland","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","HM Courts and Tribunals Service","160","150","20060","19930"
"In post","2021","AA/AO","Scotland","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","HM Revenue and Customs (excl. agencies)","3730","3250","20470","20140"
"In post","2021","AA/AO","Scotland","Home Office (incl. agencies)","280","250","21210","21430"
"In post","2021","AA/AO","Scotland","Insolvency Service","50","40","[c]","[c]"
"In post","2021","AA/AO","Scotland","Maritime and Coastguard Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Scotland","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Ministry of Defence (excl. agencies)","2330","2230","24810","21130"
"In post","2021","AA/AO","Scotland","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","National Records of Scotland","160","140","22560","22230"
"In post","2021","AA/AO","Scotland","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","AA/AO","Scotland","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Registers of Scotland","360","340","24010","24130"
"In post","2021","AA/AO","Scotland","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Scottish Courts and Tribunals Service","920","810","21680","22820"
"In post","2021","AA/AO","Scotland","Scottish Forestry","50","40","23550","22920"
"In post","2021","AA/AO","Scotland","Scottish Government (excl. agencies)","920","880","23730","23340"
"In post","2021","AA/AO","Scotland","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Scottish Prison Service","1540","1470","23760","24450"
"In post","2021","AA/AO","Scotland","Scottish Public Pensions Agency","140","120","24020","24110"
"In post","2021","AA/AO","Scotland","Social Security Scotland","400","380","21090","20060"
"In post","2021","AA/AO","Scotland","Student Awards Agency for Scotland","120","110","21800","22230"
"In post","2021","AA/AO","Scotland","Transport Scotland","60","60","22880","22230"
"In post","2021","AA/AO","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Animal and Plant Health Agency","180","170","24230","24370"
"In post","2021","AA/AO","South East (England)","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Crown Prosecution Service","150","140","22760","23520"
"In post","2021","AA/AO","South East (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Department for Work and Pensions (excl. agencies)","1850","1590","22150","21010"
"In post","2021","AA/AO","South East (England)","Driver and Vehicle Standards Agency","100","100","27200","27680"
"In post","2021","AA/AO","South East (England)","FCDO Services","100","100","23180","22850"
"In post","2021","AA/AO","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","130","120","24800","24750"
"In post","2021","AA/AO","South East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","HM Courts and Tribunals Service","870","750","19700","19930"
"In post","2021","AA/AO","South East (England)","HM Prison and Probation Service","4710","4510","27730","28590"
"In post","2021","AA/AO","South East (England)","HM Revenue and Customs (excl. agencies)","750","650","20720","20140"
"In post","2021","AA/AO","South East (England)","Home Office (incl. agencies)","540","510","21640","21430"
"In post","2021","AA/AO","South East (England)","Insolvency Service","50","50","21380","20880"
"In post","2021","AA/AO","South East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Maritime and Coastguard Agency","140","130","23950","21590"
"In post","2021","AA/AO","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Ministry of Defence (excl. agencies)","3190","3080","23860","20920"
"In post","2021","AA/AO","South East (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Public Health England","70","50","21310","21570"
"In post","2021","AA/AO","South East (England)","Rural Payments Agency","70","60","21050","21050"
"In post","2021","AA/AO","South East (England)","United Kingdom Statistics Authority","1050","660","19720","19520"
"In post","2021","AA/AO","South East (England)","Valuation Office Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Animal and Plant Health Agency","160","150","21110","21050"
"In post","2021","AA/AO","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Crown Prosecution Service","60","50","21750","21950"
"In post","2021","AA/AO","South West (England)","Defence Science and Technology Laboratory","100","100","18880","17710"
"In post","2021","AA/AO","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Department for Work and Pensions (excl. agencies)","1790","1480","20880","21010"
"In post","2021","AA/AO","South West (England)","Driver and Vehicle Standards Agency","100","90","24650","26580"
"In post","2021","AA/AO","South West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","HM Courts and Tribunals Service","670","570","19170","19570"
"In post","2021","AA/AO","South West (England)","HM Land Registry","380","350","22240","22350"
"In post","2021","AA/AO","South West (England)","HM Prison and Probation Service","2090","1960","25140","24440"
"In post","2021","AA/AO","South West (England)","HM Revenue and Customs (excl. agencies)","150","140","20700","20140"
"In post","2021","AA/AO","South West (England)","Home Office (incl. agencies)","50","40","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Insolvency Service","60","60","20880","20880"
"In post","2021","AA/AO","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Met Office","90","90","22540","21140"
"In post","2021","AA/AO","South West (England)","Ministry of Defence (excl. agencies)","2720","2600","22120","20920"
"In post","2021","AA/AO","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","National Crime Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Planning Inspectorate","160","150","21540","21270"
"In post","2021","AA/AO","South West (England)","Public Health England","200","170","20150","19630"
"In post","2021","AA/AO","South West (England)","Rural Payments Agency","100","90","21030","21050"
"In post","2021","AA/AO","South West (England)","UK Hydrographic Office","80","80","20360","20170"
"In post","2021","AA/AO","South West (England)","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","South West (England)","Valuation Office Agency","240","220","20810","21100"
"In post","2021","AA/AO","South West (England)","Vehicle Certification Agency","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Department for Work and Pensions (excl. agencies)","170","150","22470","21010"
"In post","2021","AA/AO","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales","Animal and Plant Health Agency","140","130","21100","21050"
"In post","2021","AA/AO","Wales","Companies House","390","340","21700","22490"
"In post","2021","AA/AO","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Wales","Crown Prosecution Service","80","70","21970","21950"
"In post","2021","AA/AO","Wales","Defence Electronics and Components Agency","80","70","19970","21000"
"In post","2021","AA/AO","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
