"Status","Year","Organisation","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","3860","3810","44440","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","White","70","70","56400","54890"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","White","370","360","32890","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","White","160","150","37620","35900"
"In post","2021","Charity Commission","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared non-disabled","White","180","180","34650","29160"
"In post","2021","Charity Commission","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","70","70","36220","29270"
"In post","2021","Charity Commission","Unknown","White","120","110","33800","29540"
"In post","2021","Companies House","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared disabled","White","60","60","31560","25100"
"In post","2021","Companies House","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Declared non-disabled","White","610","570","32310","27460"
"In post","2021","Companies House","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","White","40","40","[c]","[c]"
"In post","2021","Companies House","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Unknown","90","90","29430","24500"
"In post","2021","Companies House","Unknown","White","160","140","27070","22490"
"In post","2021","Competition and Markets Authority","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared disabled","White","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Asian","90","90","45560","37650"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Black","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Mixed","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Declared non-disabled","White","510","490","63790","59450"
"In post","2021","Competition and Markets Authority","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared disabled","White","30","30","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Declared non-disabled","White","140","130","28560","23250"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Undeclared","White","50","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared disabled","White","30","30","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Declared non-disabled","White","190","180","41110","35420"
"In post","2021","Crown Commercial Service","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Unknown","120","110","32630","28070"
"In post","2021","Crown Commercial Service","Unknown","White","340","330","36890","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared disabled","White","100","90","37740","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","Asian","40","30","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Declared non-disabled","White","1690","1570","35420","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Undeclared","White","50","40","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Unknown","White","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","Asian","50","50","40240","34480"
"In post","2021","Crown Prosecution Service","Declared disabled","Black","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Declared disabled","Unknown","30","30","[c]","[c]"
