"Status","Year","Region_ITL1","Parent_department","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Ministry of Justice","Black","190","180","25970","22850"
"In post","2021","East Midlands (England)","Ministry of Justice","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Mixed","130","120","29010","24440"
"In post","2021","East Midlands (England)","Ministry of Justice","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Ministry of Justice","Undeclared","220","210","26750","23910"
"In post","2021","East Midlands (England)","Ministry of Justice","Unknown","750","700","24570","22920"
"In post","2021","East Midlands (England)","Ministry of Justice","White","5420","5050","27850","25380"
"In post","2021","East Midlands (England)","National Crime Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","National Crime Agency","White","130","120","38120","36740"
"In post","2021","East Midlands (England)","Office for Standards in Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Office for Standards in Education","White","150","140","46640","46360"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Black","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other Cabinet Office Agencies","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Asian","30","30","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","Unknown","50","40","[c]","[c]"
"In post","2021","East of England","Attorney General's Departments","White","360","320","40210","33290"
"In post","2021","East of England","Cabinet Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Cabinet Office","Unknown","50","50","[c]","[c]"
"In post","2021","East of England","Cabinet Office","White","60","60","40420","33300"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","Unknown","60","60","28230","23900"
"In post","2021","East of England","Department for Business, Energy and Industrial Strategy","White","140","130","36060","34500"
"In post","2021","East of England","Department for Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Education","White","50","50","48400","50130"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","Unknown","80","70","32420","29220"
"In post","2021","East of England","Department for Environment, Food and Rural Affairs","White","700","670","34290","30220"
"In post","2021","East of England","Department for International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Transport","Undeclared","60","50","28890","27680"
"In post","2021","East of England","Department for Transport","Unknown","60","60","27320","26700"
"In post","2021","East of England","Department for Transport","White","270","250","29660","26780"
"In post","2021","East of England","Department for Work and Pensions","Asian","350","310","28010","27570"
"In post","2021","East of England","Department for Work and Pensions","Black","250","230","28300","29290"
"In post","2021","East of England","Department for Work and Pensions","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions","Mixed","110","100","27860","27570"
"In post","2021","East of England","Department for Work and Pensions","Other ethnicity","30","30","[c]","[c]"
"In post","2021","East of England","Department for Work and Pensions","Undeclared","240","210","28940","27570"
"In post","2021","East of England","Department for Work and Pensions","Unknown","240","220","29360","27570"
"In post","2021","East of England","Department for Work and Pensions","White","3470","3100","28580","27570"
"In post","2021","East of England","Department of Health and Social Care","Asian","80","70","46180","38200"
"In post","2021","East of England","Department of Health and Social Care","Black","40","40","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Mixed","40","40","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","Undeclared","50","50","43320","36060"
"In post","2021","East of England","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Department of Health and Social Care","White","500","460","43960","39110"
"In post","2021","East of England","Food Standards Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Food Standards Agency","White","50","50","27560","26750"
"In post","2021","East of England","HM Land Registry","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Land Registry","Unknown","40","40","[c]","[c]"
"In post","2021","East of England","HM Land Registry","White","210","190","32400","27130"
"In post","2021","East of England","HM Revenue and Customs","Asian","50","50","34180","31810"
"In post","2021","East of England","HM Revenue and Customs","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Revenue and Customs","Undeclared","120","110","31900","31810"
"In post","2021","East of England","HM Revenue and Customs","Unknown","370","340","30370","28110"
"In post","2021","East of England","HM Revenue and Customs","White","1240","1120","32580","31810"
"In post","2021","East of England","HM Treasury","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","HM Treasury","White","60","60","30910","24160"
"In post","2021","East of England","Home Office","Asian","270","230","23970","21430"
"In post","2021","East of England","Home Office","Black","50","50","26290","26160"
"In post","2021","East of England","Home Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Mixed","30","30","[c]","[c]"
"In post","2021","East of England","Home Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Home Office","Undeclared","140","130","28000","27370"
"In post","2021","East of England","Home Office","Unknown","90","90","23350","21430"
"In post","2021","East of England","Home Office","White","1360","1230","27030","25310"
"In post","2021","East of England","Ministry of Defence","Asian","110","110","40080","37000"
"In post","2021","East of England","Ministry of Defence","Black","40","40","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Mixed","40","40","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Defence","Undeclared","240","230","34050","33300"
"In post","2021","East of England","Ministry of Defence","Unknown","270","260","29740","26750"
"In post","2021","East of England","Ministry of Defence","White","3090","2980","31330","28650"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Housing, Communities and Local Government","White","60","60","39290","37160"
"In post","2021","East of England","Ministry of Justice","Asian","180","160","27150","24170"
"In post","2021","East of England","Ministry of Justice","Black","140","140","28930","26940"
"In post","2021","East of England","Ministry of Justice","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice","Mixed","130","120","28400","27850"
"In post","2021","East of England","Ministry of Justice","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Ministry of Justice","Undeclared","150","140","28400","28730"
"In post","2021","East of England","Ministry of Justice","Unknown","720","680","26040","25790"
"In post","2021","East of England","Ministry of Justice","White","5190","4840","29170","27920"
"In post","2021","East of England","National Crime Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","National Crime Agency","White","100","100","38600","37860"
"In post","2021","East of England","Office for Standards in Education","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Office for Standards in Education","White","80","80","62440","61860"
"In post","2021","East of England","Other Cabinet Office Agencies","Asian","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","Black","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other Cabinet Office Agencies","White","130","130","36190","34800"
"In post","2021","London","Attorney General's Departments","Asian","590","550","44340","43920"
"In post","2021","London","Attorney General's Departments","Black","440","420","40550","32160"
"In post","2021","London","Attorney General's Departments","Chinese","40","30","[c]","[c]"
"In post","2021","London","Attorney General's Departments","Mixed","170","160","49120","51250"
"In post","2021","London","Attorney General's Departments","Other ethnicity","110","100","52310","52730"
"In post","2021","London","Attorney General's Departments","Undeclared","90","90","48700","50520"
"In post","2021","London","Attorney General's Departments","Unknown","650","610","51190","52100"
"In post","2021","London","Attorney General's Departments","White","2600","2440","52660","51830"
