"Status","Year","Parent_department","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office","Female","Property","50","50","47450","45150"
"In post","2021","Cabinet Office","Female","Security","460","430","32190","33000"
"In post","2021","Cabinet Office","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Commercial","750","750","74230","65440"
"In post","2021","Cabinet Office","Male","Communications","140","140","47870","40600"
"In post","2021","Cabinet Office","Male","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Male","Digital, Data & Technology","550","540","52530","54700"
"In post","2021","Cabinet Office","Male","Finance","50","50","[c]","[c]"
"In post","2021","Cabinet Office","Male","Human Resources","390","380","39200","35320"
"In post","2021","Cabinet Office","Male","Legal","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Male","No function","1880","1870","42120","33250"
"In post","2021","Cabinet Office","Male","Project Delivery","100","100","74710","64500"
"In post","2021","Cabinet Office","Male","Property","50","50","54370","54700"
"In post","2021","Cabinet Office","Male","Security","420","410","34060","33300"
"In post","2021","Cabinet Office","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Analysis","70","60","64330","65470"
"In post","2021","Chancellor's other departments","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","No function","60","60","48230","42600"
"In post","2021","Chancellor's other departments","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Analysis","120","110","70090","59150"
"In post","2021","Chancellor's other departments","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","No function","50","50","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Unknown","150","140","31930","29160"
"In post","2021","Charity Commission","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","No function","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Unknown","100","100","33290","29160"
"In post","2021","Competition and Markets Authority","Female","Analysis","60","50","57500","56360"
"In post","2021","Competition and Markets Authority","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Legal","90","80","67170","71370"
"In post","2021","Competition and Markets Authority","Female","Project Delivery","200","190","58920","55860"
"In post","2021","Competition and Markets Authority","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Analysis","80","80","62080","56630"
"In post","2021","Competition and Markets Authority","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Legal","80","70","71290","72430"
"In post","2021","Competition and Markets Authority","Male","Project Delivery","170","170","63200","59360"
"In post","2021","Competition and Markets Authority","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Analysis","120","120","43070","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Commercial","130","130","40940","39270"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Communications","130","120","43980","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Counter Fraud","120","110","38130","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Digital, Data & Technology","480","450","39580","39420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Finance","180","160","42340","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Human Resources","300","280","39290","36100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Legal","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","No function","4500","4210","38110","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Project Delivery","410","390","42750","39840"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Property","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Analysis","210","210","44140","38570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Commercial","120","120","45590","47400"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Communications","100","90","43380","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Counter Fraud","170","160","39980","38510"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Digital, Data & Technology","1110","1080","42130","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Finance","140","140","47520","42700"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Human Resources","100","100","42230","39820"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Legal","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","No function","4120","4040","43050","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Project Delivery","490","490","45270","41900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Property","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Analysis","50","50","53780","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Human Resources","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","No function","670","650","47170","47060"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Project Delivery","110","110","46160","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Analysis","90","90","51690","43280"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Finance","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","No function","520","510","48960","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Project Delivery","100","100","51290","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Analysis","220","200","43850","42580"
"In post","2021","Department for Education","Female","Commercial","110","100","40350","38000"
"In post","2021","Department for Education","Female","Communications","210","200","38660","36720"
"In post","2021","Department for Education","Female","Digital, Data & Technology","270","260","40760","36870"
"In post","2021","Department for Education","Female","Finance","280","270","42340","40670"
"In post","2021","Department for Education","Female","Human Resources","120","110","35030","30070"
"In post","2021","Department for Education","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Legal","40","40","[c]","[c]"
"In post","2021","Department for Education","Female","No function","2610","2470","42670","37100"
"In post","2021","Department for Education","Female","Project Delivery","310","290","45590","49860"
"In post","2021","Department for Education","Female","Property","110","110","44820","49860"
"In post","2021","Department for Education","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Unknown","360","340","50760","42580"
"In post","2021","Department for Education","Male","Analysis","190","190","44950","44430"
"In post","2021","Department for Education","Male","Commercial","100","90","40840","38000"
"In post","2021","Department for Education","Male","Communications","120","120","40630","36780"
"In post","2021","Department for Education","Male","Digital, Data & Technology","380","370","38920","36500"
"In post","2021","Department for Education","Male","Finance","260","250","44250","42520"
"In post","2021","Department for Education","Male","Human Resources","30","30","[c]","[c]"
"In post","2021","Department for Education","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","No function","1540","1530","43770","40230"
"In post","2021","Department for Education","Male","Project Delivery","230","230","50030","50630"
"In post","2021","Department for Education","Male","Property","160","150","52910","54400"
"In post","2021","Department for Education","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Male","Unknown","240","240","54220","50130"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Analysis","260","240","32170","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Commercial","130","120","35650","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Communications","250","230","37400","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Digital, Data & Technology","290","270","42020","39050"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Finance","220","200","39750","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Grants Management","1090","950","25070","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Human Resources","200","190","42870","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","No function","3170","2980","36430","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Project Delivery","290","260","37730","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Property","210","200","34030","30040"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Unknown","90","90","39520","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Analysis","330","320","35700","30400"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Commercial","80","80","41060","37240"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Communications","130","130","38640","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Digital, Data & Technology","420","420","43960","44760"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Finance","200","200","45930","42470"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Grants Management","800","780","26120","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Human Resources","70","70","42350","38420"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","No function","2360","2310","38650","34650"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Project Delivery","220","210","39050","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Property","180","180","40020","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Unknown","60","60","49250","53200"
"In post","2021","Department for International Trade","Female","Analysis","100","100","41910","38160"
"In post","2021","Department for International Trade","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Communications","60","60","39600","38470"
"In post","2021","Department for International Trade","Female","Digital, Data & Technology","70","70","44510","43000"
"In post","2021","Department for International Trade","Female","Finance","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Female","Human Resources","90","80","43770","38540"
"In post","2021","Department for International Trade","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","No function","850","840","45180","39280"
"In post","2021","Department for International Trade","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Analysis","150","150","44020","40330"
"In post","2021","Department for International Trade","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Communications","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Male","Digital, Data & Technology","60","60","49280","44500"
"In post","2021","Department for International Trade","Male","Finance","50","50","[c]","[c]"
"In post","2021","Department for International Trade","Male","Human Resources","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","No function","1030","1030","47300","41020"
"In post","2021","Department for International Trade","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Analysis","210","190","44920","42890"
"In post","2021","Department for Transport","Female","Commercial","110","100","32720","31040"
"In post","2021","Department for Transport","Female","Communications","180","170","36550","33350"
"In post","2021","Department for Transport","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Digital, Data & Technology","360","340","35740","32180"
"In post","2021","Department for Transport","Female","Finance","220","200","37200","32430"
"In post","2021","Department for Transport","Female","Human Resources","300","270","36590","32730"
"In post","2021","Department for Transport","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","No function","5470","4710","27670","21590"
"In post","2021","Department for Transport","Female","Project Delivery","290","280","46590","42470"
"In post","2021","Department for Transport","Female","Property","70","70","31330","26780"
"In post","2021","Department for Transport","Female","Security","40","30","[c]","[c]"
"In post","2021","Department for Transport","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Analysis","280","270","42850","39770"
"In post","2021","Department for Transport","Male","Commercial","100","90","34980","32020"
"In post","2021","Department for Transport","Male","Communications","120","120","39530","36410"
"In post","2021","Department for Transport","Male","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Department for Transport","Male","Digital, Data & Technology","820","810","41110","39040"
"In post","2021","Department for Transport","Male","Finance","200","200","42720","41650"
"In post","2021","Department for Transport","Male","Human Resources","130","120","36440","32930"
"In post","2021","Department for Transport","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Male","No function","6500","6240","32810","27680"
"In post","2021","Department for Transport","Male","Project Delivery","330","330","52670","49940"
"In post","2021","Department for Transport","Male","Property","80","80","35570","31990"
"In post","2021","Department for Transport","Male","Security","90","90","30540","25390"
"In post","2021","Department for Transport","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Human Resources","60","60","36990","31710"
"In post","2021","Department for Work and Pensions","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","No function","1090","990","38350","35910"
"In post","2021","Department for Work and Pensions","Female","Project Delivery","30","30","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Unknown","59540","51290","27230","27570"
"In post","2021","Department for Work and Pensions","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","No function","1110","1080","48760","46320"
"In post","2021","Department for Work and Pensions","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Male","Unknown","31410","30130","28440","27570"
"In post","2021","Department of Health and Social Care","Female","Analysis","150","130","52140","53360"
"In post","2021","Department of Health and Social Care","Female","Commercial","130","130","45300","40650"
"In post","2021","Department of Health and Social Care","Female","Communications","180","180","43410","36200"
"In post","2021","Department of Health and Social Care","Female","Digital, Data & Technology","150","140","43480","39400"
"In post","2021","Department of Health and Social Care","Female","Finance","340","330","39190","34350"
"In post","2021","Department of Health and Social Care","Female","Human Resources","220","210","42640","36820"
"In post","2021","Department of Health and Social Care","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Female","No function","5760","5240","42840","37490"
"In post","2021","Department of Health and Social Care","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Female","Unknown","720","690","47520","41040"
"In post","2021","Department of Health and Social Care","Male","Analysis","140","140","51970","53360"
"In post","2021","Department of Health and Social Care","Male","Commercial","110","100","50240","40650"
"In post","2021","Department of Health and Social Care","Male","Communications","130","130","44880","40850"
"In post","2021","Department of Health and Social Care","Male","Digital, Data & Technology","210","210","45750","41310"
"In post","2021","Department of Health and Social Care","Male","Finance","270","270","43850","40070"
"In post","2021","Department of Health and Social Care","Male","Human Resources","70","70","43870","38790"
"In post","2021","Department of Health and Social Care","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Male","No function","2640","2530","49110","41780"
"In post","2021","Department of Health and Social Care","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Male","Unknown","480","470","50950","49780"
"In post","2021","ESTYN","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","No function","50","50","56620","74730"
"In post","2021","ESTYN","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Female","Security","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Finance","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","No function","40","30","[c]","[c]"
"In post","2021","ESTYN","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Male","Security","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Legal","[c]","[c]","[c]","[c]"
