"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Finance","40-49","1800","1720","43960","40080"
"In post","2021","Heterosexual / straight","Finance","50-59","2020","1930","41990","37900"
"In post","2021","Heterosexual / straight","Finance","60-64","420","360","37920","33300"
"In post","2021","Heterosexual / straight","Finance","65+","130","110","33980","29740"
"In post","2021","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","20-29","760","760","31260","29000"
"In post","2021","Heterosexual / straight","Human Resources","30-39","1340","1260","37260","33300"
"In post","2021","Heterosexual / straight","Human Resources","40-49","1600","1500","42400","38600"
"In post","2021","Heterosexual / straight","Human Resources","50-59","1860","1780","41130","36970"
"In post","2021","Heterosexual / straight","Human Resources","60-64","360","300","37850","33300"
"In post","2021","Heterosexual / straight","Human Resources","65+","80","70","35620","33230"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","30-39","60","60","60830","51360"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","40-49","240","230","65310","69690"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","50-59","330","320","67660","74730"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","60-64","80","70","67850","74730"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","20-29","360","360","32250","29250"
"In post","2021","Heterosexual / straight","Intelligence Analysis","30-39","670","650","34420","30980"
"In post","2021","Heterosexual / straight","Intelligence Analysis","40-49","630","590","34910","30830"
"In post","2021","Heterosexual / straight","Intelligence Analysis","50-59","640","620","34530","31180"
"In post","2021","Heterosexual / straight","Intelligence Analysis","60-64","140","120","34220","31810"
"In post","2021","Heterosexual / straight","Intelligence Analysis","65+","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","20-29","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","30-39","110","110","42250","39410"
"In post","2021","Heterosexual / straight","Internal Audit","40-49","150","150","48290","45290"
"In post","2021","Heterosexual / straight","Internal Audit","50-59","240","240","48550","45810"
"In post","2021","Heterosexual / straight","Internal Audit","60-64","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","20-29","240","240","37040","33410"
"In post","2021","Heterosexual / straight","International Trade","30-39","250","240","50110","51970"
"In post","2021","Heterosexual / straight","International Trade","40-49","160","160","51760","51970"
"In post","2021","Heterosexual / straight","International Trade","50-59","160","150","53290","51970"
"In post","2021","Heterosexual / straight","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","20-29","210","210","28130","26880"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","30-39","350","330","37530","36330"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","40-49","400","380","39280","37020"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","50-59","530","510","38250","34610"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","60-64","110","100","35890","32140"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","65+","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","20-29","770","770","34970","31810"
"In post","2021","Heterosexual / straight","Legal","30-39","2050","1960","46780","50500"
"In post","2021","Heterosexual / straight","Legal","40-49","2240","2070","50450","51390"
"In post","2021","Heterosexual / straight","Legal","50-59","2100","1980","51400","51490"
"In post","2021","Heterosexual / straight","Legal","60-64","440","360","51500","53630"
"In post","2021","Heterosexual / straight","Legal","65+","130","90","49700","53630"
"In post","2021","Heterosexual / straight","Medicine","20-29","100","100","29530","27460"
"In post","2021","Heterosexual / straight","Medicine","30-39","380","350","43020","37890"
"In post","2021","Heterosexual / straight","Medicine","40-49","500","450","55400","44500"
"In post","2021","Heterosexual / straight","Medicine","50-59","510","460","61860","47540"
"In post","2021","Heterosexual / straight","Medicine","60-64","170","140","63740","44500"
"In post","2021","Heterosexual / straight","Medicine","65+","50","50","66210","74070"
"In post","2021","Heterosexual / straight","Operational Delivery","16-19","210","190","21460","21430"
"In post","2021","Heterosexual / straight","Operational Delivery","20-29","17230","16840","25540","24890"
"In post","2021","Heterosexual / straight","Operational Delivery","30-39","25830","24130","28390","25830"
"In post","2021","Heterosexual / straight","Operational Delivery","40-49","26750","24860","30650","27370"
"In post","2021","Heterosexual / straight","Operational Delivery","50-59","33670","31250","30750","27380"
"In post","2021","Heterosexual / straight","Operational Delivery","60-64","9390","7600","27990","25560"
"In post","2021","Heterosexual / straight","Operational Delivery","65+","2930","2200","26620","23500"
"In post","2021","Heterosexual / straight","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","20-29","230","230","34430","33210"
"In post","2021","Heterosexual / straight","Operational Research","30-39","260","250","45700","46080"
"In post","2021","Heterosexual / straight","Operational Research","40-49","180","160","49710","46720"
"In post","2021","Heterosexual / straight","Operational Research","50-59","140","130","50810","47140"
"In post","2021","Heterosexual / straight","Operational Research","60-64","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","20-29","1520","1500","27350","25740"
"In post","2021","Heterosexual / straight","Other","30-39","2420","2300","32270","27790"
"In post","2021","Heterosexual / straight","Other","40-49","3180","3050","33600","26930"
"In post","2021","Heterosexual / straight","Other","50-59","5530","5360","30210","25870"
"In post","2021","Heterosexual / straight","Other","60-64","1940","1800","28430","22500"
"In post","2021","Heterosexual / straight","Other","65+","660","580","27160","22080"
"In post","2021","Heterosexual / straight","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","30-39","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","40-49","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","50-59","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","30-39","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","40-49","80","70","54930","58810"
"In post","2021","Heterosexual / straight","Planning Inspectors","50-59","90","90","58790","58810"
"In post","2021","Heterosexual / straight","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","16-19","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","20-29","4660","4640","38320","35060"
"In post","2021","Heterosexual / straight","Policy","30-39","5610","5440","48930","51730"
"In post","2021","Heterosexual / straight","Policy","40-49","4700","4480","52960","53360"
"In post","2021","Heterosexual / straight","Policy","50-59","3870","3780","50470","47000"
"In post","2021","Heterosexual / straight","Policy","60-64","670","610","49130","43840"
"In post","2021","Heterosexual / straight","Policy","65+","170","140","46470","37640"
"In post","2021","Heterosexual / straight","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","20-29","1430","1420","32630","31810"
"In post","2021","Heterosexual / straight","Project Delivery","30-39","2740","2660","40500","38630"
"In post","2021","Heterosexual / straight","Project Delivery","40-49","3170","3080","45050","40580"
"In post","2021","Heterosexual / straight","Project Delivery","50-59","3600","3510","45520","40780"
"In post","2021","Heterosexual / straight","Project Delivery","60-64","740","670","42810","40000"
"In post","2021","Heterosexual / straight","Project Delivery","65+","190","160","39960","37320"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","20-29","380","380","28560","27130"
"In post","2021","Heterosexual / straight","Property","30-39","680","660","36480","33300"
"In post","2021","Heterosexual / straight","Property","40-49","1090","1050","38140","33300"
"In post","2021","Heterosexual / straight","Property","50-59","1880","1840","38410","33630"
"In post","2021","Heterosexual / straight","Property","60-64","590","530","36620","33300"
"In post","2021","Heterosexual / straight","Property","65+","230","200","32940","33250"
"In post","2021","Heterosexual / straight","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","20-29","280","270","27870","27380"
"In post","2021","Heterosexual / straight","Psychology","30-39","440","420","35250","31180"
"In post","2021","Heterosexual / straight","Psychology","40-49","210","200","45570","46790"
"In post","2021","Heterosexual / straight","Psychology","50-59","110","110","38380","29750"
"In post","2021","Heterosexual / straight","Psychology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","16-19","70","70","18230","17780"
"In post","2021","Heterosexual / straight","Science and Engineering","20-29","1820","1810","28860","28610"
"In post","2021","Heterosexual / straight","Science and Engineering","30-39","1830","1760","38370","37350"
"In post","2021","Heterosexual / straight","Science and Engineering","40-49","1850","1770","43110","41430"
"In post","2021","Heterosexual / straight","Science and Engineering","50-59","2310","2240","42130","40720"
"In post","2021","Heterosexual / straight","Science and Engineering","60-64","720","660","40160","38300"
"In post","2021","Heterosexual / straight","Science and Engineering","65+","290","230","38260","35660"
"In post","2021","Heterosexual / straight","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","20-29","650","650","26460","25680"
"In post","2021","Heterosexual / straight","Security","30-39","1000","980","32160","30450"
"In post","2021","Heterosexual / straight","Security","40-49","1180","1170","33010","32280"
"In post","2021","Heterosexual / straight","Security","50-59","2280","2260","31870","26930"
"In post","2021","Heterosexual / straight","Security","60-64","590","540","26830","20920"
"In post","2021","Heterosexual / straight","Security","65+","170","150","25060","21130"
"In post","2021","Heterosexual / straight","Social Research","20-29","300","290","36210","34320"
"In post","2021","Heterosexual / straight","Social Research","30-39","260","240","44350","43560"
"In post","2021","Heterosexual / straight","Social Research","40-49","180","160","49150","47000"
"In post","2021","Heterosexual / straight","Social Research","50-59","100","90","50220","47000"
"In post","2021","Heterosexual / straight","Social Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Social Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","20-29","410","400","35690","34010"
"In post","2021","Heterosexual / straight","Statistics","30-39","430","410","45490","43040"
"In post","2021","Heterosexual / straight","Statistics","40-49","310","290","50330","50090"
"In post","2021","Heterosexual / straight","Statistics","50-59","210","200","49040","47710"
"In post","2021","Heterosexual / straight","Statistics","60-64","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Statistics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Tax","16-19","50","50","20450","20140"
"In post","2021","Heterosexual / straight","Tax","20-29","1560","1520","29680","25560"
"In post","2021","Heterosexual / straight","Tax","30-39","2450","2370","35150","31810"
"In post","2021","Heterosexual / straight","Tax","40-49","1930","1840","36580","31810"
"In post","2021","Heterosexual / straight","Tax","50-59","2710","2590","38270","35000"
"In post","2021","Heterosexual / straight","Tax","60-64","700","540","38150","35000"
"In post","2021","Heterosexual / straight","Tax","65+","200","140","38600","35000"
"In post","2021","Heterosexual / straight","Unknown","16-19","220","210","22470","21010"
"In post","2021","Heterosexual / straight","Unknown","20-29","10460","10300","28090","27570"
"In post","2021","Heterosexual / straight","Unknown","30-39","14090","13190","31790","27570"
"In post","2021","Heterosexual / straight","Unknown","40-49","18000","16570","32750","27570"
"In post","2021","Heterosexual / straight","Unknown","50-59","24050","22110","31240","27570"
"In post","2021","Heterosexual / straight","Unknown","60-64","6460","5110","28560","27570"
"In post","2021","Heterosexual / straight","Unknown","65+","1710","1250","27300","27570"
"In post","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","30-39","80","70","39700","37480"
"In post","2021","Heterosexual / straight","Veterinarian","40-49","110","100","43770","38260"
"In post","2021","Heterosexual / straight","Veterinarian","50-59","70","60","51240","51760"
"In post","2021","Heterosexual / straight","Veterinarian","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Veterinarian","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","20-29","50","50","30360","28350"
"In post","2021","LGBO","Commercial","30-39","50","50","[c]","[c]"
"In post","2021","LGBO","Commercial","40-49","40","30","[c]","[c]"
"In post","2021","LGBO","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","20-29","60","60","36030","34710"
"In post","2021","LGBO","Communications","30-39","80","70","42510","39750"
"In post","2021","LGBO","Communications","40-49","40","40","[c]","[c]"
"In post","2021","LGBO","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","20-29","130","130","33940","31810"
"In post","2021","LGBO","Digital, Data and Technology","30-39","160","160","41660","38490"
"In post","2021","LGBO","Digital, Data and Technology","40-49","110","110","45550","38830"
"In post","2021","LGBO","Digital, Data and Technology","50-59","80","80","46880","43560"
"In post","2021","LGBO","Digital, Data and Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Digital, Data and Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","20-29","90","80","39140","34570"
"In post","2021","LGBO","Economics","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","20-29","50","50","33160","30390"
"In post","2021","LGBO","Finance","30-39","70","70","45950","43730"
"In post","2021","LGBO","Finance","40-49","60","60","47340","46640"
"In post","2021","LGBO","Finance","50-59","50","40","[c]","[c]"
"In post","2021","LGBO","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","20-29","90","90","33130","30410"
"In post","2021","LGBO","Human Resources","30-39","90","90","42020","38060"
"In post","2021","LGBO","Human Resources","40-49","80","80","47030","43110"
"In post","2021","LGBO","Human Resources","50-59","70","70","42570","40530"
"In post","2021","LGBO","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Inspector of Education and Training","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","20-29","40","40","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","30-39","40","40","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","20-29","30","30","[c]","[c]"
"In post","2021","LGBO","International Trade","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","20-29","70","70","36190","33460"
"In post","2021","LGBO","Legal","30-39","130","130","46870","51250"
"In post","2021","LGBO","Legal","40-49","110","110","55230","55490"
"In post","2021","LGBO","Legal","50-59","110","110","56510","58070"
"In post","2021","LGBO","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Medicine","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Delivery","20-29","1670","1640","25560","24440"
"In post","2021","LGBO","Operational Delivery","30-39","1840","1810","28520","26220"
"In post","2021","LGBO","Operational Delivery","40-49","1360","1320","32020","28470"
"In post","2021","LGBO","Operational Delivery","50-59","1230","1170","31190","28130"
"In post","2021","LGBO","Operational Delivery","60-64","250","200","28610","25630"
"In post","2021","LGBO","Operational Delivery","65+","70","50","26100","23830"
"In post","2021","LGBO","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","20-29","40","30","[c]","[c]"
"In post","2021","LGBO","Operational Research","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Operational Research","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other","20-29","140","130","28500","26670"
"In post","2021","LGBO","Other","30-39","160","160","32830","30270"
"In post","2021","LGBO","Other","40-49","120","120","35280","28660"
"In post","2021","LGBO","Other","50-59","120","120","31630","26800"
"In post","2021","LGBO","Other","60-64","40","40","[c]","[c]"
"In post","2021","LGBO","Other","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","20-29","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","30-39","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","40-49","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","50-59","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","60-64","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Planning Inspectors","65+","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Policy","20-29","740","730","39230","35070"
"In post","2021","LGBO","Policy","30-39","600","590","49130","52290"
"In post","2021","LGBO","Policy","40-49","330","320","56540","54840"
"In post","2021","LGBO","Policy","50-59","210","210","54480","54500"
