"Status","Year","Parent_department","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Unknown","Unknown","780","740","47980","51250"
"In post","2021","Attorney General's Departments","White","Declared disabled","690","640","44610","43920"
"In post","2021","Attorney General's Departments","White","Declared non-disabled","4920","4550","46730","50500"
"In post","2021","Attorney General's Departments","White","Undeclared","80","80","54500","52420"
"In post","2021","Attorney General's Departments","White","Unknown","910","870","38200","38000"
"In post","2021","Cabinet Office","Asian","Declared disabled","60","50","41990","35590"
"In post","2021","Cabinet Office","Asian","Declared non-disabled","380","370","46900","40600"
"In post","2021","Cabinet Office","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Black","Declared non-disabled","200","200","42270","35590"
"In post","2021","Cabinet Office","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Declared non-disabled","150","140","47330","38580"
"In post","2021","Cabinet Office","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other ethnicity","Declared non-disabled","60","60","46960","40030"
"In post","2021","Cabinet Office","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Declared disabled","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Declared non-disabled","100","100","49490","42200"
"In post","2021","Cabinet Office","Undeclared","Undeclared","90","90","45350","40600"
"In post","2021","Cabinet Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Declared non-disabled","160","160","61320","54700"
"In post","2021","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","3860","3810","44440","32000"
"In post","2021","Cabinet Office","White","Declared disabled","530","510","44160","38420"
"In post","2021","Cabinet Office","White","Declared non-disabled","3420","3330","49150","43060"
"In post","2021","Cabinet Office","White","Undeclared","150","140","44800","38580"
"In post","2021","Cabinet Office","White","Unknown","70","70","56400","54890"
"In post","2021","Chancellor's other departments","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Declared non-disabled","240","230","62920","50050"
"In post","2021","Chancellor's other departments","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","70","70","36220","29270"
"In post","2021","Charity Commission","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","White","Declared non-disabled","180","180","34650","29160"
"In post","2021","Charity Commission","White","Unknown","120","110","33800","29540"
"In post","2021","Competition and Markets Authority","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","Declared non-disabled","90","90","45560","37650"
"In post","2021","Competition and Markets Authority","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Declared non-disabled","510","490","63790","59450"
"In post","2021","Competition and Markets Authority","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Declared disabled","60","60","38480","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Declared non-disabled","520","510","39360","35950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Asian","Unknown","100","100","38900","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Declared disabled","60","50","39570","35460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Declared non-disabled","280","270","38300","33960"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Black","Unknown","60","60","38350","37230"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Declared non-disabled","50","50","41770","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Declared disabled","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Declared non-disabled","200","190","45410","41550"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Mixed","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Declared non-disabled","80","80","43850","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Declared non-disabled","290","280","45230","41900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Undeclared","160","160","47270","46880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Unknown","140","130","41080","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Declared disabled","70","60","32740","29940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Declared non-disabled","640","600","38950","39460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","1590","1550","34230","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Declared disabled","770","730","40590","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Declared non-disabled","6750","6470","43610","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Undeclared","190","180","44760","40110"
"In post","2021","Department for Business, Energy and Industrial Strategy","White","Unknown","970","900","36490","34390"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Declared non-disabled","100","100","45190","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Declared non-disabled","70","70","40520","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Declared non-disabled","70","70","45550","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","190","190","47720","46050"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Declared disabled","90","90","48450","44740"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Declared non-disabled","1050","1030","50850","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Undeclared","40","40","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","White","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Education","Asian","Declared disabled","60","50","38230","36570"
"In post","2021","Department for Education","Asian","Declared non-disabled","550","530","40310","36960"
"In post","2021","Department for Education","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Asian","Unknown","80","80","37230","34020"
"In post","2021","Department for Education","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","Declared non-disabled","220","220","39800","36780"
"In post","2021","Department for Education","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Black","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Education","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Department for Education","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Declared non-disabled","130","130","43170","40840"
"In post","2021","Department for Education","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Mixed","Unknown","30","30","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Declared non-disabled","170","160","44030","40300"
"In post","2021","Department for Education","Undeclared","Undeclared","90","80","46010","42580"
"In post","2021","Department for Education","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Declared non-disabled","280","270","44840","42580"
"In post","2021","Department for Education","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","600","590","41580","36500"
"In post","2021","Department for Education","White","Declared disabled","560","540","41860","37100"
"In post","2021","Department for Education","White","Declared non-disabled","4160","4000","46040","43230"
"In post","2021","Department for Education","White","Undeclared","220","210","44440","37760"
"In post","2021","Department for Education","White","Unknown","490","480","37440","36500"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Declared disabled","50","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Declared non-disabled","280","270","35990","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Declared non-disabled","170","170","35360","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Declared non-disabled","150","140","38480","33740"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Declared disabled","60","50","33470","29690"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Declared non-disabled","230","230","34700","31160"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Undeclared","150","150","37390","33650"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Declared non-disabled","870","820","27180","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","980","930","40300","36590"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Declared disabled","980","920","34240","30230"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Declared non-disabled","6470","6120","36680","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Undeclared","220","210","36220","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","White","Unknown","210","190","38700","35900"
"In post","2021","Department for International Trade","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Asian","Declared non-disabled","140","140","42310","38540"
"In post","2021","Department for International Trade","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Asian","Unknown","50","50","43850","38540"
"In post","2021","Department for International Trade","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Black","Declared non-disabled","90","90","39150","33320"
"In post","2021","Department for International Trade","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Declared non-disabled","60","60","46900","43480"
"In post","2021","Department for International Trade","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Declared non-disabled","110","110","44970","38540"
"In post","2021","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Unknown","650","650","44450","38540"
"In post","2021","Department for International Trade","White","Declared disabled","130","130","46280","48220"
"In post","2021","Department for International Trade","White","Declared non-disabled","950","940","48440","51710"
"In post","2021","Department for International Trade","White","Undeclared","30","30","[c]","[c]"
"In post","2021","Department for International Trade","White","Unknown","240","230","45870","39230"
"In post","2021","Department for Transport","Asian","Declared disabled","30","30","[c]","[c]"
"In post","2021","Department for Transport","Asian","Declared non-disabled","450","430","40470","35060"
"In post","2021","Department for Transport","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Declared non-disabled","200","200","37530","35060"
"In post","2021","Department for Transport","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Declared non-disabled","180","170","34940","32880"
"In post","2021","Department for Transport","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Declared disabled","60","50","30560","27230"
"In post","2021","Department for Transport","Undeclared","Declared non-disabled","510","480","32960","29170"
"In post","2021","Department for Transport","Undeclared","Undeclared","310","300","32060","29730"
"In post","2021","Department for Transport","Undeclared","Unknown","180","170","37040","31470"
"In post","2021","Department for Transport","Unknown","Declared disabled","50","40","[c]","[c]"
"In post","2021","Department for Transport","Unknown","Declared non-disabled","180","160","33800","26780"
