"Status","Year","Function_of_post","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Legal","Female","40-49","2730","2390","47020","49930"
"In post","2021","Legal","Female","50-59","2770","2500","44170","40000"
"In post","2021","Legal","Female","60-64","560","460","40990","31810"
"In post","2021","Legal","Female","65+","130","100","37690","28620"
"In post","2021","Legal","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Male","20-29","600","600","31380","27350"
"In post","2021","Legal","Male","30-39","1130","1120","45350","48830"
"In post","2021","Legal","Male","40-49","1280","1260","49420","51250"
"In post","2021","Legal","Male","50-59","1570","1530","50310","52580"
"In post","2021","Legal","Male","60-64","390","330","48160","49420"
"In post","2021","Legal","Male","65+","160","130","49170","55130"
"In post","2021","No function","Female","16-19","290","270","21130","20140"
"In post","2021","No function","Female","20-29","20270","19850","28510","26740"
"In post","2021","No function","Female","30-39","22460","20490","32850","30110"
"In post","2021","No function","Female","40-49","21840","19600","34270","30110"
"In post","2021","No function","Female","50-59","25450","23000","31860","27130"
"In post","2021","No function","Female","60-64","7050","5560","28170","23240"
"In post","2021","No function","Female","65+","1990","1450","27440","22720"
"In post","2021","No function","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Male","16-19","210","200","20980","20140"
"In post","2021","No function","Male","20-29","15750","15620","29220","27150"
"In post","2021","No function","Male","30-39","19570","19360","34050","31220"
"In post","2021","No function","Male","40-49","17800","17520","36900","31840"
"In post","2021","No function","Male","50-59","23330","22530","36610","32520"
"In post","2021","No function","Male","60-64","6510","5370","34060","30870"
"In post","2021","No function","Male","65+","2390","1760","32570","27380"
"In post","2021","No function","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","20-29","1910","1880","31830","30630"
"In post","2021","Project Delivery","Female","30-39","3110","2930","40330","38240"
"In post","2021","Project Delivery","Female","40-49","3230","3020","43660","39780"
"In post","2021","Project Delivery","Female","50-59","3580","3420","41940","38630"
"In post","2021","Project Delivery","Female","60-64","640","550","36840","33300"
"In post","2021","Project Delivery","Female","65+","130","110","34600","31810"
"In post","2021","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Male","16-19","110","110","17920","16780"
"In post","2021","Project Delivery","Male","20-29","2300","2290","30310","29000"
"In post","2021","Project Delivery","Male","30-39","3200","3190","41470","39580"
"In post","2021","Project Delivery","Male","40-49","3510","3490","46310","42130"
"In post","2021","Project Delivery","Male","50-59","4900","4840","45740","41920"
"In post","2021","Project Delivery","Male","60-64","1340","1210","43160","40580"
"In post","2021","Project Delivery","Male","65+","410","350","40660","37800"
"In post","2021","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","20-29","460","440","26700","25140"
"In post","2021","Property","Female","30-39","700","640","33080","31460"
"In post","2021","Property","Female","40-49","950","870","33990","32100"
"In post","2021","Property","Female","50-59","1340","1260","34040","31060"
"In post","2021","Property","Female","60-64","320","280","29480","26500"
"In post","2021","Property","Female","65+","90","70","25760","26000"
"In post","2021","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Property","Male","20-29","490","480","27770","26530"
"In post","2021","Property","Male","30-39","830","820","34170","32100"
"In post","2021","Property","Male","40-49","1090","1080","36770","33300"
"In post","2021","Property","Male","50-59","1990","1970","38670","34980"
"In post","2021","Property","Male","60-64","730","670","36410","33300"
"In post","2021","Property","Male","65+","280","250","32770","31100"
"In post","2021","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","Female","20-29","400","400","27930","26190"
"In post","2021","Security","Female","30-39","440","420","33570","33200"
"In post","2021","Security","Female","40-49","460","440","35110","33300"
"In post","2021","Security","Female","50-59","630","600","32130","29230"
"In post","2021","Security","Female","60-64","100","90","29190","26510"
"In post","2021","Security","Female","65+","30","30","[c]","[c]"
"In post","2021","Security","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","Male","20-29","840","840","26770","25680"
"In post","2021","Security","Male","30-39","1160","1160","32430","30890"
"In post","2021","Security","Male","40-49","1300","1300","33520","33390"
"In post","2021","Security","Male","50-59","2510","2490","32910","33300"
"In post","2021","Security","Male","60-64","690","630","28200","20920"
"In post","2021","Security","Male","65+","190","160","26210","20920"
"In post","2021","Security","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","16-19","220","220","22300","21150"
"In post","2021","Unknown","Female","20-29","11360","11060","27740","27570"
"In post","2021","Unknown","Female","30-39","17940","16020","30730","27570"
"In post","2021","Unknown","Female","40-49","24300","21370","31450","27570"
"In post","2021","Unknown","Female","50-59","32960","29490","29690","27570"
"In post","2021","Unknown","Female","60-64","9050","7040","27490","27570"
"In post","2021","Unknown","Female","65+","2530","1840","26660","25630"
"In post","2021","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","16-19","180","180","21660","21010"
"In post","2021","Unknown","Male","20-29","9070","8990","27710","27570"
"In post","2021","Unknown","Male","30-39","13580","13430","32050","27570"
"In post","2021","Unknown","Male","40-49","16040","15780","33840","27570"
"In post","2021","Unknown","Male","50-59","21240","20570","33200","27570"
"In post","2021","Unknown","Male","60-64","6110","5320","31160","27570"
"In post","2021","Unknown","Male","65+","2120","1720","30080","27370"
"In post","2021","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Female","20-29","1430","1420","35590","33710"
"In post","2022","Analysis","Female","30-39","1130","1050","45570","42070"
"In post","2022","Analysis","Female","40-49","800","710","49220","47550"
"In post","2022","Analysis","Female","50-59","480","440","46460","40580"
"In post","2022","Analysis","Female","60-64","90","70","39630","36840"
"In post","2022","Analysis","Female","65+","30","20","[c]","[c]"
"In post","2022","Analysis","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Male","20-29","1570","1560","36340","33880"
"In post","2022","Analysis","Male","30-39","1220","1200","46240","43430"
"In post","2022","Analysis","Male","40-49","860","850","50910","49240"
"In post","2022","Analysis","Male","50-59","610","600","52330","48080"
"In post","2022","Analysis","Male","60-64","150","130","47350","43810"
"In post","2022","Analysis","Male","65+","50","40","[c]","[c]"
"In post","2022","Analysis","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Female","20-29","600","590","35420","33000"
"In post","2022","Commercial","Female","30-39","880","830","42850","39190"
"In post","2022","Commercial","Female","40-49","940","890","50470","43640"
"In post","2022","Commercial","Female","50-59","820","800","47820","42000"
"In post","2022","Commercial","Female","60-64","150","130","40780","39630"
"In post","2022","Commercial","Female","65+","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Male","20-29","500","500","34720","32710"
"In post","2022","Commercial","Male","30-39","750","750","46270","41030"
"In post","2022","Commercial","Male","40-49","790","790","55360","50620"
"In post","2022","Commercial","Male","50-59","910","900","57910","50760"
"In post","2022","Commercial","Male","60-64","200","190","52530","45150"
"In post","2022","Commercial","Male","65+","50","40","44750","41360"
"In post","2022","Communications","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Female","20-29","1210","1190","31600","27500"
"In post","2022","Communications","Female","30-39","1410","1340","37760","33370"
"In post","2022","Communications","Female","40-49","1010","930","41180","36730"
"In post","2022","Communications","Female","50-59","760","710","38050","33370"
"In post","2022","Communications","Female","60-64","140","120","34260","30950"
"In post","2022","Communications","Female","65+","40","30","[c]","[c]"
"In post","2022","Communications","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Male","20-29","1020","1020","30440","26820"
"In post","2022","Communications","Male","30-39","1290","1280","35110","33080"
"In post","2022","Communications","Male","40-49","900","890","38800","33370"
"In post","2022","Communications","Male","50-59","590","580","37960","33300"
"In post","2022","Communications","Male","60-64","130","120","37950","33080"
"In post","2022","Communications","Male","65+","30","30","[c]","[c]"
"In post","2022","Counter Fraud","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Female","20-29","1070","1050","29370","27570"
"In post","2022","Counter Fraud","Female","30-39","1540","1430","31660","27570"
"In post","2022","Counter Fraud","Female","40-49","1980","1770","31960","28920"
"In post","2022","Counter Fraud","Female","50-59","3200","2900","31740","28920"
"In post","2022","Counter Fraud","Female","60-64","940","690","29800","27570"
"In post","2022","Counter Fraud","Female","65+","260","180","27780","27570"
"In post","2022","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Male","20-29","960","960","29400","27570"
"In post","2022","Counter Fraud","Male","30-39","1630","1620","33830","31990"
"In post","2022","Counter Fraud","Male","40-49","1800","1780","34900","33080"
"In post","2022","Counter Fraud","Male","50-59","2620","2560","35430","33080"
"In post","2022","Counter Fraud","Male","60-64","740","590","34130","29300"
"In post","2022","Counter Fraud","Male","65+","270","190","33410","28920"
"In post","2022","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Female","16-19","30","30","[c]","[c]"
"In post","2022","Debt","Female","20-29","670","630","22120","21250"
"In post","2022","Debt","Female","30-39","730","620","23190","21260"
"In post","2022","Debt","Female","40-49","830","690","23890","21260"
"In post","2022","Debt","Female","50-59","1290","1100","24490","21680"
"In post","2022","Debt","Female","60-64","490","360","24100","22080"
"In post","2022","Debt","Female","65+","150","100","24260","22080"
"In post","2022","Debt","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Male","20-29","620","610","22420","21250"
"In post","2022","Debt","Male","30-39","570","560","23100","21250"
"In post","2022","Debt","Male","40-49","480","460","24080","21260"
"In post","2022","Debt","Male","50-59","640","610","25520","22080"
"In post","2022","Debt","Male","60-64","230","190","25060","22080"
"In post","2022","Debt","Male","65+","90","70","25910","22080"
"In post","2022","Debt","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Female","20-29","1290","1280","34120","32810"
"In post","2022","Digital, Data & Technology","Female","30-39","2060","1980","41090","38580"
"In post","2022","Digital, Data & Technology","Female","40-49","2200","2080","42730","39750"
"In post","2022","Digital, Data & Technology","Female","50-59","2160","2060","40840","37500"
"In post","2022","Digital, Data & Technology","Female","60-64","410","350","38000","33430"
"In post","2022","Digital, Data & Technology","Female","65+","110","90","33180","31740"
"In post","2022","Digital, Data & Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Male","20-29","1940","1930","33390","32000"
"In post","2022","Digital, Data & Technology","Male","30-39","3200","3180","41990","39640"
"In post","2022","Digital, Data & Technology","Male","40-49","3770","3750","45790","41100"
"In post","2022","Digital, Data & Technology","Male","50-59","3780","3730","43950","40520"
"In post","2022","Digital, Data & Technology","Male","60-64","850","760","40760","37500"
"In post","2022","Digital, Data & Technology","Male","65+","250","210","39790","36460"
"In post","2022","Digital, Data & Technology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Female","20-29","880","860","32390","30090"
"In post","2022","Finance","Female","30-39","1340","1250","38820","35310"
"In post","2022","Finance","Female","40-49","1780","1650","40410","36740"
"In post","2022","Finance","Female","50-59","2210","2050","37800","33710"
"In post","2022","Finance","Female","60-64","520","430","32920","28920"
"In post","2022","Finance","Female","65+","120","90","30880","27510"
"In post","2022","Finance","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Male","20-29","880","870","32720","30420"
"In post","2022","Finance","Male","30-39","1160","1160","41960","39750"
"In post","2022","Finance","Male","40-49","1380","1370","45010","40520"
"In post","2022","Finance","Male","50-59","1600","1570","44120","40520"
"In post","2022","Finance","Male","60-64","350","310","41850","39000"
"In post","2022","Finance","Male","65+","110","90","37350","35710"
"In post","2022","Grants Management","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Female","20-29","210","200","22430","21300"
"In post","2022","Grants Management","Female","30-39","270","230","24160","21300"
"In post","2022","Grants Management","Female","40-49","420","360","25650","24920"
"In post","2022","Grants Management","Female","50-59","320","290","26430","24920"
"In post","2022","Grants Management","Female","60-64","100","80","23910","21300"
"In post","2022","Grants Management","Female","65+","40","30","[c]","[c]"
"In post","2022","Grants Management","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Male","20-29","170","170","22450","21300"
"In post","2022","Grants Management","Male","30-39","170","170","24080","21300"
"In post","2022","Grants Management","Male","40-49","270","260","25730","21300"
"In post","2022","Grants Management","Male","50-59","250","240","28630","25470"
"In post","2022","Grants Management","Male","60-64","80","60","27190","21300"
"In post","2022","Grants Management","Male","65+","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Female","20-29","1160","1140","30870","28310"
"In post","2022","Human Resources","Female","30-39","1820","1710","36910","33080"
"In post","2022","Human Resources","Female","40-49","2060","1910","40150","36050"
"In post","2022","Human Resources","Female","50-59","2360","2230","39230","34370"
"In post","2022","Human Resources","Female","60-64","560","460","35030","31700"
"In post","2022","Human Resources","Female","65+","110","80","32750","27570"
"In post","2022","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Male","20-29","510","510","31550","28520"
"In post","2022","Human Resources","Male","30-39","810","800","37170","33370"
"In post","2022","Human Resources","Male","40-49","880","880","41910","37300"
"In post","2022","Human Resources","Male","50-59","1100","1080","40730","36270"
"In post","2022","Human Resources","Male","60-64","260","230","37160","33330"
"In post","2022","Human Resources","Male","65+","80","60","33800","28920"
"In post","2022","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Female","20-29","40","40","[c]","[c]"
"In post","2022","Internal Audit","Female","30-39","70","70","42010","40180"
"In post","2022","Internal Audit","Female","40-49","110","100","45910","43710"
"In post","2022","Internal Audit","Female","50-59","160","150","47370","43770"
"In post","2022","Internal Audit","Female","60-64","30","30","[c]","[c]"
"In post","2022","Internal Audit","Female","65+","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Male","30-39","50","50","45370","42360"
"In post","2022","Internal Audit","Male","40-49","80","80","49890","48780"
"In post","2022","Internal Audit","Male","50-59","160","150","51510","49310"
"In post","2022","Internal Audit","Male","60-64","40","30","[c]","[c]"
"In post","2022","Internal Audit","Male","65+","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Female","20-29","1180","1170","31290","26970"
"In post","2022","Legal","Female","30-39","1890","1760","46910","50500"
"In post","2022","Legal","Female","40-49","2260","1990","50410","53050"
"In post","2022","Legal","Female","50-59","2170","1970","47180","48080"
"In post","2022","Legal","Female","60-64","430","360","44240","34740"
"In post","2022","Legal","Female","65+","110","80","43460","33370"
"In post","2022","Legal","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Male","20-29","520","520","33040","27570"
"In post","2022","Legal","Male","30-39","990","980","48180","50500"
"In post","2022","Legal","Male","40-49","1110","1090","51870","53050"
"In post","2022","Legal","Male","50-59","1280","1260","53340","55610"
"In post","2022","Legal","Male","60-64","300","260","52580","55610"
"In post","2022","Legal","Male","65+","120","90","53950","57540"
"In post","2022","No function","Female","16-19","360","340","22150","21260"
"In post","2022","No function","Female","20-29","28690","28070","28680","27570"
"In post","2022","No function","Female","30-39","32970","30050","32150","27570"
"In post","2022","No function","Female","40-49","35700","31760","32900","27570"
"In post","2022","No function","Female","50-59","44560","39900","30640","27570"
"In post","2022","No function","Female","60-64","13660","10690","27880","26400"
"In post","2022","No function","Female","65+","3700","2680","27410","25110"
"In post","2022","No function","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Male","16-19","320","300","21860","21260"
