"Status","Year","Responsibility_level","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","Declared disabled","180","160","22760","21010"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","Declared non-disabled","1240","1160","22600","21050"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","Undeclared","230","210","26240","23570"
"In post","2021","AA/AO","Herefordshire, Worcestershire and Warwickshire","Unknown","180","170","23520","21130"
"In post","2021","AA/AO","Highlands and Islands","Declared disabled","60","50","21650","21010"
"In post","2021","AA/AO","Highlands and Islands","Declared non-disabled","610","570","22470","21150"
"In post","2021","AA/AO","Highlands and Islands","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Highlands and Islands","Unknown","150","130","22340","22230"
"In post","2021","AA/AO","Inner London - East","Declared disabled","320","290","25210","25060"
"In post","2021","AA/AO","Inner London - East","Declared non-disabled","1620","1480","25480","25110"
"In post","2021","AA/AO","Inner London - East","Undeclared","300","270","29330","27060"
"In post","2021","AA/AO","Inner London - East","Unknown","480","460","25670","24360"
"In post","2021","AA/AO","Inner London - West","Declared disabled","500","460","25240","24490"
"In post","2021","AA/AO","Inner London - West","Declared non-disabled","2780","2640","25610","24490"
"In post","2021","AA/AO","Inner London - West","Undeclared","350","330","26530","25390"
"In post","2021","AA/AO","Inner London - West","Unknown","860","830","25190","23670"
"In post","2021","AA/AO","Kent","Declared disabled","330","300","23790","23240"
"In post","2021","AA/AO","Kent","Declared non-disabled","1960","1840","25120","24180"
"In post","2021","AA/AO","Kent","Undeclared","290","270","25770","24180"
"In post","2021","AA/AO","Kent","Unknown","410","400","25190","23520"
"In post","2021","AA/AO","Lancashire","Declared disabled","820","710","21480","21010"
"In post","2021","AA/AO","Lancashire","Declared non-disabled","3970","3530","21760","21010"
"In post","2021","AA/AO","Lancashire","Undeclared","500","440","23910","21010"
"In post","2021","AA/AO","Lancashire","Unknown","810","730","21530","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","Declared disabled","350","310","21180","21000"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","Declared non-disabled","1850","1650","22030","21010"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","Undeclared","210","190","23680","21360"
"In post","2021","AA/AO","Leicestershire, Rutland and Northamptonshire","Unknown","490","460","21350","21010"
"In post","2021","AA/AO","Lincolnshire","Declared disabled","150","140","21760","21010"
"In post","2021","AA/AO","Lincolnshire","Declared non-disabled","900","840","22230","21010"
"In post","2021","AA/AO","Lincolnshire","Undeclared","130","120","23860","21550"
"In post","2021","AA/AO","Lincolnshire","Unknown","120","110","21270","20720"
"In post","2021","AA/AO","Merseyside","Declared disabled","900","770","20970","21010"
"In post","2021","AA/AO","Merseyside","Declared non-disabled","4660","4070","21090","21430"
"In post","2021","AA/AO","Merseyside","Undeclared","310","270","22590","21430"
"In post","2021","AA/AO","Merseyside","Unknown","1300","1170","20900","20490"
"In post","2021","AA/AO","North Eastern Scotland","Declared disabled","40","40","[c]","[c]"
"In post","2021","AA/AO","North Eastern Scotland","Declared non-disabled","250","230","26080","22230"
"In post","2021","AA/AO","North Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","North Eastern Scotland","Unknown","250","230","24730","22820"
"In post","2021","AA/AO","North Yorkshire","Declared disabled","130","120","21790","21010"
"In post","2021","AA/AO","North Yorkshire","Declared non-disabled","900","840","22250","20920"
"In post","2021","AA/AO","North Yorkshire","Undeclared","100","90","23530","20920"
"In post","2021","AA/AO","North Yorkshire","Unknown","270","250","23070","20920"
"In post","2021","AA/AO","Northern Ireland","Declared disabled","140","130","21130","20810"
"In post","2021","AA/AO","Northern Ireland","Declared non-disabled","960","890","20850","20310"
"In post","2021","AA/AO","Northern Ireland","Undeclared","80","70","20850","20310"
"In post","2021","AA/AO","Northern Ireland","Unknown","500","470","20520","20140"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","Declared disabled","1060","890","20760","21010"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","Declared non-disabled","5500","4630","20750","21010"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","Undeclared","370","320","20750","21010"
"In post","2021","AA/AO","Northumberland and Tyne and Wear","Unknown","2070","1730","20570","20140"
"In post","2021","AA/AO","Outer London - East and North East","Declared disabled","140","130","25120","24510"
"In post","2021","AA/AO","Outer London - East and North East","Declared non-disabled","910","840","26450","25110"
"In post","2021","AA/AO","Outer London - East and North East","Undeclared","150","140","28110","25110"
"In post","2021","AA/AO","Outer London - East and North East","Unknown","220","210","27150","28720"
"In post","2021","AA/AO","Outer London - South","Declared disabled","210","180","24350","25630"
"In post","2021","AA/AO","Outer London - South","Declared non-disabled","1420","1280","24280","25630"
"In post","2021","AA/AO","Outer London - South","Undeclared","80","70","24240","25630"
"In post","2021","AA/AO","Outer London - South","Unknown","310","290","23750","24120"
"In post","2021","AA/AO","Outer London - West and North West","Declared disabled","210","190","25390","25110"
"In post","2021","AA/AO","Outer London - West and North West","Declared non-disabled","1380","1260","25520","25110"
"In post","2021","AA/AO","Outer London - West and North West","Undeclared","150","140","26880","25630"
"In post","2021","AA/AO","Outer London - West and North West","Unknown","320","310","25510","24360"
"In post","2021","AA/AO","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Overseas","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","AA/AO","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Shropshire and Staffordshire","Declared disabled","380","350","22280","21010"
"In post","2021","AA/AO","Shropshire and Staffordshire","Declared non-disabled","2080","1900","22690","21030"
"In post","2021","AA/AO","Shropshire and Staffordshire","Undeclared","280","250","23920","21550"
"In post","2021","AA/AO","Shropshire and Staffordshire","Unknown","520","490","22150","22350"
"In post","2021","AA/AO","South Yorkshire","Declared disabled","390","330","21390","21010"
"In post","2021","AA/AO","South Yorkshire","Declared non-disabled","2210","1930","21950","21430"
"In post","2021","AA/AO","South Yorkshire","Undeclared","200","180","23880","21430"
"In post","2021","AA/AO","South Yorkshire","Unknown","300","290","21980","21430"
"In post","2021","AA/AO","Southern Scotland","Declared disabled","180","150","21230","21010"
"In post","2021","AA/AO","Southern Scotland","Declared non-disabled","1070","910","21550","21010"
"In post","2021","AA/AO","Southern Scotland","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","Southern Scotland","Unknown","940","830","21300","20140"
"In post","2021","AA/AO","Surrey, East and West Sussex","Declared disabled","330","290","23010","21010"
"In post","2021","AA/AO","Surrey, East and West Sussex","Declared non-disabled","1970","1800","24330","21740"
"In post","2021","AA/AO","Surrey, East and West Sussex","Undeclared","280","250","25830","23810"
"In post","2021","AA/AO","Surrey, East and West Sussex","Unknown","350","330","24820","23000"
"In post","2021","AA/AO","Tees Valley and Durham","Declared disabled","500","430","22170","21010"
"In post","2021","AA/AO","Tees Valley and Durham","Declared non-disabled","3050","2690","22740","21430"
"In post","2021","AA/AO","Tees Valley and Durham","Undeclared","470","410","26320","25400"
"In post","2021","AA/AO","Tees Valley and Durham","Unknown","660","630","22060","21440"
"In post","2021","AA/AO","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Declared non-disabled","180","150","22340","21010"
"In post","2021","AA/AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","West Central Scotland","Declared disabled","740","640","21420","21010"
"In post","2021","AA/AO","West Central Scotland","Declared non-disabled","4120","3650","21760","21010"
"In post","2021","AA/AO","West Central Scotland","Undeclared","270","240","21960","21010"
"In post","2021","AA/AO","West Central Scotland","Unknown","1860","1730","23280","21150"
"In post","2021","AA/AO","West Midlands","Declared disabled","620","540","20840","20880"
"In post","2021","AA/AO","West Midlands","Declared non-disabled","3450","3020","20900","20880"
"In post","2021","AA/AO","West Midlands","Undeclared","250","230","21090","20650"
"In post","2021","AA/AO","West Midlands","Unknown","950","890","20960","20140"
"In post","2021","AA/AO","West Wales and The Valleys","Declared disabled","890","740","20730","21010"
"In post","2021","AA/AO","West Wales and The Valleys","Declared non-disabled","4880","4220","21060","21590"
"In post","2021","AA/AO","West Wales and The Valleys","Undeclared","480","410","21800","21590"
"In post","2021","AA/AO","West Wales and The Valleys","Unknown","940","860","21180","21590"
"In post","2021","AA/AO","West Yorkshire","Declared disabled","510","430","21540","21010"
"In post","2021","AA/AO","West Yorkshire","Declared non-disabled","3020","2680","22220","21010"
"In post","2021","AA/AO","West Yorkshire","Undeclared","360","320","24520","21550"
"In post","2021","AA/AO","West Yorkshire","Unknown","1180","1110","20900","20140"
"In post","2021","EO","Bedfordshire and Hertfordshire","Declared disabled","200","190","29140","29290"
"In post","2021","EO","Bedfordshire and Hertfordshire","Declared non-disabled","1170","1070","28920","29290"
"In post","2021","EO","Bedfordshire and Hertfordshire","Undeclared","90","80","28830","29290"
"In post","2021","EO","Bedfordshire and Hertfordshire","Unknown","150","140","29790","29290"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","300","270","29190","27920"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","1650","1570","28900","27570"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","190","180","31220","29290"
"In post","2021","EO","Berkshire, Buckinghamshire and Oxfordshire","Unknown","280","270","30300","27570"
"In post","2021","EO","Cheshire","Declared disabled","160","150","28140","27570"
"In post","2021","EO","Cheshire","Declared non-disabled","730","690","28650","27570"
"In post","2021","EO","Cheshire","Undeclared","60","60","29510","27570"
"In post","2021","EO","Cheshire","Unknown","480","470","31410","30640"
"In post","2021","EO","Cornwall and Isles of Scilly","Declared disabled","80","70","27480","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","Declared non-disabled","460","420","27280","27570"
"In post","2021","EO","Cornwall and Isles of Scilly","Undeclared","40","30","[c]","[c]"
"In post","2021","EO","Cornwall and Isles of Scilly","Unknown","50","50","[c]","[c]"
"In post","2021","EO","Cumbria","Declared disabled","70","60","26450","27570"
"In post","2021","EO","Cumbria","Declared non-disabled","450","400","26080","26030"
"In post","2021","EO","Cumbria","Undeclared","30","30","[c]","[c]"
"In post","2021","EO","Cumbria","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Derbyshire and Nottinghamshire","Declared disabled","540","490","26830","27570"
"In post","2021","EO","Derbyshire and Nottinghamshire","Declared non-disabled","2290","2090","26760","27570"
"In post","2021","EO","Derbyshire and Nottinghamshire","Undeclared","220","200","27450","27570"
"In post","2021","EO","Derbyshire and Nottinghamshire","Unknown","510","490","26300","25560"
"In post","2021","EO","Devon","Declared disabled","310","280","27390","27570"
"In post","2021","EO","Devon","Declared non-disabled","1650","1500","26890","27570"
"In post","2021","EO","Devon","Undeclared","130","120","27730","27570"
"In post","2021","EO","Devon","Unknown","250","240","27070","27130"
"In post","2021","EO","Dorset and Somerset","Declared disabled","210","190","27490","27570"
"In post","2021","EO","Dorset and Somerset","Declared non-disabled","1130","1020","27400","27570"
"In post","2021","EO","Dorset and Somerset","Undeclared","110","100","27730","27570"
"In post","2021","EO","Dorset and Somerset","Unknown","180","160","26690","26740"
"In post","2021","EO","East Anglia","Declared disabled","430","390","27630","27570"
"In post","2021","EO","East Anglia","Declared non-disabled","2320","2150","27390","27570"
"In post","2021","EO","East Anglia","Undeclared","270","250","29000","27570"
"In post","2021","EO","East Anglia","Unknown","260","250","26920","26670"
"In post","2021","EO","East Wales","Declared disabled","510","470","26910","27570"
"In post","2021","EO","East Wales","Declared non-disabled","3620","3360","26950","27570"
"In post","2021","EO","East Wales","Undeclared","330","310","28040","27570"
"In post","2021","EO","East Wales","Unknown","1050","1010","25380","25560"
"In post","2021","EO","East Yorkshire and Northern Lincolnshire","Declared disabled","220","200","27460","27570"
"In post","2021","EO","East Yorkshire and Northern Lincolnshire","Declared non-disabled","1190","1090","27700","27570"
"In post","2021","EO","East Yorkshire and Northern Lincolnshire","Undeclared","130","120","29630","27570"
"In post","2021","EO","East Yorkshire and Northern Lincolnshire","Unknown","120","120","26840","26930"
"In post","2021","EO","Eastern Scotland","Declared disabled","640","580","28790","27570"
"In post","2021","EO","Eastern Scotland","Declared non-disabled","2510","2340","27680","27570"
"In post","2021","EO","Eastern Scotland","Undeclared","140","130","27590","27570"
"In post","2021","EO","Eastern Scotland","Unknown","1900","1800","30420","30080"
"In post","2021","EO","Essex","Declared disabled","310","280","29180","29290"
"In post","2021","EO","Essex","Declared non-disabled","1650","1500","28730","29290"
"In post","2021","EO","Essex","Undeclared","140","130","28520","28130"
"In post","2021","EO","Essex","Unknown","180","170","27730","26670"
"In post","2021","EO","Gloucestershire, Wiltshire and Bath/Bristol area","Declared disabled","700","640","25960","26910"
"In post","2021","EO","Gloucestershire, Wiltshire and Bath/Bristol area","Declared non-disabled","4150","3860","25820","26670"
"In post","2021","EO","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","320","300","26660","26790"
"In post","2021","EO","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","830","790","26330","26380"
"In post","2021","EO","Greater Manchester","Declared disabled","690","640","26830","27570"
"In post","2021","EO","Greater Manchester","Declared non-disabled","3950","3710","26630","27570"
"In post","2021","EO","Greater Manchester","Undeclared","300","280","27540","27570"
"In post","2021","EO","Greater Manchester","Unknown","850","820","25660","25560"
"In post","2021","EO","Hampshire and Isle of Wight","Declared disabled","460","420","27130","27570"
"In post","2021","EO","Hampshire and Isle of Wight","Declared non-disabled","2510","2340","27020","26700"
"In post","2021","EO","Hampshire and Isle of Wight","Undeclared","250","240","27820","27370"
"In post","2021","EO","Hampshire and Isle of Wight","Unknown","520","500","26310","26310"
"In post","2021","EO","Herefordshire, Worcestershire and Warwickshire","Declared disabled","130","120","27060","27570"
"In post","2021","EO","Herefordshire, Worcestershire and Warwickshire","Declared non-disabled","820","760","26960","27570"
"In post","2021","EO","Herefordshire, Worcestershire and Warwickshire","Undeclared","90","90","29350","27570"
"In post","2021","EO","Herefordshire, Worcestershire and Warwickshire","Unknown","50","50","26190","26670"
"In post","2021","EO","Highlands and Islands","Declared disabled","90","80","28510","27570"
"In post","2021","EO","Highlands and Islands","Declared non-disabled","460","430","28640","27570"
"In post","2021","EO","Highlands and Islands","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Highlands and Islands","Unknown","130","120","29840","29350"
"In post","2021","EO","Inner London - East","Declared disabled","510","480","30870","31060"
"In post","2021","EO","Inner London - East","Declared non-disabled","2830","2670","30490","31060"
"In post","2021","EO","Inner London - East","Undeclared","210","200","30630","31060"
"In post","2021","EO","Inner London - East","Unknown","930","890","31710","31060"
"In post","2021","EO","Inner London - West","Declared disabled","880","840","29580","29560"
"In post","2021","EO","Inner London - West","Declared non-disabled","5030","4880","29360","29300"
"In post","2021","EO","Inner London - West","Undeclared","490","470","29880","29970"
"In post","2021","EO","Inner London - West","Unknown","1490","1450","28710","28420"
"In post","2021","EO","Kent","Declared disabled","380","350","28850","29290"
"In post","2021","EO","Kent","Declared non-disabled","2660","2440","28140","27370"
"In post","2021","EO","Kent","Undeclared","290","260","28580","27370"
"In post","2021","EO","Kent","Unknown","260","250","29350","28130"
"In post","2021","EO","Lancashire","Declared disabled","680","610","27260","27570"
"In post","2021","EO","Lancashire","Declared non-disabled","3120","2820","27450","27570"
"In post","2021","EO","Lancashire","Undeclared","280","260","28300","27570"
"In post","2021","EO","Lancashire","Unknown","300","280","27520","27570"
"In post","2021","EO","Leicestershire, Rutland and Northamptonshire","Declared disabled","230","210","27050","27570"
"In post","2021","EO","Leicestershire, Rutland and Northamptonshire","Declared non-disabled","1280","1190","27250","27570"
"In post","2021","EO","Leicestershire, Rutland and Northamptonshire","Undeclared","130","130","28740","27570"
"In post","2021","EO","Leicestershire, Rutland and Northamptonshire","Unknown","170","160","27140","27570"
"In post","2021","EO","Lincolnshire","Declared disabled","120","110","27710","27570"
"In post","2021","EO","Lincolnshire","Declared non-disabled","530","490","27680","27570"
"In post","2021","EO","Lincolnshire","Undeclared","70","70","29070","27570"
"In post","2021","EO","Lincolnshire","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Merseyside","Declared disabled","760","660","26700","27570"
"In post","2021","EO","Merseyside","Declared non-disabled","4550","4150","26260","26150"
"In post","2021","EO","Merseyside","Undeclared","260","230","26900","27130"
"In post","2021","EO","Merseyside","Unknown","630","590","25460","25560"
"In post","2021","EO","North Eastern Scotland","Declared disabled","40","40","[c]","[c]"
"In post","2021","EO","North Eastern Scotland","Declared non-disabled","330","300","28290","27570"
"In post","2021","EO","North Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","North Eastern Scotland","Unknown","210","200","30960","30930"
"In post","2021","EO","North Yorkshire","Declared disabled","110","100","27190","27570"
"In post","2021","EO","North Yorkshire","Declared non-disabled","740","700","27390","26750"
"In post","2021","EO","North Yorkshire","Undeclared","70","70","27900","26750"
"In post","2021","EO","North Yorkshire","Unknown","120","110","27110","26670"
"In post","2021","EO","Northern Ireland","Declared disabled","90","80","26500","25900"
"In post","2021","EO","Northern Ireland","Declared non-disabled","600","560","26470","25560"
"In post","2021","EO","Northern Ireland","Undeclared","50","50","26840","26690"
"In post","2021","EO","Northern Ireland","Unknown","250","240","26740","25560"
"In post","2021","EO","Northumberland and Tyne and Wear","Declared disabled","640","570","26870","27570"
"In post","2021","EO","Northumberland and Tyne and Wear","Declared non-disabled","3660","3310","26580","27570"
"In post","2021","EO","Northumberland and Tyne and Wear","Undeclared","250","230","26550","27570"
"In post","2021","EO","Northumberland and Tyne and Wear","Unknown","990","940","26020","25560"
"In post","2021","EO","Outer London - East and North East","Declared disabled","260","230","31180","31060"
"In post","2021","EO","Outer London - East and North East","Declared non-disabled","1250","1160","31220","31060"
"In post","2021","EO","Outer London - East and North East","Undeclared","110","100","32070","31060"
"In post","2021","EO","Outer London - East and North East","Unknown","100","100","30570","31060"
"In post","2021","EO","Outer London - South","Declared disabled","370","340","29910","29570"
"In post","2021","EO","Outer London - South","Declared non-disabled","2280","2150","29870","29570"
"In post","2021","EO","Outer London - South","Undeclared","180","170","30170","29660"
"In post","2021","EO","Outer London - South","Unknown","380","370","30540","29570"
"In post","2021","EO","Outer London - West and North West","Declared disabled","430","380","30220","31060"
"In post","2021","EO","Outer London - West and North West","Declared non-disabled","3060","2790","29940","30330"
"In post","2021","EO","Outer London - West and North West","Undeclared","220","200","30260","30500"
"In post","2021","EO","Outer London - West and North West","Unknown","320","310","29220","29520"
"In post","2021","EO","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","Overseas","Declared non-disabled","210","210","27760","27130"
"In post","2021","EO","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Overseas","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Shropshire and Staffordshire","Declared disabled","370","330","27540","27570"
"In post","2021","EO","Shropshire and Staffordshire","Declared non-disabled","1730","1600","27620","27570"
"In post","2021","EO","Shropshire and Staffordshire","Undeclared","210","200","28320","27570"
"In post","2021","EO","Shropshire and Staffordshire","Unknown","160","160","27010","26670"
"In post","2021","EO","South Yorkshire","Declared disabled","370","330","26960","27570"
"In post","2021","EO","South Yorkshire","Declared non-disabled","2040","1820","26880","27570"
"In post","2021","EO","South Yorkshire","Undeclared","150","140","28530","27570"
"In post","2021","EO","South Yorkshire","Unknown","180","170","27490","27080"
"In post","2021","EO","Southern Scotland","Declared disabled","170","150","26680","27570"
"In post","2021","EO","Southern Scotland","Declared non-disabled","1200","1070","26910","27570"
"In post","2021","EO","Southern Scotland","Undeclared","60","50","26540","27370"
"In post","2021","EO","Southern Scotland","Unknown","470","430","26950","26160"
"In post","2021","EO","Surrey, East and West Sussex","Declared disabled","370","330","28110","27570"
"In post","2021","EO","Surrey, East and West Sussex","Declared non-disabled","2200","1970","28140","27570"
"In post","2021","EO","Surrey, East and West Sussex","Undeclared","190","170","28880","27570"
"In post","2021","EO","Surrey, East and West Sussex","Unknown","240","230","28740","27570"
"In post","2021","EO","Tees Valley and Durham","Declared disabled","360","310","27530","27570"
"In post","2021","EO","Tees Valley and Durham","Declared non-disabled","1650","1490","27440","27570"
"In post","2021","EO","Tees Valley and Durham","Undeclared","180","160","29460","27570"
"In post","2021","EO","Tees Valley and Durham","Unknown","190","180","26330","27130"
"In post","2021","EO","Unknown","Declared disabled","100","90","27990","27570"
"In post","2021","EO","Unknown","Declared non-disabled","410","380","28090","27570"
"In post","2021","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Unknown","60","60","27930","27570"
"In post","2021","EO","West Central Scotland","Declared disabled","550","490","27710","27570"
"In post","2021","EO","West Central Scotland","Declared non-disabled","3090","2840","27030","27570"
"In post","2021","EO","West Central Scotland","Undeclared","190","170","27520","27570"
"In post","2021","EO","West Central Scotland","Unknown","1360","1290","30240","30650"
"In post","2021","EO","West Midlands","Declared disabled","780","690","26890","27570"
"In post","2021","EO","West Midlands","Declared non-disabled","3960","3600","26710","27570"
"In post","2021","EO","West Midlands","Undeclared","280","260","26510","27570"
"In post","2021","EO","West Midlands","Unknown","790","760","27190","25560"
"In post","2021","EO","West Wales and The Valleys","Declared disabled","500","440","27250","27570"
"In post","2021","EO","West Wales and The Valleys","Declared non-disabled","2960","2710","27360","27570"
"In post","2021","EO","West Wales and The Valleys","Undeclared","200","190","27480","27130"
"In post","2021","EO","West Wales and The Valleys","Unknown","250","250","27520","27130"
"In post","2021","EO","West Yorkshire","Declared disabled","590","530","26900","27570"
"In post","2021","EO","West Yorkshire","Declared non-disabled","3370","3100","27000","27570"
"In post","2021","EO","West Yorkshire","Undeclared","280","250","28060","27570"
"In post","2021","EO","West Yorkshire","Unknown","840","810","26170","25560"
"In post","2021","G6/G7","Bedfordshire and Hertfordshire","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Bedfordshire and Hertfordshire","Declared non-disabled","210","200","60340","59730"
