"Status","Year","Ethnicity","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared non-disabled","Medicine","120","110","66020","74070"
"In post","2021","Asian","Declared non-disabled","Operational Delivery","8010","7340","27870","25630"
"In post","2021","Asian","Declared non-disabled","Operational Research","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Other","650","630","32790","28880"
"In post","2021","Asian","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Policy","1490","1450","43230","39540"
"In post","2021","Asian","Declared non-disabled","Project Delivery","640","630","40550","37640"
"In post","2021","Asian","Declared non-disabled","Property","200","190","36820","33510"
"In post","2021","Asian","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Science and Engineering","430","410","36240","33330"
"In post","2021","Asian","Declared non-disabled","Security","220","220","29970","26750"
"In post","2021","Asian","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Statistics","110","100","41160","38650"
"In post","2021","Asian","Declared non-disabled","Tax","1080","1030","32130","31810"
"In post","2021","Asian","Declared non-disabled","Unknown","6840","6230","29210","27570"
"In post","2021","Asian","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Finance","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Operational Delivery","440","390","28280","25630"
"In post","2021","Asian","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Policy","90","90","41210","35200"
"In post","2021","Asian","Undeclared","Project Delivery","30","30","[c]","[c]"
"In post","2021","Asian","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Tax","40","40","[c]","[c]"
"In post","2021","Asian","Undeclared","Unknown","390","360","28890","27570"
"In post","2021","Asian","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Digital, Data and Technology","140","140","40890","37870"
"In post","2021","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Finance","70","60","38810","36490"
"In post","2021","Asian","Unknown","Human Resources","50","50","34960","31470"
"In post","2021","Asian","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Legal","120","110","44180","48080"
"In post","2021","Asian","Unknown","Medicine","60","50","87150","85730"
"In post","2021","Asian","Unknown","Operational Delivery","740","690","28370","25560"
"In post","2021","Asian","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Other","120","110","35450","28880"
"In post","2021","Asian","Unknown","Policy","180","180","42810","37640"
"In post","2021","Asian","Unknown","Project Delivery","70","70","43670","38630"
"In post","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Science and Engineering","90","90","38310","35560"
"In post","2021","Asian","Unknown","Security","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Tax","170","160","34040","32520"
"In post","2021","Asian","Unknown","Unknown","150","150","35120","31060"
"In post","2021","Black","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Black","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Human Resources","40","40","[c]","[c]"
"In post","2021","Black","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Legal","40","40","[c]","[c]"
"In post","2021","Black","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Operational Delivery","650","610","29480","27490"
"In post","2021","Black","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Other","60","50","30710","28880"
"In post","2021","Black","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Policy","130","130","37110","34080"
"In post","2021","Black","Declared disabled","Project Delivery","40","40","[c]","[c]"
"In post","2021","Black","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared disabled","Tax","50","40","[c]","[c]"
"In post","2021","Black","Declared disabled","Unknown","630","590","30050","30330"
"In post","2021","Black","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Commercial","140","140","38040","35050"
"In post","2021","Black","Declared non-disabled","Communications","80","80","39140","36300"
"In post","2021","Black","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Digital, Data and Technology","320","320","39930","36780"
"In post","2021","Black","Declared non-disabled","Economics","50","50","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Finance","310","300","40430","37150"
"In post","2021","Black","Declared non-disabled","Human Resources","210","210","37770","35000"
"In post","2021","Black","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Internal Audit","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","International Trade","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Knowledge and Information Management","60","60","34430","31870"
"In post","2021","Black","Declared non-disabled","Legal","320","320","49550","51120"
"In post","2021","Black","Declared non-disabled","Medicine","30","30","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Operational Delivery","4480","4260","29200","27380"
"In post","2021","Black","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Other","400","390","30750","28650"
"In post","2021","Black","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Policy","820","810","39360","35070"
"In post","2021","Black","Declared non-disabled","Project Delivery","400","390","39860","37650"
"In post","2021","Black","Declared non-disabled","Property","100","90","36520","33300"
"In post","2021","Black","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Science and Engineering","210","200","35630","33350"
"In post","2021","Black","Declared non-disabled","Security","90","90","31460","25680"
"In post","2021","Black","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Statistics","40","40","[c]","[c]"
"In post","2021","Black","Declared non-disabled","Tax","320","310","31860","31810"
"In post","2021","Black","Declared non-disabled","Unknown","3470","3310","30150","30330"
"In post","2021","Black","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Operational Delivery","400","370","30340","28920"
"In post","2021","Black","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Policy","50","40","[c]","[c]"
"In post","2021","Black","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Black","Undeclared","Unknown","180","170","30030","31060"
"In post","2021","Black","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Legal","50","50","[c]","[c]"
"In post","2021","Black","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Operational Delivery","330","310","29430","26810"
"In post","2021","Black","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Other","50","50","[c]","[c]"
"In post","2021","Black","Unknown","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Policy","100","100","41970","39110"
"In post","2021","Black","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Science and Engineering","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Tax","50","50","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","70","70","33330","31060"
"In post","2021","Chinese","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Finance","40","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Legal","40","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Operational Delivery","280","260","28470","25410"
"In post","2021","Chinese","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Other","50","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Policy","100","100","45070","40500"
"In post","2021","Chinese","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Tax","40","40","[c]","[c]"
"In post","2021","Chinese","Declared non-disabled","Unknown","170","160","31390","27570"
"In post","2021","Chinese","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Legal","30","30","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Operational Delivery","390","360","28890","26810"
"In post","2021","Mixed","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Other","30","30","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Policy","100","100","39880","38130"
"In post","2021","Mixed","Declared disabled","Project Delivery","30","30","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Declared disabled","Unknown","400","370","29610","27570"
"In post","2021","Mixed","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
