"Status","Year","Function_of_post","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Government Internal Audit Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Declared disabled","60","60","43330","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Declared non-disabled","430","410","45830","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","130","130","38920","36160"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Declared non-disabled","90","80","53020","55530"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Declared non-disabled","150","150","40300","37460"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","160","160","46570","43190"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Declared disabled","40","40","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Declared non-disabled","280","270","45750","40480"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Undeclared","40","30","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Unknown","50","50","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","130","120","40640","35010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Declared non-disabled","60","60","54760","52000"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Declared disabled","150","140","36730","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Declared non-disabled","840","790","39570","36960"
"In post","2021","Analysis","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Unknown","690","670","34290","32540"
"In post","2021","Analysis","Valuation Office Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Declared non-disabled","330","320","76000","65310"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Unknown","1040","1020","69450","64500"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Declared non-disabled","70","70","37560","35290"
"In post","2021","Commercial","Crown Commercial Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Unknown","260","250","32540","31400"
"In post","2021","Commercial","Crown Prosecution Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Declared non-disabled","210","210","44210","40710"
"In post","2021","Commercial","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Declared non-disabled","130","120","41130","38280"
"In post","2021","Commercial","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Unknown","40","30","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","90","90","39050","36970"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Unknown","160","160","48010","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Declared non-disabled","130","120","32930","31040"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Declared non-disabled","70","70","47250","41170"
"In post","2021","Commercial","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Actuary's Department","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Actuary's Department","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Declared disabled","90","80","46550","46550"
"In post","2021","Commercial","HM Prison and Probation Service","Declared non-disabled","480","470","49890","48410"
"In post","2021","Commercial","HM Prison and Probation Service","Undeclared","90","90","49860","48800"
"In post","2021","Commercial","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Declared non-disabled","90","80","36940","35000"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
