"Status","Year","Sex","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","EO","Social Research","30","30","[c]","[c]"
"In post","2021","Female","EO","Statistics","110","100","27640","27850"
"In post","2021","Female","EO","Tax","2020","1810","26690","25560"
"In post","2021","Female","EO","Unknown","34670","30560","28050","27570"
"In post","2021","Female","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Commercial","470","450","57950","54970"
"In post","2021","Female","G6/G7","Communications","560","530","57970","56620"
"In post","2021","Female","G6/G7","Corporate Finance","30","30","[c]","[c]"
"In post","2021","Female","G6/G7","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Female","G6/G7","Digital, Data and Technology","1190","1150","57040","55650"
"In post","2021","Female","G6/G7","Economics","360","330","59210","57850"
"In post","2021","Female","G6/G7","Finance","1020","980","58220","57460"
"In post","2021","Female","G6/G7","Human Resources","1170","1120","57900","56610"
"In post","2021","Female","G6/G7","Inspector of Education and Training","300","300","74720","75500"
"In post","2021","Female","G6/G7","Intelligence Analysis","180","170","58180","56740"
"In post","2021","Female","G6/G7","Internal Audit","80","80","58830","56150"
"In post","2021","Female","G6/G7","International Trade","260","250","54720","51970"
"In post","2021","Female","G6/G7","Knowledge and Information Management","220","200","56700","54540"
"In post","2021","Female","G6/G7","Legal","3660","3290","58870","57330"
"In post","2021","Female","G6/G7","Medicine","390","330","72620","74070"
"In post","2021","Female","G6/G7","Operational Delivery","3310","3190","57250","54440"
"In post","2021","Female","G6/G7","Operational Research","170","150","54780","54540"
"In post","2021","Female","G6/G7","Other","850","810","59930","57680"
"In post","2021","Female","G6/G7","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","G6/G7","Planning Inspectors","130","110","57420","58810"
"In post","2021","Female","G6/G7","Policy","5740","5490","58070","56620"
"In post","2021","Female","G6/G7","Project Delivery","1960","1890","56310","54540"
"In post","2021","Female","G6/G7","Property","370","360","56840","54990"
"In post","2021","Female","G6/G7","Psychology","90","90","63910","65520"
"In post","2021","Female","G6/G7","Science and Engineering","1010","930","55940","53830"
"In post","2021","Female","G6/G7","Security","110","100","59360","56800"
"In post","2021","Female","G6/G7","Social Research","210","190","56350","57430"
"In post","2021","Female","G6/G7","Statistics","310","280","56420","56200"
"In post","2021","Female","G6/G7","Tax","1010","960","56330","52580"
"In post","2021","Female","G6/G7","Unknown","4920","4690","59110","56640"
"In post","2021","Female","G6/G7","Veterinarian","80","70","54390","54150"
"In post","2021","Female","SCS","Commercial","50","40","[c]","[c]"
"In post","2021","Female","SCS","Communications","70","60","83440","79580"
"In post","2021","Female","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Digital, Data and Technology","80","80","87410","80420"
"In post","2021","Female","SCS","Economics","30","30","[c]","[c]"
"In post","2021","Female","SCS","Finance","110","110","88770","81830"
"In post","2021","Female","SCS","Human Resources","130","120","89020","82020"
"In post","2021","Female","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","International Trade","50","50","79670","74540"
"In post","2021","Female","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Legal","210","200","86910","82500"
"In post","2021","Female","SCS","Medicine","260","220","105080","98890"
"In post","2021","Female","SCS","Operational Delivery","290","280","91300","82500"
"In post","2021","Female","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Other","130","120","89200","83510"
"In post","2021","Female","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Policy","880","830","83510","76700"
"In post","2021","Female","SCS","Project Delivery","190","180","88080","84130"
"In post","2021","Female","SCS","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Science and Engineering","40","30","[c]","[c]"
"In post","2021","Female","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","SCS","Tax","50","40","[c]","[c]"
"In post","2021","Female","SCS","Unknown","740","710","87950","79930"
"In post","2021","Female","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","SEO/HEO","Commercial","1650","1570","36900","36780"
"In post","2021","Female","SEO/HEO","Communications","1190","1140","37870","37410"
"In post","2021","Female","SEO/HEO","Corporate Finance","40","40","[c]","[c]"
"In post","2021","Female","SEO/HEO","Counter Fraud","210","200","37240","37910"
"In post","2021","Female","SEO/HEO","Digital, Data and Technology","2340","2220","36870","36740"
"In post","2021","Female","SEO/HEO","Economics","310","310","34670","33880"
"In post","2021","Female","SEO/HEO","Finance","2080","1970","37440","36820"
"In post","2021","Female","SEO/HEO","Human Resources","2350","2210","36610","35990"
"In post","2021","Female","SEO/HEO","Inspector of Education and Training","300","290","51010","51360"
"In post","2021","Female","SEO/HEO","Intelligence Analysis","510","490","36310","36040"
"In post","2021","Female","SEO/HEO","Internal Audit","260","240","40010","39980"
"In post","2021","Female","SEO/HEO","International Trade","290","290","35220","34760"
"In post","2021","Female","SEO/HEO","Knowledge and Information Management","530","490","36340","36330"
"In post","2021","Female","SEO/HEO","Legal","2010","1840","38830","38000"
"In post","2021","Female","SEO/HEO","Medicine","540","480","38460","37890"
"In post","2021","Female","SEO/HEO","Operational Delivery","15790","14830","35770","34510"
"In post","2021","Female","SEO/HEO","Operational Research","220","210","36130","37020"
"In post","2021","Female","SEO/HEO","Other","2610","2480","35860","35190"
"In post","2021","Female","SEO/HEO","Planning","50","40","38800","39800"
"In post","2021","Female","SEO/HEO","Policy","6930","6680","36990","36660"
"In post","2021","Female","SEO/HEO","Project Delivery","4320","4120","36370","36070"
"In post","2021","Female","SEO/HEO","Property","1190","1120","36470","35000"
"In post","2021","Female","SEO/HEO","Psychology","720","690","37380","32350"
"In post","2021","Female","SEO/HEO","Science and Engineering","2240","2060","36320","37080"
"In post","2021","Female","SEO/HEO","Security","470","460","38570","37320"
"In post","2021","Female","SEO/HEO","Social Research","550","520","37960","37020"
"In post","2021","Female","SEO/HEO","Statistics","490","460","36670","37020"
"In post","2021","Female","SEO/HEO","Tax","3340","3120","34440","31870"
"In post","2021","Female","SEO/HEO","Unknown","12260","11580","35280","34290"
"In post","2021","Female","SEO/HEO","Veterinarian","170","160","40310","37530"
"In post","2021","Female","Unknown","Commercial","110","100","36870","33010"
"In post","2021","Female","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Finance","80","80","41270","39860"
"In post","2021","Female","Unknown","Human Resources","30","30","[c]","[c]"
"In post","2021","Female","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Operational Delivery","9420","8610","29650","28200"
"In post","2021","Female","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Other","210","210","34760","33570"
"In post","2021","Female","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Project Delivery","170","160","38410","36480"
"In post","2021","Female","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Science and Engineering","80","80","38580","33740"
"In post","2021","Female","Unknown","Security","50","40","[c]","[c]"
"In post","2021","Female","Unknown","Unknown","110","100","[c]","[c]"
"In post","2021","Male","AA/AO","Commercial","110","100","22760","21590"
"In post","2021","Male","AA/AO","Communications","100","100","22340","21580"
"In post","2021","Male","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Digital, Data and Technology","250","250","22030","21590"
"In post","2021","Male","AA/AO","Economics","50","50","22680","22500"
"In post","2021","Male","AA/AO","Finance","360","330","21440","21130"
"In post","2021","Male","AA/AO","Human Resources","320","320","21650","21130"
"In post","2021","Male","AA/AO","Intelligence Analysis","50","40","[c]","[c]"
"In post","2021","Male","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Knowledge and Information Management","130","130","22070","21130"
"In post","2021","Male","AA/AO","Legal","130","130","21720","21030"
"In post","2021","Male","AA/AO","Medicine","30","30","[c]","[c]"
"In post","2021","Male","AA/AO","Operational Delivery","36050","34240","24100","22080"
"In post","2021","Male","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Other","3230","3150","21150","20720"
"In post","2021","Male","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Policy","270","270","23730","23830"
"In post","2021","Male","AA/AO","Project Delivery","90","90","21970","21440"
"In post","2021","Male","AA/AO","Property","580","560","19240","18760"
"In post","2021","Male","AA/AO","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Science and Engineering","890","870","21490","21930"
"In post","2021","Male","AA/AO","Security","4620","4540","27170","22650"
"In post","2021","Male","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","AA/AO","Tax","1780","1720","20230","20140"
"In post","2021","Male","AA/AO","Unknown","12190","11640","21430","21010"
"In post","2021","Male","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Commercial","290","280","26120","26360"
"In post","2021","Male","EO","Communications","260","260","27550","27270"
"In post","2021","Male","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Counter Fraud","70","70","26920","26350"
"In post","2021","Male","EO","Digital, Data and Technology","1410","1390","27660","26750"
"In post","2021","Male","EO","Economics","60","60","27640","27680"
"In post","2021","Male","EO","Finance","580","570","26390","26670"
"In post","2021","Male","EO","Human Resources","390","380","27640","27180"
"In post","2021","Male","EO","Intelligence Analysis","780","760","28140","27370"
"In post","2021","Male","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","International Trade","50","50","26910","26510"
"In post","2021","Male","EO","Knowledge and Information Management","190","190","27140","26670"
"In post","2021","Male","EO","Legal","960","950","27400","25560"
"In post","2021","Male","EO","Medicine","90","90","29660","30620"
"In post","2021","Male","EO","Operational Delivery","21900","20890","28430","27370"
"In post","2021","Male","EO","Operational Research","40","40","[c]","[c]"
"In post","2021","Male","EO","Other","2810","2710","26550","26670"
"In post","2021","Male","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Policy","1050","1040","28270","28500"
"In post","2021","Male","EO","Project Delivery","710","690","26550","26670"
"In post","2021","Male","EO","Property","770","750","27010","26670"
"In post","2021","Male","EO","Psychology","70","60","26730","26850"
"In post","2021","Male","EO","Science and Engineering","1400","1370","25750","26370"
"In post","2021","Male","EO","Security","790","780","34170","31980"
"In post","2021","Male","EO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","EO","Statistics","140","130","27970","28270"
"In post","2021","Male","EO","Tax","2040","1960","26420","25560"
"In post","2021","Male","EO","Unknown","18560","17890","28110","27570"
"In post","2021","Male","EO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Commercial","550","540","59890","58110"
"In post","2021","Male","G6/G7","Communications","380","380","58220","56960"
"In post","2021","Male","G6/G7","Corporate Finance","40","40","[c]","[c]"
"In post","2021","Male","G6/G7","Counter Fraud","90","80","61810","58820"
"In post","2021","Male","G6/G7","Digital, Data and Technology","2270","2250","59010","57460"
"In post","2021","Male","G6/G7","Economics","590","580","59840","58130"
"In post","2021","Male","G6/G7","Finance","1120","1110","59870","58770"
"In post","2021","Male","G6/G7","Human Resources","500","490","59280","57740"
"In post","2021","Male","G6/G7","Inspector of Education and Training","210","200","76280","75500"
"In post","2021","Male","G6/G7","Intelligence Analysis","230","230","58900","57740"
"In post","2021","Male","G6/G7","Internal Audit","110","110","58980","58470"
"In post","2021","Male","G6/G7","International Trade","340","340","56290","54600"
"In post","2021","Male","G6/G7","Knowledge and Information Management","190","190","58340","56720"
"In post","2021","Male","G6/G7","Legal","2270","2190","60310","59160"
"In post","2021","Male","G6/G7","Medicine","280","250","76690","78980"
"In post","2021","Male","G6/G7","Operational Delivery","3230","3170","60320","57740"
"In post","2021","Male","G6/G7","Operational Research","340","330","54110","53550"
"In post","2021","Male","G6/G7","Other","1100","1080","63040","59970"
"In post","2021","Male","G6/G7","Planning","40","30","[c]","[c]"
"In post","2021","Male","G6/G7","Planning Inspectors","220","190","57960","58810"
"In post","2021","Male","G6/G7","Policy","5630","5570","58890","57460"
"In post","2021","Male","G6/G7","Project Delivery","2380","2350","57360","55120"
"In post","2021","Male","G6/G7","Property","790","770","58710","57130"
"In post","2021","Male","G6/G7","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","G6/G7","Science and Engineering","2120","2050","55510","54890"
"In post","2021","Male","G6/G7","Security","240","230","59820","57460"
"In post","2021","Male","G6/G7","Social Research","110","110","56350","56190"
"In post","2021","Male","G6/G7","Statistics","350","350","57680","57850"
"In post","2021","Male","G6/G7","Tax","1700","1640","57270","52580"
"In post","2021","Male","G6/G7","Unknown","4720","4640","60100","58850"
"In post","2021","Male","G6/G7","Veterinarian","80","70","57380","56760"
"In post","2021","Male","SCS","Commercial","60","60","89190","80900"
"In post","2021","Male","SCS","Communications","50","50","91190","84670"
"In post","2021","Male","SCS","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Digital, Data and Technology","140","140","93360","87910"
"In post","2021","Male","SCS","Economics","60","60","88330","81610"
"In post","2021","Male","SCS","Finance","170","170","91720","85100"
"In post","2021","Male","SCS","Human Resources","60","60","89200","83690"
"In post","2021","Male","SCS","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","International Trade","60","60","90530","76810"
"In post","2021","Male","SCS","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Legal","180","170","90200","83830"
"In post","2021","Male","SCS","Medicine","170","150","109440","106750"
"In post","2021","Male","SCS","Operational Delivery","360","360","94350","90530"
"In post","2021","Male","SCS","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Other","140","140","98840","90100"
"In post","2021","Male","SCS","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Policy","960","950","87550","78460"
"In post","2021","Male","SCS","Project Delivery","240","240","95060","86700"
"In post","2021","Male","SCS","Property","40","40","[c]","[c]"
"In post","2021","Male","SCS","Science and Engineering","90","80","96770","92370"
"In post","2021","Male","SCS","Security","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Male","SCS","Tax","40","40","[c]","[c]"
"In post","2021","Male","SCS","Unknown","920","910","94200","83230"
"In post","2021","Male","SCS","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Male","SEO/HEO","Commercial","1390","1380","38550","38160"
"In post","2021","Male","SEO/HEO","Communications","830","820","38080","37410"
"In post","2021","Male","SEO/HEO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","SEO/HEO","Counter Fraud","310","310","37770","38090"
"In post","2021","Male","SEO/HEO","Digital, Data and Technology","4530","4470","38210","38070"
"In post","2021","Male","SEO/HEO","Economics","600","590","35070","34000"
"In post","2021","Male","SEO/HEO","Finance","1740","1710","38220","37710"
"In post","2021","Male","SEO/HEO","Human Resources","1030","1000","37380","36780"
"In post","2021","Male","SEO/HEO","Inspector of Education and Training","40","40","[c]","[c]"
"In post","2021","Male","SEO/HEO","Intelligence Analysis","760","750","37440","36560"
"In post","2021","Male","SEO/HEO","Internal Audit","220","220","41090","40580"
"In post","2021","Male","SEO/HEO","International Trade","370","370","35590","34990"
"In post","2021","Male","SEO/HEO","Knowledge and Information Management","530","530","37340","37320"
"In post","2021","Male","SEO/HEO","Legal","1570","1520","37780","36240"
"In post","2021","Male","SEO/HEO","Medicine","190","190","39200","38490"
"In post","2021","Male","SEO/HEO","Operational Delivery","14880","14370","37970","36720"
"In post","2021","Male","SEO/HEO","Operational Research","340","340","37200","37320"
"In post","2021","Male","SEO/HEO","Other","2780","2720","36340","35720"
"In post","2021","Male","SEO/HEO","Planning","50","50","38580","38660"
"In post","2021","Male","SEO/HEO","Policy","5440","5380","37450","36800"
"In post","2021","Male","SEO/HEO","Project Delivery","4160","4090","37410","38080"
"In post","2021","Male","SEO/HEO","Property","1980","1920","37610","36460"
"In post","2021","Male","SEO/HEO","Psychology","80","80","36990","33710"
"In post","2021","Male","SEO/HEO","Science and Engineering","4370","4270","37420","37320"
"In post","2021","Male","SEO/HEO","Security","880","870","41520","38630"
"In post","2021","Male","SEO/HEO","Social Research","230","220","36090","36770"
"In post","2021","Male","SEO/HEO","Statistics","530","520","36980","36820"
"In post","2021","Male","SEO/HEO","Tax","3810","3660","34720","31940"
"In post","2021","Male","SEO/HEO","Unknown","9270","9070","36090","35110"
"In post","2021","Male","SEO/HEO","Veterinarian","120","110","40980","37910"
"In post","2021","Male","Unknown","Commercial","110","110","40320","38240"
"In post","2021","Male","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Digital, Data and Technology","50","50","37220","37440"
"In post","2021","Male","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Finance","60","50","41440","40410"
"In post","2021","Male","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","Male","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Operational Delivery","2780","2680","30840","30210"
"In post","2021","Male","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Other","1850","1850","38680","35380"
"In post","2021","Male","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Project Delivery","380","380","45260","41920"
"In post","2021","Male","Unknown","Property","30","30","[c]","[c]"
"In post","2021","Male","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Science and Engineering","730","720","39420","37190"
"In post","2021","Male","Unknown","Security","40","40","[c]","[c]"
"In post","2021","Male","Unknown","Unknown","150","140","[c]","[c]"
"In post","2021","Unknown","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","Commercial","170","150","22420","21640"
"In post","2022","Female","AA/AO","Communications","120","110","22280","21790"
"In post","2022","Female","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","Counter Fraud","1000","810","22530","21260"
"In post","2022","Female","AA/AO","Digital, Data and Technology","280","260","21790","21280"
"In post","2022","Female","AA/AO","Economics","30","30","[c]","[c]"
"In post","2022","Female","AA/AO","Finance","660","570","21990","21380"
"In post","2022","Female","AA/AO","Geography","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","Human Resources","900","810","21960","21380"
"In post","2022","Female","AA/AO","Intelligence Analysis","70","60","23320","21960"
"In post","2022","Female","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","Knowledge and Information Management","230","220","22240","21380"
"In post","2022","Female","AA/AO","Legal","160","130","22190","22080"
"In post","2022","Female","AA/AO","Medicine","310","290","22810","23280"
"In post","2022","Female","AA/AO","Operational Delivery","60250","51210","22300","21260"
"In post","2022","Female","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","Other","6460","5800","21510","21260"
"In post","2022","Female","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","Policy","420","390","23600","23720"
"In post","2022","Female","AA/AO","Project Delivery","330","260","22110","21260"
"In post","2022","Female","AA/AO","Property","450","390","20770","21250"
"In post","2022","Female","AA/AO","Psychology","80","70","21700","21550"
"In post","2022","Female","AA/AO","Science and Engineering","320","310","22060","21580"
"In post","2022","Female","AA/AO","Security","860","820","25220","21830"
"In post","2022","Female","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Female","AA/AO","Statistics","40","40","[c]","[c]"
"In post","2022","Female","AA/AO","Tax","1820","1660","21370","21250"
"In post","2022","Female","AA/AO","Unknown","2490","2280","22820","22140"
"In post","2022","Female","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Female","EO","Commercial","560","520","26440","26350"
"In post","2022","Female","EO","Communications","350","330","27670","27270"
"In post","2022","Female","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Female","EO","Counter Fraud","2190","1920","28110","27570"
"In post","2022","Female","EO","Digital, Data and Technology","1200","1120","27490","27130"
"In post","2022","Female","EO","Economics","80","80","26990","27270"
"In post","2022","Female","EO","Finance","1520","1420","26950","26670"
"In post","2022","Female","EO","Geography","60","60","27500","26740"
"In post","2022","Female","EO","Human Resources","1250","1150","27260","26880"
"In post","2022","Female","EO","Intelligence Analysis","820","750","27480","27370"
