"Status","Year","Responsibility_level","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Staffordshire CC","50","50","[c]","[c]"
"In post","2021","AA/AO","Asian","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Sunderland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Swansea","40","40","[c]","[c]"
"In post","2021","AA/AO","Asian","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Tower Hamlets","120","110","23680","23500"
"In post","2021","AA/AO","Asian","Tyneside","120","100","20650","21010"
"In post","2021","AA/AO","Asian","Unknown","60","50","23580","25110"
"In post","2021","AA/AO","Asian","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Walsall","50","50","20690","21010"
"In post","2021","AA/AO","Asian","Wandsworth","60","50","27690","25110"
"In post","2021","AA/AO","Asian","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Warwickshire","60","50","20780","21010"
"In post","2021","AA/AO","Asian","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","West Northamptonshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Asian","West Surrey","50","50","22380","21180"
"In post","2021","AA/AO","Asian","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Westminster","400","370","24310","24120"
"In post","2021","AA/AO","Asian","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Wolverhampton","70","60","20600","21010"
"In post","2021","AA/AO","Asian","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","York","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Barnet","40","40","[c]","[c]"
"In post","2021","AA/AO","Black","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Bexley and Greenwich","120","120","28170","25760"
"In post","2021","AA/AO","Black","Birmingham","280","250","20960","20180"
"In post","2021","AA/AO","Black","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Brent","30","30","[c]","[c]"
"In post","2021","AA/AO","Black","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Bristol, City of","40","30","[c]","[c]"
"In post","2021","AA/AO","Black","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Camden and City of London","180","160","23270","23500"
"In post","2021","AA/AO","Black","Cardiff and Vale of Glamorgan","40","30","[c]","[c]"
"In post","2021","AA/AO","Black","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Croydon","320","300","24650","25630"
"In post","2021","AA/AO","Black","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Derby","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","East Surrey","60","60","30470","33570"
"In post","2021","AA/AO","Black","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Essex Thames Gateway","30","30","[c]","[c]"
"In post","2021","AA/AO","Black","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Glasgow City","40","30","[c]","[c]"
"In post","2021","AA/AO","Black","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Greater Manchester South West","60","60","20370","20140"
"In post","2021","AA/AO","Black","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Hackney and Newham","180","170","24360","25110"
"In post","2021","AA/AO","Black","Haringey and Islington","170","160","28120","25450"
"In post","2021","AA/AO","Black","Harrow and Hillingdon","50","40","[c]","[c]"
"In post","2021","AA/AO","Black","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Hertfordshire","40","40","[c]","[c]"
"In post","2021","AA/AO","Black","Hounslow and Richmond upon Thames","70","70","27930","25630"
"In post","2021","AA/AO","Black","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Kensington & Chelsea and Hammersmith & Fulham","120","120","30010","30220"
"In post","2021","AA/AO","Black","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Lambeth","130","130","28450","26630"
"In post","2021","AA/AO","Black","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Leeds","70","70","21440","21010"
"In post","2021","AA/AO","Black","Leicester","40","30","[c]","[c]"
"In post","2021","AA/AO","Black","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Lewisham and Southwark","70","60","25260","25110"
"In post","2021","AA/AO","Black","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Luton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Manchester","70","60","20870","20450"
"In post","2021","AA/AO","Black","Medway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Milton Keynes","50","50","[c]","[c]"
"In post","2021","AA/AO","Black","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Nottingham","90","80","20670","20880"
"In post","2021","AA/AO","Black","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Powys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Redbridge and Waltham Forest","50","50","24430","25110"
"In post","2021","AA/AO","Black","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Sheffield","50","40","[c]","[c]"
"In post","2021","AA/AO","Black","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Black","Suffolk","[c]","[c]","[c]","[c]"
