"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","30","30","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","490","490","46620","42550"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","50","50","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","30","30","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","50","50","38190","35610"
"In post","2021","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","40","40","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","100","90","38440","36500"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","60","50","34640","31810"
"In post","2021","Asian","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","160","150","45400","42470"
"In post","2021","Asian","Economics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","430","420","43340","39910"
"In post","2021","Asian","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","South East (England)","40","40","[c]","[c]"
"In post","2021","Asian","Finance","South West (England)","40","40","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Midlands (England)","90","90","35470","32800"
"In post","2021","Asian","Finance","Yorkshire and The Humber","60","50","29240","25560"
"In post","2021","Asian","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","270","260","40390","35200"
"In post","2021","Asian","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North West (England)","30","30","[c]","[c]"
"In post","2021","Asian","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","140","130","33790","29890"
"In post","2021","Asian","Intelligence Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","50","50","[c]","[c]"
"In post","2021","Asian","Internal Audit","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","London","80","80","44080","38540"
"In post","2021","Asian","International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","70","70","34970","32330"
"In post","2021","Asian","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","East Midlands (England)","50","50","43450","47360"
"In post","2021","Asian","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","London","490","460","51220","51250"
"In post","2021","Asian","Legal","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","North West (England)","70","70","40030","40760"
"In post","2021","Asian","Legal","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","South East (England)","30","30","[c]","[c]"
"In post","2021","Asian","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","West Midlands (England)","100","90","42160","46370"
"In post","2021","Asian","Legal","Yorkshire and The Humber","70","70","41290","42320"
"In post","2021","Asian","Medicine","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","London","70","70","74580","72430"
"In post","2021","Asian","Medicine","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","East Midlands (England)","730","660","24900","22180"
"In post","2021","Asian","Operational Delivery","East of England","510","450","26550","24440"
"In post","2021","Asian","Operational Delivery","London","4260","3940","30930","28860"
"In post","2021","Asian","Operational Delivery","North East (England)","140","130","24520","21710"
"In post","2021","Asian","Operational Delivery","North West (England)","860","790","25680","22920"
"In post","2021","Asian","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Scotland","150","140","29940","24050"
"In post","2021","Asian","Operational Delivery","South East (England)","500","450","27940","25660"
"In post","2021","Asian","Operational Delivery","South West (England)","120","110","26340","23140"
"In post","2021","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Wales","140","130","24630","21590"
"In post","2021","Asian","Operational Delivery","West Midlands (England)","1730","1610","25060","22570"
"In post","2021","Asian","Operational Delivery","Yorkshire and The Humber","890","800","25330","22990"
"In post","2021","Asian","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","London","560","540","34990","30410"
"In post","2021","Asian","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","South East (England)","60","60","25670","21130"
"In post","2021","Asian","Other","South West (England)","60","50","30640","26350"
"In post","2021","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","West Midlands (England)","60","50","26520","21430"
"In post","2021","Asian","Other","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","Asian","Planning","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","London","1590","1550","43590","39780"
"In post","2021","Asian","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","North West (England)","40","40","[c]","[c]"
"In post","2021","Asian","Policy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Overseas","60","60","48520","50970"
"In post","2021","Asian","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","West Midlands (England)","90","90","35250","34830"
"In post","2021","Asian","Policy","Yorkshire and The Humber","60","60","39160","34120"
"In post","2021","Asian","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","East of England","30","30","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","460","450","42410","39090"
"In post","2021","Asian","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","North West (England)","50","40","[c]","[c]"
"In post","2021","Asian","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","South East (England)","40","30","[c]","[c]"
"In post","2021","Asian","Project Delivery","South West (England)","100","100","37780","35630"
"In post","2021","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","West Midlands (England)","80","80","38780","38630"
"In post","2021","Asian","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","London","140","130","38010","34880"
"In post","2021","Asian","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","East of England","40","40","[c]","[c]"
"In post","2021","Asian","Science and Engineering","London","200","190","39460","35300"
"In post","2021","Asian","Science and Engineering","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","South East (England)","60","60","36700","37320"
"In post","2021","Asian","Science and Engineering","South West (England)","160","160","35700","33450"
"In post","2021","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","London","180","170","32700","29020"
"In post","2021","Asian","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","South East (England)","40","40","[c]","[c]"
"In post","2021","Asian","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","London","90","90","44460","41760"
"In post","2021","Asian","Statistics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","East Midlands (England)","130","120","31420","31810"
"In post","2021","Asian","Tax","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","London","440","410","38680","36160"
"In post","2021","Asian","Tax","North East (England)","30","30","[c]","[c]"
