"Status","Year","Responsibility_level","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Digital, Data and Technology","Project Delivery","40","40","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Unknown","130","130","27910","28850"
"In post","2021","EO","Economics","Analysis","90","90","27180","27680"
"In post","2021","EO","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Finance","1390","1320","26520","26670"
"In post","2021","EO","Finance","No function","40","40","[c]","[c]"
"In post","2021","EO","Finance","Project Delivery","40","40","[c]","[c]"
"In post","2021","EO","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Unknown","120","110","28460","28850"
"In post","2021","EO","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Human Resources","1210","1140","26920","26670"
"In post","2021","EO","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Unknown","150","140","28920","28850"
"In post","2021","EO","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Intelligence Analysis","Counter Fraud","30","30","[c]","[c]"
"In post","2021","EO","Intelligence Analysis","No function","350","340","28700","27380"
"In post","2021","EO","Intelligence Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Intelligence Analysis","Unknown","1150","1090","27470","27370"
"In post","2021","EO","Internal Audit","Internal Audit","50","50","[c]","[c]"
"In post","2021","EO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","No function","100","100","26890","26510"
"In post","2021","EO","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Commercial","180","170","27770","26670"
"In post","2021","EO","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","No function","210","200","26510","26210"
"In post","2021","EO","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Unknown","40","40","[c]","[c]"
"In post","2021","EO","Legal","Counter Fraud","1560","1490","27190","25560"
"In post","2021","EO","Legal","Legal","370","360","28330","27130"
"In post","2021","EO","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Unknown","320","290","30650","30620"
"In post","2021","EO","Operational Delivery","Analysis","180","160","24920","24240"
"In post","2021","EO","Operational Delivery","Commercial","70","60","26710","26410"
"In post","2021","EO","Operational Delivery","Communications","590","560","25880","25560"
"In post","2021","EO","Operational Delivery","Counter Fraud","1120","1040","26560","25560"
"In post","2021","EO","Operational Delivery","Debt","890","810","26900","25560"
"In post","2021","EO","Operational Delivery","Digital, Data & Technology","100","100","25910","25560"
"In post","2021","EO","Operational Delivery","Finance","180","170","26350","25560"
"In post","2021","EO","Operational Delivery","Grants Management","540","500","25510","25190"
"In post","2021","EO","Operational Delivery","Human Resources","220","210","25840","25560"
"In post","2021","EO","Operational Delivery","Legal","1810","1660","28070","28430"
"In post","2021","EO","Operational Delivery","No function","25950","24260","28440","27130"
"In post","2021","EO","Operational Delivery","Project Delivery","510","460","25730","25560"
"In post","2021","EO","Operational Delivery","Property","230","210","25960","25860"
"In post","2021","EO","Operational Delivery","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Delivery","Unknown","12690","11650","26890","26070"
"In post","2021","EO","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","Communications","170","160","20650","19600"
"In post","2021","EO","Other","Counter Fraud","100","90","27650","27310"
"In post","2021","EO","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","Finance","40","30","[c]","[c]"
"In post","2021","EO","Other","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","Legal","210","200","27500","27350"
"In post","2021","EO","Other","No function","580","560","27890","26780"
"In post","2021","EO","Other","Project Delivery","1110","1050","21730","20770"
"In post","2021","EO","Other","Property","50","50","27720","28410"
"In post","2021","EO","Other","Unknown","2830","2710","28180","26930"
"In post","2021","EO","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Policy","No function","1860","1820","28230","27850"
"In post","2021","EO","Policy","Project Delivery","90","90","27980","27680"
"In post","2021","EO","Policy","Unknown","670","650","28590","28850"
"In post","2021","EO","Project Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Project Delivery","1720","1650","26480","26670"
"In post","2021","EO","Project Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Project Delivery","Unknown","150","140","27620","28670"
"In post","2021","EO","Property","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Property","Property","1430","1340","27040","26560"
"In post","2021","EO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Psychology","No function","420","410","26890","26330"
"In post","2021","EO","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Science and Engineering","Analysis","100","90","25200","24920"
"In post","2021","EO","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Science and Engineering","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Science and Engineering","No function","690","670","26640","26880"
"In post","2021","EO","Science and Engineering","Project Delivery","760","750","24530","26070"
"In post","2021","EO","Science and Engineering","Unknown","420","410","27150","26670"
"In post","2021","EO","Security","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Security","Security","1010","990","33210","29250"
"In post","2021","EO","Security","Unknown","70","60","28380","28850"
"In post","2021","EO","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","Analysis","200","200","27320","27200"
"In post","2021","EO","Statistics","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Statistics","Unknown","50","40","[c]","[c]"
"In post","2021","EO","Tax","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Tax","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Tax","Communications","1590","1530","25660","25560"
"In post","2021","EO","Tax","Counter Fraud","440","410","27190","25560"
"In post","2021","EO","Tax","Debt","50","50","[c]","[c]"
"In post","2021","EO","Tax","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Tax","Human Resources","60","50","26750","25560"
"In post","2021","EO","Tax","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Tax","No function","1850","1670","27130","25560"
"In post","2021","EO","Tax","Project Delivery","30","30","[c]","[c]"
"In post","2021","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","EO","Unknown","Communications","290","280","26000","25560"
"In post","2021","EO","Unknown","Counter Fraud","70","70","26750","25560"
"In post","2021","EO","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Digital, Data & Technology","130","120","27100","27500"
"In post","2021","EO","Unknown","Finance","40","40","[c]","[c]"
"In post","2021","EO","Unknown","Human Resources","250","240","26410","25760"
"In post","2021","EO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","No function","860","840","26450","25560"
"In post","2021","EO","Unknown","Project Delivery","90","90","29510","29140"
"In post","2021","EO","Unknown","Property","220","210","31720","30160"
"In post","2021","EO","Unknown","Security","140","140","26580","26670"
"In post","2021","EO","Unknown","Unknown","51050","46330","28110","27570"
"In post","2021","EO","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Commercial","720","700","59350","56950"
"In post","2021","G6/G7","Commercial","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","No function","100","100","58530","54760"
"In post","2021","G6/G7","Commercial","Project Delivery","160","150","57820","55110"
"In post","2021","G6/G7","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Communications","810","780","58100","56090"
"In post","2021","G6/G7","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","No function","40","40","[c]","[c]"
"In post","2021","G6/G7","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Communications","Unknown","80","80","60160","57680"
"In post","2021","G6/G7","Corporate Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","Finance","50","50","59160","59160"
"In post","2021","G6/G7","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Corporate Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Counter Fraud","110","110","61840","58940"
"In post","2021","G6/G7","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data and Technology","Analysis","70","60","56590","54160"
"In post","2021","G6/G7","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data and Technology","Digital, Data & Technology","2680","2630","57610","55190"
"In post","2021","G6/G7","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data and Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data and Technology","No function","50","50","59130","54710"
"In post","2021","G6/G7","Digital, Data and Technology","Project Delivery","140","130","56090","56350"
"In post","2021","G6/G7","Digital, Data and Technology","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Digital, Data and Technology","Unknown","520","510","62900","61720"
"In post","2021","G6/G7","Economics","Analysis","510","490","59910","58130"
"In post","2021","G6/G7","Economics","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Economics","Finance","30","30","[c]","[c]"
"In post","2021","G6/G7","Economics","No function","230","220","58380","57850"
"In post","2021","G6/G7","Economics","Project Delivery","90","90","58060","57880"
"In post","2021","G6/G7","Economics","Unknown","80","80","63850","62490"
"In post","2021","G6/G7","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","Finance","1720","1680","58790","57620"
"In post","2021","G6/G7","Finance","No function","130","130","58430","54760"
"In post","2021","G6/G7","Finance","Project Delivery","110","110","59930","58030"
"In post","2021","G6/G7","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Finance","Unknown","140","140","62030","60830"
"In post","2021","G6/G7","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Human Resources","1450","1400","58030","56020"
"In post","2021","G6/G7","Human Resources","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Human Resources","Unknown","170","160","60450","57680"
