"Status","Year","Sex","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","20-29","Department for Environment, Food and Rural Affairs","1130","1120","30480","29180"
"In post","2021","Female","20-29","Department for International Trade","480","480","37560","33360"
"In post","2021","Female","20-29","Department for Transport","1120","1080","29240","26470"
"In post","2021","Female","20-29","Department for Work and Pensions","6070","5900","26810","27570"
"In post","2021","Female","20-29","Department of Health and Social Care","1790","1740","32310","31610"
"In post","2021","Female","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Food Standards Agency","80","70","32780","32350"
"In post","2021","Female","20-29","Foreign, Commonwealth and Development Office","830","830","35050","34300"
"In post","2021","Female","20-29","HM Land Registry","630","620","24920","22350"
"In post","2021","Female","20-29","HM Revenue and Customs","4800","4640","26620","25560"
"In post","2021","Female","20-29","HM Treasury","500","500","37750","32750"
"In post","2021","Female","20-29","Home Office","2830","2740","28450","25040"
"In post","2021","Female","20-29","Ministry of Defence","3020","2980","28390","26670"
"In post","2021","Female","20-29","Ministry of Housing, Communities and Local Government","380","380","36010","33210"
"In post","2021","Female","20-29","Ministry of Justice","8380","8220","25610","24020"
"In post","2021","Female","20-29","National Crime Agency","570","560","31690","32260"
"In post","2021","Female","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Office for Standards in Education","100","100","28590","25880"
"In post","2021","Female","20-29","Office of Gas and Electricity Markets","170","170","30080","27000"
"In post","2021","Female","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Other Cabinet Office Agencies","70","70","30930","27770"
"In post","2021","Female","20-29","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Scottish Government","2040","1990","27540","26160"
"In post","2021","Female","20-29","The National Archives","50","50","[c]","[c]"
"In post","2021","Female","20-29","UK Export Finance","30","30","[c]","[c]"
"In post","2021","Female","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","United Kingdom Statistics Authority","700","680","29930","29540"
"In post","2021","Female","20-29","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Welsh Government","310","300","26930","23830"
"In post","2021","Female","30-39","Attorney General's Departments","1440","1320","44520","49710"
"In post","2021","Female","30-39","Cabinet Office","1240","1200","48150","52630"
"In post","2021","Female","30-39","Chancellor's other departments","50","40","[c]","[c]"
"In post","2021","Female","30-39","Charity Commission","50","50","34590","29160"
"In post","2021","Female","30-39","Competition and Markets Authority","160","160","56750","56090"
"In post","2021","Female","30-39","Department for Business, Energy and Industrial Strategy","1680","1580","41320","39650"
"In post","2021","Female","30-39","Department for Digital, Culture, Media and Sport","340","330","52100","52130"
"In post","2021","Female","30-39","Department for Education","1280","1200","44330","40940"
"In post","2021","Female","30-39","Department for Environment, Food and Rural Affairs","1470","1350","36180","35900"
"In post","2021","Female","30-39","Department for International Trade","350","340","49230","51970"
"In post","2021","Female","30-39","Department for Transport","1830","1600","30910","26350"
"In post","2021","Female","30-39","Department for Work and Pensions","9110","7930","27450","27570"
"In post","2021","Female","30-39","Department of Health and Social Care","1840","1710","42460","40070"
"In post","2021","Female","30-39","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","Food Standards Agency","150","150","37600","37350"
"In post","2021","Female","30-39","Foreign, Commonwealth and Development Office","1180","1150","46900","49920"
"In post","2021","Female","30-39","HM Land Registry","510","460","29310","26490"
"In post","2021","Female","30-39","HM Revenue and Customs","6640","6010","30530","25560"
"In post","2021","Female","30-39","HM Treasury","360","340","54050","55840"
"In post","2021","Female","30-39","Home Office","4450","4010","31750","26200"
"In post","2021","Female","30-39","Ministry of Defence","4780","4430","33710","33040"
"In post","2021","Female","30-39","Ministry of Housing, Communities and Local Government","430","410","44980","47660"
"In post","2021","Female","30-39","Ministry of Justice","10120","9200","28970","26550"
"In post","2021","Female","30-39","National Crime Agency","640","610","37310","36410"
"In post","2021","Female","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","Office for Standards in Education","250","240","41150","39460"
"In post","2021","Female","30-39","Office of Gas and Electricity Markets","180","170","45710","44520"
"In post","2021","Female","30-39","Office of Qualifications and Examinations Regulation","50","50","41860","38760"
"In post","2021","Female","30-39","Office of Rail and Road","40","40","[c]","[c]"
"In post","2021","Female","30-39","Other Cabinet Office Agencies","160","150","37180","34800"
"In post","2021","Female","30-39","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","Scottish Government","3000","2790","35720","33550"
"In post","2021","Female","30-39","The National Archives","70","70","34860","34260"
"In post","2021","Female","30-39","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Female","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","United Kingdom Statistics Authority","720","640","33960","31090"
"In post","2021","Female","30-39","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","30-39","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","Female","30-39","Welsh Government","800","730","37230","37410"
"In post","2021","Female","40-49","Attorney General's Departments","1860","1630","47840","51250"
"In post","2021","Female","40-49","Cabinet Office","970","930","55610","54700"
"In post","2021","Female","40-49","Chancellor's other departments","50","50","58850","53320"
"In post","2021","Female","40-49","Charity Commission","80","70","36560","30320"
"In post","2021","Female","40-49","Competition and Markets Authority","120","110","71050","72430"
"In post","2021","Female","40-49","Department for Business, Energy and Industrial Strategy","1540","1400","42470","39540"
"In post","2021","Female","40-49","Department for Digital, Culture, Media and Sport","150","140","57440","55650"
"In post","2021","Female","40-49","Department for Education","1230","1130","47140","46170"
"In post","2021","Female","40-49","Department for Environment, Food and Rural Affairs","1750","1550","37240","34080"
"In post","2021","Female","40-49","Department for International Trade","210","200","51320","51970"
"In post","2021","Female","40-49","Department for Transport","1730","1540","32600","26780"
"In post","2021","Female","40-49","Department for Work and Pensions","14590","12540","27930","27570"
"In post","2021","Female","40-49","Department of Health and Social Care","1860","1680","48120","45150"
"In post","2021","Female","40-49","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","40-49","Food Standards Agency","160","150","42680","39300"
"In post","2021","Female","40-49","Foreign, Commonwealth and Development Office","1090","1040","52250","54470"
"In post","2021","Female","40-49","HM Land Registry","790","710","32160","27130"
"In post","2021","Female","40-49","HM Revenue and Customs","7760","6870","31520","27230"
"In post","2021","Female","40-49","HM Treasury","210","190","53100","49750"
"In post","2021","Female","40-49","Home Office","4750","4250","33590","28850"
"In post","2021","Female","40-49","Ministry of Defence","5490","5120","35060","33300"
"In post","2021","Female","40-49","Ministry of Housing, Communities and Local Government","420","380","47960","47660"
"In post","2021","Female","40-49","Ministry of Justice","9790","8860","31320","27700"
"In post","2021","Female","40-49","National Crime Agency","690","650","40330","38440"
"In post","2021","Female","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","40-49","Office for Standards in Education","330","310","51110","51360"
"In post","2021","Female","40-49","Office of Gas and Electricity Markets","120","110","53830","51320"
"In post","2021","Female","40-49","Office of Qualifications and Examinations Regulation","50","40","[c]","[c]"
"In post","2021","Female","40-49","Office of Rail and Road","50","40","[c]","[c]"
"In post","2021","Female","40-49","Other Cabinet Office Agencies","120","110","42230","38470"
"In post","2021","Female","40-49","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","40-49","Scottish Government","2900","2660","40570","35110"
"In post","2021","Female","40-49","The National Archives","80","70","40480","37770"
"In post","2021","Female","40-49","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Female","40-49","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","40-49","United Kingdom Statistics Authority","620","550","35280","32240"
"In post","2021","Female","40-49","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","40-49","Water Services Regulation Authority","60","50","60090","50580"
"In post","2021","Female","40-49","Welsh Government","1020","950","43180","37410"
"In post","2021","Female","50-59","Attorney General's Departments","1800","1640","46170","43390"
"In post","2021","Female","50-59","Cabinet Office","750","730","51760","49700"
"In post","2021","Female","50-59","Chancellor's other departments","40","30","[c]","[c]"
"In post","2021","Female","50-59","Charity Commission","70","70","34850","29690"
"In post","2021","Female","50-59","Competition and Markets Authority","70","60","64580","59940"
"In post","2021","Female","50-59","Department for Business, Energy and Industrial Strategy","1350","1260","38540","34500"
"In post","2021","Female","50-59","Department for Digital, Culture, Media and Sport","80","80","53910","52130"
"In post","2021","Female","50-59","Department for Education","990","940","44030","39080"
"In post","2021","Female","50-59","Department for Environment, Food and Rural Affairs","1400","1310","35770","30580"
"In post","2021","Female","50-59","Department for International Trade","190","190","47420","40840"
"In post","2021","Female","50-59","Department for Transport","1790","1600","30520","26700"
"In post","2021","Female","50-59","Department for Work and Pensions","22700","19900","27780","27570"
"In post","2021","Female","50-59","Department of Health and Social Care","1640","1510","49730","42760"
"In post","2021","Female","50-59","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","Food Standards Agency","120","120","41470","37910"
"In post","2021","Female","50-59","Foreign, Commonwealth and Development Office","920","880","48690","43320"
"In post","2021","Female","50-59","HM Land Registry","1520","1320","31360","27130"
"In post","2021","Female","50-59","HM Revenue and Customs","11620","10270","31590","28130"
"In post","2021","Female","50-59","HM Treasury","180","170","47280","42830"
"In post","2021","Female","50-59","Home Office","4750","4320","31740","27370"
"In post","2021","Female","50-59","Ministry of Defence","7240","6930","32110","27560"
"In post","2021","Female","50-59","Ministry of Housing, Communities and Local Government","370","350","46730","43670"
"In post","2021","Female","50-59","Ministry of Justice","11110","10260","29340","24800"
"In post","2021","Female","50-59","National Crime Agency","460","440","40870","38880"
"In post","2021","Female","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","Office for Standards in Education","390","380","55790","51360"
"In post","2021","Female","50-59","Office of Gas and Electricity Markets","70","60","48280","40720"
"In post","2021","Female","50-59","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2021","Female","50-59","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","Other Cabinet Office Agencies","130","120","40130","35760"
"In post","2021","Female","50-59","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","Scottish Government","2840","2640","39370","33650"
"In post","2021","Female","50-59","The National Archives","60","50","35370","33940"
"In post","2021","Female","50-59","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Female","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","United Kingdom Statistics Authority","720","610","30070","23520"
"In post","2021","Female","50-59","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","50-59","Welsh Government","980","920","42840","37410"
"In post","2021","Female","60-64","Attorney General's Departments","310","260","43050","33740"
"In post","2021","Female","60-64","Cabinet Office","120","90","42120","33630"
"In post","2021","Female","60-64","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Department for Business, Energy and Industrial Strategy","290","250","33040","27880"
"In post","2021","Female","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Department for Education","130","130","44200","40300"
"In post","2021","Female","60-64","Department for Environment, Food and Rural Affairs","340","300","29930","25920"
"In post","2021","Female","60-64","Department for International Trade","30","30","[c]","[c]"
"In post","2021","Female","60-64","Department for Transport","620","450","25290","21590"
"In post","2021","Female","60-64","Department for Work and Pensions","6520","4880","26500","27570"
"In post","2021","Female","60-64","Department of Health and Social Care","380","320","49260","39540"
"In post","2021","Female","60-64","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Foreign, Commonwealth and Development Office","140","140","46460","36290"
"In post","2021","Female","60-64","HM Land Registry","280","190","30860","27130"
"In post","2021","Female","60-64","HM Revenue and Customs","3360","2470","27800","25560"
"In post","2021","Female","60-64","HM Treasury","30","30","[c]","[c]"
"In post","2021","Female","60-64","Home Office","1130","900","28330","25630"
"In post","2021","Female","60-64","Ministry of Defence","1730","1560","28400","23580"
"In post","2021","Female","60-64","Ministry of Housing, Communities and Local Government","70","60","46030","43340"
"In post","2021","Female","60-64","Ministry of Justice","3010","2510","26630","23130"
"In post","2021","Female","60-64","National Crime Agency","70","70","35830","34050"
"In post","2021","Female","60-64","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Office for Standards in Education","90","90","50250","51360"
"In post","2021","Female","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Scottish Government","600","500","34310","28170"
"In post","2021","Female","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","United Kingdom Statistics Authority","240","170","25440","19520"
"In post","2021","Female","60-64","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","60-64","Welsh Government","220","180","40120","37410"
"In post","2021","Female","65+","Attorney General's Departments","70","50","40920","30110"
"In post","2021","Female","65+","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Department for Business, Energy and Industrial Strategy","100","80","32010","26680"
"In post","2021","Female","65+","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Department for Education","40","30","[c]","[c]"
"In post","2021","Female","65+","Department for Environment, Food and Rural Affairs","90","80","30310","26520"
"In post","2021","Female","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Department for Transport","150","100","25090","21590"
"In post","2021","Female","65+","Department for Work and Pensions","1710","1180","25860","26120"
"In post","2021","Female","65+","Department of Health and Social Care","150","110","46190","35350"
"In post","2021","Female","65+","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Female","65+","HM Land Registry","70","40","32100","27130"
"In post","2021","Female","65+","HM Revenue and Customs","740","520","26290","21440"
"In post","2021","Female","65+","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Home Office","370","270","26430","25630"
"In post","2021","Female","65+","Ministry of Defence","500","430","26730","21630"
"In post","2021","Female","65+","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Ministry of Justice","930","690","25130","22260"
"In post","2021","Female","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","Scottish Government","140","100","30970","24910"
"In post","2021","Female","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","65+","United Kingdom Statistics Authority","120","70","24180","19520"
"In post","2021","Female","65+","Welsh Government","90","70","35190","28850"
"In post","2021","Female","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Department for Work and Pensions","80","80","22610","21010"
"In post","2021","Male","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","HM Revenue and Customs","120","110","20820","20140"
"In post","2021","Male","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Home Office","30","30","[c]","[c]"
"In post","2021","Male","16-19","Ministry of Defence","200","200","18670","17780"
"In post","2021","Male","16-19","Ministry of Justice","50","50","22180","20600"
"In post","2021","Male","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Scottish Government","40","40","[c]","[c]"
"In post","2021","Male","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Male","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Attorney General's Departments","430","420","30850","26970"
"In post","2021","Male","20-29","Cabinet Office","1470","1470","34410","32000"
"In post","2021","Male","20-29","Chancellor's other departments","50","50","37210","36500"
"In post","2021","Male","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Competition and Markets Authority","70","70","37320","33610"
"In post","2021","Male","20-29","Department for Business, Energy and Industrial Strategy","1400","1400","36840","33860"
"In post","2021","Male","20-29","Department for Digital, Culture, Media and Sport","300","300","42400","39020"
"In post","2021","Male","20-29","Department for Education","640","640","35110","32940"
"In post","2021","Male","20-29","Department for Environment, Food and Rural Affairs","810","800","30740","29180"
"In post","2021","Male","20-29","Department for International Trade","470","470","37100","32130"
"In post","2021","Male","20-29","Department for Transport","1100","1100","31330","29970"
"In post","2021","Male","20-29","Department for Work and Pensions","4480","4450","26520","27570"
"In post","2021","Male","20-29","Department of Health and Social Care","900","870","33510","31300"
"In post","2021","Male","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Male","20-29","Foreign, Commonwealth and Development Office","650","650","34080","33860"
"In post","2021","Male","20-29","HM Land Registry","480","470","25970","22350"
"In post","2021","Male","20-29","HM Revenue and Customs","5540","5460","27070","25560"
"In post","2021","Male","20-29","HM Treasury","550","550","39200","34070"
"In post","2021","Male","20-29","Home Office","2450","2410","28150","24890"
"In post","2021","Male","20-29","Ministry of Defence","4560","4550","28610","27540"
"In post","2021","Male","20-29","Ministry of Housing, Communities and Local Government","340","340","36620","33210"
"In post","2021","Male","20-29","Ministry of Justice","5660","5640","26150","25370"
"In post","2021","Male","20-29","National Crime Agency","370","370","32400","32770"
"In post","2021","Male","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Office for Standards in Education","60","60","29030","27250"
"In post","2021","Male","20-29","Office of Gas and Electricity Markets","180","180","31930","30950"
"In post","2021","Male","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Other Cabinet Office Agencies","100","90","29460","27770"
"In post","2021","Male","20-29","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Scottish Government","1430","1420","27490","26160"
"In post","2021","Male","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","UK Export Finance","40","40","[c]","[c]"
"In post","2021","Male","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","United Kingdom Statistics Authority","500","490","29710","29540"
"In post","2021","Male","20-29","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Male","20-29","Welsh Government","250","240","27060","23830"
"In post","2021","Male","30-39","Attorney General's Departments","730","730","45760","50500"
"In post","2021","Male","30-39","Cabinet Office","1130","1130","50090","54700"
"In post","2021","Male","30-39","Chancellor's other departments","50","50","60270","53750"
"In post","2021","Male","30-39","Charity Commission","50","50","34960","31810"
"In post","2021","Male","30-39","Competition and Markets Authority","140","130","63520","59990"
"In post","2021","Male","30-39","Department for Business, Energy and Industrial Strategy","1760","1740","43410","40220"
"In post","2021","Male","30-39","Department for Digital, Culture, Media and Sport","270","270","52820","51730"
"In post","2021","Male","30-39","Department for Education","860","850","43640","40510"
"In post","2021","Male","30-39","Department for Environment, Food and Rural Affairs","1010","1010","36710","35900"
"In post","2021","Male","30-39","Department for International Trade","390","390","50200","51970"
"In post","2021","Male","30-39","Department for Transport","1860","1840","34980","30730"
"In post","2021","Male","30-39","Department for Work and Pensions","6050","5970","28530","27570"
"In post","2021","Male","30-39","Department of Health and Social Care","940","920","45190","41010"
"In post","2021","Male","30-39","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","Food Standards Agency","100","100","39310","37910"
"In post","2021","Male","30-39","Foreign, Commonwealth and Development Office","1150","1150","46610","47310"
"In post","2021","Male","30-39","HM Land Registry","390","380","30570","27130"
"In post","2021","Male","30-39","HM Revenue and Customs","7350","7260","31870","31810"
"In post","2021","Male","30-39","HM Treasury","380","380","56270","57000"
"In post","2021","Male","30-39","Home Office","4140","4090","32340","27370"
"In post","2021","Male","30-39","Ministry of Defence","5730","5700","36260","34850"
"In post","2021","Male","30-39","Ministry of Housing, Communities and Local Government","430","430","46850","47660"
"In post","2021","Male","30-39","Ministry of Justice","8170","8090","29580","27380"
"In post","2021","Male","30-39","National Crime Agency","630","630","39120","37560"
"In post","2021","Male","30-39","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","Office for Standards in Education","150","150","42280","33510"
"In post","2021","Male","30-39","Office of Gas and Electricity Markets","230","230","45110","40160"
"In post","2021","Male","30-39","Office of Qualifications and Examinations Regulation","40","40","[c]","[c]"
"In post","2021","Male","30-39","Office of Rail and Road","50","50","50280","51560"
"In post","2021","Male","30-39","Other Cabinet Office Agencies","120","120","36670","34800"
"In post","2021","Male","30-39","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","Scottish Government","2360","2340","35190","32890"
"In post","2021","Male","30-39","The National Archives","40","40","[c]","[c]"
"In post","2021","Male","30-39","UK Export Finance","50","50","[c]","[c]"
"In post","2021","Male","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","United Kingdom Statistics Authority","570","560","36350","36030"
"In post","2021","Male","30-39","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
