"Status","Year","Region_ITL1","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Unknown","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Heterosexual / straight","350","330","38250","33840"
"In post","2021","East Midlands (England)","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Undeclared","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Unknown","100","90","33980","31810"
"In post","2021","East Midlands (England)","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Heterosexual / straight","410","370","38880","34480"
"In post","2021","East Midlands (England)","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Undeclared","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Unknown","150","140","35640","31810"
"In post","2021","East Midlands (England)","No function","Heterosexual / straight","7280","6770","29510","26700"
"In post","2021","East Midlands (England)","No function","LGBO","430","420","29420","26460"
"In post","2021","East Midlands (England)","No function","Undeclared","1080","980","30510","27130"
"In post","2021","East Midlands (England)","No function","Unknown","2190","2010","27500","25560"
"In post","2021","East Midlands (England)","Project Delivery","Heterosexual / straight","500","480","38210","35000"
"In post","2021","East Midlands (England)","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Project Delivery","Undeclared","80","80","36650","36240"
"In post","2021","East Midlands (England)","Project Delivery","Unknown","60","60","40640","38590"
"In post","2021","East Midlands (England)","Property","Heterosexual / straight","320","300","34760","32100"
"In post","2021","East Midlands (England)","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Undeclared","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Property","Unknown","130","120","29740","26000"
"In post","2021","East Midlands (England)","Security","Heterosexual / straight","110","110","28120","24620"
"In post","2021","East Midlands (England)","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Unknown","Heterosexual / straight","3890","3530","26320","27570"
"In post","2021","East Midlands (England)","Unknown","LGBO","210","200","26140","27570"
"In post","2021","East Midlands (England)","Unknown","Undeclared","540","480","26440","27570"
"In post","2021","East Midlands (England)","Unknown","Unknown","1140","990","26090","27570"
"In post","2021","East of England","Analysis","Heterosexual / straight","150","140","34900","30660"
"In post","2021","East of England","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Analysis","Unknown","210","200","35460","32290"
"In post","2021","East of England","Commercial","Heterosexual / straight","270","260","39140","35760"
"In post","2021","East of England","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Commercial","Undeclared","40","30","[c]","[c]"
"In post","2021","East of England","Commercial","Unknown","80","80","49660","44980"
"In post","2021","East of England","Communications","Heterosexual / straight","80","70","34060","31810"
"In post","2021","East of England","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Heterosexual / straight","270","250","29010","26470"
"In post","2021","East of England","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Undeclared","40","40","[c]","[c]"
"In post","2021","East of England","Counter Fraud","Unknown","120","110","26660","25560"
"In post","2021","East of England","Debt","Heterosexual / straight","80","70","24770","24390"
"In post","2021","East of England","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Debt","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Heterosexual / straight","320","310","36650","33300"
"In post","2021","East of England","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Digital, Data & Technology","Undeclared","60","50","35880","35000"
"In post","2021","East of England","Digital, Data & Technology","Unknown","160","150","35780","32730"
"In post","2021","East of England","Finance","Heterosexual / straight","310","290","37580","35270"
"In post","2021","East of England","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Finance","Undeclared","50","40","[c]","[c]"
"In post","2021","East of England","Finance","Unknown","110","100","27780","23780"
"In post","2021","East of England","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Grants Management","Unknown","30","30","[c]","[c]"
"In post","2021","East of England","Human Resources","Heterosexual / straight","160","150","35600","31780"
"In post","2021","East of England","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Heterosexual / straight","410","380","40650","36770"
"In post","2021","East of England","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Legal","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Legal","Unknown","120","110","42510","34650"
"In post","2021","East of England","No function","Heterosexual / straight","5970","5580","30360","28130"
"In post","2021","East of England","No function","LGBO","320","310","29080","27380"
"In post","2021","East of England","No function","Undeclared","790","730","31220","29730"
"In post","2021","East of England","No function","Unknown","1480","1370","29560","27380"
"In post","2021","East of England","Project Delivery","Heterosexual / straight","620","600","38500","36520"
"In post","2021","East of England","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Project Delivery","Undeclared","110","100","38440","35370"
"In post","2021","East of England","Project Delivery","Unknown","140","130","37300","35900"
"In post","2021","East of England","Property","Heterosexual / straight","390","370","33000","33300"
"In post","2021","East of England","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Property","Undeclared","60","60","34880","33300"
"In post","2021","East of England","Property","Unknown","80","80","27250","26000"
"In post","2021","East of England","Security","Heterosexual / straight","400","390","33300","28890"
"In post","2021","East of England","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Security","Undeclared","70","70","36040","39070"
"In post","2021","East of England","Security","Unknown","70","60","30440","26350"
"In post","2021","East of England","Unknown","Heterosexual / straight","6180","5680","28420","27570"
"In post","2021","East of England","Unknown","LGBO","290","280","28220","27570"
"In post","2021","East of England","Unknown","Undeclared","860","790","28620","27570"
"In post","2021","East of England","Unknown","Unknown","1380","1210","28470","27570"
"In post","2021","London","Analysis","Heterosexual / straight","2290","2220","49320","45250"
"In post","2021","London","Analysis","LGBO","220","220","46140","42020"
"In post","2021","London","Analysis","Undeclared","270","250","50330","47080"
"In post","2021","London","Analysis","Unknown","680","660","47890","43510"
"In post","2021","London","Commercial","Heterosexual / straight","950","930","53210","46130"
"In post","2021","London","Commercial","LGBO","60","60","47210","40980"
"In post","2021","London","Commercial","Undeclared","110","110","50130","42160"
"In post","2021","London","Commercial","Unknown","750","740","68180","62120"
"In post","2021","London","Communications","Heterosexual / straight","1470","1440","44710","40640"
"In post","2021","London","Communications","LGBO","150","150","44410","41760"
"In post","2021","London","Communications","Undeclared","150","150","42580","40600"
"In post","2021","London","Communications","Unknown","670","650","45510","41200"
"In post","2021","London","Counter Fraud","Heterosexual / straight","1360","1320","40160","36160"
"In post","2021","London","Counter Fraud","LGBO","90","80","38590","34500"
"In post","2021","London","Counter Fraud","Undeclared","240","230","39930","36160"
"In post","2021","London","Counter Fraud","Unknown","630","600","37020","36160"
"In post","2021","London","Debt","Heterosexual / straight","240","220","28280","25630"
"In post","2021","London","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","Debt","Undeclared","60","50","28260","25630"
"In post","2021","London","Debt","Unknown","250","230","28360","25630"
"In post","2021","London","Digital, Data & Technology","Heterosexual / straight","2100","2060","49490","50000"
"In post","2021","London","Digital, Data & Technology","LGBO","210","210","49200","52410"
"In post","2021","London","Digital, Data & Technology","Undeclared","280","270","49580","51710"
"In post","2021","London","Digital, Data & Technology","Unknown","810","790","48250","43800"
"In post","2021","London","Finance","Heterosexual / straight","1770","1730","49410","44880"
"In post","2021","London","Finance","LGBO","80","80","51040","53360"
"In post","2021","London","Finance","Undeclared","230","220","48770","45200"
"In post","2021","London","Finance","Unknown","470","460","45880","40650"
"In post","2021","London","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Human Resources","Heterosexual / straight","1980","1920","47480","42270"
"In post","2021","London","Human Resources","LGBO","180","170","46220","42470"
"In post","2021","London","Human Resources","Undeclared","170","160","46100","41190"
"In post","2021","London","Human Resources","Unknown","340","330","42060","36290"
"In post","2021","London","Internal Audit","Heterosexual / straight","170","160","53690","52360"
"In post","2021","London","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Legal","Heterosexual / straight","3410","3210","51530","51320"
"In post","2021","London","Legal","LGBO","310","300","51880","51250"
"In post","2021","London","Legal","Undeclared","380","350","55710","55490"
"In post","2021","London","Legal","Unknown","1300","1200","53320","56650"
"In post","2021","London","No function","Heterosexual / straight","26550","25650","43240","37910"
"In post","2021","London","No function","LGBO","2440","2400","44330","39470"
"In post","2021","London","No function","Undeclared","3540","3410","42210","37290"
"In post","2021","London","No function","Unknown","10040","9730","40370","34550"
"In post","2021","London","Project Delivery","Heterosexual / straight","3360","3260","52930","52850"
"In post","2021","London","Project Delivery","LGBO","270","260","52090","52850"
"In post","2021","London","Project Delivery","Undeclared","390","380","54560","53600"
"In post","2021","London","Project Delivery","Unknown","1100","1080","50560","51500"
"In post","2021","London","Property","Heterosexual / straight","820","790","44900","38430"
"In post","2021","London","Property","LGBO","60","50","46010","36900"
"In post","2021","London","Property","Undeclared","160","150","44700","38430"
"In post","2021","London","Property","Unknown","280","270","38450","35100"
"In post","2021","London","Security","Heterosexual / straight","730","720","40360","36750"
"In post","2021","London","Security","LGBO","60","60","41510","37170"
"In post","2021","London","Security","Undeclared","120","110","46810","44910"
"In post","2021","London","Security","Unknown","200","190","40220","34740"
"In post","2021","London","Unknown","Heterosexual / straight","19120","18130","38350","31520"
"In post","2021","London","Unknown","LGBO","970","940","40560","35050"
"In post","2021","London","Unknown","Undeclared","2930","2730","38520","31880"
"In post","2021","London","Unknown","Unknown","3950","3680","37350","31380"
"In post","2021","North East (England)","Analysis","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","North East (England)","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Heterosexual / straight","80","70","44640","40930"
"In post","2021","North East (England)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Communications","Heterosexual / straight","940","890","28550","25560"
"In post","2021","North East (England)","Communications","LGBO","70","60","27700","25560"
"In post","2021","North East (England)","Communications","Undeclared","80","80","27260","25560"
"In post","2021","North East (England)","Communications","Unknown","460","430","27040","25560"
"In post","2021","North East (England)","Counter Fraud","Heterosexual / straight","340","330","32600","31810"
"In post","2021","North East (England)","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Undeclared","50","40","[c]","[c]"
"In post","2021","North East (England)","Counter Fraud","Unknown","130","120","29490","26530"
"In post","2021","North East (England)","Debt","Heterosexual / straight","220","200","22570","20140"
"In post","2021","North East (England)","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Debt","Unknown","330","310","20960","20140"
"In post","2021","North East (England)","Digital, Data & Technology","Heterosexual / straight","490","470","39540","37840"
"In post","2021","North East (England)","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Digital, Data & Technology","Undeclared","60","60","38160","37100"
"In post","2021","North East (England)","Digital, Data & Technology","Unknown","200","190","37170","31810"
"In post","2021","North East (England)","Finance","Heterosexual / straight","280","270","38180","36960"
"In post","2021","North East (England)","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Finance","Undeclared","30","30","[c]","[c]"
"In post","2021","North East (England)","Finance","Unknown","110","100","33570","31810"
"In post","2021","North East (England)","Grants Management","Heterosexual / straight","130","110","25570","21050"
"In post","2021","North East (England)","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Grants Management","Unknown","110","110","25010","21050"
"In post","2021","North East (England)","Human Resources","Heterosexual / straight","470","440","29030","25560"
"In post","2021","North East (England)","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Undeclared","30","30","[c]","[c]"
"In post","2021","North East (England)","Human Resources","Unknown","80","70","25760","23850"
"In post","2021","North East (England)","Internal Audit","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal","Heterosexual / straight","360","320","39020","38000"
"In post","2021","North East (England)","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Legal","Unknown","90","80","36870","28430"
"In post","2021","North East (England)","No function","Heterosexual / straight","7500","6710","27510","24920"
"In post","2021","North East (England)","No function","LGBO","360","340","28140","24920"
"In post","2021","North East (England)","No function","Undeclared","910","800","28220","25560"
"In post","2021","North East (England)","No function","Unknown","3600","3090","24610","21440"
"In post","2021","North East (England)","Project Delivery","Heterosexual / straight","750","710","40310","38630"
"In post","2021","North East (England)","Project Delivery","LGBO","30","30","[c]","[c]"
"In post","2021","North East (England)","Project Delivery","Undeclared","80","70","36850","36720"
"In post","2021","North East (England)","Project Delivery","Unknown","260","240","38980","38630"
"In post","2021","North East (England)","Property","Heterosexual / straight","320","300","31440","27040"
"In post","2021","North East (England)","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Property","Unknown","210","190","25580","21100"
"In post","2021","North East (England)","Security","Heterosexual / straight","70","70","32710","30810"
"In post","2021","North East (England)","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Unknown","Heterosexual / straight","7600","6770","27040","27370"
"In post","2021","North East (England)","Unknown","LGBO","390","370","26080","21430"
"In post","2021","North East (England)","Unknown","Undeclared","810","720","26720","25310"
"In post","2021","North East (England)","Unknown","Unknown","2220","1900","26540","26120"
"In post","2021","North West (England)","Analysis","Heterosexual / straight","240","230","39430","38630"
"In post","2021","North West (England)","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Analysis","Undeclared","30","30","[c]","[c]"
"In post","2021","North West (England)","Analysis","Unknown","70","70","34820","31810"
"In post","2021","North West (England)","Commercial","Heterosexual / straight","450","440","40010","35420"
"In post","2021","North West (England)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Commercial","Undeclared","40","30","[c]","[c]"
"In post","2021","North West (England)","Commercial","Unknown","270","260","49780","49700"
"In post","2021","North West (England)","Communications","Heterosexual / straight","360","340","32520","31810"
"In post","2021","North West (England)","Communications","LGBO","40","30","[c]","[c]"
"In post","2021","North West (England)","Communications","Undeclared","40","30","[c]","[c]"
"In post","2021","North West (England)","Communications","Unknown","280","280","28660","25560"
"In post","2021","North West (England)","Counter Fraud","Heterosexual / straight","1010","950","33960","31810"
"In post","2021","North West (England)","Counter Fraud","LGBO","50","50","[c]","[c]"
"In post","2021","North West (England)","Counter Fraud","Undeclared","150","140","35150","31810"
"In post","2021","North West (England)","Counter Fraud","Unknown","480","450","30140","26820"
"In post","2021","North West (England)","Debt","Heterosexual / straight","190","180","24280","21440"
"In post","2021","North West (England)","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Debt","Unknown","110","100","22140","20140"
"In post","2021","North West (England)","Digital, Data & Technology","Heterosexual / straight","580","560","39190","36520"
"In post","2021","North West (England)","Digital, Data & Technology","LGBO","40","40","[c]","[c]"
"In post","2021","North West (England)","Digital, Data & Technology","Undeclared","70","60","37940","31840"
"In post","2021","North West (England)","Digital, Data & Technology","Unknown","190","190","37540","36500"
"In post","2021","North West (England)","Finance","Heterosexual / straight","490","470","38950","36500"
"In post","2021","North West (England)","Finance","LGBO","30","30","[c]","[c]"
"In post","2021","North West (England)","Finance","Undeclared","40","40","[c]","[c]"
"In post","2021","North West (England)","Finance","Unknown","110","110","32720","29750"
"In post","2021","North West (England)","Grants Management","Heterosexual / straight","300","260","24930","21050"
"In post","2021","North West (England)","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Grants Management","Unknown","410","370","23320","21050"
"In post","2021","North West (England)","Human Resources","Heterosexual / straight","950","900","33760","31810"
"In post","2021","North West (England)","Human Resources","LGBO","60","60","34330","31710"
"In post","2021","North West (England)","Human Resources","Undeclared","100","90","33400","26800"
"In post","2021","North West (England)","Human Resources","Unknown","200","190","31700","28270"
"In post","2021","North West (England)","Internal Audit","Heterosexual / straight","60","50","44560","42360"
"In post","2021","North West (England)","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Legal","Heterosexual / straight","1010","940","39490","35200"
"In post","2021","North West (England)","Legal","LGBO","50","50","[c]","[c]"
"In post","2021","North West (England)","Legal","Undeclared","80","70","39470","37810"
"In post","2021","North West (England)","Legal","Unknown","320","290","40090","33840"
"In post","2021","North West (England)","No function","Heterosexual / straight","13510","12550","30060","26580"
"In post","2021","North West (England)","No function","LGBO","900","870","28860","25790"
"In post","2021","North West (England)","No function","Undeclared","1730","1580","30330","27130"
"In post","2021","North West (England)","No function","Unknown","5540","5040","26430","22850"
"In post","2021","North West (England)","Project Delivery","Heterosexual / straight","1430","1370","39100","38370"
"In post","2021","North West (England)","Project Delivery","LGBO","70","70","38120","35000"
"In post","2021","North West (England)","Project Delivery","Undeclared","180","170","38200","35840"
"In post","2021","North West (England)","Project Delivery","Unknown","310","300","37870","35000"
"In post","2021","North West (England)","Property","Heterosexual / straight","370","350","35560","32100"
"In post","2021","North West (England)","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Property","Undeclared","40","40","[c]","[c]"
"In post","2021","North West (England)","Property","Unknown","110","100","31880","29830"
"In post","2021","North West (England)","Security","Heterosexual / straight","200","200","28860","24610"
"In post","2021","North West (England)","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Security","Unknown","60","60","31430","28380"
"In post","2021","North West (England)","Unknown","Heterosexual / straight","17820","16300","27230","26670"
"In post","2021","North West (England)","Unknown","LGBO","950","920","27140","27570"
"In post","2021","North West (England)","Unknown","Undeclared","2050","1850","27050","26160"
"In post","2021","North West (England)","Unknown","Unknown","4990","4400","26410","27570"
"In post","2021","Northern Ireland","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Counter Fraud","Heterosexual / straight","260","250","32180","31810"
"In post","2021","Northern Ireland","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Counter Fraud","Unknown","100","90","29100","25560"
"In post","2021","Northern Ireland","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Digital, Data & Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","No function","Heterosexual / straight","1040","960","31120","28130"
"In post","2021","Northern Ireland","No function","LGBO","60","60","26840","25560"
"In post","2021","Northern Ireland","No function","Undeclared","90","80","30330","27460"
"In post","2021","Northern Ireland","No function","Unknown","590","550","24970","21400"
"In post","2021","Northern Ireland","Project Delivery","Heterosexual / straight","60","50","37880","34050"
"In post","2021","Northern Ireland","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Property","Heterosexual / straight","90","90","28780","27680"
"In post","2021","Northern Ireland","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Property","Undeclared","[c]","[c]","[c]","[c]"
