"Status","Year","Sexual_orientation","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","50-59","Undeclared","5030","4790","35610","31880"
"In post","2021","Undeclared","50-59","Unknown","920","840","31350","28770"
"In post","2021","Undeclared","50-59","White","8990","8330","33640","28200"
"In post","2021","Undeclared","60-64","Asian","160","130","28580","26350"
"In post","2021","Undeclared","60-64","Black","70","60","29580","27570"
"In post","2021","Undeclared","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","60-64","Mixed","40","30","[c]","[c]"
"In post","2021","Undeclared","60-64","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Undeclared","60-64","Undeclared","1270","1060","33560","29200"
"In post","2021","Undeclared","60-64","Unknown","320","260","29450","22820"
"In post","2021","Undeclared","60-64","White","2840","2250","30700","27560"
"In post","2021","Undeclared","65+","Asian","90","70","30280","27130"
"In post","2021","Undeclared","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","65+","Undeclared","400","310","33790","28630"
"In post","2021","Undeclared","65+","Unknown","110","80","27470","22820"
"In post","2021","Undeclared","65+","White","850","620","30280","26780"
"In post","2021","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","16-19","Unknown","490","470","20500","20140"
"In post","2021","Unknown","16-19","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Asian","230","230","30030","27570"
"In post","2021","Unknown","20-29","Black","60","60","30050","29540"
"In post","2021","Unknown","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Mixed","70","70","30700","29540"
"In post","2021","Unknown","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","20-29","Undeclared","140","140","30490","28750"
"In post","2021","Unknown","20-29","Unknown","18800","18540","28200","26510"
"In post","2021","Unknown","20-29","White","1640","1610","28620","27570"
"In post","2021","Unknown","30-39","Asian","600","540","31440","27570"
"In post","2021","Unknown","30-39","Black","180","160","32220","31060"
"In post","2021","Unknown","30-39","Chinese","40","30","[c]","[c]"
"In post","2021","Unknown","30-39","Mixed","130","130","37120","33640"
"In post","2021","Unknown","30-39","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","30-39","Undeclared","600","550","33480","31060"
"In post","2021","Unknown","30-39","Unknown","15440","14760","33970","29890"
"In post","2021","Unknown","30-39","White","4900","4470","32680","29270"
"In post","2021","Unknown","40-49","Asian","1110","960","32270","27570"
"In post","2021","Unknown","40-49","Black","310","280","34080","31060"
"In post","2021","Unknown","40-49","Chinese","40","40","[c]","[c]"
"In post","2021","Unknown","40-49","Mixed","180","160","36400","31930"
"In post","2021","Unknown","40-49","Other ethnicity","90","80","35830","31650"
"In post","2021","Unknown","40-49","Undeclared","990","910","34290","29830"
"In post","2021","Unknown","40-49","Unknown","11290","10660","36930","31060"
"In post","2021","Unknown","40-49","White","9110","8190","33770","28130"
"In post","2021","Unknown","50-59","Asian","880","800","31830","27570"
"In post","2021","Unknown","50-59","Black","730","700","32470","31060"
"In post","2021","Unknown","50-59","Chinese","50","40","[c]","[c]"
"In post","2021","Unknown","50-59","Mixed","180","160","36200","30470"
"In post","2021","Unknown","50-59","Other ethnicity","110","100","38650","31880"
"In post","2021","Unknown","50-59","Undeclared","1760","1590","32230","27570"
"In post","2021","Unknown","50-59","Unknown","10950","10330","35730","30650"
"In post","2021","Unknown","50-59","White","13890","12570","32760","27570"
"In post","2021","Unknown","60-64","Asian","230","190","30570","26930"
"In post","2021","Unknown","60-64","Black","190","170","30640","27570"
"In post","2021","Unknown","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Mixed","40","30","[c]","[c]"
"In post","2021","Unknown","60-64","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Unknown","60-64","Undeclared","500","390","31570","27570"
"In post","2021","Unknown","60-64","Unknown","2680","2260","31410","27380"
"In post","2021","Unknown","60-64","White","4020","3070","30270","27570"
"In post","2021","Unknown","65+","Asian","140","110","30170","25630"
"In post","2021","Unknown","65+","Black","70","60","29210","26690"
"In post","2021","Unknown","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Undeclared","170","120","30730","27570"
"In post","2021","Unknown","65+","Unknown","850","660","31900","26000"
"In post","2021","Unknown","65+","White","1380","970","30160","27130"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Asian","90","90","22980","21260"
"In post","2022","Heterosexual / straight","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","16-19","White","540","520","21800","21260"
"In post","2022","Heterosexual / straight","20-29","Asian","6220","6100","29700","27570"
"In post","2022","Heterosexual / straight","20-29","Black","2130","2100","30480","29300"
"In post","2022","Heterosexual / straight","20-29","Mixed","1900","1860","31140","29000"
"In post","2022","Heterosexual / straight","20-29","Other ethnicity","420","410","31550","30270"
"In post","2022","Heterosexual / straight","20-29","Undeclared","280","270","30220","27950"
"In post","2022","Heterosexual / straight","20-29","Unknown","500","490","29460","27570"
"In post","2022","Heterosexual / straight","20-29","White","39500","39010","29830","27570"
"In post","2022","Heterosexual / straight","30-39","Asian","8070","7670","34280","31020"
"In post","2022","Heterosexual / straight","30-39","Black","3160","3060","33280","31060"
"In post","2022","Heterosexual / straight","30-39","Mixed","2080","1990","37240","33080"
"In post","2022","Heterosexual / straight","30-39","Other ethnicity","500","490","37610","33550"
"In post","2022","Heterosexual / straight","30-39","Undeclared","640","610","34470","31020"
"In post","2022","Heterosexual / straight","30-39","Unknown","810","760","34880","31540"
"In post","2022","Heterosexual / straight","30-39","White","59430","56450","35390","31550"
"In post","2022","Heterosexual / straight","40-49","Asian","7250","6750","36100","31060"
"In post","2022","Heterosexual / straight","40-49","Black","3360","3240","34790","31060"
"In post","2022","Heterosexual / straight","40-49","Mixed","1500","1410","39280","34260"
"In post","2022","Heterosexual / straight","40-49","Other ethnicity","450","420","37410","32890"
"In post","2022","Heterosexual / straight","40-49","Undeclared","700","670","34550","30830"
"In post","2022","Heterosexual / straight","40-49","Unknown","770","720","37530","33290"
"In post","2022","Heterosexual / straight","40-49","White","65900","61980","37770","32930"
"In post","2022","Heterosexual / straight","50-59","Asian","4670","4410","34990","30600"
"In post","2022","Heterosexual / straight","50-59","Black","4450","4310","34530","31060"
"In post","2022","Heterosexual / straight","50-59","Mixed","1250","1190","36910","31990"
"In post","2022","Heterosexual / straight","50-59","Other ethnicity","400","390","36830","31880"
"In post","2022","Heterosexual / straight","50-59","Undeclared","1050","1010","34740","30740"
"In post","2022","Heterosexual / straight","50-59","Unknown","890","830","36070","30700"
"In post","2022","Heterosexual / straight","50-59","White","84660","79790","35860","30980"
"In post","2022","Heterosexual / straight","60-64","Asian","1140","990","32850","29080"
"In post","2022","Heterosexual / straight","60-64","Black","1120","1040","31950","29470"
"In post","2022","Heterosexual / straight","60-64","Mixed","290","260","34680","28920"
"In post","2022","Heterosexual / straight","60-64","Other ethnicity","100","90","36490","31400"
"In post","2022","Heterosexual / straight","60-64","Undeclared","290","250","30210","27570"
"In post","2022","Heterosexual / straight","60-64","Unknown","280","240","31210","26780"
"In post","2022","Heterosexual / straight","60-64","White","24090","20000","32280","27570"
"In post","2022","Heterosexual / straight","65+","Asian","500","400","31030","27570"
"In post","2022","Heterosexual / straight","65+","Black","300","270","30240","27220"
"In post","2022","Heterosexual / straight","65+","Mixed","100","80","32460","27570"
"In post","2022","Heterosexual / straight","65+","Other ethnicity","50","40","[c]","[c]"
"In post","2022","Heterosexual / straight","65+","Undeclared","90","70","29760","27570"
"In post","2022","Heterosexual / straight","65+","Unknown","110","80","30940","26780"
"In post","2022","Heterosexual / straight","65+","White","7170","5560","30930","27130"
"In post","2022","Heterosexual / straight","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Heterosexual / straight","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","16-19","White","50","40","[c]","[c]"
"In post","2022","LGBO","20-29","Asian","200","200","33280","31690"
"In post","2022","LGBO","20-29","Black","90","90","31820","30520"
"In post","2022","LGBO","20-29","Mixed","300","300","31420","28690"
"In post","2022","LGBO","20-29","Other ethnicity","50","50","32440","31060"
"In post","2022","LGBO","20-29","Undeclared","30","30","[c]","[c]"
"In post","2022","LGBO","20-29","Unknown","60","50","31440","28990"
"In post","2022","LGBO","20-29","White","5920","5860","30280","27570"
"In post","2022","LGBO","30-39","Asian","190","180","37790","33840"
"In post","2022","LGBO","30-39","Black","90","80","35960","31060"
"In post","2022","LGBO","30-39","Mixed","240","240","38160","34260"
"In post","2022","LGBO","30-39","Other ethnicity","50","50","39160","33560"
"In post","2022","LGBO","30-39","Undeclared","80","80","32140","28750"
"In post","2022","LGBO","30-39","Unknown","70","70","35490","31240"
"In post","2022","LGBO","30-39","White","5800","5700","35900","31990"
"In post","2022","LGBO","40-49","Asian","170","160","34790","29600"
"In post","2022","LGBO","40-49","Black","60","60","36130","31060"
"In post","2022","LGBO","40-49","Mixed","150","140","41830","36010"
"In post","2022","LGBO","40-49","Other ethnicity","50","50","[c]","[c]"
"In post","2022","LGBO","40-49","Undeclared","60","60","39300","33900"
"In post","2022","LGBO","40-49","Unknown","50","50","46620","37930"
"In post","2022","LGBO","40-49","White","3740","3640","39140","33080"
"In post","2022","LGBO","50-59","Asian","100","90","32400","27960"
"In post","2022","LGBO","50-59","Black","90","80","36870","30330"
"In post","2022","LGBO","50-59","Mixed","100","90","35940","31650"
"In post","2022","LGBO","50-59","Other ethnicity","40","40","[c]","[c]"
"In post","2022","LGBO","50-59","Undeclared","90","80","35380","31650"
"In post","2022","LGBO","50-59","Unknown","50","50","34910","30110"
"In post","2022","LGBO","50-59","White","3130","3010","37020","31650"
"In post","2022","LGBO","60-64","Asian","40","40","[c]","[c]"
"In post","2022","LGBO","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","60-64","White","610","510","33280","27570"
"In post","2022","LGBO","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","65+","Black","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","65+","White","160","130","31650","27570"
"In post","2022","LGBO","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","LGBO","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","16-19","White","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","20-29","Asian","220","210","31030","28870"
"In post","2022","Undeclared","20-29","Black","80","80","30080","28670"
"In post","2022","Undeclared","20-29","Mixed","160","150","32160","30750"
"In post","2022","Undeclared","20-29","Other ethnicity","40","30","[c]","[c]"
"In post","2022","Undeclared","20-29","Undeclared","910","900","32180","30640"
"In post","2022","Undeclared","20-29","Unknown","600","590","36080","32790"
"In post","2022","Undeclared","20-29","White","2420","2380","30680","28000"
"In post","2022","Undeclared","30-39","Asian","380","360","33420","29360"
"In post","2022","Undeclared","30-39","Black","120","110","35820","32330"
"In post","2022","Undeclared","30-39","Mixed","160","150","35480","31540"
"In post","2022","Undeclared","30-39","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Undeclared","30-39","Undeclared","2230","2170","37270","33370"
"In post","2022","Undeclared","30-39","Unknown","640","620","42710","40650"
"In post","2022","Undeclared","30-39","White","3700","3520","35580","32180"
"In post","2022","Undeclared","40-49","Asian","510","460","33750","28990"
"In post","2022","Undeclared","40-49","Black","160","150","34900","31060"
"In post","2022","Undeclared","40-49","Mixed","120","110","38170","31650"
"In post","2022","Undeclared","40-49","Other ethnicity","70","70","46040","40050"
"In post","2022","Undeclared","40-49","Undeclared","3170","3040","37840","33370"
"In post","2022","Undeclared","40-49","Unknown","540","500","44900","40700"
"In post","2022","Undeclared","40-49","White","5310","4950","35590","31170"
"In post","2022","Undeclared","50-59","Asian","470","440","31830","29080"
"In post","2022","Undeclared","50-59","Black","340","320","32580","30370"
"In post","2022","Undeclared","50-59","Mixed","160","140","36140","31020"
"In post","2022","Undeclared","50-59","Other ethnicity","90","80","38160","32010"
"In post","2022","Undeclared","50-59","Undeclared","4950","4720","36300","33000"
"In post","2022","Undeclared","50-59","Unknown","590","560","42330","37060"
"In post","2022","Undeclared","50-59","White","8840","8220","34380","29200"
"In post","2022","Undeclared","60-64","Asian","180","150","29280","27570"
"In post","2022","Undeclared","60-64","Black","90","80","29410","27570"
"In post","2022","Undeclared","60-64","Mixed","50","40","[c]","[c]"
"In post","2022","Undeclared","60-64","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Undeclared","60-64","Undeclared","1380","1160","34410","30720"
"In post","2022","Undeclared","60-64","Unknown","150","130","40410","34110"
"In post","2022","Undeclared","60-64","White","2830","2260","30910","27570"
"In post","2022","Undeclared","65+","Asian","100","70","27830","26400"
"In post","2022","Undeclared","65+","Black","30","30","[c]","[c]"
"In post","2022","Undeclared","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","65+","Undeclared","430","330","34510","29270"
"In post","2022","Undeclared","65+","Unknown","70","60","36560","29700"
"In post","2022","Undeclared","65+","White","870","650","30840","27130"
"In post","2022","Unknown","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","16-19","Unknown","490","470","21470","21250"
