"Status","Year","Responsibility_level","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Ministry of Defence","100","90","21350","21020"
"In post","2021","AA/AO","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Home Office","40","40","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Transport","60","50","21660","21590"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","HM Land Registry","60","50","21740","22350"
"In post","2021","AA/AO","Digital, Data and Technology","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Ministry of Defence","120","120","21390","20920"
"In post","2021","AA/AO","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Welsh Government","30","30","[c]","[c]"
"In post","2021","AA/AO","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Transport","60","50","21050","21590"
"In post","2021","AA/AO","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Revenue and Customs","550","410","20800","20640"
"In post","2021","AA/AO","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Ministry of Defence","230","210","21530","21130"
"In post","2021","AA/AO","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Ministry of Justice","50","50","20920","20100"
"In post","2021","AA/AO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Scottish Government","60","50","23390","24130"
"In post","2021","AA/AO","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Welsh Government","50","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Transport","40","30","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Ministry of Defence","770","700","21250","21130"
"In post","2021","AA/AO","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Scottish Government","60","50","22790","22430"
"In post","2021","AA/AO","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Welsh Government","60","60","23190","23830"
"In post","2021","AA/AO","Intelligence Analysis","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Home Office","80","70","23090","21430"
"In post","2021","AA/AO","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Ministry of Defence","190","180","21640","21130"
"In post","2021","AA/AO","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Welsh Government","30","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Revenue and Customs","270","230","21170","20370"
"In post","2021","AA/AO","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Ministry of Defence","320","300","22000","22640"
"In post","2021","AA/AO","Medicine","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Attorney General's Departments","1440","1310","22250","21950"
"In post","2021","AA/AO","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Department for Business, Energy and Industrial Strategy","1250","1140","21300","20880"
"In post","2021","AA/AO","Operational Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Department for Environment, Food and Rural Affairs","1570","1430","21190","21050"
"In post","2021","AA/AO","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Department for Transport","5160","4470","21610","21590"
"In post","2021","AA/AO","Operational Delivery","Department for Work and Pensions","260","220","22080","22160"
"In post","2021","AA/AO","Operational Delivery","Department of Health and Social Care","510","430","20910","19640"
"In post","2021","AA/AO","Operational Delivery","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Foreign, Commonwealth and Development Office","220","210","24520","24750"
"In post","2021","AA/AO","Operational Delivery","HM Land Registry","1760","1670","22480","22350"
"In post","2021","AA/AO","Operational Delivery","HM Revenue and Customs","15150","12790","20900","20140"
"In post","2021","AA/AO","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Home Office","7640","6740","21960","21430"
"In post","2021","AA/AO","Operational Delivery","Ministry of Defence","360","330","20770","20920"
"In post","2021","AA/AO","Operational Delivery","Ministry of Housing, Communities and Local Government","190","180","22210","22560"
"In post","2021","AA/AO","Operational Delivery","Ministry of Justice","40030","37130","24450","23240"
"In post","2021","AA/AO","Operational Delivery","National Crime Agency","250","230","23950","24220"
"In post","2021","AA/AO","Operational Delivery","Office for Standards in Education","110","100","21160","21160"
"In post","2021","AA/AO","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Scottish Government","2950","2700","22730","22430"
"In post","2021","AA/AO","Operational Delivery","The National Archives","60","50","20770","20650"
"In post","2021","AA/AO","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","United Kingdom Statistics Authority","1410","980","19640","19520"
"In post","2021","AA/AO","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Welsh Government","510","460","23370","23830"
"In post","2021","AA/AO","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Attorney General's Departments","50","50","23720","23800"
"In post","2021","AA/AO","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Department for Transport","120","100","28880","32740"
"In post","2021","AA/AO","Other","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Home Office","330","310","22270","21430"
"In post","2021","AA/AO","Other","Ministry of Defence","6720","6420","20870","20920"
"In post","2021","AA/AO","Other","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Office for Standards in Education","90","80","21270","21160"
"In post","2021","AA/AO","Other","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","AA/AO","Other","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Scottish Government","360","340","23820","24450"
"In post","2021","AA/AO","Other","Welsh Government","50","50","23410","23830"
"In post","2021","AA/AO","Planning","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"In post","2021","AA/AO","Policy","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2021","AA/AO","Policy","Department for Transport","60","50","21410","21590"
"In post","2021","AA/AO","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Foreign, Commonwealth and Development Office","130","120","27340","28000"
"In post","2021","AA/AO","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Ministry of Defence","110","110","21700","21130"
"In post","2021","AA/AO","Policy","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Ministry of Justice","180","170","22280","23060"
"In post","2021","AA/AO","Policy","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Welsh Government","150","150","23320","23830"
"In post","2021","AA/AO","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Ministry of Defence","190","180","21140","20920"
"In post","2021","AA/AO","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Department for Environment, Food and Rural Affairs","60","50","21330","21050"
"In post","2021","AA/AO","Property","Department for Transport","30","30","[c]","[c]"
"In post","2021","AA/AO","Property","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","HM Revenue and Customs","120","100","22640","21250"
"In post","2021","AA/AO","Property","Home Office","[c]","[c]","[c]","[c]"
