"Status","Year","Function_of_post","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Finance","Declared disabled","Male","330","320","40260","36460"
"In post","2021","Finance","Declared non-disabled","Female","3600","3320","37330","33300"
"In post","2021","Finance","Declared non-disabled","Male","2730","2690","43640","39450"
"In post","2021","Finance","Undeclared","Female","270","240","37250","33300"
"In post","2021","Finance","Undeclared","Male","250","240","41100","37370"
"In post","2021","Finance","Unknown","Female","940","860","35370","31810"
"In post","2021","Finance","Unknown","Male","810","790","38190","33000"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Declared disabled","Female","100","80","25850","21050"
"In post","2021","Grants Management","Declared disabled","Male","60","50","25140","21050"
"In post","2021","Grants Management","Declared non-disabled","Female","980","850","24980","21050"
"In post","2021","Grants Management","Declared non-disabled","Male","710","700","26010","24920"
"In post","2021","Grants Management","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Female","860","800","38460","33490"
"In post","2021","Human Resources","Declared disabled","Male","360","350","38880","34420"
"In post","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Female","4430","4140","37650","33300"
"In post","2021","Human Resources","Declared non-disabled","Male","1900","1860","39470","34810"
"In post","2021","Human Resources","Undeclared","Female","340","320","37160","33270"
"In post","2021","Human Resources","Undeclared","Male","170","160","37680","33300"
"In post","2021","Human Resources","Unknown","Female","1050","980","34370","30360"
"In post","2021","Human Resources","Unknown","Male","480","470","33980","31700"
"In post","2021","Internal Audit","Declared disabled","Female","50","50","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Male","40","40","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Female","290","270","43910","41690"
"In post","2021","Internal Audit","Declared non-disabled","Male","280","270","48790","47180"
"In post","2021","Internal Audit","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Male","30","30","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Declared disabled","Female","810","730","42950","38760"
"In post","2021","Legal","Declared disabled","Male","440","420","45710","46530"
"In post","2021","Legal","Declared non-disabled","Female","5950","5350","45700","48080"
"In post","2021","Legal","Declared non-disabled","Male","3220","3120","49730","51250"
"In post","2021","Legal","Undeclared","Female","220","200","49870","50940"
"In post","2021","Legal","Undeclared","Male","150","150","51740","50750"
"In post","2021","Legal","Unknown","Female","2740","2490","35450","29350"
"In post","2021","Legal","Unknown","Male","1340","1290","38430","31180"
"In post","2021","No function","Declared disabled","Female","10190","9180","30020","26780"
"In post","2021","No function","Declared disabled","Male","7320","6940","32730","30400"
"In post","2021","No function","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Declared non-disabled","Female","62290","56450","32210","27730"
"In post","2021","No function","Declared non-disabled","Male","51080","49330","35370","31650"
"In post","2021","No function","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Undeclared","Female","6230","5600","31220","28130"
"In post","2021","No function","Undeclared","Male","7630","7200","33950","31650"
"In post","2021","No function","Unknown","Female","20640","18990","30420","25870"
"In post","2021","No function","Unknown","Male","19540","18890","32580","28970"
"In post","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Declared disabled","Female","1350","1270","38510","34870"
"In post","2021","Project Delivery","Declared disabled","Male","1290","1260","40020","38500"
"In post","2021","Project Delivery","Declared non-disabled","Female","8690","8230","40130","36800"
"In post","2021","Project Delivery","Declared non-disabled","Male","11020","10840","42540","39860"
"In post","2021","Project Delivery","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Female","630","600","39260","36870"
"In post","2021","Project Delivery","Undeclared","Male","1170","1140","40550","38400"
"In post","2021","Project Delivery","Unknown","Female","1950","1840","41150","38600"
"In post","2021","Project Delivery","Unknown","Male","2290","2250","42700","39860"
"In post","2021","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Declared disabled","Female","360","330","33730","31810"
"In post","2021","Property","Declared disabled","Male","380","360","35460","33250"
"In post","2021","Property","Declared non-disabled","Female","2640","2430","33130","30670"
"In post","2021","Property","Declared non-disabled","Male","3700","3610","36980","33300"
"In post","2021","Property","Undeclared","Female","250","230","32870","31050"
"In post","2021","Property","Undeclared","Male","370","360","37910","33880"
"In post","2021","Property","Unknown","Female","630","590","28220","25300"
"In post","2021","Property","Unknown","Male","990","960","31430","28790"
"In post","2021","Security","Declared disabled","Female","190","180","31260","28080"
"In post","2021","Security","Declared disabled","Male","470","450","32280","29540"
"In post","2021","Security","Declared non-disabled","Female","1320","1270","32380","30120"
"In post","2021","Security","Declared non-disabled","Male","4020","3960","31190","26670"
"In post","2021","Security","Undeclared","Female","120","120","36190","33300"
"In post","2021","Security","Undeclared","Male","570","560","34450","36550"
"In post","2021","Security","Unknown","Female","430","410","30190","26670"
"In post","2021","Security","Unknown","Male","1640","1620","30900","28600"
"In post","2021","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Female","13630","11800","28280","27570"
"In post","2021","Unknown","Declared disabled","Male","7870","7440","29360","27570"
"In post","2021","Unknown","Declared non-disabled","Female","73500","64840","29630","27570"
"In post","2021","Unknown","Declared non-disabled","Male","48560","46860","31950","27570"
"In post","2021","Unknown","Undeclared","Female","3980","3600","29100","27570"
"In post","2021","Unknown","Undeclared","Male","3660","3550","31150","27570"
"In post","2021","Unknown","Unknown","Female","7250","6820","34640","29160"
"In post","2021","Unknown","Unknown","Male","8260","8130","35900","31060"
"In post","2022","Analysis","Declared disabled","Female","380","350","41370","37930"
"In post","2022","Analysis","Declared disabled","Male","340","330","41780","38020"
"In post","2022","Analysis","Declared non-disabled","Female","2630","2460","43070","38340"
"In post","2022","Analysis","Declared non-disabled","Male","3050","3000","45400","40520"
"In post","2022","Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Undeclared","Female","130","120","43230","40090"
"In post","2022","Analysis","Undeclared","Male","150","140","45460","40670"
"In post","2022","Analysis","Unknown","Female","840","800","41270","38340"
"In post","2022","Analysis","Unknown","Male","940","920","42600","38000"
"In post","2022","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Declared disabled","Female","260","240","38040","37040"
"In post","2022","Commercial","Declared disabled","Male","200","200","41310","37430"
"In post","2022","Commercial","Declared non-disabled","Female","1840","1750","40840","37280"
"In post","2022","Commercial","Declared non-disabled","Male","1660","1640","46760","40600"
"In post","2022","Commercial","Undeclared","Female","120","120","39160","36490"
"In post","2022","Commercial","Undeclared","Male","150","150","46150","41090"
"In post","2022","Commercial","Unknown","Female","1190","1150","52680","50530"
"In post","2022","Commercial","Unknown","Male","1200","1190","57330","54070"
"In post","2022","Communications","Declared disabled","Female","350","330","35520","33080"
"In post","2022","Communications","Declared disabled","Male","250","250","33820","33080"
"In post","2022","Communications","Declared non-disabled","Female","2760","2610","37220","33370"
"In post","2022","Communications","Declared non-disabled","Male","2250","2230","36150","33080"
"In post","2022","Communications","Undeclared","Female","140","140","37700","33370"
"In post","2022","Communications","Undeclared","Male","170","170","34280","29200"
"In post","2022","Communications","Unknown","Female","1320","1260","36060","32790"
"In post","2022","Communications","Unknown","Male","1290","1280","34010","27270"
"In post","2022","Counter Fraud","Declared disabled","Female","1170","1020","30460","27570"
"In post","2022","Counter Fraud","Declared disabled","Male","820","760","31940","27570"
"In post","2022","Counter Fraud","Declared non-disabled","Female","6150","5480","31110","27570"
"In post","2022","Counter Fraud","Declared non-disabled","Male","5220","5010","34220","31880"
"In post","2022","Counter Fraud","Undeclared","Female","410","360","32070","28920"
"In post","2022","Counter Fraud","Undeclared","Male","550","530","35920","33370"
"In post","2022","Counter Fraud","Unknown","Female","1270","1180","31800","28920"
"In post","2022","Counter Fraud","Unknown","Male","1450","1410","33980","33080"
"In post","2022","Debt","Declared disabled","Female","530","440","23540","21260"
"In post","2022","Debt","Declared disabled","Male","280","260","23170","21260"
"In post","2022","Debt","Declared non-disabled","Female","2700","2270","23860","21260"
"In post","2022","Debt","Declared non-disabled","Male","1560","1480","24170","21260"
"In post","2022","Debt","Undeclared","Female","180","150","23300","21260"
"In post","2022","Debt","Undeclared","Male","150","140","23910","21260"
"In post","2022","Debt","Unknown","Female","770","680","23300","21250"
"In post","2022","Debt","Unknown","Male","660","640","23760","21250"
"In post","2022","Digital, Data & Technology","Declared disabled","Female","870","820","38040","34550"
"In post","2022","Digital, Data & Technology","Declared disabled","Male","1130","1100","39920","36050"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Female","5580","5290","40240","37070"
"In post","2022","Digital, Data & Technology","Declared non-disabled","Male","9090","8930","42690","39650"
"In post","2022","Digital, Data & Technology","Undeclared","Female","360","340","38900","35900"
"In post","2022","Digital, Data & Technology","Undeclared","Male","840","820","41130","37910"
"In post","2022","Digital, Data & Technology","Unknown","Female","1450","1400","41040","37170"
"In post","2022","Digital, Data & Technology","Unknown","Male","2750","2720","41910","38500"
"In post","2022","Finance","Declared disabled","Female","660","590","36340","32440"
"In post","2022","Finance","Declared disabled","Male","480","460","39330","35310"
"In post","2022","Finance","Declared non-disabled","Female","4730","4370","37910","34150"
"In post","2022","Finance","Declared non-disabled","Male","3720","3650","42690","39350"
"In post","2022","Finance","Undeclared","Female","310","290","37180","33370"
"In post","2022","Finance","Undeclared","Male","320","310","41650","37590"
"In post","2022","Finance","Unknown","Female","1170","1090","36260","32940"
"In post","2022","Finance","Unknown","Male","990","970","39190","35310"
"In post","2022","Grants Management","Declared disabled","Female","120","100","25410","21300"
"In post","2022","Grants Management","Declared disabled","Male","70","60","25350","21300"
"In post","2022","Grants Management","Declared non-disabled","Female","1220","1070","24780","21300"
"In post","2022","Grants Management","Declared non-disabled","Male","870","850","25550","21300"
"In post","2022","Grants Management","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Declared disabled","Female","1110","1040","38110","33680"
"In post","2022","Human Resources","Declared disabled","Male","490","480","38150","33370"
"In post","2022","Human Resources","Declared non-disabled","Female","5460","5090","37740","33300"
"In post","2022","Human Resources","Declared non-disabled","Male","2400","2350","39210","34260"
"In post","2022","Human Resources","Undeclared","Female","410","390","36430","33300"
"In post","2022","Human Resources","Undeclared","Male","210","200","37030","33370"
"In post","2022","Human Resources","Unknown","Female","1100","1030","34850","30740"
"In post","2022","Human Resources","Unknown","Male","550","540","36290","33080"
"In post","2022","Internal Audit","Declared disabled","Female","60","50","43950","40580"
"In post","2022","Internal Audit","Declared disabled","Male","40","40","[c]","[c]"
"In post","2022","Internal Audit","Declared non-disabled","Female","300","280","44610","42530"
"In post","2022","Internal Audit","Declared non-disabled","Male","260","250","48190","46430"
"In post","2022","Internal Audit","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Undeclared","Male","30","30","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Declared disabled","Female","790","710","43000","39750"
"In post","2022","Legal","Declared disabled","Male","430","410","46730","49930"
"In post","2022","Legal","Declared non-disabled","Female","5510","5010","46300","48990"
"In post","2022","Legal","Declared non-disabled","Male","2990","2900","50260","52040"
"In post","2022","Legal","Undeclared","Female","180","160","51170","53370"
"In post","2022","Legal","Undeclared","Male","140","130","51960","54810"
"In post","2022","Legal","Unknown","Female","1590","1470","42930","40520"
"In post","2022","Legal","Unknown","Male","790","770","46170","48080"
"In post","2022","No function","Declared disabled","Female","20910","18450","29340","27570"
"In post","2022","No function","Declared disabled","Male","12050","11380","31080","27570"
"In post","2022","No function","Declared non-disabled","Female","104940","94010","30930","27570"
"In post","2022","No function","Declared non-disabled","Male","72670","70210","33930","29180"
"In post","2022","No function","Undeclared","Female","7780","6990","30330","27570"
"In post","2022","No function","Undeclared","Male","8290","7830","33090","31650"
"In post","2022","No function","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Unknown","Female","26030","24050","31420","27570"
"In post","2022","No function","Unknown","Male","21860","21110","33260","29250"
"In post","2022","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Declared disabled","Female","1370","1270","39010","35390"
"In post","2022","Project Delivery","Declared disabled","Male","1250","1210","40550","39080"
"In post","2022","Project Delivery","Declared non-disabled","Female","8300","7780","41110","38070"
"In post","2022","Project Delivery","Declared non-disabled","Male","10450","10250","43300","40520"
"In post","2022","Project Delivery","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Undeclared","Female","510","480","39480","37930"
"In post","2022","Project Delivery","Undeclared","Male","890","860","43000","40580"
"In post","2022","Project Delivery","Unknown","Female","1670","1580","42770","40180"
"In post","2022","Project Delivery","Unknown","Male","2140","2090","43490","40520"
"In post","2022","Property","Declared disabled","Female","380","350","36520","33300"
"In post","2022","Property","Declared disabled","Male","400","390","36870","33300"
"In post","2022","Property","Declared non-disabled","Female","2770","2580","35530","33000"
"In post","2022","Property","Declared non-disabled","Male","3510","3420","39720","36050"
"In post","2022","Property","Undeclared","Female","250","240","34980","31900"
"In post","2022","Property","Undeclared","Male","400","380","39310","36050"
"In post","2022","Property","Unknown","Female","730","690","30700","26670"
"In post","2022","Property","Unknown","Male","1110","1090","33630","29900"
"In post","2022","Security","Declared disabled","Female","280","270","32390","29060"
"In post","2022","Security","Declared disabled","Male","580","560","33470","33300"
"In post","2022","Security","Declared non-disabled","Female","1840","1760","33390","32000"
"In post","2022","Security","Declared non-disabled","Male","4870","4790","32650","30210"
"In post","2022","Security","Undeclared","Female","180","170","35640","33300"
"In post","2022","Security","Undeclared","Male","690","680","34920","36480"
"In post","2022","Security","Unknown","Female","470","450","32080","28890"
"In post","2022","Security","Unknown","Male","1790","1750","32140","29250"
"In post","2022","Unknown","Declared disabled","Female","3650","3370","33320","28990"
"In post","2022","Unknown","Declared disabled","Male","2940","2840","34050","29430"
"In post","2022","Unknown","Declared non-disabled","Female","28690","26420","34230","29370"
"In post","2022","Unknown","Declared non-disabled","Male","24720","24040","35700","30820"
"In post","2022","Unknown","Undeclared","Female","1600","1470","32780","28760"
"In post","2022","Unknown","Undeclared","Male","1910","1850","33930","30040"
"In post","2022","Unknown","Unknown","Female","7580","7220","35570","30040"
"In post","2022","Unknown","Unknown","Male","8570","8400","36160","31540"
"Leaver CS","2021","Analysis","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Declared non-disabled","Female","60","50","34870","29540"
"Leaver CS","2021","Analysis","Declared non-disabled","Male","80","70","43750","35010"
"Leaver CS","2021","Analysis","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","Female","50","50","[c]","[c]"
"Leaver CS","2021","Analysis","Unknown","Male","70","70","28570","24300"
"Leaver CS","2021","Commercial","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Declared non-disabled","Female","60","50","45200","38000"
"Leaver CS","2021","Commercial","Declared non-disabled","Male","80","80","49520","41680"
"Leaver CS","2021","Commercial","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Female","50","50","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Male","50","50","60780","51560"
"Leaver CS","2021","Communications","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Declared non-disabled","Female","70","60","37450","35590"
"Leaver CS","2021","Communications","Declared non-disabled","Male","70","70","39610","31420"
"Leaver CS","2021","Communications","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Female","50","50","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Male","40","30","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Declared non-disabled","Female","70","60","39980","35590"
"Leaver CS","2021","Digital, Data & Technology","Declared non-disabled","Male","130","130","44860","40150"
"Leaver CS","2021","Digital, Data & Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Female","50","50","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Male","120","110","41340","38570"
"Leaver CS","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Declared non-disabled","Female","80","70","41280","36540"
"Leaver CS","2021","Finance","Declared non-disabled","Male","70","70","45420","44790"
"Leaver CS","2021","Finance","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Unknown","Female","50","40","[c]","[c]"
"Leaver CS","2021","Grants Management","Unknown","Male","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Declared non-disabled","Female","120","110","37290","32310"
"Leaver CS","2021","Human Resources","Declared non-disabled","Male","70","70","40270","36800"
"Leaver CS","2021","Human Resources","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Female","50","40","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Male","30","30","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared disabled","Female","30","30","[c]","[c]"
"Leaver CS","2021","Legal","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Declared non-disabled","Female","220","180","45450","45220"
"Leaver CS","2021","Legal","Declared non-disabled","Male","160","140","51160","51820"
"Leaver CS","2021","Legal","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Unknown","Female","130","120","36840","27130"
"Leaver CS","2021","Legal","Unknown","Male","100","100","35810","29350"
"Leaver CS","2021","No function","Declared disabled","Female","490","420","25330","21580"
"Leaver CS","2021","No function","Declared disabled","Male","400","360","30310","26600"
"Leaver CS","2021","No function","Declared non-disabled","Female","2510","2200","30630","23530"
"Leaver CS","2021","No function","Declared non-disabled","Male","2390","2200","36260","27750"
"Leaver CS","2021","No function","Undeclared","Female","350","280","30130","22680"
"Leaver CS","2021","No function","Undeclared","Male","450","390","34700","31650"
"Leaver CS","2021","No function","Unknown","Female","1290","1200","29480","22680"
"Leaver CS","2021","No function","Unknown","Male","1270","1210","33240","26990"
"Leaver CS","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Declared disabled","Female","30","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","Declared disabled","Male","50","50","39360","35790"
"Leaver CS","2021","Project Delivery","Declared non-disabled","Female","190","170","36630","32430"
"Leaver CS","2021","Project Delivery","Declared non-disabled","Male","350","330","40850","37390"
"Leaver CS","2021","Project Delivery","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Undeclared","Male","40","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Female","60","60","34930","30850"
"Leaver CS","2021","Project Delivery","Unknown","Male","100","100","35700","32370"
"Leaver CS","2021","Property","Declared disabled","Female","[c]","[c]","[c]","[c]"
