"Status","Year","Region_ITL2","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Security","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Unknown","1420","1300","31270","29290"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","No function","100","90","30160","29750"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Unknown","100","90","32480","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Legal","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","No function","250","240","28830","27850"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","270","260","38580","33090"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","No function","380","360","30370","29650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Project Delivery","60","50","38170","34080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Property","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Security","80","80","35000","36940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Unknown","320","290","28810","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Commercial","150","150","39320","36800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Communications","70","60","33990","33000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Digital, Data & Technology","200","200","42430","39650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Finance","220","220","38110","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Grants Management","140","130","28330","25190"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Human Resources","90","90","39210","35590"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Legal","160","130","46640","51120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","No function","2310","2180","31380","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Project Delivery","370","360","39930","36500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Property","290","280","34900","33390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Security","630","620","33710","30890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Unknown","1660","1560","28500","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","No function","380","350","31940","32040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Project Delivery","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Security","100","100","39100","41070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Unknown","120","110","28920","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Finance","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Legal","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","No function","680","650","33220","29920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Property","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Security","270","260","32410","28750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","270","260","31730","27570"
"In post","2021","Cheshire","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","No function","190","170","29890","28960"
"In post","2021","Cheshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Unknown","170","150","25440","27570"
"In post","2021","Cheshire","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Digital, Data & Technology","80","70","42830","45990"
"In post","2021","Cheshire","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Grants Management","90","90","24530","24920"
"In post","2021","Cheshire","Declared non-disabled","Human Resources","30","30","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Legal","40","40","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","No function","1190","1130","32380","31330"
"In post","2021","Cheshire","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Unknown","720","650","25420","27570"
"In post","2021","Cheshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","No function","200","180","30600","31650"
"In post","2021","Cheshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Unknown","50","50","[c]","[c]"
"In post","2021","Cheshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Cheshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","No function","840","830","32880","32770"
"In post","2021","Cheshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Unknown","170","150","25320","27570"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","No function","200","180","29300","26750"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Property","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Security","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Unknown","820","750","25280","26670"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","Unknown","60","60","25690","26630"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Unknown","Unknown","110","100","26370","21540"
"In post","2021","Cumbria","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Grants Management","70","60","24260","21050"
"In post","2021","Cumbria","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","No function","60","60","27070","24380"
"In post","2021","Cumbria","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared disabled","Unknown","50","40","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Communications","60","60","27940","25880"
"In post","2021","Cumbria","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Grants Management","570","500","23870","21050"
"In post","2021","Cumbria","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Legal","30","30","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","No function","470","430","27440","24800"
"In post","2021","Cumbria","Declared non-disabled","Project Delivery","200","200","36140","33240"
"In post","2021","Cumbria","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Declared non-disabled","Security","50","50","25980","23540"
"In post","2021","Cumbria","Declared non-disabled","Unknown","210","180","26470","27570"
"In post","2021","Cumbria","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","No function","50","40","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","No function","30","30","[c]","[c]"
"In post","2021","Cumbria","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Communications","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Human Resources","50","50","36510","31960"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Legal","50","50","38030","31810"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","No function","730","680","29280","26810"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Property","30","30","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared disabled","Unknown","470","420","26110","27570"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Commercial","70","60","40610","38950"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Communications","240","230","31040","26700"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Counter Fraud","320","300","34710","31810"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Debt","100","90","22500","20140"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Digital, Data & Technology","110","110","42140","38650"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Finance","120","120","38570","33520"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Grants Management","60","60","25260","25100"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Human Resources","290","270","39090","33840"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Declared non-disabled","Legal","250","230","38330","31810"
