"Status","Year","Region_ITL1","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Undeclared","Undeclared","1610","1550","44350","39800"
"In post","2021","London","Undeclared","Unknown","500","480","45380","41350"
"In post","2021","London","Unknown","Declared disabled","250","240","39450","35630"
"In post","2021","London","Unknown","Declared non-disabled","1750","1650","43290","36580"
"In post","2021","London","Unknown","Undeclared","870","840","42240","36360"
"In post","2021","London","Unknown","Unknown","12710","12460","42910","36160"
"In post","2021","London","White","Declared disabled","5450","5210","43590","37920"
"In post","2021","London","White","Declared non-disabled","41100","39510","47710","42410"
"In post","2021","London","White","Undeclared","2290","2200","43940","37890"
"In post","2021","London","White","Unknown","4060","3920","47380","41760"
"In post","2021","North East (England)","Asian","Declared disabled","30","30","[c]","[c]"
"In post","2021","North East (England)","Asian","Declared non-disabled","320","290","27380","23140"
"In post","2021","North East (England)","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Asian","Unknown","30","30","[c]","[c]"
"In post","2021","North East (England)","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Black","Declared non-disabled","120","110","27290","25560"
"In post","2021","North East (England)","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","North East (England)","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Mixed","Declared disabled","30","30","[c]","[c]"
"In post","2021","North East (England)","Mixed","Declared non-disabled","160","150","28670","25560"
"In post","2021","North East (England)","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Undeclared","Declared disabled","100","90","28050","25560"
"In post","2021","North East (England)","Undeclared","Declared non-disabled","420","380","27810","25560"
"In post","2021","North East (England)","Undeclared","Undeclared","430","400","30350","27230"
"In post","2021","North East (England)","Undeclared","Unknown","80","70","30380","25560"
"In post","2021","North East (England)","Unknown","Declared disabled","90","80","25120","21440"
"In post","2021","North East (England)","Unknown","Declared non-disabled","690","610","27890","25190"
"In post","2021","North East (England)","Unknown","Undeclared","80","70","28860","27850"
"In post","2021","North East (England)","Unknown","Unknown","3480","3210","25700","21440"
"In post","2021","North East (England)","White","Declared disabled","3130","2740","26950","25560"
"In post","2021","North East (England)","White","Declared non-disabled","18550","16660","28810","26290"
"In post","2021","North East (England)","White","Undeclared","1210","1090","28940","27570"
"In post","2021","North East (England)","White","Unknown","1490","1300","27650","23470"
"In post","2021","North West (England)","Asian","Declared disabled","250","230","27140","25410"
"In post","2021","North West (England)","Asian","Declared non-disabled","2020","1860","27410","25560"
"In post","2021","North West (England)","Asian","Undeclared","130","120","27870","27570"
"In post","2021","North West (England)","Asian","Unknown","170","160","31540","27570"
"In post","2021","North West (England)","Black","Declared disabled","60","60","29600","27570"
"In post","2021","North West (England)","Black","Declared non-disabled","580","550","28110","26550"
"In post","2021","North West (England)","Black","Undeclared","30","30","[c]","[c]"
"In post","2021","North West (England)","Black","Unknown","50","50","33980","29360"
"In post","2021","North West (England)","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Chinese","Declared non-disabled","120","110","28690","25190"
"In post","2021","North West (England)","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Mixed","Declared disabled","150","130","27900","26470"
"In post","2021","North West (England)","Mixed","Declared non-disabled","530","500","29840","26470"
"In post","2021","North West (England)","Mixed","Undeclared","40","40","[c]","[c]"
"In post","2021","North West (England)","Mixed","Unknown","40","40","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","Declared disabled","40","30","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","Declared non-disabled","120","110","30800","27570"
"In post","2021","North West (England)","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Undeclared","Declared disabled","260","230","28050","27570"
"In post","2021","North West (England)","Undeclared","Declared non-disabled","1000","900","29170","27570"
"In post","2021","North West (England)","Undeclared","Undeclared","800","750","32340","28210"
"In post","2021","North West (England)","Undeclared","Unknown","160","150","32300","30120"
"In post","2021","North West (England)","Unknown","Declared disabled","140","120","27360","26000"
"In post","2021","North West (England)","Unknown","Declared non-disabled","1500","1370","28070","26610"
"In post","2021","North West (England)","Unknown","Undeclared","220","200","29550","27570"
"In post","2021","North West (England)","Unknown","Unknown","5410","5150","27880","25560"
"In post","2021","North West (England)","White","Declared disabled","6110","5480","28300","27370"
"In post","2021","North West (England)","White","Declared non-disabled","34410","31670","29940","27570"
"In post","2021","North West (England)","White","Undeclared","2220","2030","29070","27570"
"In post","2021","North West (England)","White","Unknown","2750","2580","31750","28840"
"In post","2021","Northern Ireland","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Undeclared","Undeclared","50","50","27800","26500"
"In post","2021","Northern Ireland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Unknown","610","580","25650","21440"
"In post","2021","Northern Ireland","White","Declared disabled","310","280","27280","25560"
"In post","2021","Northern Ireland","White","Declared non-disabled","2240","2100","28610","25560"
"In post","2021","Northern Ireland","White","Undeclared","150","140","28380","25560"
"In post","2021","Northern Ireland","White","Unknown","340","320","27930","24880"
"In post","2021","Overseas","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Asian","Declared non-disabled","130","130","45880","39980"
"In post","2021","Overseas","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Overseas","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Mixed","Declared non-disabled","90","90","48410","50940"
"In post","2021","Overseas","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Undeclared","Declared non-disabled","90","80","47400","41760"
"In post","2021","Overseas","Undeclared","Undeclared","80","80","46070","41620"
"In post","2021","Overseas","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Unknown","510","510","51790","51500"
"In post","2021","Overseas","White","Declared disabled","170","170","49400","52430"
"In post","2021","Overseas","White","Declared non-disabled","2130","2130","49920","49870"
"In post","2021","Overseas","White","Undeclared","70","70","48390","43920"
"In post","2021","Overseas","White","Unknown","250","240","54740","53500"
"In post","2021","Scotland","Asian","Declared disabled","40","40","[c]","[c]"
"In post","2021","Scotland","Asian","Declared non-disabled","380","350","31870","27260"
"In post","2021","Scotland","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Asian","Unknown","70","70","33660","31230"
"In post","2021","Scotland","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Black","Declared non-disabled","180","170","31180","27570"
"In post","2021","Scotland","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Chinese","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Scotland","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Mixed","Declared disabled","40","30","[c]","[c]"
"In post","2021","Scotland","Mixed","Declared non-disabled","180","180","34940","27570"
"In post","2021","Scotland","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Mixed","Unknown","30","30","[c]","[c]"
"In post","2021","Scotland","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Other ethnicity","Declared non-disabled","60","60","33930","27570"
"In post","2021","Scotland","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Undeclared","Declared disabled","150","140","30480","27570"
"In post","2021","Scotland","Undeclared","Declared non-disabled","650","590","31360","27570"
"In post","2021","Scotland","Undeclared","Undeclared","370","340","33380","27570"
"In post","2021","Scotland","Undeclared","Unknown","470","440","34530","33650"
"In post","2021","Scotland","Unknown","Declared disabled","250","220","31960","33430"
"In post","2021","Scotland","Unknown","Declared non-disabled","670","610","28710","24500"
"In post","2021","Scotland","Unknown","Undeclared","60","50","32040","27570"
"In post","2021","Scotland","Unknown","Unknown","9160","8610","30070","26160"
"In post","2021","Scotland","White","Declared disabled","3960","3610","30300","27570"
"In post","2021","Scotland","White","Declared non-disabled","24800","23020","32650","27570"
"In post","2021","Scotland","White","Undeclared","970","900","29740","27570"
"In post","2021","Scotland","White","Unknown","4940","4620","35690","33650"
"In post","2021","South East (England)","Asian","Declared disabled","110","100","30130","27980"
"In post","2021","South East (England)","Asian","Declared non-disabled","1080","1000","30270","27850"
"In post","2021","South East (England)","Asian","Undeclared","70","60","29780","29290"
"In post","2021","South East (England)","Asian","Unknown","120","110","30160","27570"
"In post","2021","South East (England)","Black","Declared disabled","80","70","30990","27630"
"In post","2021","South East (England)","Black","Declared non-disabled","670","650","30530","29290"
"In post","2021","South East (England)","Black","Undeclared","50","40","[c]","[c]"
"In post","2021","South East (England)","Black","Unknown","50","50","28610","27050"
"In post","2021","South East (England)","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Chinese","Declared non-disabled","80","70","31350","28750"
"In post","2021","South East (England)","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Mixed","Declared disabled","100","90","31890","29290"
"In post","2021","South East (England)","Mixed","Declared non-disabled","480","460","31290","28650"
"In post","2021","South East (England)","Mixed","Undeclared","40","40","[c]","[c]"
"In post","2021","South East (England)","Mixed","Unknown","40","40","[c]","[c]"
"In post","2021","South East (England)","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Other ethnicity","Declared non-disabled","160","150","29870","27570"
"In post","2021","South East (England)","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Undeclared","Declared disabled","220","190","29530","27570"
"In post","2021","South East (England)","Undeclared","Declared non-disabled","910","830","31670","28550"
"In post","2021","South East (England)","Undeclared","Undeclared","920","870","33770","31810"
"In post","2021","South East (England)","Undeclared","Unknown","230","210","38860","37320"
"In post","2021","South East (England)","Unknown","Declared disabled","110","100","28500","26700"
"In post","2021","South East (England)","Unknown","Declared non-disabled","700","630","30440","28270"
"In post","2021","South East (England)","Unknown","Undeclared","180","170","34930","31650"
"In post","2021","South East (England)","Unknown","Unknown","3250","3060","29980","27570"
"In post","2021","South East (England)","White","Declared disabled","3930","3610","30270","27570"
"In post","2021","South East (England)","White","Declared non-disabled","23870","22230","31720","28540"
"In post","2021","South East (England)","White","Undeclared","2090","1940","31190","30130"
"In post","2021","South East (England)","White","Unknown","2180","2010","33360","29540"
"In post","2021","South West (England)","Asian","Declared disabled","70","60","31300","27570"
"In post","2021","South West (England)","Asian","Declared non-disabled","620","590","34400","31600"
"In post","2021","South West (England)","Asian","Undeclared","40","30","[c]","[c]"
"In post","2021","South West (England)","Asian","Unknown","60","50","36350","32680"
"In post","2021","South West (England)","Black","Declared disabled","50","50","31440","28650"
"In post","2021","South West (England)","Black","Declared non-disabled","420","410","32380","31020"
"In post","2021","South West (England)","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Black","Unknown","40","30","[c]","[c]"
"In post","2021","South West (England)","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Chinese","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","South West (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Mixed","Declared disabled","90","80","32630","27570"
"In post","2021","South West (England)","Mixed","Declared non-disabled","460","440","32810","29000"
"In post","2021","South West (England)","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Mixed","Unknown","30","30","[c]","[c]"
"In post","2021","South West (England)","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Other ethnicity","Declared non-disabled","130","120","31020","27620"
"In post","2021","South West (England)","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Undeclared","Declared disabled","270","250","33490","29360"
"In post","2021","South West (England)","Undeclared","Declared non-disabled","970","900","35220","33000"
"In post","2021","South West (England)","Undeclared","Undeclared","950","910","37690","36500"
"In post","2021","South West (England)","Undeclared","Unknown","270","260","40810","37320"
"In post","2021","South West (England)","Unknown","Declared disabled","100","90","33370","28430"
"In post","2021","South West (England)","Unknown","Declared non-disabled","1000","920","32300","28570"
"In post","2021","South West (England)","Unknown","Undeclared","110","100","29880","27470"
"In post","2021","South West (England)","Unknown","Unknown","2970","2840","31840","27570"
"In post","2021","South West (England)","White","Declared disabled","4180","3860","32170","28200"
"In post","2021","South West (England)","White","Declared non-disabled","28020","26320","34630","31640"
"In post","2021","South West (England)","White","Undeclared","1660","1550","33960","31650"
"In post","2021","South West (England)","White","Unknown","2540","2420","36560","33700"
"In post","2021","Unknown","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Declared non-disabled","130","120","28880","27570"
"In post","2021","Unknown","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Unknown","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2400","2390","37080","32700"
"In post","2021","Unknown","White","Declared disabled","140","130","31450","27570"
"In post","2021","Unknown","White","Declared non-disabled","750","710","33510","27570"
"In post","2021","Unknown","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","White","Unknown","50","50","43360","43480"
"In post","2021","Wales","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Asian","Declared non-disabled","350","330","30160","25560"
"In post","2021","Wales","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Asian","Unknown","40","40","[c]","[c]"
"In post","2021","Wales","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Black","Declared non-disabled","150","140","28670","26290"
"In post","2021","Wales","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Chinese","Declared non-disabled","50","50","31470","29720"
"In post","2021","Wales","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Mixed","Declared disabled","60","50","28850","27570"
"In post","2021","Wales","Mixed","Declared non-disabled","260","250","30950","27570"
"In post","2021","Wales","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Mixed","Unknown","40","40","[c]","[c]"
"In post","2021","Wales","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Other ethnicity","Declared non-disabled","70","70","32950","27570"
"In post","2021","Wales","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Undeclared","Declared disabled","110","100","29200","27570"
"In post","2021","Wales","Undeclared","Declared non-disabled","520","480","30550","27570"
"In post","2021","Wales","Undeclared","Undeclared","460","440","33410","28850"
"In post","2021","Wales","Undeclared","Unknown","160","150","34690","31780"
"In post","2021","Wales","Unknown","Declared disabled","60","50","28100","25890"
"In post","2021","Wales","Unknown","Declared non-disabled","690","630","31480","27570"
"In post","2021","Wales","Unknown","Undeclared","80","70","29220","26000"
"In post","2021","Wales","Unknown","Unknown","3640","3450","27720","23970"
"In post","2021","Wales","White","Declared disabled","3260","2910","28640","26780"
"In post","2021","Wales","White","Declared non-disabled","22890","21080","31740","27570"
"In post","2021","Wales","White","Undeclared","1340","1220","28980","27460"
"In post","2021","Wales","White","Unknown","1720","1590","30610","27130"
