"Status","Year","Parent_department","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Unknown","Asian","120","100","43900","51010"
"In post","2021","Attorney General's Departments","Unknown","Black","80","70","42260","35000"
"In post","2021","Attorney General's Departments","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Mixed","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","980","910","47620","51250"
"In post","2021","Attorney General's Departments","Unknown","White","990","880","47670","52890"
"In post","2021","Cabinet Office","Heterosexual / straight","Asian","420","410","45750","40600"
"In post","2021","Cabinet Office","Heterosexual / straight","Black","230","230","42050","35590"
"In post","2021","Cabinet Office","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Mixed","150","150","46320","40250"
"In post","2021","Cabinet Office","Heterosexual / straight","Other ethnicity","50","50","46880","39020"
"In post","2021","Cabinet Office","Heterosexual / straight","Undeclared","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Heterosexual / straight","Unknown","50","50","58940","54700"
"In post","2021","Cabinet Office","Heterosexual / straight","White","3440","3340","48600","41820"
"In post","2021","Cabinet Office","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","LGBO","White","370","360","45140","40600"
"In post","2021","Cabinet Office","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","Undeclared","180","170","48680","43890"
"In post","2021","Cabinet Office","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Undeclared","White","260","250","47400","40600"
"In post","2021","Cabinet Office","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","3970","3920","44920","32000"
"In post","2021","Cabinet Office","Unknown","White","100","100","59860","56720"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Asian","40","40","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Heterosexual / straight","White","220","210","63560","53300"
"In post","2021","Chancellor's other departments","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","White","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","White","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","White","210","200","33920","29160"
"In post","2021","Charity Commission","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","White","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Unknown","80","80","36230","29160"
"In post","2021","Charity Commission","Unknown","White","90","80","35270","30580"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Asian","100","90","45380","36990"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Black","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Mixed","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","White","490","470","64260","59940"
"In post","2021","Competition and Markets Authority","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","White","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","White","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Asian","580","560","40160","36120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Black","340","340","38740","35090"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Chinese","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Mixed","190","190","45320","40470"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Other ethnicity","70","60","45140","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Undeclared","70","70","41040","40140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Unknown","130","120","39080","36060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","White","5580","5330","43740","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","White","570","570","43640","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Asian","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Undeclared","380","360","47870","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","White","430","400","43650","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Asian","80","80","30630","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Mixed","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","150","140","38190","38310"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","2120","2050","35290","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","White","2100","1990","38970","39490"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Asian","110","110","46790","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Black","80","80","40260","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Mixed","60","60","44140","40570"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","White","970","950","51080","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","White","160","160","47150","44680"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","White","60","60","48940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","190","190","47720","46050"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Asian","600","580","39350","36500"
"In post","2021","Department for Education","Heterosexual / straight","Black","240","240","39760","36780"
"In post","2021","Department for Education","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Mixed","160","150","41950","40230"
"In post","2021","Department for Education","Heterosexual / straight","Other ethnicity","50","40","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Undeclared","50","50","41480","36500"
"In post","2021","Department for Education","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","White","4340","4160","44620","40510"
"In post","2021","Department for Education","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","LGBO","White","370","370","43210","37100"
"In post","2021","Department for Education","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","Undeclared","190","180","45090","41990"
"In post","2021","Department for Education","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Undeclared","White","270","260","44600","40780"
"In post","2021","Department for Education","Unknown","Asian","70","70","43040","40300"
"In post","2021","Department for Education","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","850","820","42450","37100"
"In post","2021","Department for Education","Unknown","White","460","440","47490","49510"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Asian","300","300","37110","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Black","180","180","35480","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Mixed","150","140","38360","33790"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Undeclared","60","60","35480","32680"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Unknown","70","60","38190","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","White","6140","5820","37000","32770"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","White","460","440","36530","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Undeclared","300","290","36660","33800"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","White","480","450","36420","33150"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","90","80","31860","26520"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Unknown","1790","1700","33990","29400"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","White","800","730","31910","29270"
"In post","2021","Department for International Trade","Heterosexual / straight","Asian","190","190","41790","38300"
"In post","2021","Department for International Trade","Heterosexual / straight","Black","110","110","38500","36860"
"In post","2021","Department for International Trade","Heterosexual / straight","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Heterosexual / straight","Mixed","70","70","46800","43600"
"In post","2021","Department for International Trade","Heterosexual / straight","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Heterosexual / straight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Heterosexual / straight","Unknown","40","40","[c]","[c]"
"In post","2021","Department for International Trade","Heterosexual / straight","White","1090","1070","47970","48840"
"In post","2021","Department for International Trade","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","LGBO","White","150","150","46960","41070"
"In post","2021","Department for International Trade","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","Undeclared","60","60","44000","40050"
"In post","2021","Department for International Trade","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Undeclared","White","70","70","48680","51710"
"In post","2021","Department for International Trade","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","Unknown","730","730","44210","38540"
"In post","2021","Department for International Trade","Unknown","White","50","50","[c]","[c]"
"In post","2021","Department for Transport","Heterosexual / straight","Asian","450","440","40890","35430"
"In post","2021","Department for Transport","Heterosexual / straight","Black","210","200","38060","35430"
"In post","2021","Department for Transport","Heterosexual / straight","Chinese","30","30","[c]","[c]"
"In post","2021","Department for Transport","Heterosexual / straight","Mixed","160","150","36040","33350"
"In post","2021","Department for Transport","Heterosexual / straight","Other ethnicity","50","50","37810","34710"
"In post","2021","Department for Transport","Heterosexual / straight","Undeclared","290","280","31560","27680"
"In post","2021","Department for Transport","Heterosexual / straight","Unknown","190","170","32120","26780"
"In post","2021","Department for Transport","Heterosexual / straight","White","8590","8000","33680","27250"
"In post","2021","Department for Transport","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","LGBO","White","490","480","35350","30720"
"In post","2021","Department for Transport","Undeclared","Asian","40","30","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Undeclared","Mixed","[c]","[c]","[c]","[c]"
