"Status","Year","Profession_of_post","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Devon","190","180","42930","40040"
"In post","2021","Commercial","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East Anglia","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","120","120","37440","34800"
"In post","2021","Commercial","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Inner London - West","150","140","51280","43680"
"In post","2021","Commercial","Unknown","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Merseyside","60","50","32220","30460"
"In post","2021","Commercial","Unknown","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","West Yorkshire","50","50","38730","35810"
"In post","2021","Communications","Heterosexual / straight","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","60","60","32620","31290"
"In post","2021","Communications","Heterosexual / straight","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Derbyshire and Nottinghamshire","50","50","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","East Anglia","30","30","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","East Wales","190","180","38310","37410"
"In post","2021","Communications","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","160","150","36300","34670"
"In post","2021","Communications","Heterosexual / straight","Greater Manchester","60","60","34820","32010"
"In post","2021","Communications","Heterosexual / straight","Hampshire and Isle of Wight","130","130","33090","32030"
"In post","2021","Communications","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Inner London - East","140","130","47720","42290"
"In post","2021","Communications","Heterosexual / straight","Inner London - West","1110","1080","46930","42890"
"In post","2021","Communications","Heterosexual / straight","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Merseyside","50","50","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Northumberland and Tyne and Wear","60","60","35040","31810"
"In post","2021","Communications","Heterosexual / straight","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","South Yorkshire","30","30","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heterosexual / straight","West Midlands","60","60","42530","38180"
"In post","2021","Communications","Heterosexual / straight","West Wales and The Valleys","70","70","32080","28850"
"In post","2021","Communications","Heterosexual / straight","West Yorkshire","30","30","[c]","[c]"
"In post","2021","Communications","LGBO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Inner London - West","110","110","45120","42620"
"In post","2021","Communications","LGBO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Communications","LGBO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Inner London - West","120","120","45620","42610"
"In post","2021","Communications","Undeclared","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Devon","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","East Wales","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Hampshire and Isle of Wight","30","30","[c]","[c]"
"In post","2021","Communications","Unknown","Inner London - East","50","50","[c]","[c]"
"In post","2021","Communications","Unknown","Inner London - West","470","460","45390","42200"
"In post","2021","Communications","Unknown","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
