"Status","Year","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Declared non-disabled","Communications","490","480","31090","25560"
"New entrant CS","2021","Declared non-disabled","Counter Fraud","90","80","31540","26840"
"New entrant CS","2021","Declared non-disabled","Debt","260","250","20550","20140"
"New entrant CS","2021","Declared non-disabled","Digital, Data & Technology","810","800","40440","36800"
"New entrant CS","2021","Declared non-disabled","Finance","390","380","36310","33000"
"New entrant CS","2021","Declared non-disabled","Grants Management","50","50","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Human Resources","490","470","32470","28000"
"New entrant CS","2021","Declared non-disabled","Internal Audit","30","30","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Legal","420","400","39430","36160"
"New entrant CS","2021","Declared non-disabled","No function","9770","9380","28770","24920"
"New entrant CS","2021","Declared non-disabled","Project Delivery","1180","1170","37050","33570"
"New entrant CS","2021","Declared non-disabled","Property","450","440","31390","28120"
"New entrant CS","2021","Declared non-disabled","Security","430","430","26320","23540"
"New entrant CS","2021","Declared non-disabled","Unknown","14690","14410","27190","27570"
"New entrant CS","2021","Undeclared","Analysis","50","50","33190","29970"
"New entrant CS","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","50","50","42090","39340"
"New entrant CS","2021","Undeclared","Finance","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","No function","790","730","34090","30350"
"New entrant CS","2021","Undeclared","Project Delivery","70","60","37300","34020"
"New entrant CS","2021","Undeclared","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","750","730","26890","27570"
"New entrant CS","2021","Unknown","Analysis","510","500","34390","32540"
"New entrant CS","2021","Unknown","Commercial","440","430","57340","53360"
"New entrant CS","2021","Unknown","Communications","740","730","30190","25560"
"New entrant CS","2021","Unknown","Counter Fraud","90","90","28740","25560"
"New entrant CS","2021","Unknown","Debt","670","660","20460","20140"
"New entrant CS","2021","Unknown","Digital, Data & Technology","930","920","39210","36030"
"New entrant CS","2021","Unknown","Finance","310","300","33820","32790"
"New entrant CS","2021","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","290","280","32200","28000"
"New entrant CS","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","920","900","33730","26970"
"New entrant CS","2021","Unknown","No function","9470","9200","27110","23110"
"New entrant CS","2021","Unknown","Project Delivery","510","500","33930","31810"
"New entrant CS","2021","Unknown","Property","240","240","29370","24500"
"New entrant CS","2021","Unknown","Security","370","360","27830","24540"
"New entrant CS","2021","Unknown","Unknown","5350","5210","31160","27570"
"New entrant CS","2022","Declared disabled","Analysis","120","110","30490","30710"
"New entrant CS","2022","Declared disabled","Commercial","60","50","32120","29270"
"New entrant CS","2022","Declared disabled","Communications","70","60","30250","27270"
"New entrant CS","2022","Declared disabled","Counter Fraud","140","130","26970","26590"
"New entrant CS","2022","Declared disabled","Debt","80","70","21490","21260"
"New entrant CS","2022","Declared disabled","Digital, Data & Technology","200","200","36350","33080"
"New entrant CS","2022","Declared disabled","Finance","60","60","32750","29270"
"New entrant CS","2022","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Human Resources","120","120","31420","28000"
"New entrant CS","2022","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Legal","120","110","35150","29280"
"New entrant CS","2022","Declared disabled","No function","3540","3390","28230","26880"
"New entrant CS","2022","Declared disabled","Project Delivery","140","130","32840","30250"
"New entrant CS","2022","Declared disabled","Property","60","60","32150","28860"
"New entrant CS","2022","Declared disabled","Security","40","30","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","490","470","29420","27230"
"New entrant CS","2022","Declared non-disabled","Analysis","940","930","33540","30710"
"New entrant CS","2022","Declared non-disabled","Commercial","400","400","34130","31900"
"New entrant CS","2022","Declared non-disabled","Communications","750","740","30920","26590"
"New entrant CS","2022","Declared non-disabled","Counter Fraud","1040","1020","26970","26590"
"New entrant CS","2022","Declared non-disabled","Debt","610","590","21640","21250"
"New entrant CS","2022","Declared non-disabled","Digital, Data & Technology","1670","1650","37760","34260"
"New entrant CS","2022","Declared non-disabled","Finance","560","550","33750","31060"
"New entrant CS","2022","Declared non-disabled","Grants Management","500","480","21680","21300"
"New entrant CS","2022","Declared non-disabled","Human Resources","780","750","32730","28000"
"New entrant CS","2022","Declared non-disabled","Internal Audit","40","40","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Legal","900","880","37400","37610"
"New entrant CS","2022","Declared non-disabled","No function","23350","22600","28130","26140"
"New entrant CS","2022","Declared non-disabled","Project Delivery","1240","1220","35620","33000"
"New entrant CS","2022","Declared non-disabled","Property","510","500","33600","31000"
"New entrant CS","2022","Declared non-disabled","Security","380","370","29770","26350"
"New entrant CS","2022","Declared non-disabled","Unknown","3260","3180","31150","27230"
"New entrant CS","2022","Undeclared","Analysis","50","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","50","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","90","90","36270","33370"
"New entrant CS","2022","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","50","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","No function","1230","1180","28750","27570"
"New entrant CS","2022","Undeclared","Project Delivery","60","60","35780","33500"
"New entrant CS","2022","Undeclared","Property","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","160","160","30320","27230"
"New entrant CS","2022","Unknown","Analysis","380","340","34850","30710"
"New entrant CS","2022","Unknown","Commercial","520","460","51380","40650"
"New entrant CS","2022","Unknown","Communications","670","620","30520","26590"
"New entrant CS","2022","Unknown","Counter Fraud","370","360","27900","26590"
"New entrant CS","2022","Unknown","Debt","320","300","21680","21250"
"New entrant CS","2022","Unknown","Digital, Data & Technology","940","890","37520","33840"
"New entrant CS","2022","Unknown","Finance","520","460","34260","30450"
"New entrant CS","2022","Unknown","Human Resources","410","380","32890","27770"
"New entrant CS","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","210","210","34340","27130"
"New entrant CS","2022","Unknown","No function","13790","13080","27890","25120"
"New entrant CS","2022","Unknown","Project Delivery","570","560","34760","33000"
"New entrant CS","2022","Unknown","Property","520","510","31270","25420"
"New entrant CS","2022","Unknown","Security","440","430","28090","25000"
"New entrant CS","2022","Unknown","Unknown","5730","5480","29920","27230"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at March 31st).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
