"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Project Delivery","100","90","40350","37890"
"In post","2021","Commercial","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Communications","230","220","36880","33830"
"In post","2021","Communications","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Communications","2130","2050","41490","38180"
"In post","2021","Communications","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","No function","80","80","42320","40220"
"In post","2021","Communications","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Declared non-disabled","Unknown","290","280","44550","41970"
"In post","2021","Communications","Undeclared","Communications","180","180","42100","38620"
"In post","2021","Communications","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Communications","890","860","41880","38600"
"In post","2021","Communications","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Finance","100","100","45950","45740"
"In post","2021","Corporate Finance","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Counter Fraud","430","410","41340","39490"
"In post","2021","Counter Fraud","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","No function","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Declared non-disabled","Unknown","150","140","26820","25310"
"In post","2021","Counter Fraud","Undeclared","Counter Fraud","60","60","38190","34450"
"In post","2021","Counter Fraud","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Counter Fraud","130","120","41020","35070"
"In post","2021","Counter Fraud","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Digital, Data & Technology","860","820","38380","35000"
"In post","2021","Digital, Data and Technology","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Project Delivery","50","50","37760","36640"
"In post","2021","Digital, Data and Technology","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared disabled","Unknown","90","90","50000","46280"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Analysis","180","180","42350","42220"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Digital, Data & Technology","6540","6350","41580","38630"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","No function","170","170","39960","36370"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Project Delivery","300","290","43730","43460"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Declared non-disabled","Unknown","1120","1100","48080","44670"
"In post","2021","Digital, Data and Technology","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Digital, Data & Technology","580","570","40220","38100"
"In post","2021","Digital, Data and Technology","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Project Delivery","40","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","Unknown","60","60","48220","45410"
"In post","2021","Digital, Data and Technology","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Digital, Data & Technology","2870","2820","40410","36840"
"In post","2021","Digital, Data and Technology","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Project Delivery","60","50","41410","38630"
"In post","2021","Digital, Data and Technology","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","170","170","47830","44950"
"In post","2021","Economics","Declared disabled","Analysis","60","60","46070","41250"
"In post","2021","Economics","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Analysis","830","810","49140","49100"
"In post","2021","Economics","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Declared non-disabled","No function","360","350","47690","48240"
"In post","2021","Economics","Declared non-disabled","Project Delivery","50","50","54320","55620"
"In post","2021","Economics","Declared non-disabled","Unknown","130","130","48650","47000"
"In post","2021","Economics","Undeclared","Analysis","90","90","44730","36120"
"In post","2021","Economics","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Analysis","300","290","39580","33880"
"In post","2021","Economics","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Finance","70","60","40500","32970"
"In post","2021","Economics","Unknown","No function","70","70","49640","52290"
"In post","2021","Economics","Unknown","Project Delivery","50","40","[c]","[c]"
"In post","2021","Economics","Unknown","Unknown","60","60","43700","35340"
"In post","2021","Finance","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Finance","640","600","37540","33440"
"In post","2021","Finance","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","No function","40","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","Project Delivery","30","30","[c]","[c]"
"In post","2021","Finance","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Unknown","40","40","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Analysis","30","30","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Commercial","50","50","34410","31070"
"In post","2021","Finance","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Finance","5190","4930","40630","36820"
"In post","2021","Finance","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","No function","310","300","43870","37580"
"In post","2021","Finance","Declared non-disabled","Project Delivery","300","290","43020","39860"
"In post","2021","Finance","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared non-disabled","Unknown","540","510","44080","37660"
"In post","2021","Finance","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Finance","430","410","38970","35300"
"In post","2021","Finance","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Finance","1300","1230","37750","33300"
"In post","2021","Finance","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","No function","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Project Delivery","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Human Resources","860","810","39540","35000"
"In post","2021","Human Resources","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared disabled","Unknown","100","90","43670","37410"
"In post","2021","Human Resources","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Human Resources","4610","4370","38930","33930"
"In post","2021","Human Resources","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","No function","50","50","41640","36650"
"In post","2021","Human Resources","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Declared non-disabled","Unknown","600","570","40800","36700"
"In post","2021","Human Resources","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Human Resources","370","350","38140","33630"
"In post","2021","Human Resources","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Human Resources","1090","1040","34680","31020"
"In post","2021","Human Resources","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","50","50","37550","32820"
"In post","2021","Inspector of Education and Training","Declared disabled","No function","60","60","62000","64500"
"In post","2021","Inspector of Education and Training","Declared non-disabled","No function","720","700","67650","74730"
"In post","2021","Inspector of Education and Training","Unknown","No function","80","70","58960","51360"
"In post","2021","Intelligence Analysis","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","No function","60","60","30910","28120"
"In post","2021","Intelligence Analysis","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared disabled","Unknown","210","190","32340","30560"
"In post","2021","Intelligence Analysis","Declared non-disabled","Analysis","90","90","49540","49760"
"In post","2021","Intelligence Analysis","Declared non-disabled","Counter Fraud","120","120","39760","36160"
"In post","2021","Intelligence Analysis","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Declared non-disabled","No function","340","330","31640","28330"
"In post","2021","Intelligence Analysis","Declared non-disabled","Security","150","140","45110","38860"
"In post","2021","Intelligence Analysis","Declared non-disabled","Unknown","1700","1620","32130","29250"
"In post","2021","Intelligence Analysis","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","No function","80","80","30770","28400"
"In post","2021","Intelligence Analysis","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Undeclared","Unknown","170","160","33900","31420"
"In post","2021","Intelligence Analysis","Unknown","Analysis","170","170","53890","53360"
"In post","2021","Intelligence Analysis","Unknown","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Unknown","160","160","35900","33300"
"In post","2021","Internal Audit","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Internal Audit","90","90","44070","40020"
"In post","2021","Internal Audit","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Internal Audit","560","530","46160","43250"
"In post","2021","Internal Audit","Declared non-disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Internal Audit","60","50","49930","49540"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Internal Audit","50","40","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared disabled","No function","100","100","46130","40840"
"In post","2021","International Trade","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Declared non-disabled","No function","780","760","47850","44990"
"In post","2021","International Trade","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Undeclared","No function","50","50","[c]","[c]"
"In post","2021","International Trade","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","Unknown","No function","540","530","45730","38630"
"In post","2021","International Trade","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Commercial","100","100","34070","30870"
"In post","2021","Knowledge and Information Management","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","No function","80","80","35100","32720"
"In post","2021","Knowledge and Information Management","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Analysis","30","30","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Commercial","450","430","32500","29200"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Digital, Data & Technology","100","100","37110","35230"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","No function","640","610","38280","35570"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Project Delivery","130","120","37130","36500"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Declared non-disabled","Unknown","170","160","37880","37410"
"In post","2021","Knowledge and Information Management","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Commercial","70","60","34750","33300"
"In post","2021","Knowledge and Information Management","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Undeclared","Legal","[c]","[c]","[c]","[c]"
