"Status","Year","Sexual_orientation","Organisation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","White","1630","1510","35030","29040"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Asian","500","460","39580","35020"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Black","290","280","40220","32720"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Mixed","140","130","42270","40000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Unknown","140","130","38120","30770"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","White","3620","3380","41270","38000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service Inspectorate","White","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Debt Management Office","White","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Electronics and Components Agency","White","130","130","29140","27460"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Asian","290","280","33760","31950"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Black","210","210","32500","32210"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Mixed","130","120","34280","30000"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Undeclared","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Equipment and Support","White","7760","7490","36760","33810"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Asian","50","50","42740","38100"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Mixed","50","50","36800","33630"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Defence Science and Technology Laboratory","White","2920","2800","40360","37360"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Asian","390","390","44010","40050"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Black","250","250","40930","36810"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Chinese","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Mixed","150","150","47680","45150"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","50","50","48930","53380"
"In post","2021","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","White","2820","2740","51150","53380"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Asian","110","110","46790","42020"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Black","80","80","40260","34020"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Mixed","60","60","44140","40570"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","White","970","950","51080","51730"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Asian","410","400","39800","36500"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Black","190","190","40110","36780"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Mixed","130","120","42360","40230"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","White","3150","3020","45340","42220"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Asian","220","220","39970","35900"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Black","160","160","36410","33010"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Mixed","100","100","41410","36970"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","White","3190","3070","43100","38750"
"In post","2021","Heterosexual / straight","Department for International Trade","Asian","190","190","41790","38300"
"In post","2021","Heterosexual / straight","Department for International Trade","Black","110","110","38500","36860"
"In post","2021","Heterosexual / straight","Department for International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Mixed","70","70","46800","43600"
"In post","2021","Heterosexual / straight","Department for International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for International Trade","White","1090","1070","47970","48840"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Asian","260","260","45310","42680"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Black","150","150","40190","37660"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Mixed","80","80","42630","36340"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","White","1690","1640","51210","50110"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Asian","5430","5000","28060","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Black","2950","2820","29200","29840"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Chinese","100","90","27310","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Mixed","1170","1090","27970","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Other ethnicity","300","280","29500","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Undeclared","600","540","27640","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Unknown","330","300","27540","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","White","47850","42900","27790","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Asian","140","140","42050","36820"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Black","90","80","37300","32790"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Mixed","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","White","1050","1010","50050","49530"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Disclosure Scotland","White","170","160","29870","24910"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Asian","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Mixed","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Undeclared","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Unknown","100","80","30120","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","White","3590","3230","26770","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Asian","80","80","30010","30470"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Black","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Undeclared","200","190","29440","27680"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Unknown","60","60","29490","26780"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","White","2360","2230","30330","27680"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Asian","150","150","39210","36780"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Black","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","White","970","930","41940","36960"
"In post","2021","Heterosexual / straight","Education Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Education Scotland","White","170","170","58730","66290"
"In post","2021","Heterosexual / straight","ESTYN","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","White","100","90","57900","74730"
"In post","2021","Heterosexual / straight","FCDO Services","Asian","50","50","33840","28980"
"In post","2021","Heterosexual / straight","FCDO Services","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","White","700","670","41140","38080"
"In post","2021","Heterosexual / straight","Food Standards Agency","Asian","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Black","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Agency","White","720","700","38160","35730"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Food Standards Scotland","White","130","120","36060","31170"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Asian","360","350","43500","38130"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Black","210","210","38510","34770"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Chinese","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Mixed","200","200","46580","40180"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Other ethnicity","60","60","42330","37560"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","70","70","46520","38730"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","60","50","46090","41000"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","White","4120","4030","49900","48020"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","Black","[c]","[c]","[c]","[c]"
