"Status","Year","Profession_of_post","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","White","50","50","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","White","40","40","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","White","40","30","[c]","[c]"
"In post","2021","Counter Fraud","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","White","130","120","26170","25580"
"In post","2021","Counter Fraud","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","White","80","80","61340","58940"
"In post","2021","Counter Fraud","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","120","110","37600","38510"
"In post","2021","Counter Fraud","SEO/HEO","White","340","320","37460","37910"
"In post","2021","Digital, Data and Technology","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Unknown","80","80","21680","21590"
"In post","2021","Digital, Data and Technology","AA/AO","White","300","290","21890","21580"
"In post","2021","Digital, Data and Technology","EO","Asian","150","150","27920","27130"
"In post","2021","Digital, Data and Technology","EO","Black","70","70","28380","28440"
"In post","2021","Digital, Data and Technology","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Mixed","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Undeclared","100","90","28680","28130"
"In post","2021","Digital, Data and Technology","EO","Unknown","420","410","26970","26350"
"In post","2021","Digital, Data and Technology","EO","White","1430","1370","27470","26670"
"In post","2021","Digital, Data and Technology","G6/G7","Asian","230","230","60460","59960"
"In post","2021","Digital, Data and Technology","G6/G7","Black","90","90","57670","57460"
"In post","2021","Digital, Data and Technology","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Mixed","60","60","57390","56690"
"In post","2021","Digital, Data and Technology","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Undeclared","180","170","58870","57460"
"In post","2021","Digital, Data and Technology","G6/G7","Unknown","550","540","58400","57170"
"In post","2021","Digital, Data and Technology","G6/G7","White","2330","2290","58120","56610"
"In post","2021","Digital, Data and Technology","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS","White","170","170","91800","85000"
"In post","2021","Digital, Data and Technology","SEO/HEO","Asian","450","440","38340","38070"
"In post","2021","Digital, Data and Technology","SEO/HEO","Black","230","230","38070","36970"
"In post","2021","Digital, Data and Technology","SEO/HEO","Chinese","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Mixed","100","100","37960","37320"
"In post","2021","Digital, Data and Technology","SEO/HEO","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Undeclared","400","390","38540","38450"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","1130","1110","36970","36500"
"In post","2021","Digital, Data and Technology","SEO/HEO","White","4490","4350","37800","37500"
"In post","2021","Digital, Data and Technology","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","White","40","40","[c]","[c]"
"In post","2021","Economics","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","White","40","40","[c]","[c]"
"In post","2021","Economics","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Unknown","30","30","[c]","[c]"
"In post","2021","Economics","EO","White","60","60","27200","27680"
"In post","2021","Economics","G6/G7","Asian","80","80","59410","58850"
"In post","2021","Economics","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Mixed","40","40","[c]","[c]"
"In post","2021","Economics","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Economics","G6/G7","Unknown","160","150","57720","55620"
"In post","2021","Economics","G6/G7","White","600","580","60120","58960"
"In post","2021","Economics","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS","White","80","80","88870","82270"
"In post","2021","Economics","SEO/HEO","Asian","70","70","34300","33170"
"In post","2021","Economics","SEO/HEO","Black","30","30","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Mixed","40","40","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SEO/HEO","Unknown","200","200","34540","33880"
"In post","2021","Economics","SEO/HEO","White","520","510","35060","34000"
"In post","2021","Economics","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Asian","60","50","22250","21440"
"In post","2021","Finance","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","Undeclared","50","40","[c]","[c]"
"In post","2021","Finance","AA/AO","Unknown","180","150","20890","20140"
"In post","2021","Finance","AA/AO","White","830","700","21360","21440"
"In post","2021","Finance","EO","Asian","140","130","27250","26670"
"In post","2021","Finance","EO","Black","70","60","28410","28830"
"In post","2021","Finance","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","EO","Undeclared","70","60","27440","26930"
"In post","2021","Finance","EO","Unknown","140","140","25990","25960"
"In post","2021","Finance","EO","White","1170","1100","26400","26670"
"In post","2021","Finance","G6/G7","Asian","150","150","59650","58920"
"In post","2021","Finance","G6/G7","Black","70","70","57950","57220"
"In post","2021","Finance","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Mixed","40","40","[c]","[c]"
"In post","2021","Finance","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","G6/G7","Undeclared","100","100","59920","58730"
"In post","2021","Finance","G6/G7","Unknown","210","200","57310","55020"
"In post","2021","Finance","G6/G7","White","1550","1510","59300","58130"
"In post","2021","Finance","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS","White","230","230","91030","84000"
"In post","2021","Finance","SEO/HEO","Asian","380","370","37770","36960"
"In post","2021","Finance","SEO/HEO","Black","200","200","38510","37710"
"In post","2021","Finance","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Mixed","70","70","37800","37920"
"In post","2021","Finance","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SEO/HEO","Undeclared","170","160","38570","37510"
"In post","2021","Finance","SEO/HEO","Unknown","410","400","36620","36500"
"In post","2021","Finance","SEO/HEO","White","2530","2430","37860","37410"
"In post","2021","Finance","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","White","110","110","41850","39860"
"In post","2021","Human Resources","AA/AO","Asian","50","50","22520","21400"
"In post","2021","Human Resources","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Undeclared","40","40","[c]","[c]"
"In post","2021","Human Resources","AA/AO","Unknown","120","110","21360","20920"
"In post","2021","Human Resources","AA/AO","White","960","870","21590","21130"
"In post","2021","Human Resources","EO","Asian","80","80","27920","27670"
"In post","2021","Human Resources","EO","Black","70","70","28860","28830"
"In post","2021","Human Resources","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","EO","Undeclared","50","40","[c]","[c]"
"In post","2021","Human Resources","EO","Unknown","140","140","26900","27130"
"In post","2021","Human Resources","EO","White","990","930","26910","26670"
"In post","2021","Human Resources","G6/G7","Asian","60","60","59780","58950"
"In post","2021","Human Resources","G6/G7","Black","50","50","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Mixed","50","40","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Human Resources","G6/G7","Unknown","120","120","57820","55250"
"In post","2021","Human Resources","G6/G7","White","1340","1290","58350","57440"
"In post","2021","Human Resources","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SCS","White","170","160","90210","83660"
"In post","2021","Human Resources","SEO/HEO","Asian","200","200","36650","35580"
"In post","2021","Human Resources","SEO/HEO","Black","150","140","37610","36350"
"In post","2021","Human Resources","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Mixed","70","70","36980","36620"
"In post","2021","Human Resources","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Undeclared","100","90","36520","35070"
"In post","2021","Human Resources","SEO/HEO","Unknown","280","270","35920","35230"
"In post","2021","Human Resources","SEO/HEO","White","2550","2420","36930","36460"
"In post","2021","Human Resources","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
