"Status","Year","Sexual_orientation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Finance","North East (England)","280","270","38860","36960"
"In post","2021","Heterosexual / straight","Finance","North West (England)","490","470","39060","36630"
"In post","2021","Heterosexual / straight","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Scotland","420","350","28200","22570"
"In post","2021","Heterosexual / straight","Finance","South East (England)","700","660","37110","33300"
"In post","2021","Heterosexual / straight","Finance","South West (England)","1010","970","39470","35070"
"In post","2021","Heterosexual / straight","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Wales","550","510","38030","34490"
"In post","2021","Heterosexual / straight","Finance","West Midlands (England)","360","340","40400","37100"
"In post","2021","Heterosexual / straight","Finance","Yorkshire and The Humber","480","450","36380","31810"
"In post","2021","Heterosexual / straight","Human Resources","East Midlands (England)","270","260","39010","35000"
"In post","2021","Heterosexual / straight","Human Resources","East of England","150","140","35360","32050"
"In post","2021","Heterosexual / straight","Human Resources","London","1830","1760","47550","42470"
"In post","2021","Heterosexual / straight","Human Resources","North East (England)","100","90","36150","32460"
"In post","2021","Heterosexual / straight","Human Resources","North West (England)","780","730","34200","30820"
"In post","2021","Heterosexual / straight","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Scotland","570","540","29460","25870"
"In post","2021","Heterosexual / straight","Human Resources","South East (England)","400","380","36300","31580"
"In post","2021","Heterosexual / straight","Human Resources","South West (England)","680","620","36150","32990"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Wales","640","600","35060","31270"
"In post","2021","Heterosexual / straight","Human Resources","West Midlands (England)","250","240","39250","36720"
"In post","2021","Heterosexual / straight","Human Resources","Yorkshire and The Humber","310","300","39790","37130"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","East Midlands (England)","60","60","65280","64500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","East of England","80","80","65450","75500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","London","180","180","65320","64500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","North West (England)","90","90","65540","73000"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","South West (England)","60","60","66930","75500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Wales","60","50","74440","74730"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","West Midlands (England)","90","90","65700","64500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Yorkshire and The Humber","110","110","66330","70500"
"In post","2021","Heterosexual / straight","Intelligence Analysis","East Midlands (England)","90","90","29720","27380"
"In post","2021","Heterosexual / straight","Intelligence Analysis","East of England","310","310","32610","33300"
"In post","2021","Heterosexual / straight","Intelligence Analysis","London","970","930","39250","36140"
"In post","2021","Heterosexual / straight","Intelligence Analysis","North East (England)","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","North West (England)","280","260","28080","26160"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Overseas","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Scotland","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","South East (England)","310","290","28700","27370"
"In post","2021","Heterosexual / straight","Intelligence Analysis","South West (England)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Wales","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","West Midlands (England)","70","70","31110","27770"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Yorkshire and The Humber","210","200","32620","28520"
"In post","2021","Heterosexual / straight","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","London","160","150","53880","52250"
"In post","2021","Heterosexual / straight","Internal Audit","North East (England)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","North West (England)","60","50","43120","41350"
"In post","2021","Heterosexual / straight","Internal Audit","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","South East (England)","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","South West (England)","70","70","43870","42200"
"In post","2021","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Wales","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","London","590","580","48540","51710"
"In post","2021","Heterosexual / straight","International Trade","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Overseas","90","90","57150","55650"
"In post","2021","Heterosexual / straight","International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","South East (England)","60","50","43940","38540"
"In post","2021","Heterosexual / straight","International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","East Midlands (England)","50","50","35270","33350"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","East of England","110","110","36200","33300"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","London","470","450","42400","37840"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","North West (England)","90","90","33510","33000"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Scotland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","South East (England)","190","180","32270","30230"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","South West (England)","380","370","35670","33300"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Wales","110","110","34400","31650"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","West Midlands (England)","80","80","33350","28870"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Yorkshire and The Humber","80","70","35370","31460"
"In post","2021","Heterosexual / straight","Legal","East Midlands (England)","330","300","43860","46210"
"In post","2021","Heterosexual / straight","Legal","East of England","430","400","40040","36240"
"In post","2021","Heterosexual / straight","Legal","London","2910","2740","54730","52040"
"In post","2021","Heterosexual / straight","Legal","North East (England)","300","280","41700","40590"
"In post","2021","Heterosexual / straight","Legal","North West (England)","770","720","43530","43460"
"In post","2021","Heterosexual / straight","Legal","Northern Ireland","110","100","29200","27780"
"In post","2021","Heterosexual / straight","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Scotland","650","620","48910","52490"
"In post","2021","Heterosexual / straight","Legal","South East (England)","510","470","45600","46210"
"In post","2021","Heterosexual / straight","Legal","South West (England)","310","290","43310","43160"
"In post","2021","Heterosexual / straight","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Legal","Wales","460","430","46100","48080"
"In post","2021","Heterosexual / straight","Legal","West Midlands (England)","420","390","44610","46210"
"In post","2021","Heterosexual / straight","Legal","Yorkshire and The Humber","540","490","45480","48080"
"In post","2021","Heterosexual / straight","Medicine","East Midlands (England)","130","130","45200","37890"
"In post","2021","Heterosexual / straight","Medicine","East of England","130","110","55340","37890"
"In post","2021","Heterosexual / straight","Medicine","London","210","190","76860","77020"
"In post","2021","Heterosexual / straight","Medicine","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","North West (England)","50","40","72550","74070"
"In post","2021","Heterosexual / straight","Medicine","Northern Ireland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Scotland","70","60","45630","37890"
"In post","2021","Heterosexual / straight","Medicine","South East (England)","290","260","49550","38490"
"In post","2021","Heterosexual / straight","Medicine","South West (England)","280","240","47510","37890"
"In post","2021","Heterosexual / straight","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Medicine","Wales","210","190","49320","43760"
"In post","2021","Heterosexual / straight","Medicine","West Midlands (England)","120","110","57070","41720"
"In post","2021","Heterosexual / straight","Medicine","Yorkshire and The Humber","130","120","53740","37890"
"In post","2021","Heterosexual / straight","Operational Delivery","East Midlands (England)","6760","6270","27530","25560"
"In post","2021","Heterosexual / straight","Operational Delivery","East of England","7210","6690","28390","26780"
"In post","2021","Heterosexual / straight","Operational Delivery","London","17740","16780","34790","30780"
"In post","2021","Heterosexual / straight","Operational Delivery","North East (England)","8560","7590","26270","23970"
"In post","2021","Heterosexual / straight","Operational Delivery","North West (England)","17710","16340","27730","25100"
"In post","2021","Heterosexual / straight","Operational Delivery","Northern Ireland","1100","1010","27290","25560"
"In post","2021","Heterosexual / straight","Operational Delivery","Overseas","200","200","49850","54760"
"In post","2021","Heterosexual / straight","Operational Delivery","Scotland","6980","6410","28720","25560"
"In post","2021","Heterosexual / straight","Operational Delivery","South East (England)","12170","11110","28830","27150"
"In post","2021","Heterosexual / straight","Operational Delivery","South West (England)","7050","6530","29380","26780"
"In post","2021","Heterosexual / straight","Operational Delivery","Unknown","90","90","40490","43240"
"In post","2021","Heterosexual / straight","Operational Delivery","Wales","10650","9730","27440","23830"
"In post","2021","Heterosexual / straight","Operational Delivery","West Midlands (England)","9310","8710","28020","25360"
"In post","2021","Heterosexual / straight","Operational Delivery","Yorkshire and The Humber","10460","9610","28110","25560"
"In post","2021","Heterosexual / straight","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","London","260","250","49900","47880"
"In post","2021","Heterosexual / straight","Operational Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","North West (England)","70","60","42880","38630"
"In post","2021","Heterosexual / straight","Operational Research","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","South East (England)","360","340","42060","46080"
"In post","2021","Heterosexual / straight","Operational Research","South West (England)","80","80","42720","44430"
"In post","2021","Heterosexual / straight","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","East Midlands (England)","680","660","25080","21130"
"In post","2021","Heterosexual / straight","Other","East of England","900","850","24750","21130"
"In post","2021","Heterosexual / straight","Other","London","2700","2590","39760","32960"
"In post","2021","Heterosexual / straight","Other","North East (England)","170","160","27300","21580"
"In post","2021","Heterosexual / straight","Other","North West (England)","650","610","27600","22960"
"In post","2021","Heterosexual / straight","Other","Northern Ireland","280","270","23530","21830"
"In post","2021","Heterosexual / straight","Other","Overseas","130","130","54230","60720"
"In post","2021","Heterosexual / straight","Other","Scotland","1190","1140","28160","23450"
"In post","2021","Heterosexual / straight","Other","South East (England)","2190","2120","27620","22080"
"In post","2021","Heterosexual / straight","Other","South West (England)","3580","3420","30390","26670"
"In post","2021","Heterosexual / straight","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Wales","880","840","35990","34490"
"In post","2021","Heterosexual / straight","Other","West Midlands (England)","920","880","25960","22080"
"In post","2021","Heterosexual / straight","Other","Yorkshire and The Humber","960","920","25610","22080"
"In post","2021","Heterosexual / straight","Planning","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","London","80","80","47890","42980"
"In post","2021","Heterosexual / straight","Planning","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","South West (England)","250","220","57650","58810"
"In post","2021","Heterosexual / straight","Planning Inspectors","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","East Midlands (England)","200","180","41450","36960"
"In post","2021","Heterosexual / straight","Policy","East of England","130","130","43630","40580"
"In post","2021","Heterosexual / straight","Policy","London","13040","12700","49670","51730"
"In post","2021","Heterosexual / straight","Policy","North East (England)","270","260","39790","36960"
"In post","2021","Heterosexual / straight","Policy","North West (England)","710","680","41160","37240"
"In post","2021","Heterosexual / straight","Policy","Northern Ireland","50","50","41860","37910"
"In post","2021","Heterosexual / straight","Policy","Overseas","1220","1220","52720","53770"
"In post","2021","Heterosexual / straight","Policy","Scotland","290","270","43640","40000"
"In post","2021","Heterosexual / straight","Policy","South East (England)","330","320","39480","36030"
"In post","2021","Heterosexual / straight","Policy","South West (England)","530","500","40900","36740"
"In post","2021","Heterosexual / straight","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Wales","1540","1460","41600","37410"
"In post","2021","Heterosexual / straight","Policy","West Midlands (England)","420","400","41250","36710"
"In post","2021","Heterosexual / straight","Policy","Yorkshire and The Humber","970","930","42700","37350"
"In post","2021","Heterosexual / straight","Project Delivery","East Midlands (England)","270","260","39330","35290"
"In post","2021","Heterosexual / straight","Project Delivery","East of England","440","430","39440","37640"
"In post","2021","Heterosexual / straight","Project Delivery","London","2620","2560","50570","45070"
"In post","2021","Heterosexual / straight","Project Delivery","North East (England)","600","580","41070","38630"
"In post","2021","Heterosexual / straight","Project Delivery","North West (England)","1010","970","40480","38630"
"In post","2021","Heterosexual / straight","Project Delivery","Northern Ireland","60","60","37060","34050"
"In post","2021","Heterosexual / straight","Project Delivery","Overseas","120","120","45910","42210"
"In post","2021","Heterosexual / straight","Project Delivery","Scotland","500","480","39690","37810"
"In post","2021","Heterosexual / straight","Project Delivery","South East (England)","1330","1300","39100","36620"
"In post","2021","Heterosexual / straight","Project Delivery","South West (England)","3600","3490","40340","39590"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Project Delivery","Wales","380","360","41590","38640"
"In post","2021","Heterosexual / straight","Project Delivery","West Midlands (England)","550","530","39780","37470"
"In post","2021","Heterosexual / straight","Project Delivery","Yorkshire and The Humber","380","370","38550","36540"
"In post","2021","Heterosexual / straight","Property","East Midlands (England)","310","290","35280","33250"
"In post","2021","Heterosexual / straight","Property","East of England","370","350","33580","33300"
"In post","2021","Heterosexual / straight","Property","London","690","660","45690","40600"
"In post","2021","Heterosexual / straight","Property","North East (England)","200","190","35630","32110"
"In post","2021","Heterosexual / straight","Property","North West (England)","370","350","37070","32270"
"In post","2021","Heterosexual / straight","Property","Northern Ireland","90","90","28780","27680"
"In post","2021","Heterosexual / straight","Property","Overseas","140","140","38160","36100"
"In post","2021","Heterosexual / straight","Property","Scotland","240","230","31810","33300"
"In post","2021","Heterosexual / straight","Property","South East (England)","740","720","35330","33300"
"In post","2021","Heterosexual / straight","Property","South West (England)","630","610","35350","33300"
"In post","2021","Heterosexual / straight","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Property","Wales","300","280","35700","33250"
"In post","2021","Heterosexual / straight","Property","West Midlands (England)","370","350","35110","33000"
"In post","2021","Heterosexual / straight","Property","Yorkshire and The Humber","430","400","36990","33300"
"In post","2021","Heterosexual / straight","Psychology","East Midlands (England)","140","130","34500","30450"
"In post","2021","Heterosexual / straight","Psychology","East of England","140","130","35060","31180"
"In post","2021","Heterosexual / straight","Psychology","London","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","North East (England)","70","70","37380","38150"
"In post","2021","Heterosexual / straight","Psychology","North West (England)","120","110","35800","30450"
"In post","2021","Heterosexual / straight","Psychology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","South East (England)","170","160","36100","31180"
"In post","2021","Heterosexual / straight","Psychology","South West (England)","80","80","38010","31180"
"In post","2021","Heterosexual / straight","Psychology","Wales","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Psychology","West Midlands (England)","90","90","33460","29750"
"In post","2021","Heterosexual / straight","Psychology","Yorkshire and The Humber","140","140","34550","31180"
"In post","2021","Heterosexual / straight","Science and Engineering","East Midlands (England)","390","360","38620","37000"
"In post","2021","Heterosexual / straight","Science and Engineering","East of England","470","450","36630","32960"
"In post","2021","Heterosexual / straight","Science and Engineering","London","930","870","45340","40850"
"In post","2021","Heterosexual / straight","Science and Engineering","North East (England)","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","North West (England)","360","340","36040","33240"
"In post","2021","Heterosexual / straight","Science and Engineering","Northern Ireland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Science and Engineering","Overseas","80","80","44670","41940"
"In post","2021","Heterosexual / straight","Science and Engineering","Scotland","310","300","35770","33000"
"In post","2021","Heterosexual / straight","Science and Engineering","South East (England)","1310","1250","37310","35480"
"In post","2021","Heterosexual / straight","Science and Engineering","South West (England)","4010","3900","38070","37320"
"In post","2021","Heterosexual / straight","Science and Engineering","Unknown","60","60","27480","27370"
"In post","2021","Heterosexual / straight","Science and Engineering","Wales","350","340","42350","40720"
"In post","2021","Heterosexual / straight","Science and Engineering","West Midlands (England)","220","200","32690","29680"
"In post","2021","Heterosexual / straight","Science and Engineering","Yorkshire and The Humber","330","310","35440","31660"
"In post","2021","Heterosexual / straight","Security","East Midlands (England)","110","110","28220","24620"
"In post","2021","Heterosexual / straight","Security","East of England","400","390","33300","28890"
"In post","2021","Heterosexual / straight","Security","London","860","840","38110","35070"
"In post","2021","Heterosexual / straight","Security","North East (England)","60","60","32470","30080"
"In post","2021","Heterosexual / straight","Security","North West (England)","220","210","28700","25040"
"In post","2021","Heterosexual / straight","Security","Northern Ireland","320","310","21240","20310"
"In post","2021","Heterosexual / straight","Security","Overseas","60","60","37050","34260"
"In post","2021","Heterosexual / straight","Security","Scotland","1000","960","30170","26670"
"In post","2021","Heterosexual / straight","Security","South East (England)","1250","1230","31190","27680"
"In post","2021","Heterosexual / straight","Security","South West (England)","810","790","27340","20920"
"In post","2021","Heterosexual / straight","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Security","Wales","220","210","26690","25390"
"In post","2021","Heterosexual / straight","Security","West Midlands (England)","260","250","29620","25560"
"In post","2021","Heterosexual / straight","Security","Yorkshire and The Humber","320","310","31490","30140"
"In post","2021","Heterosexual / straight","Social Research","East Midlands (England)","[c]","[c]","[c]","[c]"
