"Status","Year","Profession_of_post","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","G6/G7","50","50","[c]","[c]"
"In post","2021","Corporate Finance","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","White","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","120","110","37600","38510"
"In post","2021","Counter Fraud","White","AA/AO","40","30","[c]","[c]"
"In post","2021","Counter Fraud","White","EO","130","120","26170","25580"
"In post","2021","Counter Fraud","White","G6/G7","80","80","61340","58940"
"In post","2021","Counter Fraud","White","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","White","SEO/HEO","340","320","37460","37910"
"In post","2021","Digital, Data and Technology","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","EO","150","150","27920","27130"
"In post","2021","Digital, Data and Technology","Asian","G6/G7","230","230","60460","59960"
"In post","2021","Digital, Data and Technology","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Asian","SEO/HEO","450","440","38340","38070"
"In post","2021","Digital, Data and Technology","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","EO","70","70","28380","28440"
"In post","2021","Digital, Data and Technology","Black","G6/G7","90","90","57670","57460"
"In post","2021","Digital, Data and Technology","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Black","SEO/HEO","230","230","38070","36970"
"In post","2021","Digital, Data and Technology","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","EO","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","G6/G7","60","60","57390","56690"
"In post","2021","Digital, Data and Technology","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Mixed","SEO/HEO","100","100","37960","37320"
"In post","2021","Digital, Data and Technology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","EO","100","90","28680","28130"
"In post","2021","Digital, Data and Technology","Undeclared","G6/G7","180","170","58870","57460"
"In post","2021","Digital, Data and Technology","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Undeclared","SEO/HEO","400","390","38540","38450"
"In post","2021","Digital, Data and Technology","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","AA/AO","80","80","21680","21590"
"In post","2021","Digital, Data and Technology","Unknown","EO","420","410","26970","26350"
"In post","2021","Digital, Data and Technology","Unknown","G6/G7","550","540","58400","57170"
"In post","2021","Digital, Data and Technology","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO/HEO","1130","1110","36970","36500"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","White","AA/AO","300","290","21890","21580"
"In post","2021","Digital, Data and Technology","White","EO","1430","1370","27470","26670"
"In post","2021","Digital, Data and Technology","White","G6/G7","2330","2290","58120","56610"
"In post","2021","Digital, Data and Technology","White","SCS","170","170","91800","85000"
"In post","2021","Digital, Data and Technology","White","SEO/HEO","4490","4350","37800","37500"
"In post","2021","Digital, Data and Technology","White","Unknown","40","40","[c]","[c]"
"In post","2021","Economics","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","G6/G7","80","80","59410","58850"
"In post","2021","Economics","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Asian","SEO/HEO","70","70","34300","33170"
"In post","2021","Economics","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Black","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Economics","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","G6/G7","40","40","[c]","[c]"
"In post","2021","Economics","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Mixed","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Economics","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","G6/G7","40","40","[c]","[c]"
"In post","2021","Economics","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","EO","30","30","[c]","[c]"
"In post","2021","Economics","Unknown","G6/G7","160","150","57720","55620"
"In post","2021","Economics","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","SEO/HEO","200","200","34540","33880"
"In post","2021","Economics","White","AA/AO","40","40","[c]","[c]"
"In post","2021","Economics","White","EO","60","60","27200","27680"
"In post","2021","Economics","White","G6/G7","600","580","60120","58960"
"In post","2021","Economics","White","SCS","80","80","88870","82270"
"In post","2021","Economics","White","SEO/HEO","520","510","35060","34000"
"In post","2021","Economics","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Asian","AA/AO","60","50","22250","21440"
"In post","2021","Finance","Asian","EO","140","130","27250","26670"
"In post","2021","Finance","Asian","G6/G7","150","150","59650","58920"
"In post","2021","Finance","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Asian","SEO/HEO","380","370","37770","36960"
"In post","2021","Finance","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","EO","70","60","28410","28830"
"In post","2021","Finance","Black","G6/G7","70","70","57950","57220"
"In post","2021","Finance","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","SEO/HEO","200","200","38510","37710"
"In post","2021","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","G6/G7","40","40","[c]","[c]"
"In post","2021","Finance","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","SEO/HEO","70","70","37800","37920"
"In post","2021","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","AA/AO","50","40","[c]","[c]"
"In post","2021","Finance","Undeclared","EO","70","60","27440","26930"
"In post","2021","Finance","Undeclared","G6/G7","100","100","59920","58730"
"In post","2021","Finance","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","SEO/HEO","170","160","38570","37510"
"In post","2021","Finance","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","AA/AO","180","150","20890","20140"
"In post","2021","Finance","Unknown","EO","140","140","25990","25960"
"In post","2021","Finance","Unknown","G6/G7","210","200","57310","55020"
"In post","2021","Finance","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","SEO/HEO","410","400","36620","36500"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","White","AA/AO","830","700","21360","21440"
"In post","2021","Finance","White","EO","1170","1100","26400","26670"
"In post","2021","Finance","White","G6/G7","1550","1510","59300","58130"
"In post","2021","Finance","White","SCS","230","230","91030","84000"
"In post","2021","Finance","White","SEO/HEO","2530","2430","37860","37410"
"In post","2021","Finance","White","Unknown","110","110","41850","39860"
"In post","2021","Human Resources","Asian","AA/AO","50","50","22520","21400"
"In post","2021","Human Resources","Asian","EO","80","80","27920","27670"
"In post","2021","Human Resources","Asian","G6/G7","60","60","59780","58950"
"In post","2021","Human Resources","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Asian","SEO/HEO","200","200","36650","35580"
"In post","2021","Human Resources","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","EO","70","70","28860","28830"
"In post","2021","Human Resources","Black","G6/G7","50","50","[c]","[c]"
"In post","2021","Human Resources","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","SEO/HEO","150","140","37610","36350"
"In post","2021","Human Resources","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","G6/G7","50","40","[c]","[c]"
"In post","2021","Human Resources","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","SEO/HEO","70","70","36980","36620"
"In post","2021","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","AA/AO","40","40","[c]","[c]"
"In post","2021","Human Resources","Undeclared","EO","50","40","[c]","[c]"
"In post","2021","Human Resources","Undeclared","G6/G7","40","40","[c]","[c]"
"In post","2021","Human Resources","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","SEO/HEO","100","90","36520","35070"
"In post","2021","Human Resources","Unknown","AA/AO","120","110","21360","20920"
"In post","2021","Human Resources","Unknown","EO","140","140","26900","27130"
"In post","2021","Human Resources","Unknown","G6/G7","120","120","57820","55250"
"In post","2021","Human Resources","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO/HEO","280","270","35920","35230"
"In post","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","White","AA/AO","960","870","21590","21130"
"In post","2021","Human Resources","White","EO","990","930","26910","26670"
"In post","2021","Human Resources","White","G6/G7","1340","1290","58350","57440"
"In post","2021","Human Resources","White","SCS","170","160","90210","83660"
"In post","2021","Human Resources","White","SEO/HEO","2550","2420","36930","36460"
