"Status","Year","Profession_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Male","90","80","51060","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Female","80","70","31320","31040"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","Male","80","70","34290","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Education and Skills Funding Agency","Female","90","90","39300","36780"
"In post","2021","Commercial","Education and Skills Funding Agency","Male","100","90","43150","38710"
"In post","2021","Commercial","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Female","40","40","[c]","[c]"
"In post","2021","Commercial","FCDO Services","Male","40","40","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Female","50","50","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Prison and Probation Service","Female","380","360","45420","42630"
"In post","2021","Commercial","HM Prison and Probation Service","Male","310","300","53970","52370"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Female","40","40","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","Male","30","30","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Home Office (incl. agencies)","Male","50","50","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Legal Aid Agency","Female","60","60","40690","40080"
"In post","2021","Commercial","Legal Aid Agency","Male","40","40","[c]","[c]"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Met Office","Female","100","90","41620","39560"
"In post","2021","Commercial","Met Office","Male","90","90","44490","46100"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Female","480","450","35460","34800"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","Male","380","370","37350","35000"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Female","60","60","34100","34090"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","Male","50","50","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Public Health England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Female","40","30","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Male","50","50","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Female","70","70","37150","33680"
"In post","2021","Commercial","Submarine Delivery Agency","Male","80","80","42590","40290"
"In post","2021","Commercial","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Female","30","30","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","70","70","49280","46680"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","60","60","46510","45070"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","Female","160","150","37610","33510"
"In post","2021","Communications","Department for Education (excl. agencies)","Male","80","80","38170","33500"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","170","160","41020","37360"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","90","90","42650","39090"
"In post","2021","Communications","Department for International Trade","Female","80","80","42390","38540"
"In post","2021","Communications","Department for International Trade","Male","60","60","43980","38540"
"In post","2021","Communications","Department for Transport (excl. agencies)","Female","60","60","47470","43360"
"In post","2021","Communications","Department for Transport (excl. agencies)","Male","50","50","47600","43360"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Female","110","110","43120","36070"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Male","80","80","44020","40650"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Female","40","40","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Female","50","50","30590","26780"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Male","40","30","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","Female","60","50","41660","39840"
"In post","2021","Communications","Education and Skills Funding Agency","Male","30","30","[c]","[c]"
"In post","2021","Communications","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Female","80","80","48480","44880"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Male","60","60","49430","46880"
"In post","2021","Communications","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Prison and Probation Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","Female","140","140","44240","38980"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","Male","90","80","44720","39250"
"In post","2021","Communications","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Home Office (incl. agencies)","Female","110","100","48340","44200"
"In post","2021","Communications","Home Office (incl. agencies)","Male","70","70","49080","42710"
"In post","2021","Communications","Insolvency Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Female","40","40","[c]","[c]"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Female","260","250","35440","33300"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","Male","270","270","33790","29200"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","50","50","40680","34200"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","50","50","41910","37250"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Female","60","60","46080","45880"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","Male","40","40","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of the Public Guardian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Office of the Public Guardian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Public Health England","Female","40","40","[c]","[c]"
"In post","2021","Communications","Public Health England","Male","30","30","[c]","[c]"
"In post","2021","Communications","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Submarine Delivery Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","Female","50","50","36130","30500"
"In post","2021","Communications","United Kingdom Statistics Authority","Male","30","30","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Valuation Office Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government (excl. agencies)","Female","90","80","39270","37410"
"In post","2021","Communications","Welsh Government (excl. agencies)","Male","70","70","38950","37410"
"In post","2021","Communications","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Defence Science and Technology Laboratory","Female","40","30","[c]","[c]"
"In post","2021","Corporate Finance","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Public Health England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Public Health England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
