"Status","Year","Profession_of_post","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Department for Education","190","190","41820","38000"
"In post","2021","Commercial","Male","Department for Environment, Food and Rural Affairs","60","60","42150","38600"
"In post","2021","Commercial","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Department for Transport","140","140","40960","35430"
"In post","2021","Commercial","Male","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Department of Health and Social Care","110","100","50240","40650"
"In post","2021","Commercial","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Foreign, Commonwealth and Development Office","70","70","46250","43320"
"In post","2021","Commercial","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","Commercial","Male","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Home Office","50","50","[c]","[c]"
"In post","2021","Commercial","Male","Ministry of Defence","960","950","39610","37320"
"In post","2021","Commercial","Male","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Ministry of Justice","400","390","50530","49870"
"In post","2021","Commercial","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Other Cabinet Office Agencies","180","180","34630","34800"
"In post","2021","Commercial","Male","Scottish Government","60","60","33850","28410"
"In post","2021","Commercial","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Attorney General's Departments","60","50","43930","39750"
"In post","2021","Communications","Female","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Department for Business, Energy and Industrial Strategy","150","140","43890","40050"
"In post","2021","Communications","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Department for Education","210","200","38680","36780"
"In post","2021","Communications","Female","Department for Environment, Food and Rural Affairs","180","170","40850","37300"
"In post","2021","Communications","Female","Department for International Trade","80","80","42390","38540"
"In post","2021","Communications","Female","Department for Transport","170","160","36680","33350"
"In post","2021","Communications","Female","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Department of Health and Social Care","190","180","43530","37830"
"In post","2021","Communications","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Foreign, Commonwealth and Development Office","90","80","46990","42200"
"In post","2021","Communications","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","HM Revenue and Customs","150","150","44410","39510"
"In post","2021","Communications","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Home Office","110","100","48340","44200"
"In post","2021","Communications","Female","Ministry of Defence","310","290","35640","33300"
"In post","2021","Communications","Female","Ministry of Housing, Communities and Local Government","60","50","41040","34200"
"In post","2021","Communications","Female","Ministry of Justice","100","90","43610","38960"
"In post","2021","Communications","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","United Kingdom Statistics Authority","50","50","36130","30500"
"In post","2021","Communications","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Welsh Government","90","80","39550","37410"
"In post","2021","Communications","Male","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Department for Business, Energy and Industrial Strategy","110","100","43410","39650"
"In post","2021","Communications","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Department for Education","120","120","40530","36780"
"In post","2021","Communications","Male","Department for Environment, Food and Rural Affairs","90","90","42310","38750"
"In post","2021","Communications","Male","Department for International Trade","60","60","43980","38540"
"In post","2021","Communications","Male","Department for Transport","120","120","39500","36410"
"In post","2021","Communications","Male","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Department of Health and Social Care","130","130","45020","40930"
"In post","2021","Communications","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Foreign, Commonwealth and Development Office","60","60","49170","46460"
"In post","2021","Communications","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","HM Revenue and Customs","100","90","44260","38980"
"In post","2021","Communications","Male","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Home Office","70","70","49080","42710"
"In post","2021","Communications","Male","Ministry of Defence","320","310","34770","33300"
"In post","2021","Communications","Male","Ministry of Housing, Communities and Local Government","60","60","41510","37250"
"In post","2021","Communications","Male","Ministry of Justice","70","70","42100","37390"
"In post","2021","Communications","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","United Kingdom Statistics Authority","30","30","[c]","[c]"
"In post","2021","Communications","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Welsh Government","70","70","39060","37410"
"In post","2021","Corporate Finance","Female","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Ministry of Defence","40","30","[c]","[c]"
"In post","2021","Corporate Finance","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Attorney General's Departments","110","110","42550","35480"
"In post","2021","Counter Fraud","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Department for Business, Energy and Industrial Strategy","110","100","38790","39170"
"In post","2021","Counter Fraud","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Home Office","110","100","25620","25310"
"In post","2021","Counter Fraud","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Attorney General's Departments","170","170","47030","41140"
"In post","2021","Counter Fraud","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Department for Business, Energy and Industrial Strategy","160","150","39700","38510"
"In post","2021","Counter Fraud","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Department for Transport","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Male","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Male","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","Home Office","70","60","29190","25580"
"In post","2021","Counter Fraud","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Attorney General's Departments","80","70","38360","35290"
"In post","2021","Digital, Data and Technology","Female","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Department for Business, Energy and Industrial Strategy","310","290","39670","37240"
"In post","2021","Digital, Data and Technology","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Department for Education","410","380","40530","37100"
"In post","2021","Digital, Data and Technology","Female","Department for Environment, Food and Rural Affairs","290","270","42020","39050"
"In post","2021","Digital, Data and Technology","Female","Department for International Trade","60","60","44730","43000"
"In post","2021","Digital, Data and Technology","Female","Department for Transport","330","320","35620","32180"
"In post","2021","Digital, Data and Technology","Female","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Department of Health and Social Care","150","150","43420","39110"
"In post","2021","Digital, Data and Technology","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Foreign, Commonwealth and Development Office","90","90","41290","39630"
"In post","2021","Digital, Data and Technology","Female","HM Land Registry","240","210","37460","38450"
"In post","2021","Digital, Data and Technology","Female","HM Revenue and Customs","700","660","40000","38630"
"In post","2021","Digital, Data and Technology","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Home Office","380","370","48730","44970"
"In post","2021","Digital, Data and Technology","Female","Ministry of Defence","440","420","33000","32660"
"In post","2021","Digital, Data and Technology","Female","Ministry of Housing, Communities and Local Government","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Ministry of Justice","390","380","44870","42320"
"In post","2021","Digital, Data and Technology","Female","National Crime Agency","110","100","38090","36740"
"In post","2021","Digital, Data and Technology","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Office for Standards in Education","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Scottish Government","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","The National Archives","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","United Kingdom Statistics Authority","200","200","40370","36310"
"In post","2021","Digital, Data and Technology","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Female","Welsh Government","70","60","39730","37410"
"In post","2021","Digital, Data and Technology","Male","Attorney General's Departments","100","100","41400","38540"
"In post","2021","Digital, Data and Technology","Male","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Department for Business, Energy and Industrial Strategy","720","720","41230","39040"
"In post","2021","Digital, Data and Technology","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Department for Education","490","490","39530","36780"
"In post","2021","Digital, Data and Technology","Male","Department for Environment, Food and Rural Affairs","420","420","43960","44760"
"In post","2021","Digital, Data and Technology","Male","Department for International Trade","60","60","49660","44980"
"In post","2021","Digital, Data and Technology","Male","Department for Transport","830","820","40870","39040"
"In post","2021","Digital, Data and Technology","Male","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Department of Health and Social Care","230","230","45220","41020"
"In post","2021","Digital, Data and Technology","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Food Standards Agency","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Foreign, Commonwealth and Development Office","230","230","42490","39630"
"In post","2021","Digital, Data and Technology","Male","HM Land Registry","440","420","38350","38450"
"In post","2021","Digital, Data and Technology","Male","HM Revenue and Customs","1230","1190","39490","38630"
"In post","2021","Digital, Data and Technology","Male","HM Treasury","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Home Office","840","840","50670","46070"
"In post","2021","Digital, Data and Technology","Male","Ministry of Defence","960","950","38450","35340"
"In post","2021","Digital, Data and Technology","Male","Ministry of Housing, Communities and Local Government","70","70","45450","41360"
"In post","2021","Digital, Data and Technology","Male","Ministry of Justice","630","630","47100","45190"
"In post","2021","Digital, Data and Technology","Male","National Crime Agency","150","150","43230","40810"
"In post","2021","Digital, Data and Technology","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Office for Standards in Education","50","50","45020","39850"
"In post","2021","Digital, Data and Technology","Male","Office of Gas and Electricity Markets","70","70","51730","49530"
"In post","2021","Digital, Data and Technology","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Other Cabinet Office Agencies","80","80","41320","35540"
"In post","2021","Digital, Data and Technology","Male","Scottish Government","160","160","39160","35720"
"In post","2021","Digital, Data and Technology","Male","The National Archives","60","60","40710","40000"
"In post","2021","Digital, Data and Technology","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","United Kingdom Statistics Authority","390","390","41230","36840"
"In post","2021","Digital, Data and Technology","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Male","Welsh Government","160","160","37550","37410"
"In post","2021","Digital, Data and Technology","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Economics","Female","Department for Business, Energy and Industrial Strategy","120","110","46770","39570"
"In post","2021","Economics","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Department for Environment, Food and Rural Affairs","60","60","44940","48990"
"In post","2021","Economics","Female","Department for International Trade","50","50","42710","34110"
"In post","2021","Economics","Female","Department for Transport","60","60","48160","54110"
"In post","2021","Economics","Female","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Department of Health and Social Care","50","40","[c]","[c]"
"In post","2021","Economics","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Foreign, Commonwealth and Development Office","80","70","48460","52840"
"In post","2021","Economics","Female","HM Revenue and Customs","40","30","[c]","[c]"
"In post","2021","Economics","Female","HM Treasury","80","80","44710","39940"
"In post","2021","Economics","Female","Home Office","40","40","[c]","[c]"
"In post","2021","Economics","Female","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","United Kingdom Statistics Authority","60","50","34210","32290"
"In post","2021","Economics","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Competition and Markets Authority","50","50","64140","61650"
"In post","2021","Economics","Male","Department for Business, Energy and Industrial Strategy","200","200","46790","39640"
"In post","2021","Economics","Male","Department for Digital, Culture, Media and Sport","60","60","52650","47630"
"In post","2021","Economics","Male","Department for Environment, Food and Rural Affairs","100","100","44580","47550"
"In post","2021","Economics","Male","Department for International Trade","100","100","43910","32330"
"In post","2021","Economics","Male","Department for Transport","110","110","47520","54110"
"In post","2021","Economics","Male","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Economics","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Foreign, Commonwealth and Development Office","100","100","52810","55230"
"In post","2021","Economics","Male","HM Revenue and Customs","80","80","46780","36160"
"In post","2021","Economics","Male","HM Treasury","130","120","44050","35540"
"In post","2021","Economics","Male","Home Office","70","70","45690","35070"
"In post","2021","Economics","Male","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Ministry of Housing, Communities and Local Government","50","50","45100","35060"
"In post","2021","Economics","Male","Ministry of Justice","30","30","[c]","[c]"
"In post","2021","Economics","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Economics","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","United Kingdom Statistics Authority","90","90","38780","32540"
"In post","2021","Economics","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Male","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Attorney General's Departments","80","70","33290","30610"
"In post","2021","Finance","Female","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Department for Business, Energy and Industrial Strategy","190","180","43100","40050"
"In post","2021","Finance","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Department for Education","410","390","41770","37760"
"In post","2021","Finance","Female","Department for Environment, Food and Rural Affairs","210","200","40040","36970"
"In post","2021","Finance","Female","Department for International Trade","40","40","[c]","[c]"
"In post","2021","Finance","Female","Department for Transport","230","220","37900","33350"
"In post","2021","Finance","Female","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Department of Health and Social Care","290","280","38610","33970"
"In post","2021","Finance","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","Foreign, Commonwealth and Development Office","140","130","41180","36520"
"In post","2021","Finance","Female","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Finance","Female","HM Revenue and Customs","950","800","31450","25560"
