"Status","Year","Age","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Unknown","Project Delivery","60","60","17450","16780"
"In post","2021","16-19","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","130","120","20900","21150"
"In post","2021","20-29","Declared disabled","Analysis","160","150","34040","32540"
"In post","2021","20-29","Declared disabled","Commercial","50","50","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","80","80","30310","27190"
"In post","2021","20-29","Declared disabled","Counter Fraud","40","40","[c]","[c]"
"In post","2021","20-29","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","120","120","31820","29320"
"In post","2021","20-29","Declared disabled","Finance","70","70","32060","30200"
"In post","2021","20-29","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","140","130","31430","28520"
"In post","2021","20-29","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","80","80","31120","29280"
"In post","2021","20-29","Declared disabled","No function","2090","2050","28970","27500"
"In post","2021","20-29","Declared disabled","Project Delivery","300","300","31100","28950"
"In post","2021","20-29","Declared disabled","Property","50","40","[c]","[c]"
"In post","2021","20-29","Declared disabled","Security","50","50","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","1690","1650","27410","27570"
"In post","2021","20-29","Declared non-disabled","Analysis","1410","1410","36860","34570"
"In post","2021","20-29","Declared non-disabled","Commercial","550","550","31510","30680"
"In post","2021","20-29","Declared non-disabled","Communications","1030","1020","30400","26950"
"In post","2021","20-29","Declared non-disabled","Counter Fraud","610","600","30220","26980"
"In post","2021","20-29","Declared non-disabled","Debt","390","380","21630","20140"
"In post","2021","20-29","Declared non-disabled","Digital, Data & Technology","1060","1050","34180","31810"
"In post","2021","20-29","Declared non-disabled","Finance","770","760","32670","30360"
"In post","2021","20-29","Declared non-disabled","Grants Management","230","230","22390","21050"
"In post","2021","20-29","Declared non-disabled","Human Resources","900","880","30820","28480"
"In post","2021","20-29","Declared non-disabled","Internal Audit","30","30","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Legal","940","930","33120","29350"
"In post","2021","20-29","Declared non-disabled","No function","20020","19720","29230","26810"
"In post","2021","20-29","Declared non-disabled","Project Delivery","2910","2890","30610","29540"
"In post","2021","20-29","Declared non-disabled","Property","530","530","27850","26350"
"In post","2021","20-29","Declared non-disabled","Security","710","710","27410","26190"
"In post","2021","20-29","Declared non-disabled","Unknown","14410","14120","27490","27570"
"In post","2021","20-29","Undeclared","Analysis","130","120","37000","33930"
"In post","2021","20-29","Undeclared","Commercial","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","Communications","70","70","33250","31810"
"In post","2021","20-29","Undeclared","Counter Fraud","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Digital, Data & Technology","70","70","33610","31890"
"In post","2021","20-29","Undeclared","Finance","50","50","[c]","[c]"
"In post","2021","20-29","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Human Resources","40","40","[c]","[c]"
"In post","2021","20-29","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","No function","1400","1380","31020","29970"
"In post","2021","20-29","Undeclared","Project Delivery","170","170","31100","30270"
"In post","2021","20-29","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","680","670","27270","27570"
"In post","2021","20-29","Unknown","Analysis","790","780","34660","32540"
"In post","2021","20-29","Unknown","Commercial","290","290","36370","31980"
"In post","2021","20-29","Unknown","Communications","900","890","29460","25560"
"In post","2021","20-29","Unknown","Counter Fraud","420","420","28430","25560"
"In post","2021","20-29","Unknown","Debt","630","610","20990","20140"
"In post","2021","20-29","Unknown","Digital, Data & Technology","810","810","32620","31800"
"In post","2021","20-29","Unknown","Finance","430","420","30760","29070"
"In post","2021","20-29","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Human Resources","350","350","29380","27500"
"In post","2021","20-29","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Legal","820","810","26980","24590"
"In post","2021","20-29","Unknown","No function","12510","12320","27880","26410"
"In post","2021","20-29","Unknown","Project Delivery","820","820","32300","31440"
"In post","2021","20-29","Unknown","Property","340","330","26140","24560"
"In post","2021","20-29","Unknown","Security","450","450","26490","25680"
"In post","2021","20-29","Unknown","Unknown","3650","3600","28930","27570"
"In post","2021","30-39","Declared disabled","Analysis","160","150","42320","37970"
"In post","2021","30-39","Declared disabled","Commercial","120","110","37470","35530"
"In post","2021","30-39","Declared disabled","Communications","110","110","32630","31810"
"In post","2021","30-39","Declared disabled","Counter Fraud","120","120","32190","31810"
"In post","2021","30-39","Declared disabled","Debt","50","40","[c]","[c]"
"In post","2021","30-39","Declared disabled","Digital, Data & Technology","230","230","38750","35430"
"In post","2021","30-39","Declared disabled","Finance","120","120","38440","34320"
"In post","2021","30-39","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Human Resources","210","200","37010","31990"
"In post","2021","30-39","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Legal","190","180","43390","43380"
"In post","2021","30-39","Declared disabled","No function","3160","3000","32370","29750"
"In post","2021","30-39","Declared disabled","Project Delivery","500","490","38810","36890"
"In post","2021","30-39","Declared disabled","Property","110","100","33090","30040"
"In post","2021","30-39","Declared disabled","Security","110","100","33850","33300"
"In post","2021","30-39","Declared disabled","Unknown","2940","2730","29530","27570"
"In post","2021","30-39","Declared non-disabled","Analysis","1320","1270","46600","45200"
"In post","2021","30-39","Declared non-disabled","Commercial","870","840","39790","37420"
"In post","2021","30-39","Declared non-disabled","Communications","1440","1390","36370","31810"
"In post","2021","30-39","Declared non-disabled","Counter Fraud","1320","1280","33380","31810"
"In post","2021","30-39","Declared non-disabled","Debt","410","370","22730","20140"
"In post","2021","30-39","Declared non-disabled","Digital, Data & Technology","2150","2110","41550","38630"
"In post","2021","30-39","Declared non-disabled","Finance","1290","1230","41140","38020"
"In post","2021","30-39","Declared non-disabled","Grants Management","350","310","24120","21050"
"In post","2021","30-39","Declared non-disabled","Human Resources","1500","1420","36620","32960"
"In post","2021","30-39","Declared non-disabled","Internal Audit","100","100","42310","40040"
"In post","2021","30-39","Declared non-disabled","Legal","2090","1970","46940","50520"
"In post","2021","30-39","Declared non-disabled","No function","26830","25360","33930","30880"
"In post","2021","30-39","Declared non-disabled","Project Delivery","4380","4250","40640","38630"
"In post","2021","30-39","Declared non-disabled","Property","1040","990","34490","32320"
"In post","2021","30-39","Declared non-disabled","Security","960","950","32680","31150"
"In post","2021","30-39","Declared non-disabled","Unknown","23200","21590","30870","27570"
"In post","2021","30-39","Undeclared","Analysis","100","100","46170","45540"
"In post","2021","30-39","Undeclared","Commercial","80","70","38190","37530"
"In post","2021","30-39","Undeclared","Communications","100","100","36840","33590"
"In post","2021","30-39","Undeclared","Counter Fraud","100","100","34720","31810"
"In post","2021","30-39","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Digital, Data & Technology","160","150","43510","40120"
"In post","2021","30-39","Undeclared","Finance","100","90","43440","40730"
"In post","2021","30-39","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Human Resources","100","90","36520","31810"
"In post","2021","30-39","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Legal","80","80","46980","50500"
"In post","2021","30-39","Undeclared","No function","2580","2460","33960","31650"
"In post","2021","30-39","Undeclared","Project Delivery","310","300","41640","39980"
"In post","2021","30-39","Undeclared","Property","70","60","33940","32550"
"In post","2021","30-39","Undeclared","Security","100","90","36090","34770"
"In post","2021","30-39","Undeclared","Unknown","1550","1450","30220","27570"
"In post","2021","30-39","Unknown","Analysis","480","460","43010","38630"
"In post","2021","30-39","Unknown","Commercial","460","450","51510","49700"
"In post","2021","30-39","Unknown","Communications","800","780","34240","31810"
"In post","2021","30-39","Unknown","Counter Fraud","530","510","30860","29570"
"In post","2021","30-39","Unknown","Debt","370","350","21300","20140"
"In post","2021","30-39","Unknown","Digital, Data & Technology","920","900","41100","38500"
"In post","2021","30-39","Unknown","Finance","400","390","39250","36250"
"In post","2021","30-39","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Human Resources","410","390","34830","31560"
"In post","2021","30-39","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Legal","1020","970","38490","33840"
"In post","2021","30-39","Unknown","No function","9460","9030","32160","28840"
"In post","2021","30-39","Unknown","Project Delivery","1120","1080","42720","40000"
"In post","2021","30-39","Unknown","Property","320","310","31140","28870"
"In post","2021","30-39","Unknown","Security","440","430","31880","30890"
"In post","2021","30-39","Unknown","Unknown","3830","3680","35670","31060"
"In post","2021","40-49","Declared disabled","Analysis","130","120","45970","40800"
"In post","2021","40-49","Declared disabled","Commercial","160","150","40060","38210"
"In post","2021","40-49","Declared disabled","Communications","150","140","33580","30730"
"In post","2021","40-49","Declared disabled","Counter Fraud","210","190","31890","31810"
"In post","2021","40-49","Declared disabled","Debt","80","70","22800","21440"
"In post","2021","40-49","Declared disabled","Digital, Data & Technology","280","270","41220","37040"
"In post","2021","40-49","Declared disabled","Finance","220","210","39320","34370"
"In post","2021","40-49","Declared disabled","Grants Management","50","50","24830","21050"
"In post","2021","40-49","Declared disabled","Human Resources","320","300","42050","37640"
"In post","2021","40-49","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Legal","350","320","44520","41760"
"In post","2021","40-49","Declared disabled","No function","3880","3630","32410","29300"
"In post","2021","40-49","Declared disabled","Project Delivery","580","560","41940","38630"
"In post","2021","40-49","Declared disabled","Property","180","170","33900","33000"
"In post","2021","40-49","Declared disabled","Security","130","130","35920","35970"
"In post","2021","40-49","Declared disabled","Unknown","5080","4590","29480","27570"
"In post","2021","40-49","Declared non-disabled","Analysis","960","900","50500","49100"
"In post","2021","40-49","Declared non-disabled","Commercial","1010","980","46840","40580"
"In post","2021","40-49","Declared non-disabled","Communications","1110","1050","39380","34900"
"In post","2021","40-49","Declared non-disabled","Counter Fraud","1420","1360","34860","31810"
"In post","2021","40-49","Declared non-disabled","Debt","450","400","24730","21440"
"In post","2021","40-49","Declared non-disabled","Digital, Data & Technology","2520","2450","45500","41630"
"In post","2021","40-49","Declared non-disabled","Finance","1720","1650","43480","38650"
"In post","2021","40-49","Declared non-disabled","Grants Management","520","460","26010","24920"
"In post","2021","40-49","Declared non-disabled","Human Resources","1630","1550","41590","37850"
"In post","2021","40-49","Declared non-disabled","Internal Audit","130","130","47860","44570"
"In post","2021","40-49","Declared non-disabled","Legal","2640","2390","49870","51470"
"In post","2021","40-49","Declared non-disabled","No function","25550","23900","36430","31810"
"In post","2021","40-49","Declared non-disabled","Project Delivery","4770","4610","45130","40900"
"In post","2021","40-49","Declared non-disabled","Property","1440","1370","36340","33300"
"In post","2021","40-49","Declared non-disabled","Security","1050","1040","33560","32380"
"In post","2021","40-49","Declared non-disabled","Unknown","29930","27520","32170","27570"
"In post","2021","40-49","Undeclared","Analysis","70","70","49070","46080"
"In post","2021","40-49","Undeclared","Commercial","90","90","44760","40950"
"In post","2021","40-49","Undeclared","Communications","80","70","39770","31810"
"In post","2021","40-49","Undeclared","Counter Fraud","170","160","36260","31810"
"In post","2021","40-49","Undeclared","Debt","50","50","24300","24120"
"In post","2021","40-49","Undeclared","Digital, Data & Technology","200","190","42470","38760"
"In post","2021","40-49","Undeclared","Finance","130","130","42090","36780"
"In post","2021","40-49","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Human Resources","130","130","37840","35790"
"In post","2021","40-49","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Legal","110","100","53980","53440"
"In post","2021","40-49","Undeclared","No function","3160","2980","33770","31650"
"In post","2021","40-49","Undeclared","Project Delivery","390","380","43210","40580"
"In post","2021","40-49","Undeclared","Property","130","120","35570","33300"
"In post","2021","40-49","Undeclared","Security","160","160","36140","37460"
"In post","2021","40-49","Undeclared","Unknown","1930","1810","31260","27570"
"In post","2021","40-49","Unknown","Analysis","260","250","47210","46070"
"In post","2021","40-49","Unknown","Commercial","620","610","60190","55460"
"In post","2021","40-49","Unknown","Communications","500","480","38630","31810"
"In post","2021","40-49","Unknown","Counter Fraud","480","450","31910","31810"
"In post","2021","40-49","Unknown","Debt","270","250","22750","20140"
"In post","2021","40-49","Unknown","Digital, Data & Technology","840","830","44100","40210"
"In post","2021","40-49","Unknown","Finance","390","370","39720","36400"
"In post","2021","40-49","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Human Resources","360","340","36730","32990"
"In post","2021","40-49","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Legal","920","840","42290","38290"
"In post","2021","40-49","Unknown","No function","7050","6620","34330","29460"
"In post","2021","40-49","Unknown","Project Delivery","1000","960","47130","43700"
"In post","2021","40-49","Unknown","Property","300","290","32180","28130"
"In post","2021","40-49","Unknown","Security","420","410","33420","36780"
"In post","2021","40-49","Unknown","Unknown","3400","3240","39430","33620"
"In post","2021","50-59","Declared disabled","Analysis","100","100","44810","41990"
"In post","2021","50-59","Declared disabled","Commercial","190","180","41240","38680"
"In post","2021","50-59","Declared disabled","Communications","160","150","32930","28460"
"In post","2021","50-59","Declared disabled","Counter Fraud","340","320","34530","31810"
"In post","2021","50-59","Declared disabled","Debt","130","110","23430","21440"
"In post","2021","50-59","Declared disabled","Digital, Data & Technology","380","360","40290","36980"
"In post","2021","50-59","Declared disabled","Finance","290","270","38290","33700"
"In post","2021","50-59","Declared disabled","Grants Management","60","60","27700","25560"
"In post","2021","50-59","Declared disabled","Human Resources","440","420","40360","36460"
"In post","2021","50-59","Declared disabled","Internal Audit","40","40","[c]","[c]"
"In post","2021","50-59","Declared disabled","Legal","490","460","44720","43160"
"In post","2021","50-59","Declared disabled","No function","5910","5480","31530","28130"
"In post","2021","50-59","Declared disabled","Project Delivery","950","920","40730","38630"
"In post","2021","50-59","Declared disabled","Property","280","270","38100","33300"
"In post","2021","50-59","Declared disabled","Security","260","260","31920","29010"
"In post","2021","50-59","Declared disabled","Unknown","8420","7630","28760","27570"
"In post","2021","50-59","Declared non-disabled","Analysis","670","640","48370","44950"
"In post","2021","50-59","Declared non-disabled","Commercial","1250","1230","48140","41170"
"In post","2021","50-59","Declared non-disabled","Communications","880","850","37090","31810"
"In post","2021","50-59","Declared non-disabled","Counter Fraud","2020","1930","36180","32100"
"In post","2021","50-59","Declared non-disabled","Debt","720","640","25530","24630"
"In post","2021","50-59","Declared non-disabled","Digital, Data & Technology","2190","2130","43730","40150"
"In post","2021","50-59","Declared non-disabled","Finance","1970","1870","40680","36190"
"In post","2021","50-59","Declared non-disabled","Grants Management","420","390","27670","25190"
"In post","2021","50-59","Declared non-disabled","Human Resources","1840","1770","40540","36030"
"In post","2021","50-59","Declared non-disabled","Internal Audit","250","240","49140","45960"
"In post","2021","50-59","Declared non-disabled","Legal","2780","2590","49200","50520"
"In post","2021","50-59","Declared non-disabled","No function","29830","27910","34850","31180"
"In post","2021","50-59","Declared non-disabled","Project Delivery","5880","5740","44750","40580"
"In post","2021","50-59","Declared non-disabled","Property","2330","2250","37330","33300"
"In post","2021","50-59","Declared non-disabled","Security","1970","1940","32680","29560"
"In post","2021","50-59","Declared non-disabled","Unknown","39790","36690","30970","27570"
"In post","2021","50-59","Undeclared","Analysis","60","50","45490","41760"
"In post","2021","50-59","Undeclared","Commercial","150","150","45690","41770"
"In post","2021","50-59","Undeclared","Communications","90","90","34530","29200"
"In post","2021","50-59","Undeclared","Counter Fraud","250","240","36320","32100"
"In post","2021","50-59","Undeclared","Debt","70","60","25720","24120"
"In post","2021","50-59","Undeclared","Digital, Data & Technology","200","200","40170","38450"
"In post","2021","50-59","Undeclared","Finance","180","170","35960","31810"
"In post","2021","50-59","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Undeclared","Human Resources","190","180","39480","33630"
"In post","2021","50-59","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Undeclared","Legal","130","120","51290","46530"
"In post","2021","50-59","Undeclared","No function","4960","4650","32950","31650"
"In post","2021","50-59","Undeclared","Project Delivery","690","670","40780","38630"
"In post","2021","50-59","Undeclared","Property","300","290","37250","33300"
"In post","2021","50-59","Undeclared","Security","320","310","34970","39070"
"In post","2021","50-59","Undeclared","Unknown","2600","2460","30410","27570"
"In post","2021","50-59","Unknown","Analysis","140","140","49680","47430"
"In post","2021","50-59","Unknown","Commercial","550","550","59900","53460"
"In post","2021","50-59","Unknown","Communications","300","290","34380","28130"
"In post","2021","50-59","Unknown","Counter Fraud","590","560","33940","31810"
"In post","2021","50-59","Unknown","Debt","340","310","23970","21440"
"In post","2021","50-59","Unknown","Digital, Data & Technology","570","560","45360","40250"
"In post","2021","50-59","Unknown","Finance","380","360","38880","33580"
"In post","2021","50-59","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Human Resources","320","310","36850","33300"
"In post","2021","50-59","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Unknown","Legal","930","860","38190","29350"
"In post","2021","50-59","Unknown","No function","8080","7480","34090","30080"
"In post","2021","50-59","Unknown","Project Delivery","960","930","46150","41760"
"In post","2021","50-59","Unknown","Property","430","410","32760","28870"
"In post","2021","50-59","Unknown","Security","590","580","32180","33300"
"In post","2021","50-59","Unknown","Unknown","3390","3280","38350","32630"
"In post","2021","60-64","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Declared disabled","Commercial","50","40","[c]","[c]"
"In post","2021","60-64","Declared disabled","Communications","40","30","[c]","[c]"
"In post","2021","60-64","Declared disabled","Counter Fraud","90","70","33600","31810"
"In post","2021","60-64","Declared disabled","Debt","70","50","23710","21440"
"In post","2021","60-64","Declared disabled","Digital, Data & Technology","60","50","39330","33970"
"In post","2021","60-64","Declared disabled","Finance","80","70","35570","31810"
"In post","2021","60-64","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Declared disabled","Human Resources","100","80","34440","31640"
"In post","2021","60-64","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Declared disabled","Legal","110","90","46970","50300"
"In post","2021","60-64","Declared disabled","No function","1910","1550","28860","26150"
"In post","2021","60-64","Declared disabled","Project Delivery","230","200","39330","37510"
"In post","2021","60-64","Declared disabled","Property","100","80","32160","30900"
"In post","2021","60-64","Declared disabled","Security","80","80","28690","22650"
"In post","2021","60-64","Declared disabled","Unknown","2560","2040","27330","27570"
"In post","2021","60-64","Declared non-disabled","Analysis","130","110","43540","39850"
"In post","2021","60-64","Declared non-disabled","Commercial","240","220","44430","40580"
"In post","2021","60-64","Declared non-disabled","Communications","210","180","33060","29180"
"In post","2021","60-64","Declared non-disabled","Counter Fraud","460","350","35200","32260"
"In post","2021","60-64","Declared non-disabled","Debt","250","190","25030","24120"
"In post","2021","60-64","Declared non-disabled","Digital, Data & Technology","460","410","40500","38450"
"In post","2021","60-64","Declared non-disabled","Finance","430","370","37380","32350"
"In post","2021","60-64","Declared non-disabled","Grants Management","140","120","25200","21050"
"In post","2021","60-64","Declared non-disabled","Human Resources","360","300","37310","32250"
"In post","2021","60-64","Declared non-disabled","Internal Audit","50","40","[c]","[c]"
"In post","2021","60-64","Declared non-disabled","Legal","540","450","48270","50570"
"In post","2021","60-64","Declared non-disabled","No function","8190","6680","31640","27130"
"In post","2021","60-64","Declared non-disabled","Project Delivery","1340","1200","42120","38640"
"In post","2021","60-64","Declared non-disabled","Property","720","650","35420","33300"
"In post","2021","60-64","Declared non-disabled","Security","510","460","27760","20920"
"In post","2021","60-64","Declared non-disabled","Unknown","11070","8940","28940","27570"
"In post","2021","60-64","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Undeclared","Counter Fraud","70","60","36080","31810"
"In post","2021","60-64","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Undeclared","Digital, Data & Technology","40","30","[c]","[c]"
"In post","2021","60-64","Undeclared","Finance","40","40","[c]","[c]"
"In post","2021","60-64","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Undeclared","Human Resources","40","30","[c]","[c]"
"In post","2021","60-64","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Undeclared","Legal","30","30","[c]","[c]"
"In post","2021","60-64","Undeclared","No function","1290","1000","30110","27680"
"In post","2021","60-64","Undeclared","Project Delivery","190","170","37940","36460"
"In post","2021","60-64","Undeclared","Property","80","70","36590","32180"
"In post","2021","60-64","Undeclared","Security","80","70","30870","27180"
"In post","2021","60-64","Undeclared","Unknown","670","580","28730","27370"
"In post","2021","60-64","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","Commercial","80","70","51430","49840"
"In post","2021","60-64","Unknown","Communications","50","40","[c]","[c]"
"In post","2021","60-64","Unknown","Counter Fraud","160","130","33160","31810"
"In post","2021","60-64","Unknown","Debt","100","80","23730","21440"
"In post","2021","60-64","Unknown","Digital, Data & Technology","110","100","43900","36160"
"In post","2021","60-64","Unknown","Finance","100","80","34700","29630"
"In post","2021","60-64","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","Human Resources","60","50","31980","27360"
"In post","2021","60-64","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Unknown","Legal","270","220","33370","24120"
"In post","2021","60-64","Unknown","No function","2160","1700","31010","25560"
"In post","2021","60-64","Unknown","Project Delivery","220","190","39670","38630"
"In post","2021","60-64","Unknown","Property","160","150","29380","26050"
"In post","2021","60-64","Unknown","Security","130","110","28830","21580"
"In post","2021","60-64","Unknown","Unknown","850","790","34500","29190"
"In post","2021","65+","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Finance","30","20","[c]","[c]"
"In post","2021","65+","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","No function","550","410","27880","24370"
"In post","2021","65+","Declared disabled","Project Delivery","70","50","36790","36310"
"In post","2021","65+","Declared disabled","Property","[c]","[c]","[c]","[c]"
