"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","40-49","3050","2980","43910","40000"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","50-59","2780","2710","43100","39100"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","60-64","570","510","40580","37330"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","65+","170","140","39870","35560"
"In post","2021","Digital, Data and Technology","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","20-29","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","30-39","80","70","39320","36870"
"In post","2021","Digital, Data and Technology","No function","40-49","60","50","40530","37190"
"In post","2021","Digital, Data and Technology","No function","50-59","50","50","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","20-29","70","70","32340","31340"
"In post","2021","Digital, Data and Technology","Project Delivery","30-39","110","110","42870","45850"
"In post","2021","Digital, Data and Technology","Project Delivery","40-49","110","100","47430","46430"
"In post","2021","Digital, Data and Technology","Project Delivery","50-59","110","110","44570","43710"
"In post","2021","Digital, Data and Technology","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","20-29","180","180","37190","36550"
"In post","2021","Digital, Data and Technology","Unknown","30-39","350","340","45300","41970"
"In post","2021","Digital, Data and Technology","Unknown","40-49","420","420","51120","47000"
"In post","2021","Digital, Data and Technology","Unknown","50-59","390","390","51730","47000"
"In post","2021","Digital, Data and Technology","Unknown","60-64","80","80","53080","47000"
"In post","2021","Digital, Data and Technology","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","20-29","760","760","37240","34000"
"In post","2021","Economics","Analysis","30-39","290","270","57290","56360"
"In post","2021","Economics","Analysis","40-49","130","130","67300","64920"
"In post","2021","Economics","Analysis","50-59","70","70","66520","61080"
"In post","2021","Economics","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Counter Fraud","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","20-29","60","50","35420","32790"
"In post","2021","Economics","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","20-29","230","230","38520","34710"
"In post","2021","Economics","No function","30-39","140","140","56310","57850"
"In post","2021","Economics","No function","40-49","50","50","60980","58120"
"In post","2021","Economics","No function","50-59","40","30","[c]","[c]"
"In post","2021","Economics","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","30-39","50","50","54760","55620"
"In post","2021","Economics","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","20-29","120","120","36390","34800"
"In post","2021","Economics","Unknown","30-39","40","40","[c]","[c]"
"In post","2021","Economics","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Debt","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Finance","16-19","40","30","[c]","[c]"
"In post","2021","Finance","Finance","20-29","1000","980","32670","30420"
"In post","2021","Finance","Finance","30-39","1520","1450","41140","38000"
"In post","2021","Finance","Finance","40-49","2020","1940","43070","38960"
"In post","2021","Finance","Finance","50-59","2320","2200","40460","36300"
"In post","2021","Finance","Finance","60-64","510","440","36850","32300"
"In post","2021","Finance","Finance","65+","150","130","33000","29200"
"In post","2021","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","20-29","50","50","35520","33610"
"In post","2021","Finance","No function","30-39","110","110","42740","37300"
"In post","2021","Finance","No function","40-49","100","100","47900","42710"
"In post","2021","Finance","No function","50-59","110","100","41380","37270"
"In post","2021","Finance","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","20-29","80","80","30650","30420"
"In post","2021","Finance","Project Delivery","30-39","120","110","42600","42000"
"In post","2021","Finance","Project Delivery","40-49","110","110","47040","44000"
"In post","2021","Finance","Project Delivery","50-59","80","80","50680","48520"
"In post","2021","Finance","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","20-29","60","60","30760","28850"
"In post","2021","Finance","Unknown","30-39","140","130","42970","37560"
"In post","2021","Finance","Unknown","40-49","160","150","46100","42410"
"In post","2021","Finance","Unknown","50-59","210","210","47670","42550"
"In post","2021","Finance","Unknown","60-64","50","40","[c]","[c]"
"In post","2021","Finance","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Grants Management","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Human Resources","20-29","960","950","31000","28840"
"In post","2021","Human Resources","Human Resources","30-39","1540","1450","36940","32840"
"In post","2021","Human Resources","Human Resources","40-49","1820","1730","41300","37900"
"In post","2021","Human Resources","Human Resources","50-59","2090","2010","40490","36230"
"In post","2021","Human Resources","Human Resources","60-64","400","340","37180","33180"
"In post","2021","Human Resources","Human Resources","65+","100","80","34800","32430"
"In post","2021","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","20-29","90","90","30790","28850"
"In post","2021","Human Resources","Unknown","30-39","160","150","39880","35200"
"In post","2021","Human Resources","Unknown","40-49","230","210","44090","37560"
"In post","2021","Human Resources","Unknown","50-59","240","230","42590","37450"
"In post","2021","Human Resources","Unknown","60-64","50","40","41010","37410"
"In post","2021","Human Resources","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","No function","30-39","80","80","61280","51360"
"In post","2021","Inspector of Education and Training","No function","40-49","270","260","65770","70500"
"In post","2021","Inspector of Education and Training","No function","50-59","390","390","67260","74730"
"In post","2021","Inspector of Education and Training","No function","60-64","100","90","68170","74730"
"In post","2021","Inspector of Education and Training","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","20-29","70","70","46930","53360"
"In post","2021","Intelligence Analysis","Analysis","30-39","90","90","52480","53360"
"In post","2021","Intelligence Analysis","Analysis","40-49","70","70","54590","53360"
"In post","2021","Intelligence Analysis","Analysis","50-59","50","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","20-29","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","30-39","60","60","38820","36160"
"In post","2021","Intelligence Analysis","Counter Fraud","40-49","50","50","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","50-59","30","30","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","No function","20-29","70","70","28870","26330"
"In post","2021","Intelligence Analysis","No function","30-39","150","150","31020","28350"
"In post","2021","Intelligence Analysis","No function","40-49","110","110","32400","29180"
"In post","2021","Intelligence Analysis","No function","50-59","130","130","32260","29640"
"In post","2021","Intelligence Analysis","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","20-29","50","50","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","30-39","60","60","43400","39220"
"In post","2021","Intelligence Analysis","Security","40-49","50","50","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","50-59","40","40","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","20-29","310","310","31000","29250"
"In post","2021","Intelligence Analysis","Unknown","30-39","540","520","32510","30830"
"In post","2021","Intelligence Analysis","Unknown","40-49","580","550","32650","29480"
"In post","2021","Intelligence Analysis","Unknown","50-59","610","590","33030","30830"
"In post","2021","Intelligence Analysis","Unknown","60-64","150","130","33640","31520"
"In post","2021","Intelligence Analysis","Unknown","65+","40","30","[c]","[c]"
"In post","2021","Internal Audit","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","20-29","50","50","[c]","[c]"
"In post","2021","Internal Audit","Internal Audit","30-39","130","130","42560","39980"
"In post","2021","Internal Audit","Internal Audit","40-49","180","170","47500","44020"
"In post","2021","Internal Audit","Internal Audit","50-59","310","300","48600","45390"
"In post","2021","Internal Audit","Internal Audit","60-64","60","50","44140","43830"
