"Status","Year","Ethnicity","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","HM Courts and Tribunals Service","160","140","24600","22080"
"In post","2021","Asian","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","HM Prison and Probation Service","180","170","31330","30210"
"In post","2021","Asian","Declared disabled","HM Revenue and Customs (excl. agencies)","310","290","31530","31810"
"In post","2021","Asian","Declared disabled","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Home Office (incl. agencies)","370","330","32030","29080"
"In post","2021","Asian","Declared disabled","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Ministry of Defence (excl. agencies)","60","60","37000","33300"
"In post","2021","Asian","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Ministry of Justice (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Asian","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office of the Public Guardian","30","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Animal and Plant Health Agency","50","50","28200","27960"
"In post","2021","Asian","Declared non-disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Cabinet Office (excl. agencies)","380","370","46900","40600"
"In post","2021","Asian","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Competition and Markets Authority","90","90","45560","37650"
"In post","2021","Asian","Declared non-disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Crown Office and Procurator Fiscal Service","40","30","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Crown Prosecution Service","410","380","40370","34200"
"In post","2021","Asian","Declared non-disabled","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Defence Equipment and Support","270","260","33890","31950"
"In post","2021","Asian","Declared non-disabled","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","330","320","44200","40050"
"In post","2021","Asian","Declared non-disabled","Department for Digital, Culture, Media and Sport","100","100","45190","42020"
"In post","2021","Asian","Declared non-disabled","Department for Education (excl. agencies)","340","330","41030","36780"
"In post","2021","Asian","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","190","190","39360","35010"
"In post","2021","Asian","Declared non-disabled","Department for International Trade","140","140","42310","38540"
"In post","2021","Asian","Declared non-disabled","Department for Transport (excl. agencies)","250","240","45310","42680"
"In post","2021","Asian","Declared non-disabled","Department for Work and Pensions (excl. agencies)","5950","5360","27740","27570"
"In post","2021","Asian","Declared non-disabled","Department of Health and Social Care (excl. agencies)","80","80","44290","40650"
"In post","2021","Asian","Declared non-disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Driver and Vehicle Standards Agency","100","90","29340","30470"
"In post","2021","Asian","Declared non-disabled","Education and Skills Funding Agency","170","160","39740","37100"
"In post","2021","Asian","Declared non-disabled","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","FCDO Services","50","50","34770","30520"
"In post","2021","Asian","Declared non-disabled","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","320","310","44130","38230"
"In post","2021","Asian","Declared non-disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Government Internal Audit Agency","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Government Legal Department","210","200","49290","51250"
"In post","2021","Asian","Declared non-disabled","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Health and Safety Executive","50","50","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","HM Courts and Tribunals Service","1230","1120","24990","22680"
"In post","2021","Asian","Declared non-disabled","HM Land Registry","130","120","32210","27130"
"In post","2021","Asian","Declared non-disabled","HM Prison and Probation Service","1180","1110","30850","29750"
"In post","2021","Asian","Declared non-disabled","HM Revenue and Customs (excl. agencies)","3220","3030","30840","28130"
"In post","2021","Asian","Declared non-disabled","HM Treasury (excl. agencies)","150","150","43910","38540"
"In post","2021","Asian","Declared non-disabled","Home Office (incl. agencies)","3940","3650","31180","28810"
"In post","2021","Asian","Declared non-disabled","Insolvency Service","110","110","28890","25060"
"In post","2021","Asian","Declared non-disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Legal Aid Agency","60","50","27240","22570"
"In post","2021","Asian","Declared non-disabled","Maritime and Coastguard Agency","50","50","49840","56630"
"In post","2021","Asian","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","90","90","40920","33680"
"In post","2021","Asian","Declared non-disabled","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Ministry of Defence (excl. agencies)","700","680","33290","30750"
"In post","2021","Asian","Declared non-disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","160","160","40300","36170"
"In post","2021","Asian","Declared non-disabled","Ministry of Justice (excl. agencies)","380","370","38750","34470"
"In post","2021","Asian","Declared non-disabled","National Crime Agency","70","70","42090","40170"
"In post","2021","Asian","Declared non-disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","90","80","41400","35010"
"In post","2021","Asian","Declared non-disabled","Office of Gas and Electricity Markets","100","100","44340","39150"
"In post","2021","Asian","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Office of the Public Guardian","350","320","21270","19930"
"In post","2021","Asian","Declared non-disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Public Health England","520","490","39940","32330"
"In post","2021","Asian","Declared non-disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scottish Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Serious Fraud Office","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Submarine Delivery Agency","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","The National Archives","30","30","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","UK Export Finance","60","60","49580","43160"
"In post","2021","Asian","Declared non-disabled","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","United Kingdom Statistics Authority","50","50","33060","31710"
"In post","2021","Asian","Declared non-disabled","Valuation Office Agency","150","140","32930","30000"
"In post","2021","Asian","Declared non-disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Welsh Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Department for Work and Pensions (excl. agencies)","350","320","27670","27570"
"In post","2021","Asian","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","HM Courts and Tribunals Service","80","70","23990","22450"
"In post","2021","Asian","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","HM Prison and Probation Service","130","120","33540","32090"
"In post","2021","Asian","Undeclared","HM Revenue and Customs (excl. agencies)","140","130","31250","29570"
"In post","2021","Asian","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Home Office (incl. agencies)","140","130","31470","28990"
"In post","2021","Asian","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Asian","Undeclared","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Public Health England","40","30","[c]","[c]"
"In post","2021","Asian","Undeclared","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Undeclared","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Crown Prosecution Service","140","130","36200","32760"
"In post","2021","Asian","Unknown","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","50","43080","37890"
"In post","2021","Asian","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Education (excl. agencies)","70","70","37680","36500"
"In post","2021","Asian","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for International Trade","50","50","43850","38540"
"In post","2021","Asian","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Department for Work and Pensions (excl. agencies)","60","60","29970","27570"
"In post","2021","Asian","Unknown","Department of Health and Social Care (excl. agencies)","70","70","39600","32790"
"In post","2021","Asian","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","HM Land Registry","60","60","27940","22350"
