"Status","Year","Function_of_post","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","White","390","370","37220","35720"
"In post","2021","Analysis","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Unknown","210","210","33040","29540"
"In post","2021","Analysis","Wales","White","800","760","37140","36030"
"In post","2021","Analysis","West Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","White","40","30","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Unknown","40","30","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","White","280","260","41960","41990"
"In post","2021","Commercial","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","White","130","120","41390","38550"
"In post","2021","Commercial","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Unknown","60","50","53800","52410"
"In post","2021","Commercial","East of England","White","300","290","39160","35900"
"In post","2021","Commercial","London","Asian","150","150","45060","37640"
"In post","2021","Commercial","London","Black","120","120","42740","38180"
"In post","2021","Commercial","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Mixed","40","40","[c]","[c]"
"In post","2021","Commercial","London","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Undeclared","50","50","48660","42130"
"In post","2021","Commercial","London","Unknown","660","640","70470","64500"
"In post","2021","Commercial","London","White","840","820","56090","51730"
"In post","2021","Commercial","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","White","90","80","44620","41100"
"In post","2021","Commercial","North West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","Unknown","220","220","51270","49700"
"In post","2021","Commercial","North West (England)","White","490","470","40190","35760"
"In post","2021","Commercial","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","White","30","30","[c]","[c]"
"In post","2021","Commercial","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Unknown","120","120","41650","39190"
"In post","2021","Commercial","Scotland","White","250","240","36500","33930"
"In post","2021","Commercial","South East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South East (England)","Undeclared","40","30","[c]","[c]"
"In post","2021","Commercial","South East (England)","Unknown","90","90","55980","53320"
"In post","2021","Commercial","South East (England)","White","500","480","36750","33630"
"In post","2021","Commercial","South West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Undeclared","90","80","43500","40580"
"In post","2021","Commercial","South West (England)","Unknown","160","160","55210","49700"
"In post","2021","Commercial","South West (England)","White","1060","1020","40480","38300"
"In post","2021","Commercial","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","Wales","White","300","280","34750","31150"
"In post","2021","Commercial","West Midlands (England)","Asian","30","30","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Unknown","60","60","48010","46200"
"In post","2021","Commercial","West Midlands (England)","White","220","220","38950","34800"
"In post","2021","Commercial","Yorkshire and The Humber","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Unknown","160","160","52840","50550"
"In post","2021","Commercial","Yorkshire and The Humber","White","270","260","42020","37940"
"In post","2021","Communications","East Midlands (England)","Asian","40","40","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Unknown","190","190","27870","25560"
"In post","2021","Communications","East Midlands (England)","White","250","240","31560","27570"
"In post","2021","Communications","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","White","80","70","33120","30670"
"In post","2021","Communications","London","Asian","200","200","37820","33560"
"In post","2021","Communications","London","Black","120","110","37130","34630"
"In post","2021","Communications","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Mixed","80","80","42320","39280"
"In post","2021","Communications","London","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Undeclared","60","60","46010","42890"
"In post","2021","Communications","London","Unknown","590","580","44580","41160"
"In post","2021","Communications","London","White","1380","1340","46680","42390"
"In post","2021","Communications","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North East (England)","Undeclared","50","50","26590","25560"
"In post","2021","Communications","North East (England)","Unknown","380","360","26920","25560"
"In post","2021","Communications","North East (England)","White","1060","990","28510","25560"
"In post","2021","Communications","North West (England)","Asian","70","70","29040","26000"
"In post","2021","Communications","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Unknown","240","230","28170","25560"
"In post","2021","Communications","North West (England)","White","340","320","33180","31810"
"In post","2021","Communications","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","White","180","170","32820","31810"
"In post","2021","Communications","South East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Unknown","50","40","[c]","[c]"
"In post","2021","Communications","South East (England)","White","250","240","32910","31270"
"In post","2021","Communications","South West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Unknown","40","30","[c]","[c]"
"In post","2021","Communications","South West (England)","White","290","270","35680","33300"
"In post","2021","Communications","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Unknown","250","240","27890","25560"
"In post","2021","Communications","Wales","White","630","600","30270","25560"
"In post","2021","Communications","West Midlands (England)","Asian","50","50","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Unknown","120","110","29820","25560"
"In post","2021","Communications","West Midlands (England)","White","160","160","36040","31940"
"In post","2021","Communications","Yorkshire and The Humber","Asian","80","80","28420","25560"
"In post","2021","Communications","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Unknown","290","280","29030","25560"
"In post","2021","Communications","Yorkshire and The Humber","White","250","240","32960","30470"
"In post","2021","Counter Fraud","East Midlands (England)","Asian","40","40","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Unknown","90","90","31170","28130"
"In post","2021","Counter Fraud","East Midlands (England)","White","360","340","34720","31810"
"In post","2021","Counter Fraud","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Unknown","90","90","27020","25560"
"In post","2021","Counter Fraud","East of England","White","320","290","28880","26980"
"In post","2021","Counter Fraud","London","Asian","270","260","35580","32520"
"In post","2021","Counter Fraud","London","Black","180","170","32970","30060"
"In post","2021","Counter Fraud","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Mixed","60","60","37950","36160"
"In post","2021","Counter Fraud","London","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Undeclared","170","170","39990","36160"
"In post","2021","Counter Fraud","London","Unknown","440","430","38270","36160"
"In post","2021","Counter Fraud","London","White","1160","1120","41440","36160"
"In post","2021","Counter Fraud","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Unknown","80","80","28920","25560"
"In post","2021","Counter Fraud","North East (England)","White","420","400","32420","31810"
"In post","2021","Counter Fraud","North West (England)","Asian","60","60","30000","27700"
"In post","2021","Counter Fraud","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Undeclared","90","90","36490","31810"
"In post","2021","Counter Fraud","North West (England)","Unknown","310","300","29640","25560"
