"Status","Year","Ethnicity","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","20-29","International Trade","40","40","[c]","[c]"
"In post","2021","Asian","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Legal","100","100","34400","29570"
"In post","2021","Asian","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Operational Delivery","1710","1640","25070","24440"
"In post","2021","Asian","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Other","160","160","30850","28420"
"In post","2021","Asian","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Policy","570","560","36750","33960"
"In post","2021","Asian","20-29","Project Delivery","120","120","32860","32780"
"In post","2021","Asian","20-29","Property","30","30","[c]","[c]"
"In post","2021","Asian","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Science and Engineering","160","160","30070","28270"
"In post","2021","Asian","20-29","Security","30","30","[c]","[c]"
"In post","2021","Asian","20-29","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Statistics","60","60","35240","33910"
"In post","2021","Asian","20-29","Tax","340","330","29540","25560"
"In post","2021","Asian","20-29","Unknown","1760","1730","28230","27570"
"In post","2021","Asian","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Commercial","60","50","37100","36500"
"In post","2021","Asian","30-39","Communications","60","60","39860","37340"
"In post","2021","Asian","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Digital, Data and Technology","290","290","42540","39390"
"In post","2021","Asian","30-39","Economics","40","40","[c]","[c]"
"In post","2021","Asian","30-39","Finance","190","190","40650","38030"
"In post","2021","Asian","30-39","Human Resources","120","120","35640","33450"
"In post","2021","Asian","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Intelligence Analysis","60","60","33740","30810"
"In post","2021","Asian","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","International Trade","30","30","[c]","[c]"
"In post","2021","Asian","30-39","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Asian","30-39","Legal","270","250","44840","48080"
"In post","2021","Asian","30-39","Medicine","50","50","47420","37260"
"In post","2021","Asian","30-39","Operational Delivery","2820","2600","27420","25560"
"In post","2021","Asian","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Other","210","200","35210","32590"
"In post","2021","Asian","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Policy","570","550","45510","42170"
"In post","2021","Asian","30-39","Project Delivery","250","240","40300","38610"
"In post","2021","Asian","30-39","Property","60","60","38260","36470"
"In post","2021","Asian","30-39","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Science and Engineering","160","150","35600","33330"
"In post","2021","Asian","30-39","Security","60","60","35800","32690"
"In post","2021","Asian","30-39","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Statistics","40","40","[c]","[c]"
"In post","2021","Asian","30-39","Tax","400","390","33280","31810"
"In post","2021","Asian","30-39","Unknown","2090","1950","29990","27570"
"In post","2021","Asian","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Commercial","80","80","41960","38940"
"In post","2021","Asian","40-49","Communications","50","50","44640","40230"
"In post","2021","Asian","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Digital, Data and Technology","270","260","46820","44430"
"In post","2021","Asian","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Finance","220","220","42330","38630"
"In post","2021","Asian","40-49","Human Resources","110","110","41640","38540"
"In post","2021","Asian","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Intelligence Analysis","70","70","33800","29250"
"In post","2021","Asian","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Knowledge and Information Management","30","30","[c]","[c]"
"In post","2021","Asian","40-49","Legal","350","320","49790","51120"
"In post","2021","Asian","40-49","Medicine","70","60","76870","85000"
"In post","2021","Asian","40-49","Operational Delivery","2710","2440","29400","26560"
"In post","2021","Asian","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Other","200","190","35520","31080"
"In post","2021","Asian","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Policy","470","450","45990","40940"
"In post","2021","Asian","40-49","Project Delivery","250","240","43390","40540"
"In post","2021","Asian","40-49","Property","70","60","37720","33630"
"In post","2021","Asian","40-49","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Science and Engineering","140","130","41680","40070"
"In post","2021","Asian","40-49","Security","70","70","34330","32280"
"In post","2021","Asian","40-49","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Tax","290","270","32810","31810"
"In post","2021","Asian","40-49","Unknown","2280","2010","29620","27570"
"In post","2021","Asian","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Commercial","50","50","[c]","[c]"
"In post","2021","Asian","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Digital, Data and Technology","120","120","44090","40670"
"In post","2021","Asian","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Finance","140","140","41860","37650"
"In post","2021","Asian","50-59","Human Resources","80","70","39050","35060"
"In post","2021","Asian","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Asian","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Legal","140","130","54150","55610"
"In post","2021","Asian","50-59","Medicine","40","40","[c]","[c]"
"In post","2021","Asian","50-59","Operational Delivery","1990","1840","29240","26780"
"In post","2021","Asian","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Other","170","170","31240","26350"
"In post","2021","Asian","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Policy","260","260","46400","40620"
"In post","2021","Asian","50-59","Project Delivery","160","160","43820","40580"
"In post","2021","Asian","50-59","Property","60","60","37160","31050"
"In post","2021","Asian","50-59","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Science and Engineering","80","80","40690","40470"
"In post","2021","Asian","50-59","Security","90","80","26890","22210"
"In post","2021","Asian","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Tax","250","240","35100","34580"
"In post","2021","Asian","50-59","Unknown","1720","1550","29320","27570"
"In post","2021","Asian","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Finance","50","40","[c]","[c]"
"In post","2021","Asian","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Operational Delivery","540","460","27770","25630"
"In post","2021","Asian","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Other","70","60","29620","25630"
"In post","2021","Asian","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Policy","40","40","[c]","[c]"
"In post","2021","Asian","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Tax","80","60","35440","36160"
"In post","2021","Asian","60-64","Unknown","400","330","27960","27570"
"In post","2021","Asian","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Operational Delivery","290","220","27600","25630"
"In post","2021","Asian","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","Unknown","190","130","27980","27570"
"In post","2021","Asian","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Black","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Black","20-29","Economics","40","40","[c]","[c]"
"In post","2021","Black","20-29","Finance","30","30","[c]","[c]"
"In post","2021","Black","20-29","Human Resources","40","40","[c]","[c]"
"In post","2021","Black","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Legal","40","40","[c]","[c]"
"In post","2021","Black","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Operational Delivery","650","640","26840","25630"
"In post","2021","Black","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Other","70","70","28470","27350"
"In post","2021","Black","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Policy","260","260","34860","33570"
"In post","2021","Black","20-29","Project Delivery","50","50","35450","34540"
"In post","2021","Black","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Science and Engineering","60","60","27660","27540"
"In post","2021","Black","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","20-29","Tax","60","60","29960","29570"
"In post","2021","Black","20-29","Unknown","690","680","29690","31060"
"In post","2021","Black","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Commercial","40","40","[c]","[c]"
"In post","2021","Black","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Digital, Data and Technology","90","90","39350","36160"
"In post","2021","Black","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Finance","70","70","40180","36980"
"In post","2021","Black","30-39","Human Resources","70","70","36590","35030"
"In post","2021","Black","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Legal","100","100","42630","40800"
"In post","2021","Black","30-39","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Operational Delivery","1110","1050","28980","27730"
"In post","2021","Black","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Other","110","110","30600","28000"
"In post","2021","Black","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Policy","210","210","41690","38400"
"In post","2021","Black","30-39","Project Delivery","150","140","38320","36160"
"In post","2021","Black","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Science and Engineering","80","70","36580","35290"
"In post","2021","Black","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","30-39","Tax","100","90","30000","31810"
"In post","2021","Black","30-39","Unknown","840","800","30580","31060"
"In post","2021","Black","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Commercial","50","50","[c]","[c]"
"In post","2021","Black","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Digital, Data and Technology","120","120","41000","38830"
"In post","2021","Black","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Finance","110","100","40070","37920"
"In post","2021","Black","40-49","Human Resources","70","70","40530","37280"
"In post","2021","Black","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Legal","100","100","52040","51830"
"In post","2021","Black","40-49","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Operational Delivery","1310","1230","29950","28650"
"In post","2021","Black","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Other","100","100","34030","30060"
"In post","2021","Black","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Policy","210","210","42550","40030"
"In post","2021","Black","40-49","Project Delivery","140","140","41050","39270"
"In post","2021","Black","40-49","Property","30","30","[c]","[c]"
"In post","2021","Black","40-49","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Science and Engineering","70","60","39710","40260"
"In post","2021","Black","40-49","Security","30","30","[c]","[c]"
"In post","2021","Black","40-49","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","40-49","Tax","100","100","30860","31810"
"In post","2021","Black","40-49","Unknown","1010","950","30610","30130"
"In post","2021","Black","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Commercial","60","60","40270","39710"
"In post","2021","Black","50-59","Communications","30","30","[c]","[c]"
"In post","2021","Black","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Digital, Data and Technology","130","120","42320","39410"
"In post","2021","Black","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Finance","130","130","41750","39870"
"In post","2021","Black","50-59","Human Resources","100","90","39920","35400"
"In post","2021","Black","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Legal","160","150","53810","55610"
"In post","2021","Black","50-59","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Operational Delivery","2140","2050","30080","28200"
"In post","2021","Black","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Other","170","160","31660","28950"
"In post","2021","Black","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Policy","340","330","39670","35200"
"In post","2021","Black","50-59","Project Delivery","130","130","43120","38600"
"In post","2021","Black","50-59","Property","50","50","36920","34470"
"In post","2021","Black","50-59","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Science and Engineering","60","50","42340","39310"
"In post","2021","Black","50-59","Security","40","40","[c]","[c]"
"In post","2021","Black","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","50-59","Tax","140","140","35150","35000"
"In post","2021","Black","50-59","Unknown","1440","1370","30330","30330"
"In post","2021","Black","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Operational Delivery","500","450","28830","26630"
"In post","2021","Black","60-64","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Other","50","50","28600","25630"
"In post","2021","Black","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Policy","60","60","35520","31180"
"In post","2021","Black","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Black","60-64","Unknown","300","260","28930","29200"
"In post","2021","Black","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Black","65+","Counter Fraud","[c]","[c]","[c]","[c]"
