"Status","Year","Responsibility_level","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","Finance","Unknown","180","150","20890","20140"
"In post","2021","AA/AO","Finance","White","830","700","21360","21440"
"In post","2021","AA/AO","Human Resources","Asian","50","50","22520","21400"
"In post","2021","AA/AO","Human Resources","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Unknown","120","110","21360","20920"
"In post","2021","AA/AO","Human Resources","White","960","870","21590","21130"
"In post","2021","AA/AO","Intelligence Analysis","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","White","90","80","22510","21430"
"In post","2021","AA/AO","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","White","260","250","21900","21130"
"In post","2021","AA/AO","Legal","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Unknown","60","50","21120","20140"
"In post","2021","AA/AO","Legal","White","200","180","21370","21440"
"In post","2021","AA/AO","Medicine","Asian","30","30","[c]","[c]"
"In post","2021","AA/AO","Medicine","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Unknown","80","80","20830","20520"
"In post","2021","AA/AO","Medicine","White","210","190","22480","22640"
"In post","2021","AA/AO","Operational Delivery","Asian","4460","3950","22480","21430"
"In post","2021","AA/AO","Operational Delivery","Black","2590","2410","24840","23520"
"In post","2021","AA/AO","Operational Delivery","Chinese","150","140","22200","21430"
"In post","2021","AA/AO","Operational Delivery","Mixed","1110","1020","23810","22350"
"In post","2021","AA/AO","Operational Delivery","Other ethnicity","320","290","24200","22680"
"In post","2021","AA/AO","Operational Delivery","Undeclared","2440","2210","22940","21440"
"In post","2021","AA/AO","Operational Delivery","Unknown","15430","14210","22440","21430"
"In post","2021","AA/AO","Operational Delivery","White","54440","48450","23040","21440"
"In post","2021","AA/AO","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Asian","230","210","22490","21590"
"In post","2021","AA/AO","Other","Black","150","150","23250","23090"
"In post","2021","AA/AO","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Mixed","60","60","22140","21580"
"In post","2021","AA/AO","Other","Other ethnicity","30","30","[c]","[c]"
"In post","2021","AA/AO","Other","Undeclared","350","330","21430","21130"
"In post","2021","AA/AO","Other","Unknown","670","630","22660","20920"
"In post","2021","AA/AO","Other","White","6330","6020","20990","20920"
"In post","2021","AA/AO","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Asian","80","70","23530","23500"
"In post","2021","AA/AO","Policy","Black","90","90","24390","24100"
"In post","2021","AA/AO","Policy","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Unknown","110","100","22920","23060"
"In post","2021","AA/AO","Policy","White","450","430","23180","23500"
"In post","2021","AA/AO","Project Delivery","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","White","240","230","21550","21130"
"In post","2021","AA/AO","Property","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","Property","Unknown","160","150","19670","18760"
"In post","2021","AA/AO","Property","White","780","740","19480","18800"
"In post","2021","AA/AO","Psychology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","White","50","40","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Asian","70","60","22720","22830"
"In post","2021","AA/AO","Science and Engineering","Black","40","40","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Undeclared","60","50","21830","21910"
"In post","2021","AA/AO","Science and Engineering","Unknown","130","130","21510","21520"
"In post","2021","AA/AO","Science and Engineering","White","1090","1050","21660","21580"
"In post","2021","AA/AO","Security","Asian","160","150","24210","22210"
"In post","2021","AA/AO","Security","Black","70","70","23530","22650"
"In post","2021","AA/AO","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Mixed","40","40","[c]","[c]"
"In post","2021","AA/AO","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Undeclared","250","250","29550","26750"
"In post","2021","AA/AO","Security","Unknown","710","710","28120","26170"
"In post","2021","AA/AO","Security","White","4150","4050","26610","21580"
"In post","2021","AA/AO","Social Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Asian","280","250","20390","20140"
"In post","2021","AA/AO","Tax","Black","70","60","20810","20140"
"In post","2021","AA/AO","Tax","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Mixed","50","40","[c]","[c]"
"In post","2021","AA/AO","Tax","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Unknown","2160","2060","20190","20140"
"In post","2021","AA/AO","Tax","White","1200","1120","20320","20140"
"In post","2021","AA/AO","Unknown","Asian","2450","2070","21710","21010"
"In post","2021","AA/AO","Unknown","Black","920","840","22710","22640"
"In post","2021","AA/AO","Unknown","Chinese","70","60","21480","21010"
"In post","2021","AA/AO","Unknown","Mixed","540","490","21720","21010"
"In post","2021","AA/AO","Unknown","Other ethnicity","140","120","22010","21010"
"In post","2021","AA/AO","Unknown","Undeclared","1640","1390","21310","21010"
"In post","2021","AA/AO","Unknown","Unknown","3570","3220","21300","21010"
"In post","2021","AA/AO","Unknown","White","25040","21670","21200","21010"
"In post","2021","AA/AO","Veterinarian","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinarian","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinarian","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinarian","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinarian","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Veterinarian","White","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Asian","40","30","[c]","[c]"
"In post","2021","EO","Commercial","Black","30","30","[c]","[c]"
"In post","2021","EO","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Unknown","80","80","25230","25610"
"In post","2021","EO","Commercial","White","510","480","25850","26400"
"In post","2021","EO","Communications","Asian","40","40","[c]","[c]"
"In post","2021","EO","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Unknown","130","120","27250","27270"
"In post","2021","EO","Communications","White","400","380","27400","26780"
"In post","2021","EO","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","White","130","120","26170","25580"
"In post","2021","EO","Digital, Data and Technology","Asian","150","150","27920","27130"
"In post","2021","EO","Digital, Data and Technology","Black","70","70","28380","28440"
"In post","2021","EO","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Mixed","30","30","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Undeclared","100","90","28680","28130"
"In post","2021","EO","Digital, Data and Technology","Unknown","420","410","26970","26350"
"In post","2021","EO","Digital, Data and Technology","White","1430","1370","27470","26670"
"In post","2021","EO","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Economics","Unknown","30","30","[c]","[c]"
"In post","2021","EO","Economics","White","60","60","27200","27680"
"In post","2021","EO","Finance","Asian","140","130","27250","26670"
"In post","2021","EO","Finance","Black","70","60","28410","28830"
"In post","2021","EO","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Finance","Undeclared","70","60","27440","26930"
"In post","2021","EO","Finance","Unknown","140","140","25990","25960"
"In post","2021","EO","Finance","White","1170","1100","26400","26670"
"In post","2021","EO","Human Resources","Asian","80","80","27920","27670"
"In post","2021","EO","Human Resources","Black","70","70","28860","28830"
"In post","2021","EO","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Human Resources","Undeclared","50","40","[c]","[c]"
"In post","2021","EO","Human Resources","Unknown","140","140","26900","27130"
"In post","2021","EO","Human Resources","White","990","930","26910","26670"
"In post","2021","EO","Intelligence Analysis","Asian","110","100","28530","28990"
"In post","2021","EO","Intelligence Analysis","Black","30","30","[c]","[c]"
"In post","2021","EO","Intelligence Analysis","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Intelligence Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Intelligence Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Intelligence Analysis","Undeclared","100","90","28340","28350"
"In post","2021","EO","Intelligence Analysis","Unknown","70","70","27320","26670"
"In post","2021","EO","Intelligence Analysis","White","1220","1160","27640","27370"
"In post","2021","EO","Internal Audit","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Internal Audit","White","30","30","[c]","[c]"
"In post","2021","EO","International Trade","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","International Trade","White","40","30","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Asian","30","30","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Undeclared","50","40","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","Unknown","40","30","[c]","[c]"
"In post","2021","EO","Knowledge and Information Management","White","370","350","26770","26670"
"In post","2021","EO","Legal","Asian","130","130","28150","29570"
"In post","2021","EO","Legal","Black","70","60","29070","29570"
"In post","2021","EO","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Mixed","40","40","[c]","[c]"
"In post","2021","EO","Legal","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Legal","Undeclared","80","80","28040","27350"
"In post","2021","EO","Legal","Unknown","420","400","27150","25560"
"In post","2021","EO","Legal","White","1190","1130","27240","25560"
"In post","2021","EO","Medicine","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Medicine","Unknown","40","40","[c]","[c]"
"In post","2021","EO","Medicine","White","260","240","30520","30620"
"In post","2021","EO","Operational Delivery","Asian","3040","2820","27550","27790"
"In post","2021","EO","Operational Delivery","Black","1460","1380","28660","28760"
"In post","2021","EO","Operational Delivery","Chinese","110","100","26870","26320"
"In post","2021","EO","Operational Delivery","Mixed","660","620","27830","26780"
"In post","2021","EO","Operational Delivery","Other ethnicity","230","220","28160","27460"
"In post","2021","EO","Operational Delivery","Undeclared","2280","2100","28290","27370"
"In post","2021","EO","Operational Delivery","Unknown","5930","5620","28050","26780"
"In post","2021","EO","Operational Delivery","White","31400","28980","27640","26780"
"In post","2021","EO","Operational Research","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Operational Research","White","40","30","[c]","[c]"
"In post","2021","EO","Other","Asian","270","250","26620","27400"
"In post","2021","EO","Other","Black","180","180","27290","27590"
"In post","2021","EO","Other","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other","Mixed","70","70","27130","26950"
"In post","2021","EO","Other","Other ethnicity","40","30","[c]","[c]"
"In post","2021","EO","Other","Undeclared","240","230","27380","26930"
"In post","2021","EO","Other","Unknown","470","460","27110","27750"
"In post","2021","EO","Other","White","3860","3670","26180","26670"
"In post","2021","EO","Planning","Asian","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Black","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Planning","White","[c]","[c]","[c]","[c]"
