"Status","Year","Sexual_orientation","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Unknown","1730","1640","28730","27570"
"In post","2021","Heterosexual / straight","Cheshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Digital, Data & Technology","100","100","42330","45480"
"In post","2021","Heterosexual / straight","Cheshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Grants Management","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Human Resources","50","50","42290","39940"
"In post","2021","Heterosexual / straight","Cheshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Legal","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","No function","1680","1610","32760","31610"
"In post","2021","Heterosexual / straight","Cheshire","Project Delivery","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cheshire","Unknown","680","620","25520","27570"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Legal","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","No function","200","180","29100","26590"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Property","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Unknown","760","700","25480","26670"
"In post","2021","Heterosexual / straight","Cumbria","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Communications","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Grants Management","260","230","24990","21050"
"In post","2021","Heterosexual / straight","Cumbria","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","No function","430","390","27130","23970"
"In post","2021","Heterosexual / straight","Cumbria","Project Delivery","220","210","35240","32710"
"In post","2021","Heterosexual / straight","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Security","70","70","27460","23540"
"In post","2021","Heterosexual / straight","Cumbria","Unknown","180","160","26530","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Analysis","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Commercial","70","70","41200","38550"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Communications","250","240","30560","25560"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Counter Fraud","320","300","34500","31810"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Debt","100","90","22260","20140"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Digital, Data & Technology","110","110","41220","38640"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Finance","140","130","37770","32800"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Human Resources","300","290","39220","33840"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Legal","260","240","37520","31810"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","No function","4230","3940","31050","27150"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Project Delivery","210","200","42660","38630"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Property","220","210","38590","36770"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Security","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Unknown","1550","1390","26490","27570"
"In post","2021","Heterosexual / straight","Devon","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Commercial","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Digital, Data & Technology","310","290","39680","38450"
"In post","2021","Heterosexual / straight","Devon","Finance","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Grants Management","100","90","26740","25880"
"In post","2021","Heterosexual / straight","Devon","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Devon","Legal","90","90","40340","38000"
"In post","2021","Heterosexual / straight","Devon","No function","1560","1440","29380","26780"
"In post","2021","Heterosexual / straight","Devon","Project Delivery","250","250","35490","33580"
"In post","2021","Heterosexual / straight","Devon","Property","320","300","28290","25500"
"In post","2021","Heterosexual / straight","Devon","Security","270","260","25990","19560"
"In post","2021","Heterosexual / straight","Devon","Unknown","1840","1630","26890","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Analysis","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Commercial","50","50","40210","36460"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Digital, Data & Technology","150","150","37820","33540"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Human Resources","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Dorset and Somerset","No function","1510","1400","28990","27130"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Project Delivery","340","320","34230","33530"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Property","60","60","30440","32110"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Security","110","110","23880","20060"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Unknown","1190","1100","27130","27570"
"In post","2021","Heterosexual / straight","East Anglia","Analysis","130","120","33340","30220"
"In post","2021","Heterosexual / straight","East Anglia","Commercial","230","220","38890","35700"
"In post","2021","Heterosexual / straight","East Anglia","Communications","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Counter Fraud","230","210","28610","25560"
"In post","2021","Heterosexual / straight","East Anglia","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Digital, Data & Technology","110","110","34750","32960"
"In post","2021","Heterosexual / straight","East Anglia","Finance","120","110","36310","33300"
"In post","2021","Heterosexual / straight","East Anglia","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Human Resources","100","100","35960","31780"
"In post","2021","Heterosexual / straight","East Anglia","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Anglia","Legal","110","100","38880","35640"
"In post","2021","Heterosexual / straight","East Anglia","No function","3880","3630","30510","28080"
"In post","2021","Heterosexual / straight","East Anglia","Project Delivery","360","350","37320","33740"
"In post","2021","Heterosexual / straight","East Anglia","Property","290","280","34240","33300"
"In post","2021","Heterosexual / straight","East Anglia","Security","170","170","29340","26670"
"In post","2021","Heterosexual / straight","East Anglia","Unknown","2820","2590","26630","27370"
"In post","2021","Heterosexual / straight","East Wales","Analysis","630","600","37500","36030"
"In post","2021","Heterosexual / straight","East Wales","Commercial","120","110","36960","34800"
"In post","2021","Heterosexual / straight","East Wales","Communications","510","490","30060","25560"
"In post","2021","Heterosexual / straight","East Wales","Counter Fraud","240","220","32030","31810"
"In post","2021","Heterosexual / straight","East Wales","Debt","170","160","23910","20140"
"In post","2021","Heterosexual / straight","East Wales","Digital, Data & Technology","600","580","41530","38630"
"In post","2021","Heterosexual / straight","East Wales","Finance","130","110","35080","30130"
"In post","2021","Heterosexual / straight","East Wales","Human Resources","340","310","35690","31090"
"In post","2021","Heterosexual / straight","East Wales","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Wales","Legal","280","260","41010","38760"
"In post","2021","Heterosexual / straight","East Wales","No function","4860","4530","30080","25560"
"In post","2021","Heterosexual / straight","East Wales","Project Delivery","320","300","38230","33410"
"In post","2021","Heterosexual / straight","East Wales","Property","220","200","35100","33130"
"In post","2021","Heterosexual / straight","East Wales","Security","110","110","25430","20920"
"In post","2021","Heterosexual / straight","East Wales","Unknown","4720","4400","35340","28850"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Legal","70","60","40610","38760"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","No function","1720","1600","28490","26810"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Property","60","50","31120","29440"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Security","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Unknown","1290","1160","26220","26930"
"In post","2021","Heterosexual / straight","Eastern Scotland","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Commercial","50","50","37920","36780"
"In post","2021","Heterosexual / straight","Eastern Scotland","Communications","100","100","32710","31810"
"In post","2021","Heterosexual / straight","Eastern Scotland","Counter Fraud","130","120","32400","31810"
"In post","2021","Heterosexual / straight","Eastern Scotland","Debt","210","200","22200","20140"
"In post","2021","Heterosexual / straight","Eastern Scotland","Digital, Data & Technology","120","120","41610","36780"
"In post","2021","Heterosexual / straight","Eastern Scotland","Finance","90","80","36680","33650"
"In post","2021","Heterosexual / straight","Eastern Scotland","Human Resources","180","170","37070","35480"
"In post","2021","Heterosexual / straight","Eastern Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Eastern Scotland","Legal","250","240","50560","52490"
"In post","2021","Heterosexual / straight","Eastern Scotland","No function","2320","2180","31280","30080"
"In post","2021","Heterosexual / straight","Eastern Scotland","Project Delivery","250","250","40200","36060"
"In post","2021","Heterosexual / straight","Eastern Scotland","Property","210","200","33650","33300"
"In post","2021","Heterosexual / straight","Eastern Scotland","Security","70","60","26500","20060"
"In post","2021","Heterosexual / straight","Eastern Scotland","Unknown","7000","6570","37040","30650"
"In post","2021","Heterosexual / straight","Essex","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Debt","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Digital, Data & Technology","160","150","38080","34620"
"In post","2021","Heterosexual / straight","Essex","Finance","100","100","34440","31870"
"In post","2021","Heterosexual / straight","Essex","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Essex","Legal","160","150","40480","36240"
"In post","2021","Heterosexual / straight","Essex","No function","940","870","30040","28130"
"In post","2021","Heterosexual / straight","Essex","Project Delivery","110","110","39700","38630"
"In post","2021","Heterosexual / straight","Essex","Property","70","70","28690","26500"
"In post","2021","Heterosexual / straight","Essex","Security","160","160","40750","41070"
"In post","2021","Heterosexual / straight","Essex","Unknown","1930","1760","28540","29290"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Analysis","230","220","39270","37320"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Commercial","760","730","39750","37400"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Communications","170","160","37590","34930"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Counter Fraud","230","220","35050","31810"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Digital, Data & Technology","510","490","39420","36760"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Finance","860","820","39680","34920"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Human Resources","740","690","36770","32780"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Internal Audit","60","60","43330","41300"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Legal","230","210","42200","39550"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","No function","5460","5130","35700","31810"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Project Delivery","7950","7700","38890","37320"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Property","540","520","38220","36420"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Security","360","360","28910","24610"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","3270","3050","30550","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Analysis","140","140","39020","38630"
"In post","2021","Heterosexual / straight","Greater Manchester","Commercial","200","190","39550","36500"
"In post","2021","Heterosexual / straight","Greater Manchester","Communications","220","220","30770","30310"
"In post","2021","Heterosexual / straight","Greater Manchester","Counter Fraud","630","600","34140","31810"
"In post","2021","Heterosexual / straight","Greater Manchester","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Greater Manchester","Digital, Data & Technology","240","230","40020","38180"
"In post","2021","Heterosexual / straight","Greater Manchester","Finance","220","210","41060","38630"
"In post","2021","Heterosexual / straight","Greater Manchester","Human Resources","470","450","34570","32000"
"In post","2021","Heterosexual / straight","Greater Manchester","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Greater Manchester","Legal","460","420","41380","38630"
"In post","2021","Heterosexual / straight","Greater Manchester","No function","4680","4400","30520","26090"
"In post","2021","Heterosexual / straight","Greater Manchester","Project Delivery","390","380","41770","38630"
"In post","2021","Heterosexual / straight","Greater Manchester","Property","150","140","38310","33430"
"In post","2021","Heterosexual / straight","Greater Manchester","Security","50","50","32800","32860"
"In post","2021","Heterosexual / straight","Greater Manchester","Unknown","4620","4300","28650","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Analysis","580","550","39210","37320"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Commercial","260","250","33590","33300"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Communications","150","140","32240","29540"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Counter Fraud","80","80","32820","31810"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Digital, Data & Technology","250","240","36750","33300"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Finance","310","300","37340","33300"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Human Resources","230","210","34840","31040"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Internal Audit","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Legal","220","200","42190","40000"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","No function","3740","3270","30300","26570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Project Delivery","1240","1200","37390","34930"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Property","340","330","35640","33300"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Security","510","510","27840","21250"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Unknown","2940","2750","29190","27570"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Digital, Data & Technology","60","60","37840","32250"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Finance","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Grants Management","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Human Resources","90","80","38040","31180"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","No function","1330","1270","28270","25400"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Project Delivery","140","140","25950","24570"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Security","100","100","31900","33300"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Unknown","930","850","25540","26670"
"In post","2021","Heterosexual / straight","Highlands and Islands","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","No function","180","160","30050","28410"
"In post","2021","Heterosexual / straight","Highlands and Islands","Project Delivery","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Property","90","90","31210","30160"
"In post","2021","Heterosexual / straight","Highlands and Islands","Security","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Unknown","740","690","26920","27570"
"In post","2021","Heterosexual / straight","Inner London - East","Analysis","450","440","51160","46940"
"In post","2021","Heterosexual / straight","Inner London - East","Commercial","130","130","48680","44020"
"In post","2021","Heterosexual / straight","Inner London - East","Communications","140","140","46840","41030"
"In post","2021","Heterosexual / straight","Inner London - East","Counter Fraud","110","100","41310","38510"
"In post","2021","Heterosexual / straight","Inner London - East","Debt","120","110","28660","25630"
"In post","2021","Heterosexual / straight","Inner London - East","Digital, Data & Technology","810","790","51960","54700"
"In post","2021","Heterosexual / straight","Inner London - East","Finance","310","300","48050","42040"
"In post","2021","Heterosexual / straight","Inner London - East","Human Resources","330","310","48630","43640"
"In post","2021","Heterosexual / straight","Inner London - East","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inner London - East","Legal","300","290","57290","57740"
"In post","2021","Heterosexual / straight","Inner London - East","No function","4530","4300","40650","36260"
"In post","2021","Heterosexual / straight","Inner London - East","Project Delivery","700","680","53670","52580"
"In post","2021","Heterosexual / straight","Inner London - East","Property","230","220","45370","38180"
"In post","2021","Heterosexual / straight","Inner London - East","Security","50","50","40300","40170"
"In post","2021","Heterosexual / straight","Inner London - East","Unknown","2670","2540","34040","31060"
"In post","2021","Heterosexual / straight","Inner London - West","Analysis","1810","1760","48820","44870"
"In post","2021","Heterosexual / straight","Inner London - West","Commercial","690","680","55710","47590"
"In post","2021","Heterosexual / straight","Inner London - West","Communications","1150","1130","47040","42470"
"In post","2021","Heterosexual / straight","Inner London - West","Counter Fraud","860","830","40740","36160"
"In post","2021","Heterosexual / straight","Inner London - West","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inner London - West","Digital, Data & Technology","1170","1150","48710","45780"
"In post","2021","Heterosexual / straight","Inner London - West","Finance","1350","1320","50190","46150"
"In post","2021","Heterosexual / straight","Inner London - West","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Inner London - West","Human Resources","1540","1500","47130","42200"
"In post","2021","Heterosexual / straight","Inner London - West","Internal Audit","140","140","53950","53070"
