"Status","Year","Sexual_orientation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","60-64","Intelligence Analysis","140","120","34220","31810"
"In post","2021","Heterosexual / straight","60-64","Internal Audit","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Knowledge and Information Management","110","100","35890","32140"
"In post","2021","Heterosexual / straight","60-64","Legal","440","360","51500","53630"
"In post","2021","Heterosexual / straight","60-64","Medicine","170","140","63740","44500"
"In post","2021","Heterosexual / straight","60-64","Operational Delivery","9390","7600","27990","25560"
"In post","2021","Heterosexual / straight","60-64","Operational Research","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Other","1940","1800","28430","22500"
"In post","2021","Heterosexual / straight","60-64","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Policy","670","610","49130","43840"
"In post","2021","Heterosexual / straight","60-64","Project Delivery","740","670","42810","40000"
"In post","2021","Heterosexual / straight","60-64","Property","590","530","36620","33300"
"In post","2021","Heterosexual / straight","60-64","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Science and Engineering","720","660","40160","38300"
"In post","2021","Heterosexual / straight","60-64","Security","590","540","26830","20920"
"In post","2021","Heterosexual / straight","60-64","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Statistics","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Tax","700","540","38150","35000"
"In post","2021","Heterosexual / straight","60-64","Unknown","6460","5110","28560","27570"
"In post","2021","Heterosexual / straight","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Commercial","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Digital, Data and Technology","130","110","41140","36160"
"In post","2021","Heterosexual / straight","65+","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Finance","130","110","33980","29740"
"In post","2021","Heterosexual / straight","65+","Human Resources","80","70","35620","33230"
"In post","2021","Heterosexual / straight","65+","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Legal","130","90","49700","53630"
"In post","2021","Heterosexual / straight","65+","Medicine","50","50","66210","74070"
"In post","2021","Heterosexual / straight","65+","Operational Delivery","2930","2200","26620","23500"
"In post","2021","Heterosexual / straight","65+","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Other","660","580","27160","22080"
"In post","2021","Heterosexual / straight","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Policy","170","140","46470","37640"
"In post","2021","Heterosexual / straight","65+","Project Delivery","190","160","39960","37320"
"In post","2021","Heterosexual / straight","65+","Property","230","200","32940","33250"
"In post","2021","Heterosexual / straight","65+","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Science and Engineering","290","230","38260","35660"
"In post","2021","Heterosexual / straight","65+","Security","170","150","25060","21130"
"In post","2021","Heterosexual / straight","65+","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Tax","200","140","38600","35000"
"In post","2021","Heterosexual / straight","65+","Unknown","1710","1250","27300","27570"
"In post","2021","Heterosexual / straight","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Tax","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Commercial","50","50","30360","28350"
"In post","2021","LGBO","20-29","Communications","60","60","36030","34710"
"In post","2021","LGBO","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Digital, Data and Technology","130","130","33940","31810"
"In post","2021","LGBO","20-29","Economics","90","80","39140","34570"
"In post","2021","LGBO","20-29","Finance","50","50","33160","30390"
"In post","2021","LGBO","20-29","Human Resources","90","90","33130","30410"
"In post","2021","LGBO","20-29","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","LGBO","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","International Trade","30","30","[c]","[c]"
"In post","2021","LGBO","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Legal","70","70","36190","33460"
"In post","2021","LGBO","20-29","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Operational Delivery","1670","1640","25560","24440"
"In post","2021","LGBO","20-29","Operational Research","40","30","[c]","[c]"
"In post","2021","LGBO","20-29","Other","140","130","28500","26670"
"In post","2021","LGBO","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Policy","740","730","39230","35070"
"In post","2021","LGBO","20-29","Project Delivery","150","140","33140","33000"
"In post","2021","LGBO","20-29","Property","30","30","[c]","[c]"
"In post","2021","LGBO","20-29","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Science and Engineering","190","190","28580","27540"
"In post","2021","LGBO","20-29","Security","50","50","30100","26610"
"In post","2021","LGBO","20-29","Social Research","30","30","[c]","[c]"
"In post","2021","LGBO","20-29","Statistics","70","70","34810","32010"
"In post","2021","LGBO","20-29","Tax","200","200","27470","25560"
"In post","2021","LGBO","20-29","Unknown","1450","1430","28310","27570"
"In post","2021","LGBO","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Commercial","50","50","[c]","[c]"
"In post","2021","LGBO","30-39","Communications","80","70","42510","39750"
"In post","2021","LGBO","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Digital, Data and Technology","160","160","41660","38490"
"In post","2021","LGBO","30-39","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Finance","70","70","45950","43730"
"In post","2021","LGBO","30-39","Human Resources","90","90","42020","38060"
"In post","2021","LGBO","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Intelligence Analysis","40","40","[c]","[c]"
"In post","2021","LGBO","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Legal","130","130","46870","51250"
"In post","2021","LGBO","30-39","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Operational Delivery","1840","1810","28520","26220"
"In post","2021","LGBO","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Other","160","160","32830","30270"
"In post","2021","LGBO","30-39","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Policy","600","590","49130","52290"
"In post","2021","LGBO","30-39","Project Delivery","180","170","43380","39200"
"In post","2021","LGBO","30-39","Property","40","40","[c]","[c]"
"In post","2021","LGBO","30-39","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Science and Engineering","110","100","37440","36720"
"In post","2021","LGBO","30-39","Security","80","80","32560","31150"
"In post","2021","LGBO","30-39","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Statistics","40","30","[c]","[c]"
"In post","2021","LGBO","30-39","Tax","190","190","35990","31810"
"In post","2021","LGBO","30-39","Unknown","1260","1230","32780","27570"
"In post","2021","LGBO","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Commercial","40","30","[c]","[c]"
"In post","2021","LGBO","40-49","Communications","40","40","[c]","[c]"
"In post","2021","LGBO","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Digital, Data and Technology","110","110","45550","38830"
"In post","2021","LGBO","40-49","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Finance","60","60","47340","46640"
"In post","2021","LGBO","40-49","Human Resources","80","80","47030","43110"
"In post","2021","LGBO","40-49","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Legal","110","110","55230","55490"
"In post","2021","LGBO","40-49","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Operational Delivery","1360","1320","32020","28470"
"In post","2021","LGBO","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Other","120","120","35280","28660"
"In post","2021","LGBO","40-49","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Policy","330","320","56540","54840"
"In post","2021","LGBO","40-49","Project Delivery","130","120","46100","41760"
"In post","2021","LGBO","40-49","Property","50","50","[c]","[c]"
"In post","2021","LGBO","40-49","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Science and Engineering","70","70","45230","45780"
"In post","2021","LGBO","40-49","Security","50","50","34750","37170"
"In post","2021","LGBO","40-49","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Tax","110","110","35040","31810"
"In post","2021","LGBO","40-49","Unknown","1000","970","33170","27570"
"In post","2021","LGBO","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Digital, Data and Technology","80","80","46880","43560"
"In post","2021","LGBO","50-59","Economics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Finance","50","40","[c]","[c]"
"In post","2021","LGBO","50-59","Human Resources","70","70","42570","40530"
"In post","2021","LGBO","50-59","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Legal","110","110","56510","58070"
"In post","2021","LGBO","50-59","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Operational Delivery","1230","1170","31190","28130"
"In post","2021","LGBO","50-59","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Other","120","120","31630","26800"
"In post","2021","LGBO","50-59","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Policy","210","210","54480","54500"
"In post","2021","LGBO","50-59","Project Delivery","110","110","44700","40050"
"In post","2021","LGBO","50-59","Property","40","40","[c]","[c]"
"In post","2021","LGBO","50-59","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Science and Engineering","40","40","[c]","[c]"
"In post","2021","LGBO","50-59","Security","50","50","33690","32910"
"In post","2021","LGBO","50-59","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Tax","110","100","36880","31870"
"In post","2021","LGBO","50-59","Unknown","950","900","31390","27570"
"In post","2021","LGBO","50-59","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
