"Status","Year","Function_of_post","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Undeclared","Undeclared","110","110","40040","37530"
"In post","2021","Commercial","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Declared non-disabled","130","130","54640","39650"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","1450","1420","59950","54700"
"In post","2021","Commercial","White","Declared disabled","460","450","38670","35900"
"In post","2021","Commercial","White","Declared non-disabled","3300","3190","43240","38630"
"In post","2021","Commercial","White","Undeclared","240","230","43610","39790"
"In post","2021","Commercial","White","Unknown","490","470","39960","36300"
"In post","2021","Communications","Asian","Declared disabled","30","30","[c]","[c]"
"In post","2021","Communications","Asian","Declared non-disabled","400","390","32850","29810"
"In post","2021","Communications","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","Unknown","60","60","33410","31330"
"In post","2021","Communications","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Declared non-disabled","140","140","32920","29350"
"In post","2021","Communications","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","Unknown","40","40","[c]","[c]"
"In post","2021","Communications","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Declared non-disabled","130","120","36870","33120"
"In post","2021","Communications","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","Declared non-disabled","80","80","34770","31810"
"In post","2021","Communications","Undeclared","Undeclared","100","100","32800","30980"
"In post","2021","Communications","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Declared non-disabled","120","120","34700","31040"
"In post","2021","Communications","Unknown","Undeclared","50","50","47490","43360"
"In post","2021","Communications","Unknown","Unknown","1990","1940","32590","25560"
"In post","2021","Communications","White","Declared disabled","460","430","32320","28650"
"In post","2021","Communications","White","Declared non-disabled","3800","3650","36160","31810"
"In post","2021","Communications","White","Undeclared","180","170","34760","28150"
"In post","2021","Communications","White","Unknown","450","430","36340","32100"
"In post","2021","Counter Fraud","Asian","Declared disabled","50","40","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Declared non-disabled","450","440","32760","31810"
"In post","2021","Counter Fraud","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Asian","Unknown","90","90","30380","29570"
"In post","2021","Counter Fraud","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Declared non-disabled","190","180","31710","30360"
"In post","2021","Counter Fraud","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Declared non-disabled","100","100","34760","31810"
"In post","2021","Counter Fraud","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Declared disabled","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Undeclared","Declared non-disabled","110","100","36620","32520"
"In post","2021","Counter Fraud","Undeclared","Undeclared","350","330","36680","32100"
"In post","2021","Counter Fraud","Undeclared","Unknown","90","80","34970","32520"
"In post","2021","Counter Fraud","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Declared non-disabled","150","140","38010","36060"
"In post","2021","Counter Fraud","Unknown","Undeclared","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","1460","1400","31400","29570"
"In post","2021","Counter Fraud","White","Declared disabled","660","600","33130","31810"
"In post","2021","Counter Fraud","White","Declared non-disabled","4880","4590","34640","31810"
"In post","2021","Counter Fraud","White","Undeclared","230","210","34860","31810"
"In post","2021","Counter Fraud","White","Unknown","540","490","32210","31810"
"In post","2021","Debt","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Asian","Declared non-disabled","270","240","23260","21440"
"In post","2021","Debt","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Asian","Unknown","50","40","[c]","[c]"
"In post","2021","Debt","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Black","Declared non-disabled","110","100","25030","24120"
"In post","2021","Debt","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Undeclared","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Debt","Undeclared","Undeclared","80","70","25130","21440"
"In post","2021","Debt","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Declared non-disabled","60","50","24490","24670"
"In post","2021","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","Unknown","1460","1380","21320","20140"
"In post","2021","Debt","White","Declared disabled","310","260","22830","21440"
"In post","2021","Debt","White","Declared non-disabled","1780","1590","24250","21440"
"In post","2021","Debt","White","Undeclared","100","90","23710","21440"
"In post","2021","Debt","White","Unknown","220","190","25340","21440"
"In post","2021","Digital, Data & Technology","Asian","Declared disabled","60","50","37220","32970"
"In post","2021","Digital, Data & Technology","Asian","Declared non-disabled","600","590","42030","38000"
"In post","2021","Digital, Data & Technology","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Asian","Unknown","130","130","39770","36500"
"In post","2021","Digital, Data & Technology","Black","Declared disabled","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","Black","Declared non-disabled","290","290","38780","34560"
"In post","2021","Digital, Data & Technology","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Black","Unknown","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","Declared non-disabled","170","170","43250","39780"
"In post","2021","Digital, Data & Technology","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","Declared non-disabled","70","70","43970","39650"
"In post","2021","Digital, Data & Technology","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Declared disabled","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Declared non-disabled","270","260","42950","40450"
"In post","2021","Digital, Data & Technology","Undeclared","Undeclared","260","250","41130","38630"
"In post","2021","Digital, Data & Technology","Undeclared","Unknown","80","80","40280","38630"
"In post","2021","Digital, Data & Technology","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Declared non-disabled","330","320","40110","39650"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","2080","2050","40520","36780"
"In post","2021","Digital, Data & Technology","White","Declared disabled","890","850","39030","35900"
"In post","2021","Digital, Data & Technology","White","Declared non-disabled","6750","6520","42500","38650"
"In post","2021","Digital, Data & Technology","White","Undeclared","340","330","40200","38210"
"In post","2021","Digital, Data & Technology","White","Unknown","930","910","40670","38180"
"In post","2021","Finance","Asian","Declared disabled","40","40","[c]","[c]"
"In post","2021","Finance","Asian","Declared non-disabled","590","570","38630","35300"
"In post","2021","Finance","Asian","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Asian","Unknown","80","80","35720","33140"
"In post","2021","Finance","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","Declared non-disabled","290","290","39830","36800"
"In post","2021","Finance","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Finance","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Declared non-disabled","120","120","42360","39750"
"In post","2021","Finance","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Declared non-disabled","50","50","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Undeclared","Declared disabled","30","30","[c]","[c]"
"In post","2021","Finance","Undeclared","Declared non-disabled","130","120","40750","37050"
"In post","2021","Finance","Undeclared","Undeclared","170","160","39420","35330"
"In post","2021","Finance","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Finance","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Declared non-disabled","110","100","35580","32870"
"In post","2021","Finance","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","1040","980","35670","32010"
"In post","2021","Finance","White","Declared disabled","670","620","37740","33140"
"In post","2021","Finance","White","Declared non-disabled","5010","4730","40250","36160"
"In post","2021","Finance","White","Undeclared","250","230","38720","34400"
"In post","2021","Finance","White","Unknown","540","500","38290","33300"
"In post","2021","Grants Management","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Asian","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Black","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Undeclared","Declared non-disabled","60","50","27590","26370"
"In post","2021","Grants Management","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Declared non-disabled","670","630","24140","21050"
"In post","2021","Grants Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","White","Declared disabled","130","120","25520","21050"
"In post","2021","Grants Management","White","Declared non-disabled","920","820","26290","25100"
"In post","2021","Grants Management","White","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Asian","Declared disabled","60","60","40290","36220"
"In post","2021","Human Resources","Asian","Declared non-disabled","340","320","36750","32960"
"In post","2021","Human Resources","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Asian","Unknown","50","50","34640","31680"
"In post","2021","Human Resources","Black","Declared disabled","40","40","[c]","[c]"
"In post","2021","Human Resources","Black","Declared non-disabled","230","220","37170","33870"
"In post","2021","Human Resources","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Black","Unknown","30","30","[c]","[c]"
"In post","2021","Human Resources","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Declared disabled","40","40","[c]","[c]"
"In post","2021","Human Resources","Mixed","Declared non-disabled","120","110","39560","35060"
"In post","2021","Human Resources","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Human Resources","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Declared disabled","30","30","[c]","[c]"
"In post","2021","Human Resources","Undeclared","Declared non-disabled","100","90","34860","33300"
"In post","2021","Human Resources","Undeclared","Undeclared","120","110","37410","31820"
"In post","2021","Human Resources","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","Declared non-disabled","110","100","39490","34770"
"In post","2021","Human Resources","Unknown","Undeclared","50","50","[c]","[c]"
"In post","2021","Human Resources","Unknown","Unknown","790","750","34220","31590"
"In post","2021","Human Resources","White","Declared disabled","1020","960","38430","33300"
"In post","2021","Human Resources","White","Declared non-disabled","5390","5100","38350","33300"
"In post","2021","Human Resources","White","Undeclared","290","270","37050","33290"
"In post","2021","Human Resources","White","Unknown","620","580","34090","29540"
"In post","2021","Internal Audit","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Declared non-disabled","60","60","45850","44020"
"In post","2021","Internal Audit","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Black","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Internal Audit","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","White","Declared disabled","70","70","44640","40230"
"In post","2021","Internal Audit","White","Declared non-disabled","440","420","46770","43990"
"In post","2021","Internal Audit","White","Undeclared","30","30","[c]","[c]"
"In post","2021","Internal Audit","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Declared disabled","110","100","42080","38190"
"In post","2021","Legal","Asian","Declared non-disabled","840","790","43280","43090"
"In post","2021","Legal","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Asian","Unknown","170","160","37670","38000"
"In post","2021","Legal","Black","Declared disabled","60","60","40580","35020"
"In post","2021","Legal","Black","Declared non-disabled","490","470","42390","36240"
"In post","2021","Legal","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Black","Unknown","80","80","35500","27760"
"In post","2021","Legal","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Legal","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Declared disabled","40","30","[c]","[c]"
"In post","2021","Legal","Mixed","Declared non-disabled","250","230","48030","50880"
"In post","2021","Legal","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Mixed","Unknown","50","50","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Declared non-disabled","100","90","51230","52660"
"In post","2021","Legal","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Undeclared","Declared non-disabled","180","170","46570","47100"
"In post","2021","Legal","Undeclared","Undeclared","100","100","49150","46530"
"In post","2021","Legal","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Legal","Unknown","Declared disabled","50","50","[c]","[c]"
"In post","2021","Legal","Unknown","Declared non-disabled","420","390","44690","42620"
"In post","2021","Legal","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Unknown","2690","2470","35090","29350"
"In post","2021","Legal","White","Declared disabled","940","860","44230","42520"
"In post","2021","Legal","White","Declared non-disabled","6840","6290","48010","50500"
"In post","2021","Legal","White","Undeclared","180","170","50620","50940"
"In post","2021","Legal","White","Unknown","1020","960","39380","38000"
"In post","2021","No function","Asian","Declared disabled","790","740","30980","28200"
"In post","2021","No function","Asian","Declared non-disabled","7140","6700","32250","28220"
"In post","2021","No function","Asian","Undeclared","460","430","32650","29570"
"In post","2021","No function","Asian","Unknown","920","860","36020","31810"
"In post","2021","No function","Black","Declared disabled","660","630","31660","29570"
"In post","2021","No function","Black","Declared non-disabled","4340","4190","31850","29570"
"In post","2021","No function","Black","Undeclared","430","400","32300","31650"
"In post","2021","No function","Black","Unknown","400","380","36350","32260"
"In post","2021","No function","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Declared non-disabled","350","330","36070","32300"
"In post","2021","No function","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Chinese","Unknown","60","60","43580","39720"
"In post","2021","No function","Mixed","Declared disabled","450","430","32140","30170"
"In post","2021","No function","Mixed","Declared non-disabled","2330","2240","35270","31650"
"In post","2021","No function","Mixed","Undeclared","210","200","33250","31650"
"In post","2021","No function","Mixed","Unknown","280","270","37000","32910"
"In post","2021","No function","Other ethnicity","Declared disabled","140","140","34900","32650"
"In post","2021","No function","Other ethnicity","Declared non-disabled","660","630","36550","32690"
"In post","2021","No function","Other ethnicity","Undeclared","70","60","34280","31650"
"In post","2021","No function","Other ethnicity","Unknown","110","110","39930","33610"
"In post","2021","No function","Undeclared","Declared disabled","610","560","31920","29270"
"In post","2021","No function","Undeclared","Declared non-disabled","2390","2250","34280","30780"
"In post","2021","No function","Undeclared","Undeclared","2630","2470","35270","31810"
"In post","2021","No function","Undeclared","Unknown","1290","1200","37420","33650"
"In post","2021","No function","Unknown","Declared disabled","600","530","30640","28200"
"In post","2021","No function","Unknown","Declared non-disabled","3220","2940","33540","30400"
"In post","2021","No function","Unknown","Undeclared","1320","1230","34250","31650"
"In post","2021","No function","Unknown","Unknown","26050","24760","29520","25850"
"In post","2021","No function","White","Declared disabled","14230","13080","31060","27490"
"In post","2021","No function","White","Declared non-disabled","92960","86510","33740","29750"
"In post","2021","No function","White","Undeclared","8720","7980","31710","31650"
