"Status","Year","Region_ITL3","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Antrim and Newtownabbey","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Security","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","50-59","Unknown","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Security","30","30","[c]","[c]"
"In post","2021","Ards and North Down","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","50-59","Security","50","50","[c]","[c]"
"In post","2021","Ards and North Down","50-59","Unknown","40","30","[c]","[c]"
"In post","2021","Ards and North Down","60-64","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","No function","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","65+","Security","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","20-29","Unknown","70","70","30380","31060"
"In post","2021","Barking & Dagenham and Havering","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","30-39","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","30-39","Unknown","80","70","31010","31060"
"In post","2021","Barking & Dagenham and Havering","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","40-49","Unknown","110","100","30910","31060"
"In post","2021","Barking & Dagenham and Havering","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","No function","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","50-59","Unknown","160","150","31510","31060"
"In post","2021","Barking & Dagenham and Havering","60-64","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","60-64","Unknown","40","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","20-29","No function","250","240","30270","27520"
"In post","2021","Barnet","20-29","Unknown","80","80","31260","31060"
"In post","2021","Barnet","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","30-39","No function","250","230","39410","36730"
"In post","2021","Barnet","30-39","Unknown","70","60","36240","31060"
"In post","2021","Barnet","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","40-49","No function","250","230","47540","44950"
"In post","2021","Barnet","40-49","Unknown","90","80","35570","31060"
"In post","2021","Barnet","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","No function","240","220","44850","40470"
"In post","2021","Barnet","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","50-59","Unknown","170","160","35970","31880"
"In post","2021","Barnet","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","60-64","No function","80","70","51480","38930"
"In post","2021","Barnet","60-64","Unknown","50","40","[c]","[c]"
"In post","2021","Barnet","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","65+","No function","30","30","[c]","[c]"
"In post","2021","Barnet","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","No function","310","310","24710","24920"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","20-29","Unknown","100","90","24280","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","No function","300","280","26970","26210"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","30-39","Unknown","210","190","25020","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","No function","280","260","30440","26850"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","40-49","Unknown","370","310","25280","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","No function","420","390","30340","28540"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","50-59","Unknown","530","470","25680","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","No function","120","90","27920","27680"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","60-64","Unknown","160","110","24020","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","No function","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","65+","Unknown","30","20","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Project Delivery","80","80","17790","17780"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Commercial","120","120","31260","30520"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Finance","150","150","26680","25530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Human Resources","110","110","24710","21000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","No function","210","210","26550","24920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Project Delivery","1900","1890","27710","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Property","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","Unknown","200","190","29090","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Commercial","160","150","39380","39480"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Finance","150","140","38870","37370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Human Resources","150","130","32310","29540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","No function","230","210","31180","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Project Delivery","1980","1910","37540","37070"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Property","80","80","35940","33710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","Unknown","280","270","32400","28230"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Commercial","150","140","50340","42630"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Finance","140","130","44350","41010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Human Resources","150","140","40130","36140"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","No function","210","200","33330","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Project Delivery","1740","1690","43530","41200"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Property","70","70","40720","39800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Security","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","Unknown","300","280","34090","28350"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Commercial","170","170","52610","44710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Finance","180","170","48550","44430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Human Resources","160","160","41520","36230"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","No function","290","270","34280","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Project Delivery","1970","1930","45580","42370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Property","80","80","44220","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Security","50","50","31420","27750"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","Unknown","380","360","35450","32570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Commercial","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Finance","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Human Resources","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","No function","50","40","30130","27600"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Project Delivery","520","460","43540","41590"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","Security","[c]","[c]","[c]","[c]"
