"Status","Year","Disability","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","50-59","30","30","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","20-29","30","30","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","30-39","70","70","38080","38090"
"In post","2021","Declared disabled","Crown Prosecution Service","40-49","200","180","40710","38180"
"In post","2021","Declared disabled","Crown Prosecution Service","50-59","340","310","44100","38180"
"In post","2021","Declared disabled","Crown Prosecution Service","60-64","80","60","45540","51730"
"In post","2021","Declared disabled","Crown Prosecution Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","20-29","160","160","26870","26070"
"In post","2021","Declared disabled","Defence Equipment and Support","30-39","180","170","33380","32400"
"In post","2021","Declared disabled","Defence Equipment and Support","40-49","220","210","39530","37550"
"In post","2021","Declared disabled","Defence Equipment and Support","50-59","380","360","37920","37310"
"In post","2021","Declared disabled","Defence Equipment and Support","60-64","120","110","35570","34000"
"In post","2021","Declared disabled","Defence Equipment and Support","65+","30","30","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","20-29","100","100","28290","28650"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","30-39","110","110","36520","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","40-49","100","100","42110","46080"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","50-59","100","100","43340","46080"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","130","130","39230","35140"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","120","120","50820","53380"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","90","90","54300","53600"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","100","90","46940","40780"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","20-29","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","30-39","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","20-29","90","90","36250","33190"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","30-39","130","120","42620","40510"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","40-49","130","120","44890","37100"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","50-59","150","140","43080","38660"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","110","110","34190","32890"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","130","120","41150","36970"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","170","160","42650","38020"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","140","140","42170","39410"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","20-29","50","50","36940","32120"
"In post","2021","Declared disabled","Department for International Trade","30-39","50","50","51540","51970"
"In post","2021","Declared disabled","Department for International Trade","40-49","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","50-59","50","50","45580","38830"
"In post","2021","Declared disabled","Department for International Trade","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","20-29","50","50","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","30-39","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","40-49","50","40","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","50-59","50","50","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","20-29","1130","1100","26320","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","30-39","1790","1640","27260","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","40-49","3580","3190","27220","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","50-59","6230","5550","27340","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","60-64","1940","1490","26400","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","65+","540","370","25660","26120"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","20-29","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","30-39","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","50-59","40","40","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","30-39","120","100","22820","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","40-49","160","140","23440","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","50-59","230","200","25670","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","60-64","110","70","24370","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","30-39","40","30","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","40-49","100","100","29660","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","50-59","180","170","29180","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","60-64","90","80","29700","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","65+","30","20","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","30-39","30","30","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","40-49","60","50","38600","36780"
"In post","2021","Declared disabled","Education and Skills Funding Agency","50-59","50","50","42000","37100"
"In post","2021","Declared disabled","Education and Skills Funding Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","20-29","120","120","35030","35700"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","190","190","46500","45490"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","40-49","190","180","47640","39630"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","50-59","180","170","45180","40100"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","30-39","50","50","50000","51830"
"In post","2021","Declared disabled","Government Legal Department","40-49","50","50","54850","56290"
"In post","2021","Declared disabled","Government Legal Department","50-59","50","50","59650","64030"
"In post","2021","Declared disabled","Government Legal Department","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","30-39","30","30","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","40-49","70","60","41210","43220"
"In post","2021","Declared disabled","Health and Safety Executive","50-59","160","140","40710","35910"
"In post","2021","Declared disabled","Health and Safety Executive","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","20-29","150","150","21340","19930"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","30-39","300","270","22590","20480"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","40-49","470","420","24820","21170"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","50-59","810","740","24720","21180"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","60-64","260","220","22020","20100"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","65+","90","70","21910","20100"
"In post","2021","Declared disabled","HM Land Registry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","20-29","30","30","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","30-39","40","30","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","40-49","90","80","31570","27130"
"In post","2021","Declared disabled","HM Land Registry","50-59","240","220","31040","27130"
"In post","2021","Declared disabled","HM Land Registry","60-64","60","40","31600","27130"
"In post","2021","Declared disabled","HM Land Registry","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Prison and Probation Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Prison and Probation Service","20-29","660","650","25990","24920"
"In post","2021","Declared disabled","HM Prison and Probation Service","30-39","1150","1100","29220","27880"
"In post","2021","Declared disabled","HM Prison and Probation Service","40-49","1350","1290","32050","31650"
"In post","2021","Declared disabled","HM Prison and Probation Service","50-59","2000","1900","32410","31650"
"In post","2021","Declared disabled","HM Prison and Probation Service","60-64","650","530","29850","28200"
