"Status","Year","Sex","Function_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","Communications","Undeclared","130","130","33590","31810"
"In post","2021","Male","Communications","Unknown","1100","1090","32290","25560"
"In post","2021","Male","Communications","White","2240","2200","35200","31810"
"In post","2021","Male","Counter Fraud","Asian","320","320","33160","31810"
"In post","2021","Male","Counter Fraud","Black","90","90","31710","29570"
"In post","2021","Male","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Mixed","80","70","36840","34250"
"In post","2021","Male","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Counter Fraud","Undeclared","380","360","37520","32520"
"In post","2021","Male","Counter Fraud","Unknown","960","930","33130","31810"
"In post","2021","Male","Counter Fraud","White","3250","3130","35660","31810"
"In post","2021","Male","Debt","Asian","140","120","24100","21400"
"In post","2021","Male","Debt","Black","60","50","25310","25600"
"In post","2021","Male","Debt","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Debt","Undeclared","70","70","25100","21440"
"In post","2021","Male","Debt","Unknown","740","720","21370","20140"
"In post","2021","Male","Debt","White","1000","960","24300","21440"
"In post","2021","Male","Digital, Data & Technology","Asian","480","480","41190","37640"
"In post","2021","Male","Digital, Data & Technology","Black","220","220","39930","36030"
"In post","2021","Male","Digital, Data & Technology","Chinese","30","30","[c]","[c]"
"In post","2021","Male","Digital, Data & Technology","Mixed","130","130","44470","40040"
"In post","2021","Male","Digital, Data & Technology","Other ethnicity","60","60","45840","40230"
"In post","2021","Male","Digital, Data & Technology","Undeclared","500","490","42090","39670"
"In post","2021","Male","Digital, Data & Technology","Unknown","1700","1680","40390","37060"
"In post","2021","Male","Digital, Data & Technology","White","5480","5380","42950","39100"
"In post","2021","Male","Finance","Asian","380","380","39760","36640"
"In post","2021","Male","Finance","Black","130","130","41640","38580"
"In post","2021","Male","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Mixed","70","70","43840","40000"
"In post","2021","Male","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Finance","Undeclared","220","210","41520","37570"
"In post","2021","Male","Finance","Unknown","570","550","37270","32790"
"In post","2021","Male","Finance","White","2700","2650","43530","38980"
"In post","2021","Male","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Male","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Grants Management","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Grants Management","Undeclared","60","60","28010","26520"
"In post","2021","Male","Grants Management","Unknown","320","310","24590","21050"
"In post","2021","Male","Grants Management","White","400","390","27090","25190"
"In post","2021","Male","Human Resources","Asian","120","110","36230","32310"
"In post","2021","Male","Human Resources","Black","50","50","38230","34640"
"In post","2021","Male","Human Resources","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Mixed","60","60","40400","34020"
"In post","2021","Male","Human Resources","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Human Resources","Undeclared","100","100","37130","33150"
"In post","2021","Male","Human Resources","Unknown","320","320","35280","31950"
"In post","2021","Male","Human Resources","White","2230","2180","39010","34550"
"In post","2021","Male","Internal Audit","Asian","40","40","[c]","[c]"
"In post","2021","Male","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Male","Internal Audit","White","280","270","48600","45820"
"In post","2021","Male","Legal","Asian","370","360","43290","40800"
"In post","2021","Male","Legal","Black","170","170","43150","36160"
"In post","2021","Male","Legal","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Legal","Mixed","120","110","48850","51120"
"In post","2021","Male","Legal","Other ethnicity","60","60","54830","58460"
"In post","2021","Male","Legal","Undeclared","160","160","46740","47100"
"In post","2021","Male","Legal","Unknown","1060","1020","38550","29570"
"In post","2021","Male","Legal","White","3180","3080","49470","51250"
"In post","2021","Male","No function","Asian","4220","4070","32940","29730"
"In post","2021","Male","No function","Black","2230","2190","32930","31570"
"In post","2021","Male","No function","Chinese","200","190","36610","32560"
"In post","2021","Male","No function","Mixed","1400","1360","36670","32560"
"In post","2021","Male","No function","Other ethnicity","440","430","37800","33590"
"In post","2021","Male","No function","Undeclared","4090","3920","36450","32860"
"In post","2021","Male","No function","Unknown","15410","14910","31050","27690"
"In post","2021","Male","No function","White","57590","55300","35200","31650"
"In post","2021","Male","Project Delivery","Asian","580","570","42080","38630"
"In post","2021","Male","Project Delivery","Black","260","260","39070","36650"
"In post","2021","Male","Project Delivery","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Project Delivery","Mixed","230","220","43350","39860"
"In post","2021","Male","Project Delivery","Other ethnicity","80","70","44790","42940"
"In post","2021","Male","Project Delivery","Undeclared","1060","1030","43040","40580"
"In post","2021","Male","Project Delivery","Unknown","1510","1490","41640","38630"
"In post","2021","Male","Project Delivery","White","12050","11810","42240","39750"
"In post","2021","Male","Property","Asian","160","150","37060","31810"
"In post","2021","Male","Property","Black","60","50","38770","37530"
"In post","2021","Male","Property","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Property","Mixed","50","50","[c]","[c]"
"In post","2021","Male","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Male","Property","Undeclared","320","310","38110","35540"
"In post","2021","Male","Property","Unknown","860","830","32510","28870"
"In post","2021","Male","Property","White","3980","3880","36410","33300"
"In post","2021","Male","Security","Asian","150","150","30450","26590"
"In post","2021","Male","Security","Black","80","80","29470","22650"
"In post","2021","Male","Security","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Male","Security","Mixed","60","60","35060","31360"
"In post","2021","Male","Security","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Male","Security","Undeclared","380","380","34980","39010"
"In post","2021","Male","Security","Unknown","950","940","30540","27500"
"In post","2021","Male","Security","White","5040","4950","31400","27420"
"In post","2021","Male","Unknown","Asian","5240","5070","30010","27570"
"In post","2021","Male","Unknown","Black","1970","1930","30800","29290"
"In post","2021","Male","Unknown","Chinese","140","140","32540","28980"
"In post","2021","Male","Unknown","Mixed","1050","1010","31690","27570"
"In post","2021","Male","Unknown","Other ethnicity","370","360","33770","28670"
"In post","2021","Male","Unknown","Undeclared","4170","3970","31870","27570"
"In post","2021","Male","Unknown","Unknown","7030","6920","33970","29250"
"In post","2021","Male","Unknown","White","48380","46590","32100","27570"
"In post","2021","Unknown","Analysis","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Analysis","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","White","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Analysis","Asian","320","300","42650","38200"
"In post","2022","Female","Analysis","Black","120","120","39080","37930"
"In post","2022","Female","Analysis","Mixed","110","100","44180","41250"
"In post","2022","Female","Analysis","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Analysis","Undeclared","70","60","42960","38540"
"In post","2022","Female","Analysis","Unknown","390","370","41070","37930"
"In post","2022","Female","Analysis","White","2950","2760","42760","38340"
"In post","2022","Female","Commercial","Asian","150","140","40770","37900"
"In post","2022","Female","Commercial","Black","110","110","38680","36190"
"In post","2022","Female","Commercial","Mixed","60","60","36030","34880"
"In post","2022","Female","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Commercial","Undeclared","90","80","38430","37680"
"In post","2022","Female","Commercial","Unknown","910","880","57270","54700"
"In post","2022","Female","Commercial","White","2080","1970","40340","37130"
"In post","2022","Female","Communications","Asian","320","310","33600","28900"
"In post","2022","Female","Communications","Black","170","160","33040","30430"
"In post","2022","Female","Communications","Mixed","130","120","39000","33370"
"In post","2022","Female","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Communications","Undeclared","80","70","36890","33370"
"In post","2022","Female","Communications","Unknown","1030","990","35580","30730"
"In post","2022","Female","Communications","White","2820","2660","37680","33370"
"In post","2022","Female","Counter Fraud","Asian","730","640","30040","27570"
"In post","2022","Female","Counter Fraud","Black","410","380","31100","31020"
"In post","2022","Female","Counter Fraud","Mixed","140","130","30560","27570"
"In post","2022","Female","Counter Fraud","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Female","Counter Fraud","Undeclared","380","340","31350","28920"
"In post","2022","Female","Counter Fraud","Unknown","1050","970","31670","28920"
"In post","2022","Female","Counter Fraud","White","6240","5540","31220","27570"
"In post","2022","Female","Debt","Asian","450","370","23540","21260"
"In post","2022","Female","Debt","Black","140","130","25280","23600"
"In post","2022","Female","Debt","Mixed","70","60","22770","21260"
"In post","2022","Female","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Debt","Undeclared","130","110","23640","22080"
"In post","2022","Female","Debt","Unknown","680","600","22790","21250"
"In post","2022","Female","Debt","White","2680","2250","23880","21260"
"In post","2022","Female","Digital, Data & Technology","Asian","550","540","41220","37290"
"In post","2022","Female","Digital, Data & Technology","Black","270","270","39310","36330"
"In post","2022","Female","Digital, Data & Technology","Mixed","160","160","41040","39320"
"In post","2022","Female","Digital, Data & Technology","Other ethnicity","50","50","42600","38570"
"In post","2022","Female","Digital, Data & Technology","Undeclared","260","250","39700","37020"
"In post","2022","Female","Digital, Data & Technology","Unknown","960","920","40860","37300"
"In post","2022","Female","Digital, Data & Technology","White","6000","5670","39860","36660"
"In post","2022","Female","Finance","Asian","570","540","37540","34620"
"In post","2022","Female","Finance","Black","270","270","38320","35840"
"In post","2022","Female","Finance","Mixed","120","110","38530","35030"
"In post","2022","Female","Finance","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Female","Finance","Undeclared","200","190","36470","33320"
"In post","2022","Female","Finance","Unknown","770","710","35840","33000"
"In post","2022","Female","Finance","White","4910","4500","37650","33370"
"In post","2022","Female","Grants Management","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Female","Grants Management","Black","[c]","[c]","[c]","[c]"
"In post","2022","Female","Grants Management","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Female","Grants Management","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Grants Management","Unknown","490","450","23780","21300"
"In post","2022","Female","Grants Management","White","800","680","25520","24920"
"In post","2022","Female","Human Resources","Asian","480","450","37340","34260"
"In post","2022","Female","Human Resources","Black","300","290","36810","34270"
"In post","2022","Female","Human Resources","Mixed","180","170","40300","35700"
"In post","2022","Female","Human Resources","Other ethnicity","40","40","[c]","[c]"
"In post","2022","Female","Human Resources","Undeclared","210","190","36140","33300"
"In post","2022","Female","Human Resources","Unknown","690","660","35580","31740"
"In post","2022","Female","Human Resources","White","6180","5730","37540","33300"
"In post","2022","Female","Internal Audit","Asian","50","40","[c]","[c]"
"In post","2022","Female","Internal Audit","Black","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Female","Internal Audit","White","300","280","44570","42010"
"In post","2022","Female","Legal","Asian","810","740","43390","48080"
"In post","2022","Female","Legal","Black","470","440","40810","34160"
"In post","2022","Female","Legal","Mixed","220","200","47940","51250"
"In post","2022","Female","Legal","Other ethnicity","70","60","46580","50500"
"In post","2022","Female","Legal","Undeclared","170","160","48730","51670"
"In post","2022","Female","Legal","Unknown","890","810","46830","49470"
"In post","2022","Female","Legal","White","5450","4940","45670","48080"
"In post","2022","Female","No function","Asian","10190","9170","31230","27570"
"In post","2022","Female","No function","Black","6620","6280","31340","30210"
"In post","2022","Female","No function","Mixed","3210","3000","32370","28990"
"In post","2022","Female","No function","Other ethnicity","870","810","34120","30750"
"In post","2022","Female","No function","Undeclared","4600","4040","31040","27570"
"In post","2022","Female","No function","Unknown","21550","19790","29630","26820"
"In post","2022","Female","No function","White","112630","100420","30830","27570"
"In post","2022","Female","Project Delivery","Asian","620","580","41570","37930"
"In post","2022","Female","Project Delivery","Black","400","390","39670","37930"
"In post","2022","Female","Project Delivery","Mixed","230","220","41610","37930"
"In post","2022","Female","Project Delivery","Other ethnicity","50","50","42410","40000"
"In post","2022","Female","Project Delivery","Undeclared","380","360","39540","38070"
"In post","2022","Female","Project Delivery","Unknown","1230","1170","42420","40000"
"In post","2022","Female","Project Delivery","White","8940","8340","40910","38000"
"In post","2022","Female","Property","Asian","220","200","35560","31890"
"In post","2022","Female","Property","Black","130","120","37280","34260"
"In post","2022","Female","Property","Mixed","60","60","36220","32890"
"In post","2022","Female","Property","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Property","Undeclared","290","250","34730","31660"
"In post","2022","Female","Property","Unknown","540","510","29660","26030"
"In post","2022","Female","Property","White","2900","2720","35430","33000"
"In post","2022","Female","Security","Asian","120","120","35030","32260"
"In post","2022","Female","Security","Black","40","40","[c]","[c]"
"In post","2022","Female","Security","Mixed","50","50","36830","34670"
"In post","2022","Female","Security","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Female","Security","Undeclared","90","90","36860","34660"
"In post","2022","Female","Security","Unknown","340","330","31650","28700"
"In post","2022","Female","Security","White","2100","2020","33050","31180"
"In post","2022","Female","Unknown","Asian","3120","2840","32270","28990"
"In post","2022","Female","Unknown","Black","1440","1350","33230","29250"
"In post","2022","Female","Unknown","Mixed","660","620","36310","30830"
"In post","2022","Female","Unknown","Other ethnicity","150","140","34340","29430"
"In post","2022","Female","Unknown","Undeclared","1300","1190","34010","29430"
"In post","2022","Female","Unknown","Unknown","5100","4870","34270","28650"
"In post","2022","Female","Unknown","White","29740","27470","34590","29430"
"In post","2022","Male","Analysis","Asian","310","310","43110","39930"
"In post","2022","Male","Analysis","Black","100","100","39530","37610"
"In post","2022","Male","Analysis","Mixed","110","110","42160","38070"
"In post","2022","Male","Analysis","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Male","Analysis","Undeclared","170","170","46810","47010"
"In post","2022","Male","Analysis","Unknown","570","570","41870","37930"
"In post","2022","Male","Analysis","White","3180","3110","45200","39850"
"In post","2022","Male","Commercial","Asian","150","150","43880","40000"
"In post","2022","Male","Commercial","Black","60","60","42800","39950"
"In post","2022","Male","Commercial","Mixed","30","30","[c]","[c]"
"In post","2022","Male","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Male","Commercial","Undeclared","120","120","45900","41870"
"In post","2022","Male","Commercial","Unknown","930","930","62630","61710"
"In post","2022","Male","Commercial","White","1900","1870","45460","40330"
"In post","2022","Male","Communications","Asian","390","380","31020","26820"
"In post","2022","Male","Communications","Black","80","80","32100","27040"
"In post","2022","Male","Communications","Mixed","70","70","36180","33080"
"In post","2022","Male","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Male","Communications","Undeclared","120","120","34770","32000"
"In post","2022","Male","Communications","Unknown","1090","1080","33500","26820"
"In post","2022","Male","Communications","White","2220","2190","36920","33250"
"In post","2022","Male","Counter Fraud","Asian","630","610","32110","31020"
"In post","2022","Male","Counter Fraud","Black","210","200","30880","31020"
"In post","2022","Male","Counter Fraud","Mixed","120","120","35540","31990"
"In post","2022","Male","Counter Fraud","Other ethnicity","30","30","[c]","[c]"
"In post","2022","Male","Counter Fraud","Undeclared","580","540","35270","32900"
"In post","2022","Male","Counter Fraud","Unknown","1190","1160","33930","31850"
"In post","2022","Male","Counter Fraud","White","5280","5050","34270","31990"
"In post","2022","Male","Debt","Asian","310","290","23530","21260"
"In post","2022","Male","Debt","Black","70","70","25110","25330"
"In post","2022","Male","Debt","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Male","Debt","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Male","Debt","Undeclared","110","100","24280","21260"
"In post","2022","Male","Debt","Unknown","600","580","22790","21250"
"In post","2022","Male","Debt","White","1520","1440","24420","21260"
"In post","2022","Male","Digital, Data & Technology","Asian","850","840","42360","39000"
"In post","2022","Male","Digital, Data & Technology","Black","370","370","39740","36700"
"In post","2022","Male","Digital, Data & Technology","Mixed","190","190","42550","39780"
"In post","2022","Male","Digital, Data & Technology","Other ethnicity","70","70","46670","39910"
