"Status","Year","Responsibility_level","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","G6/G7","Undeclared","Unknown","470","460","60910","59590"
"In post","2021","G6/G7","Unknown","Analysis","490","470","57550","53560"
"In post","2021","G6/G7","Unknown","Commercial","770","750","61420","55350"
"In post","2021","G6/G7","Unknown","Communications","290","280","58110","55540"
"In post","2021","G6/G7","Unknown","Counter Fraud","150","140","57550","55120"
"In post","2021","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Digital, Data & Technology","810","800","57500","55000"
"In post","2021","G6/G7","Unknown","Finance","330","320","58440","55920"
"In post","2021","G6/G7","Unknown","Human Resources","210","210","56610","54700"
"In post","2021","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Legal","1100","1020","58410","57000"
"In post","2021","G6/G7","Unknown","No function","3870","3770","57650","54700"
"In post","2021","G6/G7","Unknown","Project Delivery","1310","1270","57160","55620"
"In post","2021","G6/G7","Unknown","Property","140","130","56490","54540"
"In post","2021","G6/G7","Unknown","Security","60","60","57660","54540"
"In post","2021","G6/G7","Unknown","Unknown","1920","1830","62190","61010"
"In post","2021","SCS","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Human Resources","40","40","[c]","[c]"
"In post","2021","SCS","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Legal","30","30","[c]","[c]"
"In post","2021","SCS","Declared disabled","No function","150","150","87230","77870"
"In post","2021","SCS","Declared disabled","Project Delivery","40","40","[c]","[c]"
"In post","2021","SCS","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared disabled","Unknown","90","90","88990","83230"
"In post","2021","SCS","Declared non-disabled","Analysis","120","120","87100","78630"
"In post","2021","SCS","Declared non-disabled","Commercial","170","170","110570","100540"
"In post","2021","SCS","Declared non-disabled","Communications","90","80","89300","81760"
"In post","2021","SCS","Declared non-disabled","Counter Fraud","30","30","[c]","[c]"
"In post","2021","SCS","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared non-disabled","Digital, Data & Technology","170","170","91390","86600"
"In post","2021","SCS","Declared non-disabled","Finance","210","210","90000","82450"
"In post","2021","SCS","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared non-disabled","Human Resources","150","150","89460","83660"
"In post","2021","SCS","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Declared non-disabled","Legal","350","330","89380","83460"
"In post","2021","SCS","Declared non-disabled","No function","2090","1990","88270","79980"
"In post","2021","SCS","Declared non-disabled","Project Delivery","540","530","91870","83630"
"In post","2021","SCS","Declared non-disabled","Property","60","60","90880","81670"
"In post","2021","SCS","Declared non-disabled","Security","30","30","[c]","[c]"
"In post","2021","SCS","Declared non-disabled","Unknown","1000","970","89910","83230"
"In post","2021","SCS","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","No function","150","130","91680","82100"
"In post","2021","SCS","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Undeclared","Unknown","40","30","[c]","[c]"
"In post","2021","SCS","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Commercial","400","390","85390","72000"
"In post","2021","SCS","Unknown","Communications","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Digital, Data & Technology","60","60","91800","83910"
"In post","2021","SCS","Unknown","Finance","40","40","[c]","[c]"
"In post","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Legal","60","60","89500","80580"
"In post","2021","SCS","Unknown","No function","570","540","99260","93000"
"In post","2021","SCS","Unknown","Project Delivery","90","90","91880","84400"
"In post","2021","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","SCS","Unknown","Unknown","210","210","92470","85000"
"In post","2021","SEO/HEO","Declared disabled","Analysis","330","310","36100","36480"
"In post","2021","SEO/HEO","Declared disabled","Commercial","290","280","38610","38300"
"In post","2021","SEO/HEO","Declared disabled","Communications","220","220","35570","33510"
"In post","2021","SEO/HEO","Declared disabled","Counter Fraud","350","330","35280","35000"
"In post","2021","SEO/HEO","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Declared disabled","Digital, Data & Technology","510","490","36790","36320"
"In post","2021","SEO/HEO","Declared disabled","Finance","340","320","36960","36440"
"In post","2021","SEO/HEO","Declared disabled","Grants Management","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Declared disabled","Human Resources","490","470","36860","36460"
"In post","2021","SEO/HEO","Declared disabled","Internal Audit","70","60","39590","39200"
"In post","2021","SEO/HEO","Declared disabled","Legal","300","280","38880","38000"
"In post","2021","SEO/HEO","Declared disabled","No function","3810","3640","36690","35890"
"In post","2021","SEO/HEO","Declared disabled","Project Delivery","1350","1290","36200","35790"
"In post","2021","SEO/HEO","Declared disabled","Property","310","290","36380","34640"
"In post","2021","SEO/HEO","Declared disabled","Security","150","150","39100","35630"
"In post","2021","SEO/HEO","Declared disabled","Unknown","3240","3050","36300","35110"
"In post","2021","SEO/HEO","Declared non-disabled","Analysis","2230","2160","36340","36160"
"In post","2021","SEO/HEO","Declared non-disabled","Commercial","1930","1880","38490","37960"
"In post","2021","SEO/HEO","Declared non-disabled","Communications","2060","2010","35820","34560"
"In post","2021","SEO/HEO","Declared non-disabled","Counter Fraud","2680","2550","35280","34170"
"In post","2021","SEO/HEO","Declared non-disabled","Debt","180","170","34250","31810"
"In post","2021","SEO/HEO","Declared non-disabled","Digital, Data & Technology","4290","4150","37370","37350"
"In post","2021","SEO/HEO","Declared non-disabled","Finance","2590","2500","37500","36990"
"In post","2021","SEO/HEO","Declared non-disabled","Grants Management","290","270","32600","31040"
"In post","2021","SEO/HEO","Declared non-disabled","Human Resources","2560","2450","36360","35590"
"In post","2021","SEO/HEO","Declared non-disabled","Internal Audit","340","320","40880","40910"
"In post","2021","SEO/HEO","Declared non-disabled","Legal","2150","1990","39180","38180"
"In post","2021","SEO/HEO","Declared non-disabled","No function","28280","27060","36930","36000"
"In post","2021","SEO/HEO","Declared non-disabled","Project Delivery","9660","9340","36250","36340"
"In post","2021","SEO/HEO","Declared non-disabled","Property","2590","2480","37410","36520"
"In post","2021","SEO/HEO","Declared non-disabled","Security","980","960","39730","36890"
"In post","2021","SEO/HEO","Declared non-disabled","Unknown","23380","22380","36850","35310"
"In post","2021","SEO/HEO","Undeclared","Analysis","190","180","36540","36300"
"In post","2021","SEO/HEO","Undeclared","Commercial","210","200","39760","39540"
"In post","2021","SEO/HEO","Undeclared","Communications","150","140","36500","35430"
"In post","2021","SEO/HEO","Undeclared","Counter Fraud","310","290","35110","34000"
"In post","2021","SEO/HEO","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Digital, Data & Technology","370","360","37470","37910"
"In post","2021","SEO/HEO","Undeclared","Finance","220","210","37640","36780"
"In post","2021","SEO/HEO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Human Resources","220","210","37740","36750"
"In post","2021","SEO/HEO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Undeclared","Legal","140","130","40330","40590"
"In post","2021","SEO/HEO","Undeclared","No function","3140","3010","37430","36710"
"In post","2021","SEO/HEO","Undeclared","Project Delivery","890","860","36870","37320"
"In post","2021","SEO/HEO","Undeclared","Property","290","280","37480","36460"
"In post","2021","SEO/HEO","Undeclared","Security","180","170","41530","38160"
"In post","2021","SEO/HEO","Undeclared","Unknown","1470","1430","37020","36140"
"In post","2021","SEO/HEO","Unknown","Analysis","960","940","34500","33790"
"In post","2021","SEO/HEO","Unknown","Commercial","600","580","36620","36820"
"In post","2021","SEO/HEO","Unknown","Communications","870","860","35550","33090"
"In post","2021","SEO/HEO","Unknown","Counter Fraud","870","840","34970","34050"
"In post","2021","SEO/HEO","Unknown","Debt","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Digital, Data & Technology","1660","1630","36990","36740"
"In post","2021","SEO/HEO","Unknown","Finance","680","660","36790","36500"
"In post","2021","SEO/HEO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Human Resources","570","550","35600","35230"
"In post","2021","SEO/HEO","Unknown","Internal Audit","30","30","[c]","[c]"
"In post","2021","SEO/HEO","Unknown","Legal","740","710","36120","36160"
"In post","2021","SEO/HEO","Unknown","No function","10030","9700","35620","34020"
"In post","2021","SEO/HEO","Unknown","Project Delivery","1850","1790","36680","37320"
"In post","2021","SEO/HEO","Unknown","Property","440","430","37060","36460"
"In post","2021","SEO/HEO","Unknown","Security","270","260","36980","34640"
"In post","2021","SEO/HEO","Unknown","Unknown","3620","3500","38620","37890"
"In post","2021","Unknown","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Commercial","30","30","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","No function","2230","2060","30490","30210"
"In post","2021","Unknown","Declared disabled","Project Delivery","120","120","40450","39860"
"In post","2021","Unknown","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Unknown","30","30","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Commercial","160","160","39900","37400"
"In post","2021","Unknown","Declared non-disabled","Digital, Data & Technology","60","60","37130","35700"
"In post","2021","Unknown","Declared non-disabled","Finance","40","40","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Human Resources","180","170","37960","32710"
"In post","2021","Unknown","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","No function","8540","7890","30180","30210"
"In post","2021","Unknown","Declared non-disabled","Project Delivery","970","960","42230","40100"
"In post","2021","Unknown","Declared non-disabled","Property","40","40","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Security","50","40","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Unknown","470","470","38160","35530"
"In post","2021","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","No function","530","500","30240","30210"
"In post","2021","Unknown","Undeclared","Project Delivery","100","100","44340","42530"
"In post","2021","Unknown","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Unknown","40","40","[c]","[c]"
"In post","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Commercial","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","No function","720","650","24140","22920"
"In post","2021","Unknown","Unknown","Project Delivery","170","160","42880","40940"
"In post","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","1920","1920","37650","34460"
"In post","2022","AA/AO","Declared disabled","Analysis","30","30","[c]","[c]"
"In post","2022","AA/AO","Declared disabled","Commercial","30","30","[c]","[c]"
"In post","2022","AA/AO","Declared disabled","Communications","60","50","21540","21250"
"In post","2022","AA/AO","Declared disabled","Counter Fraud","420","360","22350","21260"
"In post","2022","AA/AO","Declared disabled","Debt","630","540","21640","21260"
"In post","2022","AA/AO","Declared disabled","Digital, Data & Technology","110","100","21720","21380"
"In post","2022","AA/AO","Declared disabled","Finance","180","150","21770","21260"
"In post","2022","AA/AO","Declared disabled","Grants Management","100","90","21280","21300"
"In post","2022","AA/AO","Declared disabled","Human Resources","200","180","21640","21270"
"In post","2022","AA/AO","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","Declared disabled","Legal","200","180","22780","22200"
"In post","2022","AA/AO","Declared disabled","No function","11280","9820","22460","21260"
"In post","2022","AA/AO","Declared disabled","Project Delivery","120","100","22200","21300"
