"Status","Year","Responsibility_level","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Scottish Prison Service","50","50","23640","25870"
"In post","2021","AA/AO","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Ministry of Defence (excl. agencies)","100","90","21360","21030"
"In post","2021","AA/AO","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","HM Land Registry","60","50","21740","22350"
"In post","2021","AA/AO","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Ministry of Defence (excl. agencies)","120","110","21390","20920"
"In post","2021","AA/AO","Digital, Data and Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Welsh Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","AA/AO","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","HM Revenue and Customs (excl. agencies)","540","410","20780","20640"
"In post","2021","AA/AO","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Ministry of Defence (excl. agencies)","220","210","21540","21130"
"In post","2021","AA/AO","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Scottish Prison Service","40","40","[c]","[c]"
"In post","2021","AA/AO","Finance","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Welsh Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","AA/AO","Finance","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","AA/AO","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Ministry of Defence (excl. agencies)","760","690","21280","21130"
"In post","2021","AA/AO","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Scottish Prison Service","40","40","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Welsh Government (excl. agencies)","60","60","23190","23830"
"In post","2021","AA/AO","Intelligence Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Home Office (incl. agencies)","80","70","23090","21430"
"In post","2021","AA/AO","Intelligence Analysis","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Ministry of Defence (excl. agencies)","180","170","21700","21130"
"In post","2021","AA/AO","Knowledge and Information Management","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Public Health England","50","40","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Welsh Government (excl. agencies)","30","30","[c]","[c]"
"In post","2021","AA/AO","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Legal","HM Revenue and Customs (excl. agencies)","270","230","21170","20370"
"In post","2021","AA/AO","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
